	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_5	Chrna2_tdTpositive_cell_11	Chrna2_tdTpositive_cell_64	Ctgf_tdTpositive_cell_3	Gad2_tdTpositive_cell_71	Nkx2.1_tdTpositive_cell_12	Nkx2.1_tdTpositive_cell_15	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_14	Pvalb_tdTpositive_cell_15	Pvalb_tdTpositive_cell_18	Pvalb_tdTpositive_cell_19	Pvalb_tdTpositive_cell_36	Pvalb_tdTpositive_cell_38	Pvalb_tdTpositive_cell_50	Pvalb_tdTpositive_cell_53	Pvalb_tdTpositive_cell_60	Pvalb_tdTpositive_cell_62	Pvalb_tdTpositive_cell_64	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_41	Rbp4_tdTpositive_cell_165	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Arhgef40	0.0	0.0	0.0	1.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99	0.1	0.0	0.0	0.0	0.0	5.63	0.0	0.55	0.0	1.23	0.1	0.33	0.64	0.37	9.71	10.13	10.21
Atf6b	0.0	0.61	2.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.73	0.0	0.0	0.0	0.1	0.0	17.06	39.94	0.0	0.0	8.8	0.21	4.12	1.23	3.16	57.74	62.35	62.77
BC064078	0.0	0.96	0.0	0.2	0.0	0.0	0.0	0.0	0.0	1.32	0.0	1.07	0.0	0.0	0.0	1.35	0.47	3.48	1.56	0.0	0.0	0.0	0.0	4.41	2.62	1.21	6.69	6.66	4.87
Bbs12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.91	0.0	0.0	13.25	1.22	0.3	0.0	0.1	0.0	84.11	0.0	0.12	0.0	0.06	0.0	20.5	14.4	12.51	4.72	4.09	5.09
Cacng2	0.0	1.86	5.48	4.57	0.0	19.18	0.33	0.0	2.76	1.57	3.01	15.75	3.56	4.62	10.99	1.58	6.89	16.1	53.65	9.59	2.13	27.11	11.22	6.58	1.79	4.93	32.73	28.9	35.08
Cant1	0.0	0.0	9.55	0.0	0.0	0.78	0.0	0.9	0.0	0.23	0.0	0.0	0.0	0.0	0.0	4.57	0.0	20.75	3.41	0.0	0.0	2.72	0.0	10.63	5.48	2.21	38.78	41.27	41.8
Ccnd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.09	1.82	0.0	0.0	26.23	0.0	0.0	0.0	6.6	0.0	10.55	0.0	7.09	34.68	32.87	32.4
Cd4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.1	0.0	0.0	0.0	0.0	0.29	0.17	1.34	8.68	8.33	8.41
Cdk2ap1	50.92	0.0	1.51	24.96	0.0	89.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.36	0.0	61.57	0.0	0.0	0.0	0.12	0.0	11.51	60.89	6.84	115.66	109.8	115.19
Chrd	0.0	0.0	12.0	1.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.95	0.0	34.39	0.0	25.91	0.0	0.0	0.0	0.0	0.0	0.14	12.92	2.43	27.09	30.65	28.33
Cotl1	39.02	0.0	0.0	9.23	0.0	0.0	2.04	0.0	0.0	0.0	0.0	0.0	6.38	10.14	0.0	8.02	0.0	9.89	0.0	5.13	0.0	11.56	6.68	0.0	1.6	3.01	52.38	62.7	60.09
Cpox	10.34	10.62	15.48	14.86	10.96	6.39	11.05	6.6	4.41	8.36	10.26	6.76	7.11	4.75	6.53	10.73	7.19	22.55	22.22	17.15	4.81	11.86	8.43	22.43	17.1	14.45	40.77	42.88	42.65
Ddx19a	0.0	0.0	5.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.82	2.07	1.41	0.0	6.16	0.0	10.78	0.0	0.0	0.0	2.66	3.62	4.75	2.89	5.6	19.8	20.35	20.16
Dennd4a	0.0	0.0	12.79	0.0	7.03	0.0	0.0	0.0	0.0	0.0	1.98	1.87	10.82	0.0	0.0	1.64	3.48	11.83	0.0	0.0	0.0	0.02	0.12	11.65	14.45	10.32	30.52	27.12	28.77
Elf2	0.0	0.0	0.0	0.21	0.0	0.0	3.52	0.0	3.26	0.0	0.0	2.96	0.0	0.23	0.78	0.0	0.25	8.22	0.23	0.0	0.0	1.3	30.65	2.03	0.0	3.25	23.31	23.24	21.29
Fam160a2	0.0	49.75	0.04	0.0	0.0	10.41	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.07	1.29	27.36	0.39	1.77	6.76	4.75	0.62	1.93	9.85	6.6	24.28	25.16	25.64
Fbxo42	0.0	0.0	11.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.01	0.0	0.0	0.12	0.0	26.56	24.63	7.48	0.0	0.0	18.24	1.08	0.0	5.49	2.43	22.68	23.81	22.17
Fcho1	0.0	0.0	0.0	6.16	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.9	0.0	0.0	12.37	13.16	0.0	0.0	0.0	0.0	0.53	15.12	4.07	83.46	84.64	85.05
Frs2	0.0	0.0	1.52	4.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.19	3.09	0.0	0.0	0.0	0.0	34.55	0.0	0.14	1.54	0.0	9.48	33.54	0.05	3.02	27.3	27.76	28.52
Gaa	0.43	33.25	193.52	125.83	0.0	127.75	69.66	53.0	16.7	98.39	44.71	0.18	59.5	40.17	46.4	78.75	56.64	204.85	63.48	132.96	82.2	15.46	23.52	51.06	49.05	16.76	201.83	224.67	199.67
Gadd45gip1	0.0	0.9	6.24	0.0	0.0	0.0	8.94	0.0	0.16	0.0	0.0	0.0	0.0	0.0	11.77	6.69	0.0	20.94	9.09	0.0	0.0	0.0	0.0	0.0	6.41	4.79	35.59	37.49	35.41
Gde1	0.0	11.18	199.46	105.34	0.0	13.17	9.7	72.43	2.48	0.87	20.61	69.48	56.37	14.13	26.84	80.41	5.25	75.91	78.32	68.56	3.41	91.37	3.59	73.14	55.28	65.85	304.34	337.74	326.45
Gm9855	0.0	0.0	0.0	20.76	0.0	1.21	0.49	0.0	0.0	0.0	0.33	0.0	8.68	0.21	0.0	0.0	0.0	56.12	48.52	0.0	0.72	46.75	0.0	20.61	18.95	11.06	36.11	28.68	30.98
Hapln4	0.0	14.95	58.42	12.93	0.0	0.0	9.16	0.0	24.87	45.71	0.0	0.0	6.85	5.23	0.39	1.47	3.39	73.09	74.41	17.76	1.98	36.47	59.55	11.08	8.86	4.83	79.51	87.78	92.43
Hectd1	0.0	25.34	41.25	2.86	11.66	12.68	13.52	20.84	0.0	0.0	25.58	14.51	7.59	0.13	0.46	1.95	17.12	33.61	4.68	11.39	0.0	10.29	34.53	31.06	16.13	11.52	48.3	45.41	49.95
Inpp5k	0.0	102.69	99.89	116.52	0.0	110.42	148.96	0.0	27.17	11.86	0.0	79.6	0.0	0.0	0.27	0.09	52.04	130.32	0.0	64.17	5.57	65.83	3.27	117.46	16.88	58.16	36.26	35.0	36.08
Ints12	0.0	19.0	16.25	0.0	0.0	0.0	0.0	0.0	27.89	0.0	0.0	40.2	0.0	0.0	0.0	0.0	0.0	95.5	0.0	39.82	37.61	0.0	32.28	40.4	13.85	20.09	10.0	8.06	7.84
Kctd9	0.0	48.25	6.95	0.0	0.0	0.0	0.0	0.0	17.78	9.06	9.62	0.0	0.0	26.84	0.0	0.0	61.63	118.04	0.0	47.85	44.9	44.62	26.58	0.0	1.96	2.19	11.47	10.83	11.3
Kdm4a	0.0	0.0	0.0	0.0	0.0	0.0	3.33	0.0	0.0	0.0	0.0	0.18	1.23	0.18	0.0	0.0	0.0	9.16	0.0	1.63	0.0	0.0	0.0	0.0	2.39	0.75	33.21	34.05	34.15
Klc1	0.0	0.0	23.92	1.45	0.0	1.65	5.94	50.0	20.66	91.16	42.02	51.22	5.55	25.06	63.31	7.28	23.84	51.8	35.7	12.91	3.89	34.72	15.98	42.52	63.64	39.48	706.38	755.05	722.85
Lamp1	4.43	0.0	125.59	42.04	0.0	9.8	9.01	0.0	51.46	0.87	78.89	4.87	5.87	4.06	5.85	10.58	22.86	122.69	0.29	1.35	0.0	46.55	127.58	24.17	14.65	33.26	296.47	313.19	310.97
Man2c1	0.0	18.06	0.14	0.0	0.0	0.0	0.0	1.97	4.93	2.62	0.0	0.0	14.35	0.19	1.72	0.0	0.71	34.09	0.0	0.0	0.0	1.33	0.17	0.0	3.29	3.98	45.18	46.88	47.37
Maz	0.0	0.0	3.1	4.25	0.0	0.0	0.0	0.0	0.0	1.1	0.0	0.0	0.0	0.26	0.0	0.0	1.11	23.01	0.13	0.0	1.01	3.95	0.0	0.0	1.53	2.2	134.05	157.29	149.83
Mtap	0.0	0.0	76.82	22.8	0.0	0.0	0.0	0.0	37.43	0.26	0.0	43.97	1.12	0.0	51.75	72.43	0.0	62.72	58.51	37.03	0.0	32.5	0.0	0.0	5.17	6.93	8.65	9.09	8.97
Mtif2	4.62	38.69	64.29	11.78	1.38	3.55	70.5	2.2	0.0	16.99	43.47	29.77	2.16	36.0	4.29	10.64	0.71	109.52	24.87	13.76	4.4	9.73	15.49	51.58	29.33	32.79	26.62	25.34	25.73
Mttp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.0	0.0	0.0	0.0	0.0	0.0	4.27	0.0	1.61	0.0	0.0	0.0	0.22	3.01	0.0	1.8	0.75	7.85	8.03	7.14
Mvk	0.0	0.0	0.0	0.0	137.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.54	0.0	0.0	0.0	0.0	54.19	0.0	0.0	0.0	0.0	0.0	48.99	3.32	7.43	23.88	26.51	24.72
Nfkbib	0.0	0.0	40.18	4.02	0.0	0.0	30.47	7.72	0.0	18.26	0.0	0.0	3.56	41.23	5.05	0.0	1.54	59.9	40.21	1.29	0.0	6.84	18.18	25.35	4.3	12.37	20.89	23.31	22.01
Nipa1	0.0	0.0	0.0	0.0	0.0	27.54	13.1	19.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.37	0.0	0.0	0.0	1.15	0.0	0.0	15.08	7.38	68.07	67.19	71.67
Nnt	0.0	0.0	44.51	0.0	12.88	0.0	0.0	0.0	0.0	2.39	0.0	0.51	9.37	7.71	0.0	0.0	0.0	54.93	12.3	0.0	0.0	1.34	10.5	0.0	4.68	6.76	13.06	13.3	12.35
Noc3l	0.0	3.25	27.67	0.09	0.0	0.0	0.14	0.0	0.06	3.92	0.0	0.45	45.4	0.29	0.17	7.43	0.81	17.76	4.75	0.69	0.27	7.01	5.12	0.87	6.11	6.65	11.39	10.6	10.11
Ntf3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.61	0.0	2.09	3.6	3.5
Pelo	0.0	0.0	0.0	1.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.5	29.59	0.0	0.0	0.0	0.0	0.0	1.5	3.82	16.43	17.8	16.69
Phkg2	0.0	0.0	333.05	119.42	0.0	0.0	98.99	194.31	6.37	0.0	0.0	59.49	105.05	0.38	77.61	167.17	14.8	198.35	41.01	88.8	197.55	18.31	0.67	118.82	53.22	77.34	58.12	62.5	58.67
Plxna1	0.0	0.0	20.67	17.29	0.0	0.0	0.0	22.56	0.0	0.0	0.0	5.3	0.37	0.0	0.61	0.03	0.93	29.53	2.51	0.01	0.07	13.0	8.48	7.71	4.64	0.87	35.88	37.83	38.57
Prcc	0.0	0.0	35.09	0.0	0.0	0.0	0.23	0.0	0.0	0.0	3.3	0.0	0.0	0.0	1.02	0.0	10.65	21.69	0.15	0.54	0.0	0.14	0.0	0.0	2.46	1.36	40.62	42.51	39.66
Prr3	0.0	0.0	0.0	0.15	0.0	0.0	68.96	81.52	0.0	0.0	0.51	52.0	0.0	0.0	0.0	21.61	0.0	161.19	0.33	0.0	0.0	7.35	14.15	0.0	15.96	22.0	33.73	33.76	33.47
Ptpdc1	0.0	0.0	0.0	0.2	0.0	1.01	25.76	0.0	0.0	0.0	4.9	0.0	0.0	0.0	0.0	0.0	30.81	31.58	1.5	0.0	0.0	0.0	0.0	0.0	3.16	3.44	18.67	22.55	19.99
Pydc3	0.0	0.52	9.35	0.29	0.0	3.67	0.55	3.34	0.0	0.0	0.95	0.99	2.01	0.68	0.93	1.05	0.73	6.62	0.15	3.66	0.55	1.08	0.07	5.23	2.79	0.93	2.16	1.79	1.75
Rap1gap	0.0	0.0	4.11	3.99	0.0	0.0	4.65	0.0	3.23	0.5	17.35	0.56	6.37	2.36	0.21	0.07	1.63	29.03	12.89	2.48	0.0	11.11	3.5	8.67	4.64	6.62	171.3	186.02	178.43
Recql	0.0	0.0	0.0	0.0	0.19	0.0	28.64	0.0	1.17	0.0	0.0	0.0	30.61	0.0	0.0	0.0	44.66	35.36	0.0	0.13	0.0	0.0	0.0	30.19	1.46	18.89	16.14	16.77	16.04
Rsph3a	0.0	82.21	90.98	0.0	0.0	32.25	1.33	28.19	18.98	0.0	0.0	0.0	27.43	0.0	0.0	0.0	0.0	93.28	4.33	21.94	0.0	61.98	7.63	0.0	9.52	27.93	20.44	23.35	17.78
Ryr2	0.0	2.77	29.32	0.4	0.0	12.03	0.47	0.0	0.01	8.76	1.35	0.04	0.13	8.25	5.87	7.48	0.21	24.3	5.72	1.05	0.6	0.13	4.38	0.75	11.62	10.66	51.84	45.32	51.46
Samd10	0.0	0.0	10.77	0.28	0.0	0.0	8.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.7	0.0	0.0	15.41	62.25	21.21	60.76	10.68	3.66	22.37	21.69	21.29
Shisa4	0.0	0.0	21.0	13.64	0.0	0.0	0.0	0.0	0.0	32.12	0.0	24.67	20.28	11.02	0.0	12.87	0.28	61.1	35.54	1.43	0.0	39.69	18.18	28.55	33.11	67.55	164.99	179.46	180.47
Slain2	0.0	6.63	27.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	12.18	0.0	34.07	0.0	0.0	0.0	0.37	0.0	5.4	2.82	2.88	16.28	15.41	16.28
Slc39a10	0.0	24.83	14.0	0.06	0.08	55.85	57.64	17.4	9.99	0.0	0.0	0.0	6.74	1.21	10.0	64.52	4.73	67.31	36.61	2.81	0.0	32.54	0.0	0.0	76.66	106.97	141.54	126.91	144.22
Sowaha	0.0	0.0	8.18	0.08	9.14	0.22	0.0	0.0	0.0	0.47	0.53	0.0	0.0	0.4	0.0	0.39	0.27	9.61	0.37	0.1	0.19	0.07	0.0	0.0	11.11	3.72	65.73	72.24	64.8
Srf	0.0	0.0	0.0	0.0	0.0	13.23	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	8.1	2.44	0.0	10.67	0.0	0.0	0.0	0.11	8.77	5.93	5.53	3.62	36.57	39.4	34.31
Ssbp3	0.0	98.76	11.45	0.0	0.0	19.02	30.87	0.0	0.0	0.0	0.0	5.44	0.0	0.0	0.0	46.63	0.0	28.53	15.36	0.0	0.0	2.14	17.62	0.0	54.82	105.21	89.36	86.96	88.95
Syngr1	0.0	50.38	188.28	137.06	0.0	49.39	111.28	104.18	73.82	10.04	108.03	25.02	31.87	61.7	59.83	4.64	107.75	143.95	93.71	79.32	30.28	119.21	201.2	87.45	45.74	86.49	373.26	376.32	379.56
Tac1	0.0	6532.88	7648.19	5471.23	0.0	6061.09	3159.38	2310.92	2154.94	0.0	6618.42	4203.43	5550.42	5725.34	8114.55	11032.51	6960.91	5289.34	7084.35	3086.41	5991.55	6135.38	1187.71	4526.97	7.26	0.7	97.93	105.12	85.26
Tbc1d30	0.0	16.53	0.0	0.12	0.0	0.0	0.0	0.07	0.0	4.58	1.35	0.0	1.96	0.0	2.54	0.04	3.29	12.96	0.0	0.87	0.0	3.23	5.81	0.87	4.3	3.44	56.82	56.2	53.74
Timm50	0.0	0.0	50.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.42	48.98	0.0	0.0	0.0	25.28	101.08	72.87	3.86	0.0	0.0	0.0	23.69	9.49	10.0	41.0	41.99	46.28
Tmem188	0.0	0.0	79.67	0.0	0.0	0.0	0.78	0.0	0.0	50.35	0.0	0.0	0.0	0.0	0.0	0.0	0.18	153.22	0.0	0.0	2.83	15.12	2.68	10.76	30.56	36.4	35.3	35.33	34.43
Unc119b	0.0	0.0	25.28	0.0	0.0	0.24	0.0	0.0	0.0	0.0	4.76	0.0	0.0	0.0	0.0	0.0	0.0	23.13	0.0	0.0	12.86	0.0	0.0	0.0	4.95	0.85	21.35	22.4	20.12
Usp42	20.2	0.0	0.0	0.0	0.0	4.9	25.13	0.0	0.0	0.0	0.0	14.59	0.0	6.89	0.0	0.05	0.0	48.49	0.0	13.33	0.0	0.0	18.56	5.05	21.95	8.34	15.21	16.29	14.88
Whrn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.85	0.0	36.82	18.23	38.91	0.0	3.26	5.81	0.0	0.0	0.61	25.21	28.08	30.17
Wwp2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.42	3.23	11.66	0.0	0.0	7.03	0.0	0.48	0.0	0.0	23.12	0.0	12.55	0.0	0.24	0.0	27.9	4.68	9.66	22.94	22.27	22.21
Yod1	0.0	85.94	11.19	0.0	0.0	0.0	0.0	0.0	0.0	4.57	0.0	0.0	0.0	34.21	0.36	0.0	31.94	34.26	0.0	27.05	0.0	0.0	0.0	27.78	17.09	5.77	7.19	7.33	8.73
Zfp74	302.91	0.0	104.48	0.0	0.0	63.18	0.0	11.15	9.87	0.0	0.0	0.0	0.0	0.32	0.0	0.17	0.09	49.97	0.08	27.4	0.0	0.0	0.15	46.02	7.3	9.4	10.37	9.43	10.5
Zfr2	0.0	0.0	0.14	0.0	0.0	32.26	0.0	0.0	0.0	0.0	0.0	2.71	0.0	0.0	4.82	2.29	0.1	25.94	0.0	0.25	0.0	0.31	0.0	17.42	9.03	1.45	38.45	42.82	46.79
