	Ctgf_tdTpositive_cell_2	Nr5a1_tdTpositive_cell_39	Nr5a1_tdTpositive_cell_49	Nr5a1_tdTpositive_cell_50	Ntsr1_tdTnegative_cell_28	PvalbF.Gad2_tdTpositive_cell_89	PvalbF.Gad2_tdTpositive_cell_91	PvalbF.Gad2_tdTpositive_cell_94	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_186	Rbp4_tdTpositive_cell_187	Rbp4_tdTpositive_cell_188	Rbp4_tdTpositive_cell_190	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_23	Scnn1a.Tg2_tdTnegative_cell_17	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTpositive_cell_102	Scnn1a.Tg3_tdTpositive_cell_105	Scnn1a.Tg3_tdTnegative_cell_8	Vip_tdTpositive_cell_16	Rbp4_CTX_10pg_1	Rbp4_CTX_10pg_2	Rbp4_CTX_10pg_3	Rbp4_CTX_10pg_4	Rbp4_CTX_10pg_5	Rbp4_CTX_10pg_6	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Atxn2	0.0	71.46	51.96	15.47	0.0	4.83	0.97	10.85	13.9	4.51	39.29	11.56	46.7	0.0	0.0	0.06	284.93	34.87	1.63	0.18	0.0	94.08	0.0	0.09	0.64	6.78	1.99	1.65	46.73	47.49	48.73
Atxn7l3b	0.0	144.53	146.75	50.12	0.0	0.16	0.09	24.01	119.8	34.18	33.01	30.79	46.34	0.0	0.0	0.08	68.77	186.59	47.51	7.81	0.0	41.71	7.17	89.86	13.31	54.72	159.27	80.78	164.51	159.91	161.8
BC018242	0.0	25.09	41.71	82.11	0.0	0.81	0.0	21.95	31.07	9.57	3.75	17.29	0.26	0.0	0.0	0.0	72.46	8.81	3.25	3.7	0.0	0.0	151.19	78.87	0.06	37.88	40.46	86.45	148.85	160.32	156.13
BC030336	0.0	201.45	7.45	51.41	0.0	8.77	77.76	4.56	57.83	7.45	28.61	73.99	15.11	0.0	0.0	0.0	1.05	24.1	8.26	90.8	0.0	0.0	18.57	0.03	3.08	11.32	0.25	5.0	35.07	32.42	33.37
Bag1	0.38	42.86	235.6	0.0	0.0	29.46	10.86	102.61	37.04	40.28	0.0	1.14	6.92	0.0	0.0	0.0	13.13	0.0	1.78	0.06	0.0	0.0	3.13	0.0	0.55	7.61	8.6	0.0	146.96	156.33	154.32
Baz2a	0.0	1.62	28.05	7.61	0.0	0.27	7.01	0.07	0.95	0.42	5.04	0.01	0.16	0.0	0.17	0.0	6.99	0.0	99.94	0.01	0.0	0.0	0.05	0.06	4.69	3.01	0.0	10.62	27.57	27.42	26.18
Bcl2l2	0.0	67.87	56.03	111.68	0.0	0.16	0.0	23.58	1.22	3.66	0.0	4.54	2.01	0.0	0.0	0.0	56.5	41.66	45.51	4.61	0.0	0.0	0.04	16.14	59.98	5.4	26.0	7.22	106.04	105.91	103.99
Bdp1	5.23	18.93	45.25	50.02	0.07	0.73	11.0	24.22	0.23	9.68	0.0	11.35	19.31	0.0	0.0	0.0	117.81	6.84	50.38	25.99	0.0	0.0	0.0	0.0	1.01	0.0	6.18	0.55	12.83	10.44	12.97
C2cd2l	0.0	10.24	17.31	117.59	0.0	1.5	0.0	0.1	3.12	23.3	5.94	0.47	0.02	0.0	0.11	0.0	0.76	62.28	0.41	25.19	0.23	0.0	39.96	0.06	28.96	11.24	0.06	3.81	101.81	111.13	100.46
C6	0.0	14.4	0.0	2.18	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.48	0.0	0.0	0.0	0.0	0.0	0.93	0.0	0.31	0.0	0.0	3.11	0.21	0.1	0.29
Cab39	0.0	35.8	77.33	34.54	0.0	68.0	36.78	38.39	75.82	44.08	0.71	0.67	57.96	0.0	0.0	4.18	13.24	54.06	10.1	1.81	0.0	0.0	19.86	3.01	59.11	0.63	52.13	17.88	153.97	150.03	150.81
Camk2b	0.0	227.35	475.4	641.39	0.0	28.75	0.42	1.37	219.94	61.32	103.88	36.43	44.64	0.0	0.0	0.07	179.81	133.45	151.78	105.83	0.0	0.0	149.74	245.5	98.96	95.66	198.82	161.76	532.26	557.69	545.35
Ccl21c	0.0	6.42	6.35	69.83	0.0	0.0	0.0	1.92	2.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	185.57	0.0	1.03	0.58	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.17	2.51	1.59	0.0
Ccl27b	0.0	110.69	344.85	411.12	0.34	1.18	0.0	0.45	93.01	34.54	0.0	17.74	15.83	0.0	0.0	0.0	14.7	274.48	171.5	7.71	0.0	0.0	17.69	2.83	25.62	34.21	4.38	27.11	30.63	28.29	22.96
Cdk16	0.0	16.76	1.24	20.64	0.0	1.03	13.5	16.68	40.76	5.17	2.32	0.14	1.93	0.0	155.74	1.45	51.35	96.74	253.51	9.6	0.0	0.0	44.29	2.73	54.21	2.63	113.14	19.0	206.47	218.5	219.97
Celsr2	0.0	78.9	66.19	67.28	0.06	3.55	8.13	7.83	4.1	9.29	13.44	4.93	8.41	0.0	0.0	0.05	34.39	26.23	18.85	9.19	0.0	0.0	15.51	31.57	2.62	2.97	16.32	23.52	73.45	73.3	82.99
Coro2b	0.0	124.74	85.76	53.0	0.0	66.45	17.01	10.04	19.64	0.84	11.91	1.01	0.75	0.0	0.0	0.0	6.57	119.75	0.73	2.63	0.0	0.0	41.52	0.33	1.07	10.99	3.12	12.35	118.73	124.35	130.21
Cul4a	0.0	24.67	63.24	0.0	0.0	6.01	0.0	0.12	15.29	4.26	5.24	0.21	53.54	0.0	0.0	0.0	3.41	240.29	41.57	0.0	0.0	0.0	9.58	0.09	0.12	0.0	48.68	2.62	57.84	56.16	56.17
Cyc1	0.0	13.13	102.53	59.23	0.0	222.06	30.18	10.58	44.86	13.36	135.57	1.29	33.9	0.0	0.0	0.0	6.29	258.35	355.25	21.51	0.0	0.0	173.34	226.81	167.21	32.56	191.01	301.41	244.01	261.44	263.44
Cyth1	0.0	64.77	5.14	121.84	0.0	101.92	0.0	0.87	4.96	1.52	10.63	2.02	0.25	0.0	0.0	0.0	3.88	13.55	12.26	39.29	0.0	0.0	4.24	52.99	0.92	18.0	0.27	45.96	67.03	75.5	69.5
Darc	0.0	404.38	147.05	261.02	0.0	0.0	0.15	68.97	18.61	72.59	4.06	2.86	0.17	0.0	0.0	0.0	472.8	0.0	41.77	0.3	0.0	0.0	0.0	67.11	66.66	0.12	43.44	0.16	64.58	73.04	73.14
Dcaf6	0.15	10.25	9.4	5.49	0.61	3.82	6.91	2.49	18.71	27.0	24.16	17.05	40.01	0.0	0.98	0.0	66.53	37.37	12.3	7.06	7.09	4.85	33.33	1.12	5.65	15.0	23.12	4.38	80.08	75.12	71.58
Dpf1	0.0	69.68	47.51	13.32	0.0	7.15	4.91	6.16	10.9	6.17	5.77	9.93	45.28	0.0	0.0	0.0	19.46	22.57	14.5	18.89	0.0	0.0	7.86	54.91	4.32	3.95	38.38	31.38	47.74	50.08	44.62
Dync1h1	0.0	101.09	123.4	8.9	78.48	7.62	10.34	15.26	41.61	23.18	12.08	7.54	21.76	0.0	0.0	0.06	25.83	10.5	18.97	36.49	7.34	0.0	14.16	54.89	26.39	5.14	36.5	13.76	143.44	143.12	153.5
Edf1	0.0	93.31	105.8	489.88	0.0	154.04	88.98	1.7	174.79	104.88	127.79	107.98	210.26	34.57	0.0	0.0	115.42	569.31	189.3	2.28	0.0	264.11	132.66	189.44	116.26	248.0	237.66	340.39	216.08	240.69	221.66
Ephb6	0.0	149.06	7.75	75.82	0.0	0.45	0.04	3.92	0.62	59.13	0.0	46.81	4.07	0.0	0.0	0.0	25.06	39.28	0.28	0.0	0.0	0.0	58.97	0.09	0.95	30.91	73.96	71.05	93.01	90.46	96.16
Fam126b	0.06	178.62	35.99	199.64	5.18	32.17	12.33	1.64	4.7	32.06	1.65	6.65	37.61	0.17	0.59	0.17	105.96	70.54	93.54	124.26	0.11	0.08	1.51	37.85	0.3	40.7	10.59	38.71	38.93	31.56	36.99
Fancg	0.0	0.0	24.84	0.0	0.0	0.0	0.0	0.16	3.06	52.51	0.0	82.32	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.22	0.0	0.0	24.26	10.15	10.8	12.89
Gfod1	0.07	3.43	15.25	0.0	0.0	0.23	0.15	28.46	20.01	0.47	2.18	47.68	6.81	0.0	0.0	0.0	16.86	38.52	8.06	3.89	0.0	0.0	0.0	0.03	0.0	0.0	11.41	0.0	50.26	46.46	49.88
Gm10591	0.0	6.42	6.35	69.83	0.0	0.0	0.0	1.92	2.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	185.57	0.0	1.03	0.58	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.17	2.51	1.59	0.0
Gm13304	0.0	6.42	6.35	69.83	0.0	0.0	0.0	1.92	2.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	185.57	0.0	1.03	0.58	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.17	2.51	1.59	0.0
Gm13306	0.0	110.69	344.85	411.12	0.34	1.18	0.0	0.45	93.01	34.54	0.0	17.74	15.83	0.0	0.0	0.0	14.7	274.48	171.5	7.71	0.0	0.0	17.69	2.83	25.62	34.21	4.38	27.11	30.63	28.29	22.96
Gm1673	0.0	4.54	39.77	7.64	0.0	0.0	38.13	11.16	11.59	9.35	11.43	11.49	0.93	0.0	0.0	0.0	69.56	60.21	38.29	0.0	0.0	0.0	3.09	12.21	12.15	9.91	62.85	35.31	53.39	62.92	63.57
Gm2506	0.0	110.69	344.85	411.12	0.34	1.18	0.0	0.45	93.01	34.54	0.0	17.74	15.83	0.0	0.0	0.0	14.7	274.48	171.5	7.71	0.0	0.0	17.69	2.83	25.62	34.21	4.38	27.11	30.63	28.29	22.96
Gpr26	0.0	58.11	3.71	8.13	0.0	0.1	0.0	0.08	0.0	0.55	0.0	5.98	0.28	0.0	0.0	0.0	25.63	4.42	0.26	21.66	0.0	0.0	0.0	3.62	0.62	0.0	0.49	0.0	67.54	58.53	83.82
Grm4	0.0	0.0	43.13	79.17	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.16	0.1	0.0	0.0	0.0	17.66	17.01	18.6
Kbtbd7	0.0	9.5	0.41	0.0	0.0	0.44	0.04	0.05	1.93	0.0	0.0	0.21	85.65	0.08	0.0	0.0	0.0	0.39	7.1	0.12	0.0	0.08	0.07	54.24	11.36	0.12	39.67	0.12	34.48	33.77	31.87
Kcnj9	0.0	16.57	0.0	196.79	0.0	18.0	0.0	0.06	3.7	0.54	2.03	2.29	0.03	0.0	0.0	0.0	154.4	178.17	7.04	10.83	0.0	0.0	1.08	46.12	3.43	26.75	17.36	89.49	121.29	116.59	115.73
Kcnn1	0.37	135.73	0.24	0.13	0.41	1.04	0.0	0.16	0.17	0.22	3.05	0.2	0.05	0.33	1.68	0.11	1.14	1.74	0.69	28.14	0.42	0.0	0.11	0.03	0.14	0.11	0.08	3.45	9.26	11.18	10.81
Lingo1	0.0	158.62	279.5	164.28	0.0	1.33	0.25	33.37	80.92	47.48	45.64	19.33	21.96	0.0	0.0	0.09	144.31	116.94	99.57	87.4	0.0	0.0	44.53	45.91	124.66	44.26	39.92	82.58	232.82	237.98	251.08
Lphn1	0.0	98.02	121.42	43.36	0.08	3.84	0.92	1.99	25.02	11.14	10.32	16.94	36.22	0.0	0.0	0.0	56.52	42.82	26.6	57.33	0.0	0.09	80.8	31.74	77.3	36.39	67.79	70.52	185.96	190.77	203.82
Mapk1	0.0	152.29	211.15	380.46	4.47	55.4	12.31	18.47	181.02	42.0	174.55	151.18	71.1	0.2	0.0	0.06	157.84	52.52	244.49	1.58	0.0	6.4	105.9	29.42	98.15	87.44	20.41	124.86	371.72	366.39	352.91
Mapk8ip2	0.0	27.65	10.37	7.2	0.0	7.47	54.46	0.06	29.3	6.73	13.72	28.94	11.24	0.0	0.0	0.0	0.0	68.05	10.98	0.04	0.0	0.0	3.65	141.33	79.67	29.46	81.67	70.27	190.79	206.07	202.05
Mast1	0.0	0.89	34.05	6.25	0.0	0.26	0.0	3.11	10.02	13.01	5.94	0.02	0.1	0.0	0.0	0.0	20.88	25.61	39.67	0.02	0.0	3.24	0.09	54.67	0.46	3.33	1.36	49.75	57.59	61.96	60.11
Mgat3	0.0	51.28	114.7	70.13	0.0	0.54	0.04	25.02	4.43	25.68	1.24	0.91	3.49	0.0	0.0	0.0	21.82	30.78	2.48	75.9	0.0	0.0	18.72	42.77	45.47	0.0	0.15	84.95	99.56	101.36	101.11
Mgat5b	0.0	11.53	0.22	15.97	0.0	0.0	0.0	11.86	0.24	0.0	0.0	2.23	0.27	0.0	0.0	0.0	11.31	53.16	0.1	0.0	0.0	0.0	40.47	0.0	0.0	0.0	1.13	0.13	55.22	54.09	52.11
Mxi1	0.0	82.24	42.15	112.87	0.0	0.64	0.04	0.04	11.56	12.48	47.38	0.23	13.9	0.0	40.51	0.0	0.05	28.9	25.43	45.83	0.0	0.0	0.0	0.75	0.38	32.98	24.64	22.79	35.92	35.55	32.05
Nptx1	0.0	146.57	102.93	58.82	0.0	0.29	0.06	0.08	30.29	6.66	33.46	1.12	13.5	0.0	0.0	0.05	104.02	72.58	94.49	4.2	0.0	0.0	54.78	1.34	45.6	0.6	15.98	55.6	195.59	193.13	194.22
Pabpn1	4.87	62.12	218.02	74.01	2.72	5.14	4.95	8.92	21.23	9.7	6.25	12.2	71.01	3.22	4.41	2.32	61.98	137.59	7.94	7.38	1.73	1.48	48.67	63.41	20.16	7.76	12.94	29.78	181.84	196.14	202.94
Pacsin1	0.0	33.55	343.37	107.39	0.39	13.64	61.32	2.31	41.76	40.11	37.62	14.52	3.84	0.0	0.0	0.0	74.06	103.56	35.69	59.54	0.0	0.0	136.27	165.21	94.67	22.62	7.7	165.48	282.11	283.76	304.93
Pde1b	0.0	31.99	9.26	9.79	0.0	0.23	12.48	0.0	8.19	2.15	0.0	10.33	5.69	0.0	0.0	0.0	0.0	0.0	10.65	0.0	2.77	0.0	64.22	243.28	71.57	52.84	113.42	60.45	245.53	258.71	247.87
Plcl2	0.0	44.23	225.63	4.06	44.39	0.0	0.04	0.0	25.03	25.51	24.6	21.07	8.51	17.71	0.0	0.0	0.53	8.23	0.18	0.0	35.11	0.0	1.94	56.15	13.74	0.1	5.53	3.69	48.89	47.95	46.14
Plxna2	0.05	62.63	26.22	3.91	0.0	0.14	0.26	0.53	8.84	4.43	35.25	7.98	16.52	0.0	0.0	0.0	54.88	19.7	0.27	2.94	0.0	0.07	1.35	30.64	32.41	14.58	2.4	28.88	47.46	43.4	46.56
Pou6f1	0.0	86.23	180.23	153.49	0.0	0.03	0.0	2.89	58.68	31.46	0.09	0.09	32.09	0.0	0.0	0.0	159.83	71.94	1.02	0.39	0.0	0.08	27.25	34.09	0.0	0.12	61.31	0.0	75.93	74.16	76.43
Ppm1b	0.0	101.01	16.75	92.81	0.0	65.92	138.68	13.27	75.53	25.18	0.67	34.24	4.58	0.0	0.0	0.0	276.88	28.86	0.5	123.32	0.0	0.0	10.94	23.93	12.53	0.0	33.9	0.05	107.35	104.81	105.18
Ppp1r1a	0.0	5.83	0.0	34.7	0.0	0.77	1.86	0.34	8.1	28.55	0.16	6.28	0.77	0.0	0.0	0.0	0.9	0.0	181.5	20.11	0.0	0.0	63.44	28.81	24.17	14.51	92.45	73.43	123.86	128.2	126.28
Ppp2r2c	0.0	239.86	176.5	272.73	0.0	21.38	91.99	37.89	45.07	7.52	19.84	11.34	0.07	0.0	0.0	0.0	34.08	132.75	0.82	54.22	0.0	0.09	69.98	102.82	50.88	106.88	65.56	56.6	446.28	420.01	458.99
Ppp2r2d	0.0	4.22	156.22	2.64	0.0	6.08	0.08	0.1	0.22	96.59	147.8	46.91	0.1	0.0	0.0	0.0	8.44	439.16	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	66.87	66.28	62.18
Rad23b	0.0	64.88	112.13	32.06	0.0	6.77	0.04	22.32	35.31	8.56	12.96	4.5	0.89	0.0	0.0	0.0	94.88	68.3	101.55	23.48	0.0	0.0	4.34	26.49	11.28	4.48	69.09	42.94	119.39	127.11	122.14
Rnf165	0.0	3.21	13.54	1.36	0.09	0.32	0.27	0.26	12.62	0.54	2.51	0.51	0.81	0.0	0.58	0.07	26.56	39.03	0.51	0.48	0.15	0.2	0.14	0.65	4.34	8.84	0.02	4.83	24.71	25.79	25.0
Rnf208	0.0	25.66	261.18	58.14	0.0	16.61	0.13	105.19	7.07	178.26	59.1	40.35	0.66	0.0	0.0	0.0	10.5	0.0	344.77	0.06	0.0	0.0	256.49	99.05	27.76	4.41	90.69	27.3	124.6	138.39	125.1
Rnft2	0.0	39.62	0.22	3.31	0.0	0.0	0.04	30.95	10.91	4.53	14.37	0.81	7.9	0.0	0.0	0.0	3.79	0.0	0.03	0.02	0.0	0.0	0.03	0.0	3.82	0.0	17.18	23.45	58.46	59.35	61.39
Rragc	0.0	43.63	5.45	0.0	0.0	0.11	0.06	0.0	1.74	0.0	0.32	60.46	77.45	0.0	0.0	0.11	14.87	0.0	3.33	0.0	0.0	0.0	0.0	0.08	0.06	0.78	9.18	44.35	68.22	72.12	68.72
Rtf1	0.0	57.49	56.77	0.14	0.0	0.35	0.19	37.64	0.49	2.15	5.22	24.3	4.42	0.2	0.0	0.05	30.91	15.75	103.64	30.65	0.23	0.0	25.38	24.44	0.08	41.79	32.12	13.95	51.07	46.92	51.09
Sardh	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.03	0.0	0.0	6.95	6.49	7.48
Sel1l3	0.0	23.13	89.11	34.35	0.0	4.97	6.73	0.05	49.31	3.48	4.39	92.45	0.32	0.0	0.0	0.06	24.48	141.74	8.26	0.73	0.0	0.0	0.0	0.0	3.07	35.35	0.0	1.17	45.77	42.88	44.99
Serpina3a	0.0	1.95	0.0	2.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.55	0.24	0.78
Slc17a7	0.0	98.02	429.54	219.65	0.0	0.58	0.29	0.07	35.71	30.82	21.1	12.18	11.95	0.0	0.0	0.0	282.39	204.04	92.37	59.8	0.0	0.0	4.22	35.75	36.02	19.39	59.47	54.32	1060.92	1095.63	1130.72
Slc39a3	0.0	80.02	4.08	167.82	0.0	0.0	0.0	0.0	0.04	7.39	0.0	0.15	0.0	0.0	0.0	0.0	1.85	22.82	0.0	0.06	4.41	0.0	151.45	0.04	62.87	0.36	0.08	58.31	60.42	61.8	64.04
Slc6a8	0.0	101.5	102.97	99.84	0.0	7.88	5.38	17.83	0.0	0.0	0.0	0.08	0.0	0.0	0.18	0.0	13.34	215.77	0.26	3.07	0.0	0.0	0.0	27.28	50.19	0.0	74.99	23.31	61.85	65.48	65.64
Slit3	0.0	0.0	0.0	10.83	0.0	0.0	5.75	0.0	0.06	2.98	0.33	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.07	2.82	0.14	0.0	0.63	2.88	25.89	25.15	27.05
Smarca4	0.29	53.02	40.13	18.13	0.0	39.69	0.03	0.23	12.37	19.0	6.83	0.39	2.5	0.0	0.14	0.24	10.88	42.84	0.53	1.34	0.0	0.0	3.87	63.69	11.95	22.66	49.47	29.42	63.89	65.92	68.05
Smg1	0.0	16.01	8.9	15.72	0.0	2.3	42.04	34.86	11.15	18.59	14.16	5.33	17.94	0.34	0.0	5.25	81.91	27.03	7.4	41.24	87.61	2.98	4.95	9.03	0.95	25.28	6.49	1.77	45.02	36.92	47.73
Sprr2a1	0.0	0.23	1.67	0.17	0.0	0.04	0.1	0.0	0.73	0.5	0.54	0.29	0.51	0.0	0.0	0.04	0.16	0.23	0.98	0.16	0.0	0.0	0.18	0.01	0.04	0.06	0.16	0.0	0.08	0.25	0.13
Sprr2a2	0.0	0.23	1.67	0.17	0.0	0.04	0.1	0.0	0.73	0.5	0.54	0.29	0.51	0.0	0.0	0.04	0.16	0.23	0.98	0.16	0.0	0.0	0.18	0.01	0.04	0.06	0.16	0.0	0.08	0.25	0.13
Srgap3	0.0	86.38	72.51	27.9	0.0	6.26	9.41	61.0	36.09	11.0	14.3	16.65	11.08	0.13	0.26	0.0	35.62	217.99	86.56	36.09	0.0	7.27	35.83	53.1	34.08	3.3	11.48	46.86	121.23	113.19	124.22
Srm	0.0	91.04	47.32	258.37	0.0	8.01	93.79	5.54	18.26	4.9	15.99	78.03	3.38	0.0	0.0	0.0	0.0	295.05	7.92	0.0	0.0	12.4	0.11	0.05	35.98	0.0	6.59	0.0	77.35	82.32	75.39
Svop	0.0	10.15	174.18	133.67	0.0	0.93	0.16	1.52	10.71	67.83	9.53	0.71	28.46	0.0	0.15	0.0	11.69	27.64	318.58	0.05	0.0	0.0	102.4	103.48	191.03	88.72	38.84	48.93	162.41	167.3	157.31
Tanc2	0.1	46.29	69.99	128.19	1.91	0.54	23.29	16.84	32.73	27.03	16.27	2.44	29.84	0.07	36.03	1.39	229.85	23.06	110.07	33.03	0.17	0.03	9.79	24.04	4.29	24.67	0.52	47.81	57.39	54.13	60.94
Tcf19	0.0	119.84	78.33	0.0	0.0	0.27	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	158.55	0.18	0.0	0.0	0.0	0.0	61.11	0.09	0.0	0.17	51.7	8.99	7.87	6.86
Tle1	0.0	0.22	0.0	22.34	0.0	3.31	0.0	0.05	29.18	0.0	42.69	0.02	0.2	0.0	0.0	0.0	0.0	8.82	69.94	0.24	0.0	0.0	46.53	0.0	8.71	0.0	0.03	20.82	21.48	23.56	22.5
Trak1	0.1	14.85	18.97	3.44	0.0	0.12	0.17	1.24	1.69	4.23	0.21	59.17	26.64	0.0	0.0	0.0	0.49	9.97	7.53	0.01	0.0	1.52	7.97	53.08	2.4	1.54	1.57	31.32	90.13	90.67	87.04
Trim37	0.0	314.57	237.63	221.0	0.0	30.94	2.52	4.43	1.41	39.54	0.04	1.0	11.19	0.0	0.0	0.1	20.81	15.21	7.32	26.23	0.0	4.67	104.47	16.81	98.25	81.79	48.97	44.5	216.02	201.17	202.32
Tsc2	0.0	56.96	29.81	28.34	0.0	0.93	9.54	67.91	29.92	2.71	16.94	2.35	29.02	0.0	0.0	0.0	10.03	104.62	30.11	22.45	0.0	0.0	58.95	17.88	69.27	38.6	38.16	27.77	54.95	54.1	55.36
Ube2j1	0.0	97.45	70.5	27.6	0.0	2.86	2.0	10.0	14.1	2.67	5.75	1.01	0.3	0.0	0.0	0.0	0.0	88.85	30.68	0.0	0.0	0.0	0.96	0.0	17.51	9.03	43.21	8.81	79.49	82.59	77.99
Ubr4	0.0	17.61	75.07	92.76	94.97	9.21	0.82	17.94	7.82	2.68	12.99	0.66	1.04	0.0	0.0	0.11	58.43	0.88	7.85	15.05	0.0	0.0	24.97	4.78	7.85	6.26	2.54	0.92	45.95	42.73	49.32
Usp13	0.0	17.0	0.0	40.6	0.0	0.33	0.04	0.0	0.03	1.1	0.13	0.39	0.64	0.0	0.0	0.0	4.52	0.75	0.0	0.02	0.0	0.0	0.86	1.72	0.52	0.0	11.7	0.0	16.56	14.56	16.81
Zc3h18	0.0	0.0	83.85	0.0	0.0	21.32	0.0	10.84	0.82	0.0	15.38	0.0	8.7	0.0	0.0	16.78	7.23	1.88	0.08	0.0	0.0	0.0	0.0	40.31	0.0	24.58	10.79	0.05	30.0	31.22	31.72
