	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_3	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_8	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_7	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_44	Ntsr1_tdTnegative_cell_54	Rbp4_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_101
Gba2	0.0	52.89	11.33	0.0	0.0	0.0	0.0	106.27	0.0	83.43	0.0	0.0	109.97	0.0	0.0	0.0	68.0	0.0	0.0	104.0	14.5	0.02	0.0	52.61	0.0	21.43	46.15	0.0	43.33	0.47	0.0	0.0	16.72	0.0	0.0	0.0	64.28	15.88	0.0	36.75	37.23	35.68	0.0	0.0	61.52	0.06	33.34	0.0	35.99	22.04	0.0	2.15	0.0	0.0	0.21	155.07	0.0	0.0	0.0	0.0	64.42	34.31	0.26	1.64	8.33	0.0	85.08	0.0	0.0	0.13	0.03
Gnl3l	352.93	197.89	341.03	2.16	205.93	3.01	1.87	480.09	441.04	308.8	579.09	179.01	362.97	4.11	1.34	176.33	333.23	1.54	3.41	322.96	276.51	203.44	477.54	396.49	281.57	293.29	286.06	352.89	309.16	280.53	204.55	345.9	202.41	270.17	234.37	243.51	310.68	251.06	330.91	257.35	251.11	270.81	269.88	360.61	315.52	330.85	301.72	247.46	372.51	308.46	281.07	289.32	76.66	3.25	131.85	336.65	1.93	2.79	63.82	72.05	504.56	406.4	485.25	369.35	328.74	301.04	227.92	431.11	199.65	199.64	222.86
Grk1	3.22	1.8	1.3	0.46	0.18	0.2	0.45	4.37	3.4	0.47	3.03	2.31	1.94	3.78	0.5	0.58	3.1	0.0	4.14	0.48	0.89	1.53	1.86	2.01	0.88	0.88	1.59	1.72	3.99	1.34	0.99	2.05	3.87	2.26	1.1	0.94	2.95	3.47	1.48	2.67	1.29	2.71	2.2	4.83	0.22	1.9	1.12	3.59	3.12	3.27	2.58	1.7	0.1	4.46	0.4	1.76	0.29	0.7	0.0	0.0	1.33	1.74	1.81	2.6	1.38	2.77	5.49	4.71	2.05	1.78	0.34
Hcn1	3.27	7.68	0.07	0.0	0.0	0.0	0.0	27.77	8.07	59.62	0.11	0.0	20.83	0.0	0.0	0.0	26.12	0.0	0.0	4.32	0.09	3.76	9.74	7.49	2.92	8.76	18.16	5.02	19.09	2.92	0.15	0.3	0.38	4.57	0.05	0.04	14.19	45.44	0.04	9.25	3.77	2.45	57.56	0.0	0.92	1.56	0.14	0.0	25.86	32.42	22.51	8.27	0.0	0.0	0.05	56.75	0.0	0.0	0.0	0.0	2.93	23.28	0.0	47.11	0.16	4.1	26.62	9.61	9.53	14.18	0.0
Hltf	39.46	45.75	23.93	0.0	1.21	0.47	0.0	160.01	57.42	0.0	92.35	26.4	0.13	0.26	0.11	0.0	0.0	0.0	0.26	45.1	4.46	0.45	0.33	109.13	0.24	0.11	9.43	30.78	29.43	11.63	35.5	33.6	0.56	90.44	0.32	43.41	53.23	0.75	54.39	23.69	6.15	22.19	0.69	63.52	38.89	49.65	0.37	11.37	0.31	0.15	0.44	45.7	0.55	4.1	0.0	55.02	3.68	2.7	0.0	0.0	0.09	49.92	0.22	49.0	2.5	2.68	0.58	60.77	0.12	60.79	48.88
Hnrnpa0	17.7	29.13	57.29	0.0	0.0	0.0	0.0	288.72	59.9	50.54	91.44	0.0	91.15	0.0	0.79	0.0	75.95	0.0	0.0	35.83	35.37	39.79	0.54	57.54	68.11	19.66	31.93	13.87	48.86	58.65	39.54	1.36	12.96	16.09	87.71	31.95	21.91	42.64	41.84	0.12	11.02	72.88	54.48	126.05	67.31	28.91	44.64	27.29	92.29	36.77	4.16	70.67	0.0	0.22	0.0	193.82	6.99	0.0	0.0	0.0	112.97	54.77	40.17	65.52	1.64	15.77	62.95	84.64	24.28	66.89	103.37
Igf1	101.04	73.25	194.17	0.0	0.0	0.0	0.0	639.02	227.46	387.22	284.42	0.27	182.65	0.0	0.0	0.0	254.43	0.0	0.08	76.23	168.18	164.12	24.31	65.22	241.2	135.21	45.54	40.8	119.61	78.16	57.16	79.49	41.82	17.48	66.68	96.75	34.23	285.95	137.8	40.17	87.74	20.05	67.02	93.66	172.71	25.04	49.51	57.68	82.02	50.12	17.66	61.64	0.0	0.0	0.0	92.44	0.0	0.0	0.0	0.0	56.42	73.34	47.57	211.33	127.63	42.03	197.17	25.89	35.53	117.81	80.02
Mal2	0.0	94.68	320.08	0.0	0.0	0.0	0.0	339.91	79.76	276.17	123.71	0.0	7.25	0.0	0.0	0.0	262.48	0.0	0.0	115.22	18.6	44.98	40.27	6.35	13.09	0.07	151.98	89.74	48.42	57.88	73.08	49.6	72.72	1.6	86.02	0.1	0.0	19.07	0.0	21.85	35.5	53.21	0.0	0.0	107.69	0.3	22.32	0.0	4.24	10.93	83.63	1.42	0.2	0.0	0.0	7.13	0.0	0.0	0.0	0.0	40.38	3.94	34.62	366.24	10.15	67.33	0.0	50.54	112.78	2.35	75.56
Mrps7	55.42	55.52	26.71	0.0	0.28	0.0	0.0	252.48	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	87.45	0.0	0.0	55.97	0.57	83.27	56.8	86.75	49.88	33.78	26.58	62.64	59.41	87.96	1.2	0.63	92.64	53.63	0.33	55.26	33.64	201.83	54.5	54.53	38.76	137.49	23.68	236.98	53.0	0.0	4.73	76.13	63.87	0.0	27.82	0.19	0.0	0.0	0.26	82.81	0.0	0.0	0.0	0.0	34.55	114.86	60.32	0.0	44.64	71.59	0.0	276.95	0.0	141.36	9.21
Ncdn	10.67	70.08	59.28	0.0	0.0	0.0	0.0	150.43	10.42	119.06	10.31	0.0	49.93	0.0	0.0	0.0	37.29	0.0	0.0	12.84	2.47	2.1	11.45	2.64	2.9	5.7	32.78	2.0	32.07	21.1	15.81	33.74	12.4	32.93	0.92	12.4	23.1	18.67	17.83	7.63	14.04	30.68	21.1	17.46	5.27	33.01	16.28	0.0	9.92	11.19	5.61	17.85	0.0	3.2	0.0	143.22	0.0	0.0	0.0	0.0	11.93	42.78	7.25	22.26	12.3	16.75	19.84	57.42	0.82	3.01	18.35
Npy	138375.8	173305.25	115124.65	0.0	0.0	0.0	0.0	43922.94	108594.8	82245.2	6792.77	14635.6	125016.83	0.0	0.0	0.0	80627.8	0.0	0.0	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	98464.67	102118.34	130527.91	173863.58	73168.9	126989.03	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	0.0	0.0	0.0	24726.66	0.0	0.0	0.0	0.0	145032.54	13964.96	180453.32	48343.46	128781.07	137945.15	35571.91	32250.58	137580.94	65503.76	120620.2
Pigf	53.66	0.0	64.33	0.0	0.0	0.0	0.0	302.27	60.64	2.39	95.09	0.0	3.21	0.0	0.0	0.0	160.61	0.0	0.0	32.85	3.64	0.17	97.55	67.21	0.14	0.22	0.24	19.69	0.0	0.0	26.33	7.31	33.92	0.0	0.0	92.61	55.97	191.17	0.0	0.0	103.71	57.17	5.64	0.0	0.0	52.93	0.0	127.17	0.0	0.0	0.25	68.39	0.0	0.0	0.0	182.59	0.0	0.0	370.27	0.0	56.88	42.78	0.0	52.85	0.0	79.76	0.0	150.15	36.39	0.0	150.35
Ppfia2	12.59	6.83	49.53	0.08	0.0	0.0	0.0	63.52	6.59	19.36	24.33	0.0	47.3	0.0	0.0	0.0	43.59	0.0	0.0	1.74	1.97	0.18	0.07	11.12	7.85	18.99	42.66	12.03	14.13	6.52	16.56	14.36	22.78	0.97	7.42	0.88	0.0	13.91	30.53	44.05	48.98	54.95	27.72	60.29	1.37	16.55	12.54	0.72	17.48	11.55	13.22	16.05	0.0	0.0	0.0	71.5	0.0	0.0	0.0	0.0	14.95	50.32	8.68	14.31	33.6	35.8	17.32	21.97	4.03	23.69	0.06
Rab3a	125.32	203.31	352.77	0.0	0.0	0.0	0.0	105.53	167.16	1386.25	321.23	0.0	283.96	0.0	0.0	0.0	213.84	0.0	0.0	296.03	267.67	72.42	202.87	240.62	160.74	217.99	128.36	425.92	142.12	471.84	484.93	593.28	269.64	152.36	144.17	110.88	232.98	406.57	210.0	102.44	115.19	151.7	376.82	195.59	85.51	297.25	131.87	113.91	41.47	77.81	90.2	115.22	0.79	0.0	0.27	630.78	0.0	0.0	0.0	0.0	210.88	162.07	102.26	331.18	493.75	216.1	988.09	472.71	10.5	188.58	265.02
Rad23b	31.73	1.25	1.66	0.0	0.0	0.0	0.12	69.95	10.46	15.12	31.54	3.08	0.0	0.0	0.0	0.0	4.37	0.0	0.0	5.21	3.45	6.54	1.37	12.19	8.41	24.63	16.51	0.94	0.24	4.6	6.68	6.97	3.54	20.81	10.11	1.17	7.39	21.21	3.79	0.25	9.5	1.06	28.03	11.35	1.13	1.74	2.32	11.22	0.0	11.81	12.48	0.0	0.0	0.0	0.0	28.16	0.0	0.0	0.0	0.0	12.25	8.1	10.74	51.12	0.0	11.36	2.24	0.6	0.24	4.62	1.53
Rbfox3	8.5	8.63	12.26	0.0	0.0	0.0	0.0	97.77	0.5	123.55	12.33	0.0	88.65	0.0	0.0	0.0	24.33	0.0	0.0	5.19	4.87	2.52	0.04	0.11	0.47	2.04	12.3	11.2	20.78	26.2	2.19	11.02	15.92	17.77	11.71	2.52	6.44	55.22	0.0	0.0	0.08	3.83	12.14	0.31	6.01	1.18	5.12	0.39	6.36	3.65	4.76	0.09	0.0	0.0	0.0	39.7	0.06	0.0	0.0	0.0	15.42	37.11	14.91	5.72	24.95	13.57	7.4	17.0	0.2	6.81	5.28
Rufy3	113.03	187.21	203.88	0.13	0.0	0.0	0.54	132.17	302.96	223.14	370.72	122.32	329.79	0.0	0.0	0.0	280.36	0.0	0.0	137.18	87.88	117.27	74.84	238.1	196.14	124.12	167.64	253.09	74.92	128.06	160.98	169.73	241.34	155.84	62.45	132.01	157.23	211.53	73.62	144.26	86.56	64.52	203.18	26.89	166.08	173.36	141.61	82.56	202.92	88.11	118.4	191.72	0.0	0.0	0.0	244.59	0.1	0.0	0.0	15.6	74.99	275.73	76.54	164.74	131.31	155.03	131.97	177.92	109.32	156.51	195.11
Sh3yl1	17.55	0.0	66.2	0.0	0.0	0.0	0.0	152.18	66.37	0.0	68.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.35	78.69	20.09	65.62	0.1	0.16	0.0	26.32	30.24	42.12	20.73	0.0	45.82	67.07	0.0	66.19	0.0	0.0	82.4	46.91	0.0	39.59	0.0	0.0	41.31	0.0	63.75	0.0	35.45	83.62	63.36	39.81	0.0	0.0	0.0	0.0	23.59	0.0	0.0	0.0	0.0	0.0	0.4	0.0	50.48	4.96	21.27	0.0	105.73	43.95	49.24	48.58
Sncb	91.79	153.5	114.6	0.0	0.0	0.0	0.0	98.48	181.79	337.89	59.3	0.0	152.92	0.0	0.0	0.0	131.95	0.0	0.0	67.27	27.76	33.72	45.64	95.5	180.51	75.12	84.41	34.63	84.76	102.58	116.83	96.45	164.86	133.76	97.77	41.38	71.22	75.75	56.1	41.09	82.07	62.85	147.09	37.03	41.86	97.76	65.48	89.21	23.57	68.54	41.13	61.78	0.0	0.0	0.0	190.53	0.0	0.0	0.0	0.0	176.44	164.47	114.28	171.03	151.74	115.76	202.96	120.12	97.47	117.15	160.29
Snord116	0.0	6.02	14.63	0.0	0.0	0.0	0.0	4.41	8.56	6.5	7.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.94	3.3	1.42	3.17	8.88	14.34	12.85	2.97	4.45	14.05	2.5	7.02	3.68	2.82	2.94	11.3	0.0	7.38	9.65	0.0	6.1	0.0	4.03	15.73	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.13	2.3	0.0	0.0	0.0	3.94	0.0	0.0	0.0	0.0	9.0	6.26	0.0	3.15	7.66	12.13	10.48	0.0	14.21	8.48	5.74
Snord116l1	0.0	6.02	14.63	0.0	0.0	0.0	0.0	4.41	8.56	6.5	7.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.94	3.3	1.42	3.17	8.88	14.34	12.85	2.97	4.45	14.05	2.5	7.02	3.68	2.82	2.94	11.3	0.0	7.38	9.65	0.0	6.1	0.0	4.03	15.73	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.13	2.3	0.0	0.0	0.0	3.94	0.0	0.0	0.0	0.0	9.0	6.26	0.0	3.15	7.66	12.13	10.48	0.0	14.21	8.48	5.74
Snord116l2	0.0	6.02	14.63	0.0	0.0	0.0	0.0	4.41	8.56	6.5	7.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.94	3.3	1.42	3.17	8.88	14.34	12.85	2.97	4.45	14.05	2.5	7.02	3.68	2.82	2.94	11.3	0.0	7.38	9.65	0.0	6.1	0.0	4.03	15.73	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.13	2.3	0.0	0.0	0.0	3.94	0.0	0.0	0.0	0.0	9.0	6.26	0.0	3.15	7.66	12.13	10.48	0.0	14.21	8.48	5.74
Snx10	290.31	221.44	362.49	0.0	0.0	0.0	0.0	405.53	611.88	626.82	430.05	153.99	542.18	0.14	0.0	0.0	372.11	0.0	0.0	329.91	236.71	164.57	93.06	216.15	244.27	326.96	531.8	303.8	192.14	378.03	307.0	231.32	350.08	212.65	204.74	388.84	195.36	152.96	308.26	255.08	506.42	274.11	577.21	21.08	134.07	299.88	116.77	200.35	153.61	190.88	266.93	199.56	0.0	0.0	0.0	555.59	52.8	0.0	0.0	0.0	514.26	310.3	268.26	380.86	211.89	211.76	133.48	330.52	315.09	411.73	358.06
Ssx2ip	0.0	51.62	0.08	0.0	0.0	0.0	0.0	102.34	48.83	0.0	0.36	0.0	53.95	0.0	0.0	0.0	49.63	0.0	0.0	29.84	0.0	0.02	50.8	34.56	0.04	0.06	0.0	15.3	0.0	0.0	0.34	32.95	1.66	0.0	30.86	0.0	5.4	22.0	38.64	0.0	0.0	0.0	7.15	0.0	0.07	0.18	34.3	50.37	0.95	0.0	0.0	6.31	0.0	0.0	0.0	38.52	0.0	0.0	0.0	0.0	0.0	12.57	0.0	0.0	2.13	0.0	33.09	0.53	0.09	0.27	0.08
Tbccd1	0.47	0.0	0.0	0.0	0.0	0.0	0.0	113.51	0.0	72.35	7.18	0.0	0.0	0.0	0.0	0.0	73.88	0.0	0.0	0.06	0.0	0.03	0.0	0.0	0.05	0.04	0.08	0.0	0.0	1.02	0.0	2.55	15.3	0.0	0.0	10.94	0.0	0.57	0.0	0.0	40.82	45.43	0.0	0.07	2.74	0.0	0.0	0.0	0.0	0.0	30.25	10.7	0.0	0.0	0.0	44.28	0.0	0.19	0.0	0.0	27.05	33.12	0.0	0.23	1.3	0.0	0.0	0.07	30.59	47.99	0.0
Th1l	38.37	0.3	0.0	0.22	0.0	0.0	0.0	250.26	85.54	149.52	62.94	0.0	0.22	0.0	0.0	0.0	253.32	0.0	0.0	40.65	88.29	41.2	73.06	0.07	0.0	45.16	35.85	0.0	180.16	48.57	43.07	0.0	33.45	14.79	73.63	0.0	68.03	0.0	0.0	0.14	89.95	54.56	0.0	0.0	25.46	0.0	104.1	20.74	0.12	39.76	44.4	43.07	0.0	0.0	0.0	61.81	0.08	0.0	0.0	0.0	39.27	0.0	0.0	45.86	0.0	62.05	0.17	79.1	0.13	118.78	9.86
Tspyl5	76.14	57.83	83.49	0.0	0.0	0.0	0.0	175.67	117.31	183.92	228.72	0.0	123.34	0.0	0.0	0.0	17.78	0.0	0.0	50.13	16.55	60.13	117.84	59.32	72.91	104.51	59.44	67.82	78.68	40.62	28.35	33.27	50.9	15.53	76.97	32.9	39.46	77.47	62.12	56.37	51.14	38.75	119.71	70.01	53.47	40.72	44.61	11.51	102.15	66.48	60.75	63.77	0.0	0.0	0.0	187.62	0.0	0.0	0.0	0.0	113.7	104.47	31.22	238.34	56.06	110.07	85.55	221.98	48.16	125.2	126.58
Wdr45	105.8	87.35	72.08	0.0	0.0	0.0	0.0	192.08	8.66	0.0	0.27	51.76	0.65	0.0	0.0	0.0	0.0	0.0	0.0	0.11	38.28	0.05	8.12	70.81	6.47	0.13	0.0	67.99	48.41	34.11	39.46	32.02	54.78	58.51	50.94	55.81	4.03	215.28	60.47	3.77	1.24	65.46	4.04	220.65	184.01	56.64	18.62	0.19	52.13	35.26	0.0	52.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74	32.1	0.0	53.03	75.27	93.41	40.53	275.61	0.0	37.79	0.06
Zfp426	33.19	0.0	2.3	0.0	0.0	0.0	0.0	164.63	0.0	4.41	0.36	7.72	33.28	0.0	0.0	0.0	7.02	0.0	0.0	0.0	0.0	2.09	0.0	2.03	0.0	0.09	0.0	35.81	0.0	18.78	0.24	0.0	23.83	0.0	0.0	44.32	0.0	0.08	18.39	0.0	48.77	0.0	68.3	0.0	1.5	71.33	0.08	0.0	0.0	3.43	0.0	0.0	0.0	0.0	0.0	28.94	0.0	0.0	0.0	0.0	0.0	0.1	37.98	7.34	15.21	0.06	74.36	3.09	0.08	0.58	1.16
