	Cux2_tdTnegative_cell_4	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_32	Ntsr1_tdTnegative_cell_44	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_18	Scnn1a.Tg3_tdTpositive_cell_105	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_23	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Lao1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Larp6	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.07	0.0	0.0	0.0	0.0	2.34	5.14	39.53	42.88	38.58
Lpar2	0.0	0.0	0.05	0.0	0.0	0.0	0.01	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.66	0.62	0.44
Mamld1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	4.17	8.37	20.1	17.18	21.25
Mir3077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mmp20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mrs2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	36.18	30.69	36.01
Narf	0.0	166.47	0.5	0.4	176.93	0.0	9.84	0.0	0.67	1.27	0.16	0.0	0.28	41.11	31.66	36.27	35.36	33.51
Ncaph2	0.0	0.15	0.17	0.88	124.3	29.74	0.0	0.19	0.0	167.4	0.0	0.0	1.21	35.88	30.84	74.69	76.35	72.7
Nell1	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.53	1.36	46.32	44.37	43.6
Nfkbid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.3	0.87	4.54	3.44	3.51
Nhedc1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.33	0.14
Nrbp1	0.0	420.58	0.0	0.27	0.0	0.0	78.08	0.0	0.29	0.0	0.33	0.24	0.0	62.13	49.51	74.05	81.21	76.58
Opn3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.53	7.57	7.29	7.9	8.12
Pcdhb9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.23	17.4	11.11	11.96	10.34
Pla2g2f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.31	0.25
Plk5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.42	2.81	23.45	23.2	23.16
Prep	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.34	6.26	24.42	24.58	24.43
Prickle1	0.0	0.0	137.12	0.56	342.85	40.35	2.83	0.15	23.57	57.94	0.0	0.12	7.66	46.26	40.09	60.79	60.05	57.48
Rbm46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.26	0.23
Rft1	0.0	0.24	0.62	1.4	0.66	0.33	0.94	0.26	1.55	0.94	0.0	1.67	0.51	12.68	6.8	13.89	11.62	14.7
Rgs22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.55	0.48
Rlim	0.0	0.0	16.19	0.31	4.57	4.54	0.0	0.0	0.01	0.0	0.0	0.0	0.0	24.06	19.58	21.51	20.23	20.18
Sec23a	0.0	0.0	24.37	0.28	0.29	0.0	0.0	0.0	205.86	0.0	170.64	0.0	0.0	120.84	101.38	77.89	76.58	68.8
Sfr1	0.0	0.0	0.0	3.73	495.66	0.0	0.32	8.72	10.41	0.0	56.6	152.94	0.0	267.78	237.39	118.8	124.96	113.7
Sfxn3	0.0	0.53	1.45	3.15	1.44	0.12	1.54	1.41	4.66	0.34	0.78	0.0	1.05	187.7	189.87	106.95	108.33	106.28
Snx24	0.0	0.0	54.28	0.0	0.0	0.0	0.0	405.5	0.0	0.0	0.0	0.0	0.0	16.65	35.03	13.72	14.81	12.96
Spop	0.0	16.04	0.0	2.42	0.28	0.0	25.73	0.0	146.41	514.06	0.0	0.0	265.84	346.08	283.8	147.78	141.77	148.44
Sstr5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61	0.41	0.24
Synm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	1.97	0.08	17.85	18.2	19.38
Tas2r137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1
Tbc1d12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.91	2.29	10.06	9.47	9.5
Tceal6	0.0	0.0	0.0	0.54	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	26.97	25.65	120.76	130.38	124.57
Thrap3	0.0	0.0	0.0	0.0	0.28	5.34	41.94	0.0	56.72	55.93	10.83	0.0	11.4	36.96	31.05	80.29	76.35	78.28
Tmem141	0.0	0.0	0.0	0.0	0.53	0.0	0.0	462.25	0.09	0.0	0.0	0.0	0.0	19.68	41.14	29.98	30.09	30.06
Tmem177	0.0	0.0	0.0	0.53	29.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.51	21.65	6.94	6.54	6.54
Tpd52	0.0	0.0	0.0	16.92	0.18	0.0	0.44	11.36	3.76	0.0	0.0	46.98	0.0	153.3	124.19	74.98	75.6	75.45
Tpp2	0.0	0.0	0.0	16.24	0.17	0.08	0.0	0.0	0.11	351.97	0.0	0.0	0.0	46.74	29.02	37.78	35.33	35.16
Trmt61b	0.0	0.0	0.0	0.98	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.9	21.87	14.23	15.85	12.85
Ttc39d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.63	0.0	0.05	0.05	0.05
Vps13b	0.0	0.0	0.0	0.09	1.41	0.0	0.02	0.0	1.93	0.04	0.0	0.0	0.0	5.44	5.82	18.49	16.74	18.73
Zp3r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
c8_tRNA-Ala-GCA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.31	0.0	0.0	0.0	0.0	39.88	3.71	19.03	24.91	37.5
