	Calb2_tdTpositive_cell_15	Calb2_tdTpositive_cell_22	Chrna2_tdTpositive_cell_61	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_1	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_6	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_46	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_73	Htr3a_tdTpositive_cell_13	Htr3a_tdTpositive_cell_25	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_65	Htr3a_tdTpositive_cell_90	Htr3a_tdTpositive_cell_103	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Ndnf_tdTpositive_cell_8	Ndnf_tdTpositive_cell_20	Ntsr1_tdTnegative_cell_28	Scnn1a.Tg2_tdTpositive_cell_21	Vip_tdTpositive_cell_3	Vip_tdTpositive_cell_15	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_23
Cnpy4	0.11	0.0	3.4	0.0	0.0	0.0	0.0	0.0	0.0	168.42	78.19	0.0	285.47	64.21	0.0	523.68	0.0	0.0	0.0	314.1	0.0	54.28	139.51	37.64	0.35	0.0	18.88	476.0	0.0	362.72	109.97	4.04
Cnr1	5009.66	10009.06	14271.7	0.07	0.06	0.0	155.35	14712.45	18446.25	9089.03	33283.94	19184.04	6610.37	19801.43	16437.47	3047.63	6746.03	17862.67	19681.78	7913.61	17646.7	12520.63	22064.64	33041.05	0.05	0.0	0.0	4931.9	12766.46	14288.55	25768.68	23267.78
Cstb	215.11	172.54	151.08	210.2	0.0	0.0	1961.6	183.39	232.02	70.63	195.47	128.54	0.94	171.37	213.21	1001.92	454.92	303.58	292.81	308.07	0.0	200.79	365.62	180.94	0.0	0.0	1.22	877.46	327.22	0.0	267.24	393.73
Dab1	3.85	63.31	35.86	0.0	0.0	0.0	0.0	0.0	57.38	56.14	29.22	43.64	32.02	73.27	77.65	94.52	181.98	3.73	39.87	235.68	0.0	58.06	58.26	31.9	0.0	0.0	0.0	194.4	0.0	11.97	5.0	0.0
Dcaf13	0.0	0.0	5.06	0.0	0.0	0.0	0.0	0.0	248.41	0.0	129.29	179.67	0.0	133.83	28.94	548.28	133.44	1.51	0.0	319.12	0.0	140.51	79.99	135.91	0.0	0.0	0.45	472.04	0.0	211.04	0.0	0.0
Dctn6	0.41	134.78	192.3	0.0	0.0	0.43	0.0	374.61	266.81	130.98	556.89	298.01	0.0	0.0	395.51	2111.62	165.99	285.82	173.13	1373.98	336.06	393.56	502.59	345.61	8.98	0.0	0.0	0.0	117.12	290.05	694.63	37.52
Dcun1d1	217.69	75.21	36.2	0.0	0.07	0.0	0.0	16.57	72.21	159.96	80.43	157.74	35.92	70.09	103.41	380.69	136.62	25.07	227.49	385.27	152.02	88.4	153.48	29.95	0.0	0.0	0.15	287.24	0.0	86.56	139.43	28.3
Dlx5	38.15	2.79	130.62	0.0	0.0	0.0	0.0	128.97	246.72	241.14	143.61	9.46	0.4	191.87	0.0	334.53	260.54	11.63	151.36	614.33	18.55	108.44	148.64	182.27	0.0	0.0	0.0	178.74	12.49	340.65	271.17	6.72
E2f8	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.08	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eif1b	0.22	192.96	269.7	0.0	0.0	0.0	0.0	155.27	228.22	170.1	129.95	54.05	224.8	181.38	453.5	301.7	26.93	0.0	155.5	379.7	258.25	132.16	150.64	360.67	0.0	0.0	0.0	295.38	215.27	246.28	173.86	1.35
Eif4h	3.54	46.86	123.14	0.17	0.0	0.0	0.0	0.15	93.22	3.05	22.65	40.58	0.22	0.83	58.53	275.37	92.65	15.67	14.12	228.15	0.0	65.97	12.68	40.64	99.43	0.0	0.28	302.85	38.22	200.05	14.18	81.76
Galnt13	0.17	22.6	0.11	0.0	0.0	0.0	0.0	0.07	9.84	48.23	0.0	30.69	97.95	0.0	18.46	43.56	17.87	0.0	0.18	138.93	0.11	10.07	0.0	15.91	0.0	0.0	0.29	0.0	0.0	63.0	16.54	8.52
Gm11127	52.56	48.08	19.49	0.0	0.0	0.62	0.0	24.75	48.89	37.34	35.41	58.77	155.89	78.75	49.28	179.16	114.64	28.49	85.71	25.98	0.23	67.01	12.78	12.66	0.97	0.0	0.0	17.12	13.85	1.78	61.72	21.39
Gm4262	27.31	20.5	15.78	2.28	0.3	2.95	0.0	7.18	17.73	5.51	11.78	25.78	40.62	18.52	17.1	78.63	58.36	13.71	24.62	12.96	5.3	17.25	9.71	8.4	0.0	0.0	4.75	21.7	10.37	1.31	13.25	15.78
Gpc1	25.22	27.52	38.54	0.0	0.0	0.0	42.06	0.0	75.01	38.33	32.91	36.36	45.58	31.52	60.55	210.3	55.07	34.63	14.57	48.99	28.71	48.49	36.54	41.65	0.0	0.0	0.0	91.91	69.91	85.39	50.71	20.04
Hsdl2	0.0	0.0	17.19	0.0	0.0	0.0	700.24	0.0	7.65	0.0	0.0	15.06	0.0	0.0	0.0	0.13	10.12	17.04	0.0	65.12	0.0	20.36	33.18	30.43	0.0	0.0	0.0	47.84	25.43	49.78	31.65	4.23
Hsf2	37.6	46.25	91.93	0.0	0.0	0.0	0.0	92.58	112.54	44.63	50.18	30.61	50.07	15.51	44.06	129.61	81.55	57.38	106.93	147.98	66.62	47.43	87.88	68.58	0.0	0.0	4.14	164.35	0.0	134.43	31.0	17.34
Lamp3	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.11	0.11	1.02	0.15	0.0	0.0	0.18	0.2	0.94	0.28	0.2	0.13	0.85	0.0	0.09	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.73	0.0	0.24
Magi1	99.66	20.87	57.9	0.0	0.0	0.0	0.0	39.09	28.55	47.72	17.26	4.95	68.04	32.2	92.11	159.18	77.44	9.1	19.67	86.15	17.12	7.77	47.52	10.73	0.0	0.0	0.0	64.24	11.01	31.57	27.53	41.77
Malt1	4.02	3.87	3.51	8.01	0.2	1.23	0.07	2.39	1.51	3.08	2.12	1.66	2.08	4.05	3.26	189.19	38.76	1.82	2.43	3.57	1.93	1.27	0.7	0.76	0.71	0.0	3.23	197.57	3.0	1.16	2.1	1.64
Mphosph8	31.18	125.42	98.98	0.0	0.0	0.0	0.0	55.6	76.35	71.86	44.19	19.17	123.35	39.59	26.62	243.56	130.05	55.82	31.9	78.74	22.58	18.4	62.76	39.28	0.0	0.0	11.81	36.82	0.0	56.89	15.05	37.21
Mtx3	0.0	0.07	16.49	0.0	0.0	0.0	0.0	0.07	16.27	0.0	0.0	0.0	0.0	0.0	0.11	146.16	0.1	2.32	0.0	0.0	0.04	0.0	0.0	0.25	0.0	0.0	0.0	160.36	0.1	0.0	0.0	0.0
Narf	0.0	61.19	35.65	0.86	0.0	0.0	0.0	0.0	19.5	0.19	29.9	35.23	0.13	0.04	64.63	0.0	57.06	25.13	63.77	221.24	0.0	18.97	5.75	41.06	0.0	0.0	0.0	209.94	0.14	108.04	211.02	64.78
Nfasc	0.02	5.08	0.76	0.0	0.0	0.0	0.0	47.59	0.16	5.58	10.03	0.0	0.0	0.05	31.78	93.08	0.0	25.08	0.0	50.24	0.0	20.4	12.24	6.24	0.0	0.0	0.0	59.83	43.49	0.03	5.99	26.91
Nsg1	675.52	242.95	252.47	0.0	0.0	0.0	0.0	271.86	264.2	338.16	267.86	215.82	0.98	147.28	349.96	677.07	281.43	351.08	457.1	738.72	231.48	204.86	579.29	310.92	0.0	0.0	0.0	663.06	251.97	409.76	397.16	80.24
Pphln1	1.81	87.12	32.6	1.45	0.0	0.16	0.0	2.13	0.38	7.85	26.15	2.12	0.63	10.82	49.13	112.13	26.92	72.1	28.29	19.65	8.12	19.49	51.11	14.64	0.3	0.0	0.52	27.39	1.38	1.06	0.98	13.69
Ppp1r9a	130.08	16.08	45.06	0.0	0.05	0.0	0.0	0.0	12.07	0.13	0.33	4.08	34.98	39.4	38.12	105.35	106.63	10.16	0.18	35.58	28.59	14.73	13.76	18.9	0.06	0.0	0.0	116.3	26.83	0.0	22.69	63.95
Psd	12.43	8.04	19.53	0.0	0.0	0.0	0.0	8.28	21.37	14.62	5.51	6.53	0.4	21.47	21.57	46.54	27.1	8.58	12.57	56.61	19.12	8.71	16.92	12.93	0.0	0.0	0.0	19.85	0.0	15.09	15.25	16.32
Ptprs	190.95	147.54	170.89	0.0	78.43	0.07	34.77	107.26	139.84	94.66	64.0	143.04	293.38	139.59	147.95	421.16	372.86	168.52	167.55	212.97	35.31	126.09	118.26	84.09	0.0	0.0	0.24	282.44	81.79	195.38	139.07	112.75
Rabggta	6.31	7.03	67.89	9.88	5.9	2.87	3.11	132.29	4.6	188.66	70.16	246.91	20.52	195.95	11.31	309.54	44.74	19.77	9.95	31.24	218.73	46.59	61.68	62.37	15.86	0.0	29.89	317.9	10.87	178.06	6.74	67.34
Rbms3	0.0	84.85	45.08	0.0	0.0	0.0	0.0	10.66	34.03	88.5	25.85	78.97	28.47	94.16	4.01	161.32	163.45	86.47	39.29	197.23	53.63	11.77	21.77	34.32	0.0	0.0	0.0	0.82	93.77	66.56	58.17	9.87
Robo2	12.52	0.0	20.09	0.0	0.0	0.0	0.0	0.41	16.5	52.83	28.77	0.0	2.68	19.8	71.39	99.91	59.19	47.21	0.43	98.87	6.92	0.0	24.39	17.34	0.0	0.0	0.0	1.58	17.03	37.37	56.66	5.81
S1pr4	0.13	0.42	0.14	0.0	0.0	0.0	0.0	0.13	0.0	0.73	0.0	0.08	0.33	0.42	0.14	2.16	0.67	0.0	0.0	0.62	0.0	0.0	0.28	0.13	0.0	0.0	0.0	0.28	0.0	0.14	0.05	0.0
Slitrk5	0.04	0.0	0.08	0.0	0.0	0.0	0.0	0.0	9.61	23.57	5.42	0.04	0.0	3.78	0.0	94.84	62.9	22.84	0.0	63.6	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	6.15	6.42	0.0
Snrnp48	0.11	0.0	26.67	0.0	0.0	0.0	0.0	0.0	5.47	51.98	21.13	0.0	0.0	0.0	0.0	74.05	103.6	0.0	8.46	114.41	0.0	27.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.6	0.0
Sprr2a1	0.06	0.06	0.05	0.0	0.0	0.0	0.0	0.44	0.1	1.01	0.0	0.03	0.51	0.07	0.42	1.85	1.1	0.0	0.0	0.21	0.04	0.0	0.1	0.0	0.04	0.0	0.0	1.49	0.17	0.0	0.14	0.0
Sprr2a2	0.06	0.06	0.05	0.0	0.0	0.0	0.0	0.44	0.1	1.01	0.0	0.03	0.51	0.07	0.42	1.85	1.1	0.0	0.0	0.21	0.04	0.0	0.1	0.0	0.04	0.0	0.0	1.49	0.17	0.0	0.14	0.0
Sub1	518.57	243.7	403.41	68.83	4.34	299.22	284.39	445.57	714.18	465.92	634.37	609.71	1592.14	584.59	801.15	2128.62	745.18	663.0	437.19	519.89	847.48	482.7	274.29	579.99	146.09	502.18	103.95	1354.91	536.46	399.69	791.76	498.31
Tbce	181.76	167.49	0.1	0.0	0.0	0.0	0.0	0.0	133.54	150.22	55.03	0.0	0.0	95.71	33.72	441.19	606.99	58.72	4.4	68.84	0.0	11.51	57.48	89.36	0.0	218.18	0.0	355.13	15.64	18.84	93.64	32.88
Tmem206	10.72	44.23	39.02	21.44	2.47	28.1	5.65	11.4	5.03	28.58	7.07	7.29	10.52	3.25	66.28	310.78	28.68	19.96	5.28	10.37	6.98	26.53	60.63	0.91	5.41	0.0	16.17	263.6	9.88	5.71	8.19	2.48
Tmx3	0.08	40.69	18.07	0.0	0.07	0.0	49.31	28.54	77.76	89.72	48.67	46.24	0.0	73.62	100.46	253.06	62.19	217.54	141.06	220.56	0.06	140.53	134.7	64.74	18.21	0.0	1.02	185.35	35.09	0.06	164.16	72.76
Tomm20	0.08	0.09	36.11	0.0	0.0	0.0	0.0	5.72	4.52	35.75	10.75	27.76	13.96	5.02	48.66	81.23	27.56	3.44	0.0	56.61	4.27	20.78	4.45	11.62	0.0	0.0	0.0	132.64	37.9	0.0	18.09	1.49
Use1	0.23	114.08	303.84	824.11	0.0	0.0	0.0	123.06	151.39	162.23	64.68	159.62	0.0	174.44	215.67	208.53	278.8	220.3	146.72	185.25	0.0	140.37	218.51	145.5	0.0	0.0	0.0	260.88	141.64	0.0	79.45	168.58
Zbtb16	124.39	120.74	103.81	0.0	0.07	0.31	0.0	138.78	51.1	21.29	15.76	121.81	83.28	218.21	112.04	430.49	4.53	0.0	101.44	188.87	102.36	151.55	113.54	0.81	0.0	0.0	0.0	323.67	174.27	224.45	73.32	99.72
Zfand5	0.05	7.28	21.27	0.0	0.0	26.51	0.09	28.17	4.08	8.82	34.48	30.6	5.43	0.0	47.08	139.42	0.0	74.37	0.53	107.65	0.0	12.85	14.53	18.05	107.38	0.0	0.09	138.48	14.19	47.02	5.92	1.16
Zfp142	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.78	0.1	68.43	1.75	1.09	3.71	0.0	4.46	120.2	3.33	0.04	0.0	79.18	49.44	0.04	0.28	16.6	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0
Zfp937	43.77	10.82	16.33	0.1	0.04	0.06	0.0	6.26	47.46	6.95	24.35	6.36	7.36	22.14	12.96	44.9	18.2	11.61	15.04	95.29	7.71	8.66	30.43	6.57	1.7	0.0	1.58	16.61	7.14	19.79	10.44	4.92
Znhit3	0.4	0.0	335.61	0.0	0.0	0.0	0.0	12.5	172.19	160.71	82.44	295.28	329.54	367.81	326.91	289.5	357.75	137.34	0.0	490.52	388.39	353.79	254.56	203.88	0.0	0.0	0.0	779.77	263.53	8.93	473.13	218.8
