	Calb2_tdTpositive_cell_9	Calb2_tdTpositive_cell_23	Ndnf_tdTnegative_cell_9	Scnn1a.Tg2_tdTpositive_cell_1	CAV_LP_Ipsi_tdTpos_cell_27	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Pmp2	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.15
Ppp1r14c	0.0	0.0	0.0	3.97	0.0	15.05	17.27	14.84
Prpf18	4.21	5.75	8.07	17.33	1.68	37.92	36.84	33.9
Ptx4	0.0	0.0	0.0	0.0	0.0	0.07	0.18	0.07
Rasa4	0.0	0.0	0.0	0.0	0.0	5.56	5.17	4.58
Rhob	57.81	0.0	26.89	28.51	0.0	253.17	316.35	282.35
Rnf133	0.0	0.0	0.0	0.0	0.0	0.08	0.14	0.08
Rpl13a	377.6	63.3	65.85	100.33	396.42	526.31	608.05	570.37
Rps6kl1	0.0	212.74	0.0	16.19	0.12	33.83	39.84	33.92
Rtp1	0.0	0.0	0.0	0.0	0.0	0.16	0.33	0.16
Sh3gl1	0.0	0.0	0.0	0.0	0.0	40.28	38.6	36.09
Ski	6.24	7.25	23.74	0.0	27.47	82.09	84.19	83.95
Slc12a9	0.0	0.0	0.0	0.0	0.09	21.54	25.65	25.1
Slc4a1	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.02
Slc4a5	0.0	0.0	0.0	0.0	0.0	0.04	0.13	0.04
Slco6c1	0.0	0.0	0.0	0.0	0.25	0.04	0.04	0.04
Snord89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.82
Sod3	0.0	0.0	0.0	0.0	0.0	15.08	12.83	13.7
Solh	0.0	0.0	0.0	0.0	0.0	29.12	31.21	32.67
Spef1	0.17	0.29	0.22	0.29	2.43	8.16	8.52	7.13
Stx11	0.0	0.0	0.0	0.0	0.0	0.14	0.09	0.14
Tac4	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.08
Tas2r137	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1
Tktl1	0.0	0.0	0.0	0.0	0.0	0.08	0.11	0.08
Ttc32	0.0	50.96	0.0	0.0	0.0	4.85	4.38	4.58
Ttc39d	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Usp26	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.02
Vgll2	0.0	0.0	0.0	0.0	0.0	0.07	0.26	0.07
Vmn1r210	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.11
Vmn1r45	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Vmo1	0.0	0.0	0.0	0.0	0.0	0.15	0.14	0.16
Vps37b	0.0	0.0	0.4	1.46	0.0	39.01	44.26	36.05
Ybx1	15.57	56.11	46.08	14.61	2.93	108.32	112.35	110.68
Yipf7	0.0	0.0	0.0	0.0	0.0	0.08	0.08	0.09
Zfp957	0.0	0.0	0.0	0.0	0.0	0.07	0.1	0.07
Zp3r	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Zscan10	0.0	0.0	0.0	0.0	0.0	0.04	0.03	0.04
mt_AK131586	880.9	0.0	0.22	2171.69	1075.62	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	9.29	0.0	0.0	2.06	26.24	9032.87	8417.95	8583.15
