	Calb2_tdTpositive_cell_3	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_69	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_2	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_62	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_15	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_7	Scnn1a.Tg3_tdTpositive_cell_85	Scnn1a.Tg3_tdTpositive_cell_97	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Sst_tdTpositive_cell_27	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
Anapc16	62.52	130.21	89.06	60.7	0.0	166.49	0.0	116.14	0.7	93.9	0.56	474.03	0.53	0.0	0.0	0.16	155.46	92.73	131.76	18.57	23.32	122.46	144.6	45.45	0.81	66.71	53.18	0.38	0.0	160.83	97.12	130.61	104.02	75.33	62.83	84.16	114.08
Anapc4	245.67	118.74	0.08	7.91	0.0	0.0	1114.46	22.05	126.69	83.99	0.0	194.76	5.19	0.16	8.03	0.0	134.25	33.22	0.0	0.0	222.1	172.86	0.04	0.04	143.61	423.14	123.79	0.0	0.0	0.34	30.82	56.38	55.17	51.14	83.69	57.17	47.4
Aprt	179.93	151.88	18.75	0.0	356.2	70.29	0.0	249.6	53.11	251.2	0.0	0.0	0.48	0.0	163.63	251.69	94.86	0.0	258.15	103.28	232.81	610.61	0.0	0.0	248.14	127.28	0.66	0.0	0.0	0.37	158.2	212.87	158.89	158.86	122.63	169.18	151.4
Arhgap33	0.17	12.82	0.0	0.1	0.0	14.88	0.0	0.05	23.04	0.19	0.0	0.12	0.0	0.0	1.21	0.0	0.0	0.0	8.96	31.5	0.43	8.79	22.02	18.18	0.03	1.26	0.15	0.0	0.0	0.0	8.66	3.11	5.51	4.55	3.1	3.26	4.78
Armc1	0.0	56.64	0.0	79.75	0.0	161.44	0.0	81.81	15.4	120.09	137.76	111.56	55.37	165.39	132.37	159.05	407.08	185.34	130.7	82.41	0.0	142.83	59.71	54.37	41.01	2.17	113.48	0.0	0.26	139.27	70.61	68.9	90.06	70.02	40.96	63.55	59.74
Arrb1	0.0	0.03	0.0	0.0	0.0	0.0	0.0	1.43	0.0	0.05	0.0	0.0	29.79	0.06	8.6	0.02	22.61	17.64	0.0	4.83	139.77	0.2	0.55	1.45	0.03	0.0	0.15	0.0	0.0	0.0	5.18	5.51	9.52	3.58	6.85	6.13	6.38
Avpi1	0.0	232.01	139.73	0.0	0.0	52.45	0.0	176.8	122.81	255.15	0.0	0.58	305.95	235.14	74.01	134.43	209.63	84.84	0.0	129.2	0.0	218.34	130.63	111.66	154.57	210.5	256.96	0.0	0.0	0.0	56.13	27.24	49.77	48.58	36.29	37.05	46.27
Cab39	1.0	0.15	0.21	19.29	0.57	36.01	0.0	21.72	1.63	1.92	112.83	6.95	1.66	8.04	140.58	52.37	103.2	0.91	32.47	42.49	0.99	202.34	1.28	0.91	34.85	0.0	0.43	9.59	36.51	10.34	15.06	54.92	24.27	12.4	32.85	31.86	26.07
Camk2a	224.38	57.12	64.44	163.59	24.35	23.15	0.0	141.92	163.41	71.13	298.38	12.13	128.8	96.18	32.07	101.45	44.97	64.46	17.49	61.16	99.84	187.92	65.53	58.94	77.41	170.26	94.75	0.12	0.17	14.3	24.16	42.19	46.16	27.65	56.96	54.96	47.59
Car11	0.54	2.72	0.14	6.26	0.0	39.48	0.0	2.62	23.33	75.85	6.77	0.0	0.0	9.06	6.83	6.41	0.0	59.8	21.84	48.78	0.0	158.13	0.08	9.94	1.91	0.0	1.25	0.0	0.0	0.0	45.05	13.62	11.72	59.23	8.46	15.84	7.13
Ccl27b	0.0	88.08	2.22	7.78	39.72	54.38	0.0	210.46	98.78	98.8	170.68	40.41	32.42	70.05	177.4	180.65	54.51	1.96	11.9	8.55	0.0	134.68	106.16	180.86	199.04	153.74	127.6	0.0	0.0	18.49	74.98	103.08	62.2	75.81	61.27	76.52	71.98
Cdk4	0.0	0.07	0.31	0.17	0.83	12.97	0.0	143.1	119.89	0.89	0.56	205.23	31.55	0.0	53.83	0.0	171.82	0.0	0.48	61.65	0.0	316.23	0.4	0.17	0.37	0.0	152.04	0.0	0.0	0.23	44.47	49.29	47.1	62.65	42.41	35.82	40.37
Chmp5	24.53	55.73	570.15	130.04	0.41	319.1	0.0	504.35	473.16	309.02	379.93	45.24	230.06	233.72	390.71	547.47	171.64	403.11	253.19	326.07	105.13	350.5	394.69	291.92	432.66	239.63	327.93	0.0	0.0	888.66	434.09	394.4	454.45	410.67	333.04	313.96	378.39
Chuk	0.22	36.19	55.13	5.12	7.51	0.0	153.72	0.0	0.05	0.43	0.0	0.0	6.75	0.0	28.65	0.0	23.76	1.19	0.72	0.97	2.98	130.49	58.84	23.83	29.19	0.0	0.08	0.0	0.0	0.09	9.26	16.97	20.85	1.58	15.29	5.9	9.79
Cox5a	57.9	13.43	1.09	37.04	0.0	10.54	0.0	22.16	122.18	53.33	31.75	41.04	0.0	87.63	66.43	118.72	94.25	35.24	108.57	4.56	49.67	80.61	112.11	21.66	1023.57	0.0	0.63	0.0	0.0	4.19	33.38	39.02	39.29	58.92	41.49	41.34	21.97
Cpm	0.37	0.18	0.08	0.02	0.65	0.0	0.0	0.37	0.19	0.36	0.46	0.32	0.0	0.24	0.12	0.25	2.52	0.14	0.0	0.1	0.0	0.14	0.03	0.05	0.24	0.28	0.09	0.0	0.16	0.0	0.23	0.07	0.3	0.11	2.35	1.99	0.86
Cpne6	223.04	0.43	13.6	0.0	0.0	0.0	0.0	0.11	0.95	0.0	177.47	0.0	6.17	0.21	104.7	190.97	121.61	0.0	41.81	108.1	0.0	351.72	8.43	0.06	0.25	0.53	78.55	0.0	0.0	103.98	33.02	5.37	49.09	51.06	57.8	44.78	36.58
Cyp51	0.0	35.14	0.02	0.14	0.0	0.0	0.0	0.07	0.16	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.43	0.29	2.96	0.0	94.12	18.37	60.48	91.86	0.0	64.56	0.28	0.18	0.28	19.75	17.24	3.04	10.03	22.98	16.63	10.77
D2Wsu81e	0.0	1.65	0.0	2.37	267.02	130.13	0.0	14.25	0.0	11.92	0.0	0.0	0.43	0.0	0.33	1.49	0.65	0.0	32.16	62.76	203.19	204.81	0.0	0.0	94.77	178.68	0.52	0.0	0.0	91.51	8.71	69.31	8.96	38.91	26.19	40.39	29.59
Dnajc2	0.0	0.0	0.0	0.0	0.0	0.84	0.0	0.0	0.0	0.17	0.0	0.0	13.89	10.96	0.0	0.0	53.71	9.93	0.0	40.77	1.41	75.52	0.0	0.0	2.55	22.58	0.34	0.0	0.0	0.0	14.99	16.89	13.67	7.23	10.48	6.47	11.33
Dyrk1a	106.36	41.7	15.82	32.63	0.0	59.32	12.9	55.75	0.03	67.4	85.13	73.86	25.07	82.71	42.77	74.37	39.22	25.09	15.7	18.68	0.0	66.57	61.03	33.08	22.29	0.18	52.11	0.17	8.56	88.21	47.37	41.09	31.08	15.0	44.63	28.2	29.35
E030010A14Rik	0.0	0.24	0.29	0.0	0.44	1.25	0.0	0.41	0.35	0.41	0.52	0.34	0.64	0.46	0.09	0.23	0.18	0.0	0.11	0.0	0.05	1.73	0.61	0.19	0.17	0.43	0.18	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.14	0.42	0.18
Eif3h	415.18	360.07	3.56	154.96	487.38	0.48	6.26	135.66	385.36	615.68	630.14	581.89	646.73	573.67	564.01	626.26	245.18	279.61	365.83	206.74	952.4	639.42	145.01	443.84	457.07	358.81	162.58	0.41	0.0	361.61	421.03	335.2	410.48	436.01	217.25	263.36	213.49
Eif4e	735.29	458.3	1128.26	505.15	526.99	475.58	0.0	491.7	518.11	732.98	490.65	366.11	568.92	440.09	554.22	371.88	659.09	554.88	71.61	521.59	775.55	912.28	728.8	591.18	971.4	725.07	871.58	0.0	0.0	752.24	418.97	541.97	475.41	353.84	589.7	520.45	529.82
Elp2	389.08	85.12	614.2	90.43	0.2	7.54	0.0	0.23	118.81	129.02	2.11	0.0	8.5	104.34	86.68	65.09	161.33	6.45	229.6	258.11	285.98	21.03	149.31	0.04	0.79	0.0	420.9	0.0	0.27	140.23	169.53	214.03	124.38	135.28	199.84	182.05	203.36
Ercc8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.48	21.95	0.0	0.0	0.0	0.0	0.2	0.1	77.2	0.0	0.0	0.0	0.0	0.0	163.42	2.53	1.61	0.0	0.0	1.04	0.0	0.0	0.0	24.34	31.93	0.12	12.37	4.13	8.88	11.28
Fam118b	217.11	104.26	343.9	0.0	0.0	0.0	0.0	0.0	126.19	130.94	0.0	0.0	82.03	157.29	0.26	0.0	1.2	2.11	0.0	0.0	0.0	275.33	152.06	127.16	138.84	0.0	12.62	0.0	0.0	60.63	57.1	81.84	92.58	95.22	64.09	63.54	79.39
Fam177a	7.62	3.11	3.24	4.07	1.14	4.9	0.0	6.27	26.37	19.28	4.1	0.48	7.45	1.69	4.87	24.68	1.07	4.86	57.54	0.81	4.29	60.7	4.87	18.88	14.66	5.74	1.53	1.52	0.0	21.56	14.42	11.21	10.72	11.25	13.41	14.19	19.02
Fam53c	113.94	78.92	0.04	0.05	127.75	50.8	0.0	0.43	18.83	0.0	0.0	0.72	0.0	66.77	4.57	4.26	25.47	1.23	60.18	0.0	2.73	72.39	0.0	0.02	0.08	0.0	0.27	0.06	0.0	0.74	5.98	7.06	7.88	4.82	12.59	9.61	6.46
Fam78b	0.17	0.04	0.02	0.09	0.09	0.53	0.0	2.04	1.45	0.0	30.87	0.0	0.0	0.0	11.13	8.25	0.0	0.88	0.0	0.08	0.0	192.98	0.05	0.0	0.05	0.0	0.32	0.0	0.0	0.0	2.74	11.33	3.04	9.44	3.61	4.48	3.39
Fam81a	559.64	514.43	262.66	453.21	321.7	820.12	0.0	611.25	723.59	679.52	311.49	314.08	546.92	964.69	864.24	293.33	380.52	302.47	385.47	659.38	380.33	600.62	436.12	917.77	500.24	571.91	548.79	77.39	0.0	11.21	545.9	699.67	643.86	366.29	1003.42	689.32	735.46
Fbxo33	32.76	0.0	3.45	38.55	101.39	49.14	0.0	0.94	33.36	98.94	0.0	0.0	15.2	42.6	25.91	4.77	69.9	49.19	0.0	16.99	49.56	113.16	22.59	3.4	29.09	150.66	127.89	0.0	0.0	0.09	22.27	31.56	11.02	18.21	25.18	8.55	12.44
Foxj2	0.0	29.68	0.0	6.68	0.11	0.0	0.0	0.04	0.04	1.25	0.15	8.99	0.0	0.0	0.02	0.0	19.37	0.0	0.0	0.0	0.0	47.77	0.0	102.87	4.54	0.0	0.11	0.0	0.0	0.0	0.3	0.57	4.88	4.53	5.42	1.43	3.64
Fxc1	64.65	81.07	0.0	88.36	0.0	49.81	0.0	77.13	39.63	44.4	29.1	111.37	100.98	76.92	40.58	0.13	63.88	72.55	111.47	17.58	0.0	207.58	71.0	170.93	35.93	55.32	0.85	11.32	0.0	49.66	84.79	77.51	59.99	82.37	69.46	89.65	76.0
Gm13306	0.0	88.08	2.22	7.78	39.72	54.38	0.0	210.46	98.78	98.8	170.68	40.41	32.42	70.05	177.4	180.65	54.51	1.96	11.9	8.55	0.0	134.68	106.16	180.86	199.04	153.74	127.6	0.0	0.0	18.49	74.98	103.08	62.2	75.81	61.27	76.52	71.98
Gm2002	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.03	0.39	0.35	0.0	0.08	0.23	0.1	0.0	0.0	0.0	0.0	0.0	0.14	0.04	0.0	0.89	1.26	0.0	0.0	0.0	0.0	2.35	3.62	0.41	0.96	1.27	4.28	1.89
Gm2506	0.0	88.08	2.22	7.78	39.72	54.38	0.0	210.46	98.78	98.8	170.68	40.41	32.42	70.05	177.4	180.65	54.51	1.96	11.9	8.55	0.0	134.68	106.16	180.86	199.04	153.74	127.6	0.0	0.0	18.49	74.98	103.08	62.2	75.81	61.27	76.52	71.98
Gm6402	59.69	1.66	0.0	1.93	0.41	0.44	0.0	48.58	1.4	1.81	6.77	0.42	1.93	2.3	0.36	1.7	1.55	0.54	0.99	1.04	0.72	1.63	0.88	1.22	0.77	4.12	1.38	0.77	0.0	0.7	5.62	3.27	1.71	10.73	2.52	1.96	1.62
Gnpnat1	0.0	15.46	0.0	93.16	7.79	0.0	0.0	63.2	166.56	1.39	0.0	41.34	0.0	0.0	0.08	20.14	0.15	45.66	0.0	26.17	0.0	189.78	0.08	0.44	0.19	0.0	17.72	0.0	0.0	0.0	19.56	48.85	44.15	16.4	53.4	26.47	29.89
Gtf2h5	105.07	296.04	201.3	544.12	401.11	314.34	0.0	347.33	151.14	488.86	83.36	302.84	189.89	222.78	160.83	814.46	275.63	178.3	225.18	153.13	384.36	242.26	290.72	166.27	206.59	490.07	317.75	30.39	0.0	527.44	300.09	308.97	454.76	412.11	328.15	366.61	367.01
Hist1h4d	0.0	0.0	9.79	65.6	0.0	0.0	0.0	53.41	313.54	0.0	0.0	0.0	0.0	80.74	57.06	165.64	77.62	101.19	0.0	145.65	134.56	238.96	55.95	0.0	64.62	0.0	1.57	468.46	0.0	0.0	18.19	27.74	32.02	61.14	2.31	19.89	14.51
Hmga2	5.75	7.18	8.09	11.27	0.0	3.11	0.0	0.0	0.0	2.44	7.69	0.0	0.0	0.0	1.52	5.18	0.0	11.52	0.76	5.13	0.0	4.54	2.95	11.12	0.0	0.0	3.07	0.0	0.0	3.45	5.24	8.18	6.8	10.75	3.69	3.11	4.47
Hyal2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.26	203.67	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	82.27	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	7.37	18.21	0.0	3.75	10.15	14.61
Il11ra2	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.03	0.39	0.35	0.0	0.08	0.23	0.1	0.0	0.0	0.0	0.0	0.0	0.14	0.04	0.0	0.89	1.26	0.0	0.0	0.0	0.0	2.35	3.62	0.41	0.96	1.27	4.28	1.89
Ipcef1	56.92	131.06	69.52	84.26	96.05	0.0	0.0	0.76	46.06	70.92	0.69	0.0	0.12	8.64	35.85	0.08	250.97	65.13	0.21	0.0	1.77	36.31	1.91	115.99	0.31	114.59	0.76	0.0	0.0	0.26	67.64	100.4	56.94	57.92	115.53	75.37	71.52
Kifap3	16.56	168.45	163.14	1.79	342.22	158.55	0.0	107.01	127.99	143.21	307.4	4.82	261.16	103.18	210.64	164.71	231.5	357.64	162.47	122.95	89.9	253.25	2.7	11.47	105.76	161.76	266.54	0.0	0.0	11.85	175.65	143.19	129.93	126.64	141.63	121.12	130.88
Lbr	0.0	0.0	0.0	68.21	0.0	0.0	0.0	3.54	29.25	2.58	63.02	90.36	53.4	33.79	0.0	114.33	43.97	0.0	0.0	0.12	0.0	215.5	0.0	28.8	0.03	68.14	6.1	0.0	0.0	157.29	20.64	7.96	14.66	15.0	27.99	22.56	18.87
Lpin3	0.0	0.0	0.08	0.06	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.03	0.0	0.04	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lrp8	0.78	5.93	116.78	32.91	16.15	0.54	278.79	0.75	1.0	0.37	0.51	0.4	18.97	0.07	12.48	0.03	0.58	0.19	0.0	0.54	69.73	81.31	14.35	55.11	1.74	0.0	0.21	0.0	0.01	0.1	19.06	13.59	2.33	8.38	10.28	9.37	7.02
Mageh1	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.14	0.12	0.0	302.22	0.0	132.68	78.21	47.3	202.66	101.6	95.62	8.64	0.0	179.08	0.15	0.0	84.5	196.98	0.4	0.0	0.0	151.28	50.19	45.49	59.52	53.14	32.92	69.62	22.07
Mapk11	0.0	23.57	133.42	2.42	0.0	123.31	0.0	96.04	114.99	94.18	112.22	0.89	0.0	152.48	0.42	0.0	221.86	0.0	0.26	42.82	0.0	192.05	0.12	0.88	0.18	0.0	1.62	0.0	0.0	0.0	28.08	27.91	14.19	33.27	24.12	45.21	32.84
Mapk1ip1l	71.6	88.94	161.71	45.07	91.33	34.69	0.0	0.72	31.7	47.54	10.41	39.0	74.94	113.15	18.75	55.63	23.8	34.44	94.94	65.36	0.03	134.26	34.97	44.2	66.68	30.89	61.76	127.26	0.0	88.25	59.09	55.69	46.16	19.78	43.96	36.64	37.31
Med13	0.0	13.34	4.26	0.91	0.0	18.99	0.0	41.55	0.03	2.42	0.0	1.36	0.0	0.6	7.73	29.77	0.0	0.0	11.68	0.0	0.0	41.38	6.44	0.02	0.33	0.0	0.1	6.32	0.0	25.79	7.33	5.22	5.64	7.35	7.14	4.19	5.16
Mipep	0.0	0.0	0.0	0.0	0.0	57.15	0.0	0.09	33.6	0.21	0.0	56.5	7.42	0.0	0.0	0.0	4.09	0.0	0.0	0.0	0.0	15.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.43	0.1	6.34	9.58	6.03	2.61
Mkrn1	36.48	16.16	0.0	24.93	83.98	0.0	0.0	135.55	96.08	93.23	28.25	129.06	0.0	125.82	19.71	22.23	88.68	0.24	15.61	20.57	0.0	151.0	7.4	39.36	124.87	190.72	0.65	0.0	0.0	1.03	13.57	12.1	21.76	18.62	22.63	35.35	39.68
Mras	101.91	44.62	63.15	13.64	62.84	62.21	0.0	78.43	37.76	55.29	248.27	59.44	32.05	44.3	143.12	180.89	79.27	55.92	0.16	56.44	0.0	262.11	53.72	5.25	95.02	52.58	75.66	0.0	0.0	34.61	20.39	16.6	21.28	18.69	17.05	20.68	19.5
Mrpl11	67.0	0.75	134.96	59.69	0.37	52.78	0.0	41.54	152.59	76.0	68.03	25.29	32.27	16.27	30.4	38.58	84.88	35.79	64.88	18.79	0.26	135.16	65.59	30.69	38.24	38.16	1.39	0.34	0.0	15.9	69.12	46.0	50.44	62.17	35.08	44.83	44.63
Myo5a	26.27	26.87	20.33	71.42	143.96	67.25	0.0	26.34	47.03	11.01	144.39	70.83	82.02	86.25	45.3	62.15	15.92	144.8	42.47	102.23	19.88	146.86	39.34	20.24	26.79	0.0	81.57	0.08	0.0	90.0	43.3	47.02	35.36	31.47	43.87	36.0	35.88
Ndufb11	114.06	411.68	406.86	447.85	600.03	353.67	910.77	102.06	193.45	328.13	273.14	365.97	96.78	295.2	359.96	74.27	479.98	238.51	228.89	279.19	298.35	519.41	295.54	336.28	296.85	406.36	422.32	0.0	0.0	429.2	326.76	471.25	406.29	455.59	422.45	457.38	446.21
Neb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.01	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.01	0.03	0.03	0.0	0.0	0.0	0.02
Necap1	421.04	220.23	572.75	391.27	1169.75	131.15	0.0	11.68	304.48	241.48	934.33	0.68	786.15	7.86	450.69	303.1	579.83	435.27	398.13	531.9	86.2	532.49	449.63	427.09	623.06	497.26	508.6	0.0	0.0	143.1	458.34	566.08	489.22	405.86	671.1	542.69	633.76
Ngrn	0.0	0.29	0.31	0.0	0.0	17.63	0.0	0.51	0.44	0.39	0.0	0.0	0.31	0.0	161.17	7.94	0.0	0.54	0.0	0.0	0.0	229.41	256.24	0.17	0.19	0.0	1.16	97.97	0.0	0.0	63.77	51.38	103.53	36.78	49.08	52.96	51.76
Nkiras1	66.22	134.19	159.64	83.65	138.47	85.03	0.0	106.87	319.53	135.85	82.71	127.52	271.95	203.44	158.05	324.07	197.35	85.62	79.77	149.01	91.64	191.3	160.14	89.79	125.28	67.28	169.23	1.09	1.06	110.71	121.83	152.18	140.87	146.88	104.64	109.89	123.77
Npepps	0.0	15.95	107.73	0.6	195.82	6.55	0.0	114.51	0.27	48.57	15.33	17.95	68.54	0.61	38.27	0.03	19.56	18.75	47.43	31.23	18.4	194.27	133.04	117.68	16.61	175.18	43.57	0.0	0.0	132.12	43.64	41.87	27.86	47.04	38.69	32.09	38.71
Nudt21	0.0	12.97	0.0	0.0	0.0	0.0	0.0	0.0	130.17	0.0	0.0	0.0	0.0	0.0	0.0	33.69	265.09	99.05	0.0	0.0	0.0	179.89	0.2	7.93	0.11	0.0	141.93	0.0	0.0	0.0	47.99	30.95	34.43	101.64	9.43	29.4	35.82
Nudt22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	155.72	0.0	0.12	0.0	0.0	0.57	0.0	0.0	0.0	0.0	0.0	24.15	3.29	2.48	4.65	10.11
Paics	0.97	380.82	370.95	1.98	335.86	239.52	0.0	412.06	309.78	133.41	0.0	0.23	101.27	353.65	142.8	10.33	121.55	251.0	197.96	97.04	238.77	172.38	114.72	326.71	263.76	0.0	1.21	0.0	0.32	128.35	211.6	213.88	242.97	212.46	186.92	195.13	174.04
Pld6	0.44	0.0	0.0	0.0	0.0	0.0	0.0	7.85	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.32	9.74	0.0	0.21	0.0	0.0	0.17	0.0	0.5	0.14	1.47	0.68	0.79	0.4
