	Ndnf_tdTpositive_cell_7	Nos1_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_21	Rbp4_tdTpositive_cell_152	Rbp4_tdTnegative_cell_18	CAV_VISp_Contra_tdTpos_cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Rnf113a2	0.0	0.12	0.0	0.0	0.0	0.0	12.77	13.53	15.27
Rph3al	0.0	0.0	0.0	0.0	0.0	0.0	2.5	2.15	2.47
Rundc3a	0.0	0.0	24.77	5.3	0.0	2.87	259.19	288.36	272.51
Senp5	1.01	0.32	0.38	26.79	0.38	1.03	32.11	30.03	30.39
Slc8a2	0.0	0.0	24.86	1.58	0.0	4.55	196.02	207.87	203.44
Smg6	0.0	0.0	3.8	0.0	0.0	4.39	21.71	21.4	24.47
Stk35	0.0	0.0	4.18	2.21	0.0	0.0	17.16	15.14	16.16
Suds3	0.0	0.07	0.0	21.94	0.0	0.0	98.23	92.43	94.15
Tcof1	0.0	0.0	0.61	0.0	0.0	0.11	13.47	13.78	13.53
Timp2	0.0	0.0	0.51	89.06	0.0	2.67	243.27	257.05	254.53
Tmcc1	0.0	0.0	25.82	24.44	0.0	0.07	39.25	38.54	38.8
Trip12	0.0	0.0	31.17	16.24	0.0	0.05	63.25	57.31	62.05
Trpc1	0.0	0.05	0.0	31.63	0.0	7.57	34.41	30.94	33.53
Ubtd2	0.0	0.0	0.1	0.0	0.0	19.99	36.11	33.89	33.78
Uvrag	0.0	0.0	4.05	0.0	0.0	0.0	26.63	29.36	28.19
Vmn1r45	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Vps13c	0.0	0.19	2.55	4.64	3.9	0.04	25.02	19.73	26.55
Whrn	0.0	0.0	0.31	0.0	0.0	0.0	25.21	28.08	30.17
Zfp574	0.0	0.0	10.22	0.0	0.0	0.0	20.24	21.56	19.83
mt_AK131586	4908.34	0.0	0.0	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	22.71	0.0	0.0	0.0	18796.57	17507.83	18655.33
