	Ctgf_tdTpositive_cell_3	Rbp4_tdTpositive_cell_155	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2
Hoxd8	0.0	0.0	0.07	0.07
Il11ra2	0.0	0.12	1.73	1.86
Kera	0.0	0.0	0.05	0.05
Lao1	0.0	0.0	0.05	0.05
Lipm	0.0	0.0	0.11	0.1
Lrrc16b	0.0	0.0	27.65	27.88
Lsm2	0.0	0.0	13.31	14.55
Lyar	0.0	0.0	13.31	14.35
Map3k5	0.0	19.1	26.04	25.01
Mbd2	0.0	0.0	44.34	48.96
Mdh1b	0.0	0.0	1.22	1.59
Mir598	0.0	0.0	0.0	0.0
Mmp20	0.0	0.0	0.0	0.0
Mon1a	0.0	0.0	21.47	25.22
Msmb	0.0	0.0	0.0	0.0
Nfil3	0.0	0.0	13.09	10.32
Nkx6-3	0.0	0.0	0.04	0.04
Nmnat1	0.0	0.0	7.54	6.2
Noc3l	0.0	0.19	11.39	10.6
Nrp	0.0	0.0	0.41	0.69
Nufip1	0.0	16.26	8.8	9.06
Numbl	0.0	3.22	88.92	93.6
Olfr1420	0.0	0.0	0.11	0.1
Phyhip	2.51	72.37	399.59	415.43
Plac8l1	0.0	0.0	0.13	0.38
Pprc1	0.0	0.0	13.37	12.98
Prcc	0.0	0.0	40.62	42.51
Prrt1	0.0	12.84	99.55	104.6
Prss8	0.0	0.0	0.64	0.4
Ranbp1	0.0	138.02	102.47	104.63
Rap1gap	0.0	0.0	171.3	186.02
Rasl11a	0.0	0.0	7.15	5.81
Rbfox2	0.0	45.01	114.48	109.59
Rhbdf1	0.0	0.0	9.49	10.06
Rpl22	0.0	1.36	81.32	88.47
Satl1	0.0	0.0	0.0	0.0
Sirt5	0.0	0.0	14.84	15.06
Slc16a5	0.0	0.0	1.37	0.8
Slc35d1	0.0	0.11	9.42	9.47
Slc36a1	0.0	0.06	40.34	37.04
Slc9a2	0.0	0.0	6.14	6.64
Slco3a1	0.0	0.0	22.47	22.01
Slco6c1	0.0	0.0	0.04	0.04
Smarca4	0.0	0.14	63.89	65.92
Stard8	1.39	0.13	17.71	17.38
Stk11	0.0	0.0	71.22	81.33
Stk3	0.0	0.0	11.04	10.08
Ston2	1.29	0.42	6.44	5.92
Synpo	0.0	0.61	115.12	119.16
Taf6l	0.23	0.0	9.96	11.52
Tas2r137	0.0	0.0	0.1	0.1
Tmco6	0.0	0.0	13.84	11.87
Tmem191c	0.0	0.0	103.0	122.93
Tmem80	0.0	0.0	37.13	31.79
Tomm20l	0.0	0.0	0.35	0.33
Trip6	0.0	0.0	6.55	7.46
Ttc39d	0.0	0.0	0.05	0.05
Ube2t	0.0	0.0	1.87	1.85
Upp2	0.0	0.0	7.28	5.54
Vill	0.0	0.0	5.99	5.32
Vmn2r118	0.0	0.0	0.04	0.04
Wdr16	0.0	0.42	1.88	2.12
Wdr4	0.0	0.0	13.92	14.78
Wnk2	0.0	0.0	49.56	48.86
Wsb2	0.0	74.59	294.59	283.93
Zbtb7b	0.0	0.0	10.02	10.89
Zc3h10	0.0	0.0	14.47	16.33
Zfp384	0.0	0.0	31.83	29.65
Zfp54	0.0	0.0	1.06	0.62
Zfp964	0.0	0.0	2.63	2.66
Zhx3	0.0	0.0	18.29	18.18
Zp3r	0.0	0.0	0.05	0.05
c11_tRNA-Gly-GGY	0.0	0.0	0.0	0.0
c11_tRNA-Trp-TGG	0.0	0.0	0.0	0.0
c13_tRNA-Gly-GGY	0.0	0.0	0.0	0.0
c2_tRNA-Gly-GGY	0.0	0.0	0.0	0.0
c3_tRNA-Gly-GGY	0.0	0.0	0.0	0.0
c5_tRNA-Ala-GCG	0.0	0.0	3.14	8.1
mt_AK131586	6370.03	0.01	25813.35	24091.17
mt_AK166684	0.0	0.0	18796.57	17507.83
mt_BC104337	0.0	0.0	9032.87	8417.95
