	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_8	Cux2_tdTpositive_cell_1	Cux2_tdTpositive_cell_6	Cux2_tdTnegative_cell_4	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_141	Rbp4_tdTpositive_cell_156	Rbp4_tdTpositive_cell_175	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_8	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_1	Rorb_tdTpositive_cell_14	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_47	Scnn1a.Tg2_tdTpositive_cell_20
Eral1	0.0	0.0	0.0	0.0	183.68	12.26	0.0	0.0	0.0	0.0	20.75	2.7	0.24	89.89	99.3	1.28	77.47	0.14	2.83	4.47	7.57	0.55	20.46	3.73	0.16	0.0	2.62	0.78	0.32	0.08	1.68	0.0	1.63	0.0	287.99	0.54	0.42	4.5
Fam177a	2.63	2.8	0.52	1.44	24.2	53.66	2.15	8.99	1.72	0.0	0.51	12.91	9.76	3.15	14.27	5.76	20.98	5.46	8.34	7.18	19.37	14.89	14.56	9.35	7.99	429.48	22.4	17.14	7.53	0.4	2.34	1.39	1.36	14.37	18.77	26.7	2.26	32.93
Gimap8	0.0	1.15	0.0	0.12	6.2	17.48	0.0	0.0	384.13	0.0	17.31	0.85	3.98	5.35	12.88	12.35	2.29	0.07	29.88	14.6	8.55	28.48	0.77	11.73	0.0	1.97	7.82	4.79	2.43	0.1	0.18	0.0	0.0	1.07	23.32	5.71	11.43	12.53
Gm13306	0.0	0.0	0.0	0.0	21.32	113.94	0.0	0.0	0.0	0.0	10.7	54.72	30.68	0.23	50.62	21.3	2.24	0.47	110.35	114.35	145.03	0.49	118.2	75.28	0.0	0.0	42.8	0.0	0.0	0.0	0.0	0.0	0.0	17.79	0.0	150.8	0.46	49.16
Gm14430	0.0	0.0	0.0	0.0	5.53	11.58	0.0	0.25	0.0	0.0	1.33	4.76	8.15	0.0	6.89	0.0	22.08	22.98	57.22	0.0	12.82	18.78	0.2	0.0	0.04	0.0	21.71	0.0	0.28	0.12	0.0	0.0	0.0	0.0	0.52	13.33	0.24	13.93
Gm14434	0.0	0.0	0.0	0.0	5.53	11.58	0.0	0.25	0.0	0.0	1.33	4.76	8.15	0.0	6.89	0.0	22.08	22.98	57.22	0.0	12.82	18.78	0.2	0.0	0.04	0.0	21.71	0.0	0.28	0.12	0.0	0.0	0.0	0.0	0.52	13.33	0.24	13.93
Gm19782	1.04	0.07	0.0	0.0	16.8	19.7	0.0	0.0	0.0	7.77	8.85	6.21	7.8	8.64	24.89	12.64	19.22	9.27	83.33	32.13	18.61	29.76	19.71	18.62	6.95	19.3	11.15	17.15	0.16	1.18	2.42	2.35	6.31	6.97	18.58	6.23	20.24	22.71
Gm2506	0.0	0.0	0.0	0.0	21.32	113.94	0.0	0.0	0.0	0.0	10.7	54.72	30.68	0.23	50.62	21.3	2.24	0.47	110.35	114.35	145.03	0.49	118.2	75.28	0.0	0.0	42.8	0.0	0.0	0.0	0.0	0.0	0.0	17.79	0.0	150.8	0.46	49.16
Gm4724	0.0	0.0	0.0	0.0	5.53	11.58	0.0	0.25	0.0	0.0	1.33	4.76	8.15	0.0	6.89	0.0	22.08	22.98	57.22	0.0	12.82	18.78	0.2	0.0	0.04	0.0	21.71	0.0	0.28	0.12	0.0	0.0	0.0	0.0	0.52	13.33	0.24	13.93
Homer1	0.0	0.0	0.0	0.0	357.49	99.7	0.0	0.08	0.0	0.0	129.25	49.64	104.13	49.82	90.3	84.64	105.9	4.52	457.57	58.65	77.77	91.9	139.1	230.74	0.08	0.0	59.83	0.37	0.0	0.08	0.32	0.0	0.22	35.66	277.31	96.57	0.3	284.25
Mir690	26828.41	14983.6	15929.17	12459.42	11638.57	25738.25	9673.58	18365.55	15562.4	5227.12	30464.78	30528.33	39867.27	42000.18	28765.87	28695.45	18562.5	16086.48	18858.35	37370.15	37614.4	24336.09	23271.48	32522.04	27509.93	44948.68	18757.58	42282.55	24726.6	17671.81	12934.69	35532.88	23237.11	16696.03	14258.36	48007.3	26597.61	23496.94
Neurod1	0.0	0.0	0.0	0.0	193.18	202.4	0.0	0.0	0.0	0.0	48.41	0.27	39.89	63.93	0.16	0.0	38.25	0.0	0.0	30.3	0.0	44.84	0.0	119.76	0.0	0.0	52.24	0.0	0.0	0.0	0.0	0.0	0.0	0.32	196.49	41.29	0.0	20.02
Oprm1	0.0	0.0	0.0	0.49	1.68	0.24	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.13	0.15	0.49	0.18	0.51	1.43	1.96	0.99	0.21	0.0	11.85	0.0	0.19	1.15	0.29	0.7	0.35	0.0	1.44	0.21	0.15	1.15	0.4	1.07	3.73
Phtf2	0.0	0.0	0.0	0.0	108.05	0.0	0.0	0.0	0.0	0.0	1.06	29.12	40.38	29.1	50.46	19.59	0.0	0.0	0.0	0.0	0.14	0.11	0.12	3.81	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	198.59	44.35	0.09	85.35
Ptprd	0.0	0.0	0.0	12.46	198.16	167.96	0.0	0.0	0.0	0.0	55.15	16.23	46.14	11.76	104.4	52.59	55.91	82.34	169.46	116.81	80.17	194.49	56.59	104.51	0.17	0.19	138.12	0.7	0.15	0.23	0.0	0.0	0.05	83.3	91.56	68.05	0.16	185.48
Satb2	0.0	0.0	0.0	0.24	17.94	228.51	0.0	0.06	0.0	0.0	89.97	11.49	3.11	4.22	48.48	13.34	51.14	17.59	32.62	75.56	48.04	63.73	22.7	69.17	0.06	0.41	55.52	0.0	0.12	0.0	0.0	0.0	0.0	5.81	144.34	57.69	0.23	99.36
Scn8a	0.0	0.0	0.0	0.0	25.07	195.96	0.0	0.02	0.0	0.0	42.54	70.85	98.95	42.57	11.79	21.51	15.07	14.87	61.98	45.7	17.47	75.48	0.49	20.84	0.03	0.19	141.72	3.92	0.0	0.06	0.0	0.0	0.04	1.0	93.34	20.74	0.15	100.92
Sftpb	0.0	0.0	0.0	0.0	0.23	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.37	0.48	0.1	0.0	0.9	0.0	0.9	0.32	0.39	0.1	0.31	0.0	0.0	0.99	0.0	2.37	0.0	1.76	0.13	0.0	1.09	0.0	0.23	0.29
Slc6a17	0.25	0.0	0.0	0.08	80.55	151.61	0.0	0.0	0.0	0.0	48.3	20.14	3.93	10.76	4.65	19.89	15.21	13.02	50.23	33.58	14.79	83.78	2.84	19.26	0.67	0.16	101.94	0.24	0.0	0.11	0.0	0.0	0.0	3.45	97.5	32.67	0.07	273.76
Sprr2a1	0.0	0.0	0.0	0.0	0.13	0.77	0.0	0.05	0.0	0.0	0.0	0.34	0.36	0.88	0.86	0.07	0.2	0.57	5.39	1.29	0.1	2.56	2.09	0.2	0.0	1.82	1.8	0.0	0.25	0.0	0.0	0.0	0.0	0.64	0.99	0.09	1.01	2.0
Sprr2a2	0.0	0.0	0.0	0.0	0.13	0.77	0.0	0.05	0.0	0.0	0.0	0.34	0.36	0.88	0.86	0.07	0.2	0.57	5.39	1.29	0.1	2.56	2.09	0.2	0.0	1.82	1.8	0.0	0.25	0.0	0.0	0.0	0.0	0.64	0.99	0.09	1.01	2.0
Syn2	0.0	0.0	0.0	0.0	0.21	320.41	0.0	0.0	0.0	0.0	68.82	40.87	21.48	41.39	61.21	77.04	206.86	26.18	327.43	43.95	43.85	141.38	90.5	56.76	0.08	0.19	253.06	0.2	0.5	0.0	0.0	0.0	0.14	52.52	123.52	82.83	0.23	476.17
Syne1	1.69	0.16	0.1	7.16	187.69	345.13	0.0	2.97	17.4	0.0	332.23	219.53	128.6	97.14	294.98	281.52	109.02	210.92	139.13	229.18	202.54	246.53	246.4	303.97	14.28	61.3	99.16	49.58	9.51	4.68	16.63	23.29	33.25	26.56	349.99	154.28	33.99	355.06
Tm2d2	2723.28	0.0	0.32	0.0	552.58	7.0	0.0	0.0	0.0	0.0	135.68	181.45	354.45	267.84	198.61	253.92	194.07	99.73	1.51	13.62	406.74	103.46	373.9	392.31	1.03	1278.1	179.09	178.53	0.51	0.28	0.53	0.0	0.0	189.75	652.6	660.99	1.33	823.74
Tmem181c-ps	0.0	0.0	0.0	25.84	87.16	91.12	39.7	0.0	0.0	7.37	140.78	89.23	92.06	76.34	233.76	124.14	117.92	111.28	332.18	153.85	111.96	192.57	172.99	122.07	14.78	42.87	92.02	49.66	15.99	0.16	0.0	0.0	4.44	135.45	138.47	135.12	40.86	330.52
Wasf1	0.0	0.0	0.0	0.0	206.11	417.94	0.0	0.0	0.0	0.0	144.5	208.12	248.78	314.73	475.59	226.56	54.46	198.29	0.74	344.33	291.29	410.58	505.02	420.06	0.25	0.29	559.86	0.3	0.25	0.28	0.0	0.0	0.0	81.64	218.56	270.48	0.98	589.92
