	Calb2_tdTpositive_cell_4	Calb2_tdTpositive_cell_7	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_9	Cux2_tdTpositive_cell_6	Htr3a_tdTpositive_cell_12	Htr3a_tdTpositive_cell_104	Ndnf_tdTpositive_cell_6	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_4	Nr5a1_tdTpositive_cell_35	Ntsr1_tdTnegative_cell_35	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_149	Rbp4_tdTpositive_cell_160	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_20	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_47	Scnn1a.Tg3_tdTnegative_cell_16
Galntl6	197.59	1.04	5.83	0.57	0.12	65.06	19.38	0.45	0.28	0.24	0.0	0.7	0.69	0.13	19.64	61.78	6.74	48.88	13.21	177.8	1.0	20.21	1.28	61.11	50.56	75.71	1.33	0.67	0.1	1.19	2.22	0.62	3.43	0.27	0.17	1.27	0.87	1.96	153.03	1.26	0.51
Gm13306	0.82	0.0	0.0	0.0	0.0	113.94	0.0	0.0	0.39	0.0	0.0	0.0	10.7	9.94	54.72	30.68	0.23	50.62	21.3	2.83	387.32	40.26	114.35	145.03	118.2	75.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.8	0.46	0.0
Gm2002	12.73	0.0	0.0	0.0	0.0	8.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.44	0.0	0.0	0.66	0.0	0.28	0.72	1.5	0.38	8.89	0.24	4.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0
Gm2506	0.82	0.0	0.0	0.0	0.0	113.94	0.0	0.0	0.39	0.0	0.0	0.0	10.7	9.94	54.72	30.68	0.23	50.62	21.3	2.83	387.32	40.26	114.35	145.03	118.2	75.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.8	0.46	0.0
Hmgcr	149.5	11.17	0.0	128.24	114.4	19.67	0.0	92.52	0.0	179.01	0.0	181.98	2.9	214.18	183.39	106.02	75.67	300.32	165.0	188.4	136.6	155.5	66.11	200.68	85.39	180.49	0.3	0.22	0.09	0.82	0.35	0.0	0.14	0.63	0.0	0.04	0.0	0.73	261.53	555.04	0.0
Hsd17b7	0.04	0.02	0.0	0.0	0.0	4.87	0.0	0.11	0.0	0.0	1.62	0.0	1.26	0.0	22.23	0.2	0.04	0.17	3.37	70.46	0.0	8.08	0.0	0.3	0.24	0.0	0.0	0.37	0.0	0.32	0.51	0.0	0.0	0.05	0.0	0.04	0.0	0.17	81.78	0.1	0.05
Il11ra2	12.73	0.0	0.0	0.0	0.0	8.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.44	0.0	0.0	0.66	0.0	0.28	0.72	1.5	0.38	8.89	0.24	4.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0
Lcmt2	17.92	8.88	4.4	7.06	13.29	17.63	18.09	7.8	20.0	14.53	4.57	60.72	21.87	20.41	11.14	17.32	17.21	16.42	21.21	45.88	18.29	27.12	20.7	21.23	40.36	18.74	19.73	33.74	17.65	35.87	28.58	20.39	21.1	6.87	27.58	8.68	7.06	25.94	22.12	14.38	14.48
Ldb2	140.75	204.89	0.0	0.0	0.0	0.0	93.77	2.74	76.67	0.0	0.0	0.0	1.04	474.77	196.54	180.63	362.76	78.81	91.65	576.27	387.66	175.4	119.7	0.56	145.77	55.74	0.0	0.13	0.0	0.88	0.0	0.0	0.26	0.28	0.0	0.0	0.0	0.0	0.0	0.17	0.0
Mapk10	87.93	294.88	0.0	0.0	0.0	111.74	49.78	0.0	0.0	0.0	0.0	0.0	74.2	132.22	119.61	124.01	110.51	83.58	105.32	139.98	302.69	104.03	62.02	83.82	78.24	35.75	0.0	0.12	0.0	0.96	15.62	17.6	0.37	0.1	0.09	0.1	0.08	0.0	149.15	2.36	0.0
Mir690	19614.13	18430.57	18673.1	14983.6	16968.11	25738.25	19953.62	10989.05	9106.93	19376.41	5227.12	15339.94	30464.78	17811.71	30528.33	39867.27	42000.18	28765.87	28695.45	15634.24	14448.88	11744.41	37370.15	37614.4	23271.48	32522.04	17241.06	27509.93	14320.25	44948.68	42282.55	27759.51	24726.6	17671.81	16559.02	9302.43	35532.88	23237.11	48007.3	26597.61	14247.57
Nek4	0.0	0.0	0.0	0.0	0.0	0.0	5.72	0.0	0.0	0.0	0.0	0.0	0.0	11.75	0.0	0.17	0.0	18.13	0.0	51.53	0.0	19.18	20.62	0.0	1.46	19.2	0.0	0.12	0.0	663.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0
Plekha5	0.0	4.59	0.0	0.0	0.0	57.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.88	8.55	1.18	0.07	0.0	0.89	77.97	0.0	13.72	0.78	101.39	0.55	21.32	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.28	0.0	0.0
Ppp1r7	60.73	310.91	1.18	1.99	1.39	60.9	78.55	1.77	2.94	0.79	0.0	0.4	3.59	178.13	79.97	145.55	185.56	70.91	131.16	274.08	138.39	115.42	1.53	108.7	73.54	74.71	4.81	29.15	2.6	0.8	1.84	4.87	2.46	0.0	12.95	0.93	0.92	0.51	106.25	1.82	2.87
Psma5	159.22	205.71	0.0	0.0	0.44	7.64	0.33	0.0	0.0	0.27	0.0	0.0	252.6	371.73	490.75	809.12	950.68	824.94	1050.64	820.77	368.48	746.64	839.82	554.39	292.05	777.22	0.57	0.81	0.0	1141.03	0.0	0.0	1.09	0.3	0.26	0.0	0.0	0.0	249.03	2.1	0.0
Ralgapa2	1.08	0.71	0.58	0.24	0.66	45.43	1.36	1.16	0.15	1.78	0.54	1.53	3.11	29.68	3.46	6.58	1.83	1.53	8.13	44.84	1.68	7.31	2.58	15.39	5.69	1.08	1.03	1.99	0.85	2.85	0.96	83.76	0.54	0.23	2.24	0.33	3.3	1.31	13.0	2.35	0.25
Rgs17	0.19	38.35	0.0	0.0	0.13	108.24	0.09	0.06	0.0	0.0	0.0	0.08	2.2	3.09	22.52	20.02	43.83	28.11	24.12	55.95	25.12	37.44	43.72	104.72	12.92	64.33	0.0	0.0	0.0	0.09	0.11	0.0	0.1	0.0	0.0	0.04	0.05	0.0	58.16	11.6	0.07
Serbp1	207.66	1.84	0.0	6.44	0.0	58.09	0.12	0.07	0.07	53.86	0.0	137.12	50.62	17.66	79.43	47.95	94.57	20.61	7.78	187.37	58.41	56.11	14.64	176.3	103.02	36.39	0.0	0.05	0.0	7.44	57.33	0.0	0.19	0.26	0.0	31.62	0.0	0.21	109.74	6.08	5.94
Slc8a1	42.42	16.3	0.0	0.0	0.0	145.15	11.75	0.03	0.0	0.0	0.0	0.0	0.42	40.5	66.71	73.31	47.28	13.08	8.87	50.06	6.12	35.32	0.56	23.97	25.2	39.64	0.0	0.02	0.0	0.08	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	9.13	0.13	0.0
Snurf	118.18	46.75	0.0	0.0	3.69	80.26	53.27	53.65	0.0	0.0	0.0	0.02	87.17	130.79	119.58	63.24	123.29	208.62	144.22	204.44	100.12	131.83	44.9	146.03	150.44	86.78	0.02	0.03	0.0	0.31	57.59	0.0	0.09	0.15	0.01	0.02	0.01	0.0	110.0	0.5	0.01
Sprr2a1	0.69	0.05	0.0	0.0	0.0	0.77	0.13	0.0	0.06	0.05	0.0	0.0	0.0	0.13	0.34	0.36	0.88	0.86	0.07	0.11	0.06	0.46	1.29	0.1	2.09	0.2	0.29	0.0	0.0	1.82	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.09	1.01	0.0
Sprr2a2	0.69	0.05	0.0	0.0	0.0	0.77	0.13	0.0	0.06	0.05	0.0	0.0	0.0	0.13	0.34	0.36	0.88	0.86	0.07	0.11	0.06	0.46	1.29	0.1	2.09	0.2	0.29	0.0	0.0	1.82	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.09	1.01	0.0
Ssh3	64.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.17	2.82	41.36	0.0	16.53	13.86	43.75	66.03	42.09	11.2	18.14	0.0	0.21	26.18	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0
St8sia3	12.02	54.93	0.09	0.12	0.0	102.65	5.97	1.64	0.0	0.0	0.0	0.21	68.49	75.13	81.5	46.85	90.21	62.76	54.16	101.0	71.79	61.26	54.68	55.92	41.31	78.74	0.11	0.36	0.13	0.46	0.0	0.0	0.23	0.06	0.0	0.0	0.07	0.62	66.65	0.14	0.76
Tmem184c	0.26	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.24	65.0	62.92	13.71	4.7	0.0	210.53	1.11	24.55	0.0	0.26	66.46	25.12	438.55	0.0	0.0	0.54	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	46.14	0.0	0.0
Tmprss7	0.0	74.2	0.0	0.0	0.0	59.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.93	43.24	0.0	0.0	87.8	0.0	9.23	0.0	0.0	74.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Trpc4	0.05	40.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.64	150.99	42.28	124.77	0.0	0.14	173.36	0.0	51.23	0.0	134.17	7.78	30.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5	0.0	0.0
Wasf1	136.07	246.08	0.0	0.0	0.0	417.94	14.14	5.9	0.0	0.0	0.0	0.0	144.5	436.9	208.12	248.78	314.73	475.59	226.56	332.83	264.29	427.76	344.33	291.29	505.02	420.06	0.0	0.25	0.0	0.29	0.3	0.0	0.25	0.28	53.81	0.07	0.0	0.0	270.48	0.98	0.0
Xpo4	4.23	8.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.31	3.99	5.69	0.0	2.95	0.0	33.51	0.0	1.57	8.88	2.61	1.14	14.33	0.2	0.19	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
