	Cux2_tdTpositive_cell_13	Cux2_tdTpositive_cell_18	Cux2_tdTpositive_cell_21	Cux2_tdTpositive_cell_29	Cux2_tdTpositive_cell_32	Cux2_tdTpositive_cell_103	Gad2_tdTpositive_cell_32	Ndnf_tdTpositive_cell_6	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_12	Nr5a1_tdTpositive_cell_27	Rorb_tdTpositive_cell_15	Rorb_tdTpositive_cell_24	Rorb_tdTpositive_cell_27	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_45	Scnn1a.Tg3_tdTpositive_cell_49	Slc17a6_tdTpositive_cell_18
Gm14308	69.73	0.0	51.56	98.72	0.0	37.84	11.54	0.0	0.0	7.19	51.64	0.0	91.2	136.56	0.0	0.0	0.0	5.04	0.0	4.01	0.0	0.0	0.0	0.0
Hmmr	21.01	13.38	17.4	31.81	19.59	10.86	10.61	3.21	0.0	14.36	17.52	18.58	17.86	23.09	16.97	26.56	7.25	18.28	10.38	14.5	6.3	13.42	14.17	9.6
Igfbp6	383.24	175.77	122.77	596.25	307.19	241.02	0.0	0.0	0.0	0.75	202.25	90.23	0.78	344.34	53.12	106.05	163.9	50.97	203.96	0.79	294.82	78.83	210.04	0.0
Klhl9	201.65	40.72	196.88	263.24	286.23	170.78	134.27	0.0	0.0	114.58	141.27	122.23	134.9	112.5	168.72	162.72	126.81	164.43	150.63	156.88	136.34	50.16	83.42	97.55
L3mbtl4	3.15	0.45	1.01	4.55	1.34	0.46	0.8	0.33	0.0	0.53	1.91	0.37	0.3	2.01	2.5	1.77	0.74	2.43	1.21	2.14	0.0	1.97	1.04	0.87
Lin37	365.72	153.97	106.85	462.5	110.53	69.73	131.07	0.0	0.0	99.02	0.0	0.0	0.0	259.57	207.59	161.75	81.93	117.49	144.61	168.06	0.0	0.0	0.0	124.14
Magohb	0.0	0.0	0.0	89.73	0.0	88.27	0.0	0.0	0.0	0.0	0.0	0.0	99.95	159.04	104.29	4.54	37.55	0.0	0.0	0.0	0.0	44.85	0.0	113.23
Mark1	28.63	0.71	35.72	94.08	23.49	61.21	0.0	0.0	0.0	0.04	22.77	52.8	41.35	109.65	0.0	16.61	0.85	28.22	0.0	127.34	0.0	8.24	0.0	0.0
Mll5	122.29	4.0	15.44	195.4	252.03	63.06	1.17	13.13	0.0	16.73	21.71	6.16	4.16	44.17	87.62	53.37	1.75	13.49	68.68	80.8	0.0	31.08	1.23	13.5
Mul1	93.55	0.0	0.17	162.96	104.0	30.98	0.23	0.0	0.0	130.48	0.0	0.13	0.0	77.8	114.04	49.02	0.0	26.42	0.0	0.09	105.76	0.32	71.81	0.0
Myo5c	0.54	0.22	0.34	29.07	0.17	0.32	0.0	0.06	0.0	0.14	0.26	0.2	0.14	0.74	26.55	0.24	0.12	0.29	0.24	0.01	0.0	0.2	0.1	0.0
Ngef	8.12	32.51	115.76	286.8	24.99	71.51	42.53	0.0	0.0	36.63	45.48	0.0	38.09	200.5	91.52	104.23	29.11	49.43	11.57	147.57	0.0	96.43	6.36	4.6
Nicn1	239.26	0.0	115.43	380.82	185.66	264.39	0.21	0.0	0.0	201.13	188.58	0.23	305.88	382.63	0.35	169.91	247.11	286.0	239.27	376.05	158.43	187.51	71.93	93.12
Odc1	82.89	0.0	77.81	117.18	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	91.26	0.04	59.07	0.0	4.05	9.75	0.0	0.0	0.22	0.0	0.0
Pet112l	0.0	36.12	205.8	235.02	0.0	63.48	0.0	0.0	140.4	0.0	0.0	0.0	13.49	232.89	297.07	46.77	0.0	62.61	0.0	0.0	0.0	231.91	0.28	152.82
Pick1	11.25	0.0	4.9	186.22	50.31	23.83	0.0	0.0	0.0	0.1	63.24	0.0	17.82	2.52	0.05	79.14	0.34	55.02	0.0	0.51	0.0	0.0	0.0	0.0
Pip5k1a	62.26	0.0	10.06	58.6	9.39	2.87	0.0	0.0	0.0	0.67	1.14	0.0	15.16	26.82	185.48	131.08	34.72	2.55	11.1	26.19	0.0	59.41	1.28	3.16
Pirt	1.86	1.72	0.68	2.11	0.55	1.55	0.34	0.15	0.0	1.73	0.74	1.25	0.34	2.1	0.69	1.4	0.89	2.29	0.91	1.17	0.0	1.53	0.33	1.47
Piwil1	0.09	0.1	0.0	0.46	0.0	0.0	0.11	0.0	0.0	0.2	0.18	0.0	0.12	0.38	0.0	0.0	0.0	0.18	0.09	0.0	0.0	0.15	0.0	0.0
Plekha7	0.0	0.0	5.09	24.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.6	0.02	1.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.19
Polr2d	192.16	0.0	0.0	342.87	186.31	177.3	37.33	0.0	0.0	121.98	37.79	0.0	140.67	195.35	0.23	87.66	201.25	4.18	114.69	0.36	184.43	0.0	0.0	54.44
Prmt7	506.06	0.0	0.19	405.25	280.06	0.23	0.0	0.0	0.0	7.88	358.7	0.0	175.64	299.31	0.42	505.01	17.56	39.55	94.47	84.64	586.83	0.0	188.83	160.67
Rela	0.0	0.0	0.0	99.69	4.2	8.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	232.84	0.04	5.77	0.46	0.0	1.46	0.0	0.0	0.0	0.0	0.0
Rgs4	3513.48	3323.7	4271.16	2591.51	5464.61	4201.26	4132.16	2439.32	2.55	5873.8	5539.67	3156.55	5390.4	3751.61	5399.11	3408.95	5037.98	5187.94	4921.82	6274.8	5381.62	4012.11	5420.33	6781.39
Sharpin	0.0	0.0	0.0	101.29	0.0	0.0	0.0	0.0	0.0	0.0	1.46	0.57	0.0	66.49	0.0	0.48	78.98	0.2	0.0	0.0	0.0	0.34	6.43	0.0
St18	0.54	0.07	0.0	0.75	0.0	0.21	0.0	0.0	0.0	0.0	0.01	0.09	0.22	0.4	0.07	0.14	0.0	0.07	0.0	0.0	0.0	0.0	0.22	0.0
Tmpo	69.51	0.0	0.0	101.45	0.44	19.02	0.0	0.0	0.0	0.0	0.0	10.76	0.0	164.9	64.48	0.0	0.0	82.95	25.04	21.85	0.0	8.48	0.0	0.0
Uba2	113.2	0.0	37.02	303.85	0.0	101.58	119.74	0.0	0.0	0.22	0.08	2.71	117.17	248.6	0.25	56.8	95.87	83.34	0.0	16.31	2.28	51.61	0.0	377.4
Wdr82	198.68	10.16	99.54	95.06	61.43	66.39	0.0	0.0	0.0	1.43	13.11	4.15	27.84	133.38	77.06	1.7	0.52	70.26	0.05	66.96	0.0	0.0	0.3	0.0
Zfp930	29.09	9.58	10.51	48.45	1.79	6.81	2.81	0.0	0.0	5.7	4.12	2.67	6.29	18.81	4.11	1.38	1.7	42.31	29.16	3.98	0.0	13.54	0.85	7.42
