	Cux2_tdTpositive_cell_13	Gad2_tdTpositive_cell_31	Gad2_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_50	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_16	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_24	Ntsr1_tdTnegative_cell_32	Ntsr1_tdTnegative_cell_41	Ntsr1_tdTnegative_cell_44	Pvalb_tdTpositive_cell_81	Rbp4_tdTpositive_cell_10	Rbp4_tdTpositive_cell_23	Rbp4_tdTpositive_cell_59	Rbp4_tdTpositive_cell_154	Rbp4_tdTpositive_cell_155	Rbp4_tdTpositive_cell_163	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_172	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_15	Rbp4_tdTnegative_cell_18	Rorb_tdTpositive_cell_30	Rorb_tdTpositive_cell_31	Scnn1a.Tg2_tdTnegative_cell_3	Scnn1a.Tg2_tdTnegative_cell_17	Scnn1a.Tg3_tdTpositive_cell_95	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_3	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_14	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_23	CAV_LP_Ipsi_tdTpos_cell_25	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Dnm1	0.5	66.25	0.0	60.01	294.27	0.0	0.0	0.0	0.0	0.0	0.26	0.31	0.0	0.11	0.0	0.0	3.85	41.59	79.05	84.28	51.53	60.64	14.86	36.26	40.57	0.06	0.06	0.0	0.0	0.0	162.07	145.83	0.11	0.0	74.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.62	785.48	840.55	821.55
Drap1	0.0	17.63	0.0	62.67	86.87	0.0	0.0	71.17	134.57	0.0	0.56	0.0	0.0	0.0	0.0	0.0	0.0	8.6	34.96	65.72	54.06	32.46	0.36	13.57	0.0	1.9	0.0	0.0	11.62	0.0	132.57	35.37	0.0	0.0	40.36	0.0	122.93	0.0	0.0	0.0	151.96	6.8	0.0	0.0	0.0	0.0	0.0	214.05	241.21	236.87
Egr4	0.0	0.0	0.0	1.52	2.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.06	9.55	0.0	0.0	2.48	0.0	0.0	0.0	0.0	0.0	0.0	1.65	9.37	0.21	0.0	3.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.14	76.36	41.36
Esf1	56.38	59.03	0.0	34.17	102.32	0.0	137.17	0.0	15.79	0.0	0.0	21.67	0.0	0.12	0.0	50.64	252.26	47.85	2.58	72.83	69.3	34.57	15.0	28.7	49.42	21.61	0.14	2.66	9.74	0.0	110.96	31.66	0.38	2.51	81.57	0.0	24.69	0.0	0.0	0.0	0.26	0.0	0.0	18.09	30.78	0.0	49.21	13.93	11.64	14.54
Fam126b	25.56	34.59	0.0	178.17	199.64	0.0	66.96	0.08	0.06	0.57	1.12	0.46	37.62	0.0	0.4	0.88	1.55	30.94	40.44	106.15	188.6	9.07	41.41	59.54	30.74	0.23	0.22	0.06	0.23	0.0	103.61	15.53	0.24	0.17	89.95	0.0	0.56	0.06	0.63	0.24	0.05	0.22	0.24	0.31	0.0	51.98	6.83	38.93	31.56	36.99
Fam169a	2.49	56.49	0.0	0.04	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	27.87	39.44	26.46	142.68	37.83	5.48	67.05	97.22	0.0	0.1	0.0	0.0	0.0	2.27	39.42	0.09	0.0	13.16	0.0	21.45	0.0	0.0	0.0	0.0	45.6	10.77	0.0	0.0	0.0	32.35	41.99	39.12	40.21
Fam18a	0.0	1.82	0.0	1.51	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.93	0.0	0.0	0.0	0.0	0.0	0.0	5.77	31.51	193.94	15.61	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.2	0.08	0.0	0.0	11.22	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	5.1	28.17	30.48	28.58
Fem1b	7.09	86.31	0.0	0.08	51.65	0.0	0.09	0.0	0.0	0.0	3.75	0.0	0.0	0.06	0.0	0.0	0.0	38.51	31.62	87.88	191.98	39.14	0.15	21.56	0.05	0.0	0.04	0.0	0.07	0.0	135.74	0.17	0.26	0.04	53.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.56	68.78	68.27	62.92
Fgf12	72.83	61.49	0.0	65.7	42.49	157.94	0.0	0.0	0.0	0.18	0.16	1.71	0.39	0.52	0.0	0.0	0.13	122.87	108.16	191.04	539.63	126.85	155.8	171.74	22.14	0.08	0.4	0.0	0.14	0.0	141.82	61.94	0.42	0.0	331.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120.64	128.24	117.27	125.54
Gabrb3	78.19	32.04	0.0	79.7	82.18	0.0	0.0	0.0	0.0	0.0	0.09	1.36	0.0	0.07	0.05	0.0	0.18	15.95	56.68	116.07	95.32	57.7	52.76	56.7	60.57	0.04	0.17	0.04	0.09	0.0	119.42	161.04	0.63	0.44	110.33	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	100.44	154.37	138.99	149.04
Gfra2	3.05	2.29	0.94	67.79	143.14	1.3	3.94	0.37	2.43	0.65	0.85	1.89	0.71	1.35	1.26	0.11	1.11	39.13	104.48	116.85	106.94	39.43	1.49	3.99	122.64	0.3	1.42	1.22	0.53	0.55	219.8	230.03	1.16	0.02	112.2	0.63	0.22	0.41	0.86	0.0	0.32	3.4	0.88	0.19	0.77	3.21	31.73	52.68	49.17	55.8
Gm13306	7.35	0.0	0.0	98.8	411.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.33	2.36	149.26	34.79	2.6	161.83	40.26	26.53	0.0	0.0	0.0	0.0	0.0	105.31	147.96	0.0	0.0	260.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.58	30.63	28.29	22.96
Gm14430	1.09	16.9	0.0	1.59	33.91	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.01	0.04	0.23	2.53	5.53	9.59	19.7	0.0	0.21	6.69	3.19	0.0	0.21	0.03	0.0	0.0	9.46	13.09	1.66	0.03	5.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.21	7.67	5.07	7.49
Gm14434	1.09	16.9	0.0	1.59	33.91	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.01	0.04	0.23	2.53	5.53	9.59	19.7	0.0	0.21	6.69	3.19	0.0	0.21	0.03	0.0	0.0	9.46	13.09	1.66	0.03	5.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.21	7.67	5.07	7.49
Gm2506	7.35	0.0	0.0	98.8	411.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.33	2.36	149.26	34.79	2.6	161.83	40.26	26.53	0.0	0.0	0.0	0.0	0.0	105.31	147.96	0.0	0.0	260.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.58	30.63	28.29	22.96
Gm4724	1.09	16.9	0.0	1.59	33.91	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.01	0.04	0.23	2.53	5.53	9.59	19.7	0.0	0.21	6.69	3.19	0.0	0.21	0.03	0.0	0.0	9.46	13.09	1.66	0.03	5.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.21	7.67	5.07	7.49
Golga1	25.87	66.46	1.17	6.08	1.03	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	42.6	0.0	0.0	0.0	24.6	17.99	51.88	88.88	12.0	0.0	6.5	0.0	0.0	0.0	0.0	0.1	0.0	100.97	0.0	16.76	0.0	1.46	0.0	0.0	0.0	30.32	0.0	181.42	0.0	0.0	0.0	0.0	0.0	74.68	25.49	22.64	23.13
Gtf3c4	0.0	0.0	0.0	34.18	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.16	0.08	0.0	0.0	3.71	0.0	0.0	4.52	0.02	54.37	0.04	0.04	3.13	0.0	0.03	15.32	0.0	0.0	0.0	0.0	0.04	0.0	0.0	5.46	0.0	0.0	0.0	0.0	0.0	22.64	0.0	0.0	0.0	0.0	0.0	0.0	22.49	21.35	21.08
Gucy1b3	258.69	6.75	0.0	520.44	202.74	3.13	0.0	0.0	0.0	0.0	0.15	1.61	0.0	0.37	0.0	0.0	0.0	333.22	255.54	412.84	464.47	369.39	282.5	117.97	209.54	0.0	0.0	0.0	0.13	0.0	357.24	406.87	0.0	0.09	57.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	155.54	151.23	146.1
Ipo9	64.82	1.97	0.0	36.85	113.0	0.0	0.0	0.0	12.9	0.0	1.41	4.88	0.0	0.0	0.0	0.0	211.44	25.21	1.78	67.32	88.76	50.79	50.93	35.95	61.49	122.63	88.73	0.04	0.2	0.3	45.79	19.1	129.07	0.0	29.6	301.2	0.0	0.08	198.84	0.0	262.66	1.04	305.41	1.4	0.0	0.0	32.37	81.59	77.26	80.76
Kalrn	49.36	2.81	0.34	63.22	139.73	0.43	0.1	0.43	0.36	0.04	0.29	0.17	0.04	0.58	0.05	0.63	5.09	34.54	61.54	129.19	22.84	97.05	3.86	23.62	72.8	0.36	0.47	0.3	0.09	0.17	225.27	68.36	0.48	0.21	21.85	0.58	2.26	0.52	0.47	0.04	0.09	0.08	1.0	0.29	0.02	0.0	32.49	250.25	239.88	249.16
Lphn1	36.17	18.6	0.0	6.23	43.36	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.05	0.0	0.05	0.37	19.02	58.09	57.25	7.16	30.73	1.5	9.85	56.11	0.0	0.11	0.03	0.0	0.0	90.9	51.78	0.1	0.0	72.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.99	185.96	190.77	203.82
Lrp1	8.5	2.61	0.0	4.43	8.09	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.05	0.02	0.0	1.35	6.13	4.76	4.83	35.89	14.93	11.95	7.03	4.57	0.11	0.11	0.0	0.0	0.0	5.95	5.73	0.11	0.0	22.67	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.83	105.31	103.13	117.97
Map3k13	0.0	10.05	0.0	14.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.17	0.0	0.17	18.05	0.27	0.0	0.76	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.04	0.0	0.0	9.65	0.0	188.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.25	9.98	9.95
Ola1	125.68	136.41	0.0	314.11	62.58	0.0	0.27	0.0	0.0	0.0	1.0	1.78	322.63	217.38	0.0	0.0	1.18	145.88	346.4	182.29	684.41	357.58	491.35	121.98	540.01	0.0	0.0	0.11	561.97	10.98	155.49	17.64	0.44	2.62	94.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	322.38	0.0	0.0	142.99	108.58	107.74	100.87
Pclo	76.85	87.94	0.06	38.07	34.51	0.03	0.03	0.02	0.06	0.0	0.2	5.59	0.02	0.14	0.04	0.3	0.65	48.05	52.32	77.55	81.59	80.48	22.74	19.57	35.56	0.07	0.07	0.02	0.0	0.0	54.18	94.11	39.7	0.0	16.25	0.0	0.03	0.0	52.04	0.0	0.39	0.03	0.34	0.0	0.0	0.0	10.94	60.14	52.02	64.43
Ppp3ca	526.17	290.04	86.98	1136.78	1275.04	122.43	0.0	147.73	0.0	43.65	0.23	68.7	0.55	7.9	353.0	0.0	0.0	451.47	334.12	995.07	456.7	240.83	406.72	443.53	361.04	56.23	56.3	2.49	253.8	0.57	1570.5	729.9	0.99	111.4	768.41	0.0	68.08	75.89	0.0	0.0	41.51	0.0	174.6	28.43	0.0	0.0	279.82	928.33	877.89	905.1
Ryr2	4.44	6.84	0.0	14.69	35.13	0.0	0.0	0.0	0.0	0.03	0.0	0.03	0.0	0.0	0.02	0.0	3.27	18.67	12.62	34.85	47.17	12.88	10.21	11.62	9.16	0.0	0.05	0.0	0.05	0.0	51.72	1.96	0.06	0.02	16.6	0.0	0.03	0.0	0.03	0.0	0.0	0.0	0.04	0.0	0.0	0.0	12.83	51.84	45.32	51.46
Scn1a	99.53	63.0	0.02	254.86	116.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.73	10.34	23.6	253.47	141.97	67.37	6.29	36.77	35.88	0.03	0.08	0.0	0.0	0.0	195.91	111.57	0.2	0.0	18.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.38	66.09	58.46	67.89
Scn8a	83.0	32.65	0.0	136.29	109.01	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.11	0.02	0.0	0.84	22.04	28.74	114.34	58.81	58.47	52.72	43.36	46.1	0.0	0.02	0.0	0.0	0.0	173.35	147.2	0.04	0.0	59.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.07	111.53	100.99	112.93
Slc17a6	32.24	0.0	0.0	283.3	127.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.07	27.21	503.66	0.07	87.32	9.64	0.07	0.0	0.0	0.0	0.0	0.0	50.02	113.47	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.38	16.38	18.73
Slc17a7	7.59	0.0	0.0	58.78	219.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	33.17	46.29	51.72	60.34	22.25	9.14	18.01	42.69	0.0	0.0	0.0	0.15	0.0	89.72	69.25	0.0	0.0	114.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.5	1060.92	1095.63	1130.72
Snord116	3.39	7.73	0.0	9.04	15.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.11	0.0	0.0	10.33	3.12	8.25	5.71	9.2	2.72	0.0	0.0	0.0	0.0	0.0	26.55	8.45	0.0	0.0	3.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.75	1.22	1.15	1.9
Snord116l1	3.39	7.73	0.0	9.04	15.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.11	0.0	0.0	10.33	3.12	8.25	5.71	9.2	2.72	0.0	0.0	0.0	0.0	0.0	26.55	8.45	0.0	0.0	3.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.75	1.22	1.15	1.9
Snord116l2	3.39	7.73	0.0	9.04	15.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.11	0.0	0.0	10.33	3.12	8.25	5.71	9.2	2.72	0.0	0.0	0.0	0.0	0.0	26.55	8.45	0.0	0.0	3.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.75	1.22	1.15	1.9
Syt14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.42	0.0	3.1	71.08	0.0	0.0	0.3	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.99	7.69	9.84
Thy1	1.11	22.56	0.0	38.82	282.4	0.0	0.0	0.37	0.0	0.0	0.29	1.02	0.0	0.23	0.0	0.0	0.0	39.39	109.41	182.88	163.07	89.85	13.08	134.45	102.93	0.14	0.14	0.0	0.0	0.0	253.54	167.27	13.57	0.0	281.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.38	659.66	677.75	653.67
Trf	0.0	3044.4	22673.57	0.0	0.0	18866.76	25143.74	15977.79	40934.39	29291.22	16066.88	59004.26	12138.52	16338.74	25492.58	28131.18	12393.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18745.12	20574.64	18077.63	13644.35	24636.45	0.0	0.0	15023.9	26091.44	0.0	39899.4	10888.79	24883.01	19181.08	47798.56	67608.53	30444.99	26736.61	24780.17	25232.5	31832.26	0.0	219.44	232.71	255.04
Tub	0.55	49.88	0.0	57.84	66.06	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	12.31	2.22	12.98	123.94	0.05	0.21	37.02	0.0	0.0	0.04	0.15	0.0	0.0	23.85	0.0	0.07	0.0	8.63	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.79	106.14	109.45	103.21
Usp25	0.0	3.48	0.0	0.33	70.81	0.0	0.0	0.0	80.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.38	0.86	76.47	6.26	0.0	10.71	0.0	0.0	0.0	51.24	0.19	0.0	1.77	0.62	0.0	0.0	1.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.94	20.91	20.23
Wdfy3	0.03	0.0	88.43	20.5	17.52	0.0	0.0	0.0	2.34	65.92	0.0	0.16	0.0	37.99	0.0	0.03	7.44	0.77	4.32	21.95	37.34	22.39	0.04	16.87	8.01	47.54	0.05	0.05	0.06	0.0	13.71	21.88	14.44	0.0	10.91	93.25	0.0	0.0	0.0	0.0	0.0	66.69	0.0	0.0	0.0	4.09	11.94	54.22	48.43	55.17
Ykt6	0.31	0.7	0.0	45.31	296.73	0.0	0.0	103.8	0.0	0.23	0.2	0.0	0.24	0.16	0.0	0.0	0.0	21.79	68.37	24.34	205.72	15.98	7.65	23.78	2.63	0.86	0.0	0.0	0.17	0.0	0.0	39.09	0.0	0.0	92.67	0.0	5.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	72.27	89.2	88.57	87.68
Zyg11b	4.01	41.42	6.31	19.74	50.24	2.18	0.65	13.65	1.85	1.9	0.16	1.4	2.01	3.49	47.25	5.86	19.78	9.37	40.44	54.7	91.95	8.47	8.2	17.66	3.43	0.97	2.26	0.69	1.22	4.0	82.82	79.71	2.26	6.89	46.42	1.44	23.15	3.91	1.45	26.71	2.82	1.56	1.52	3.45	1.72	1.36	19.2	75.5	71.7	74.11
