	Ntsr1_tdTpositive_cell_42	Slc17a6_tdTpositive_cell_6	Slc17a6_tdTpositive_cell_11	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Rreb1	0.02	0.0	0.0	22.81	20.08	22.82
Rrm2	0.0	0.0	0.0	2.82	2.4	2.45
Sebox	0.0	0.0	0.0	4.37	3.6	3.46
Slc22a3	0.0	0.0	0.0	2.7	2.52	2.7
Slc30a2	0.0	0.0	0.0	4.37	3.55	3.59
Smad9	0.26	0.0	0.22	8.54	7.59	7.89
Sox1	0.0	0.0	0.0	9.97	11.51	9.9
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tcerg1l	0.0	0.0	0.0	9.76	10.65	9.84
Tcof1	0.0	0.0	0.0	13.47	13.78	13.53
Tm6sf1	0.0	0.0	0.0	15.99	14.27	17.76
Tnrc18	0.03	0.0	0.0	31.29	32.2	36.11
Treh	0.0	0.0	0.0	0.1	0.05	0.05
Trim56	0.73	0.19	0.7	3.55	3.52	4.14
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Usp2	23.29	39.86	62.72	55.91	59.57	57.68
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Zfand5	24.41	14.99	25.07	63.85	62.28	60.25
Zfp146	0.0	0.0	0.0	37.59	38.25	36.9
Zfp503	0.0	0.0	0.0	3.64	4.13	3.84
Zfp580	0.0	0.0	0.6	26.5	33.72	36.61
Zfp783	0.0	0.0	0.0	4.18	4.26	4.66
Zmynd10	0.0	0.0	0.0	3.74	4.22	3.4
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	34.5	0.0	0.0	9032.87	8417.95	8583.15
