	Calb2_tdTpositive_cell_21	Calb2_tdTpositive_cell_34	Calb2_tdTpositive_cell_49	Calb2_tdTpositive_cell_56	Calb2_tdTpositive_cell_57	Calb2_tdTpositive_cell_63	Calb2_tdTpositive_cell_64	Chat_tdTpositive_cell_1	Chat_tdTpositive_cell_4	Chat_tdTpositive_cell_5	Chat_tdTpositive_cell_6	Gad2_tdTpositive_cell_10	Gad2_tdTpositive_cell_19	Gad2_tdTpositive_cell_23	Gad2_tdTpositive_cell_29	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_35	Gad2_tdTpositive_cell_38	Gad2_tdTpositive_cell_45	Gad2_tdTpositive_cell_54	Gad2_tdTpositive_cell_60	Htr3a_tdTpositive_cell_7	Htr3a_tdTpositive_cell_23	Htr3a_tdTpositive_cell_37	Htr3a_tdTpositive_cell_40	Htr3a_tdTpositive_cell_58	Htr3a_tdTpositive_cell_59	Htr3a_tdTpositive_cell_68	Htr3a_tdTpositive_cell_71	Htr3a_tdTpositive_cell_76	Htr3a_tdTpositive_cell_77	Htr3a_tdTpositive_cell_81	Htr3a_tdTpositive_cell_88	Nr5a1_tdTpositive_cell_50	Nr5a1_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_182	Scnn1a.Tg3_tdTpositive_cell_107	Sst_tdTpositive_cell_44	Vip_tdTpositive_cell_5	Vip_tdTpositive_cell_10	Vip_tdTpositive_cell_14	Vip_tdTpositive_cell_24	Vip_tdTpositive_cell_33	Vip_tdTpositive_cell_34	Vip_tdTpositive_cell_35	Vip_tdTpositive_cell_39	Vip_tdTpositive_cell_41	Vip_tdTpositive_cell_43	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_50	Vip_tdTpositive_cell_54	Vip_tdTpositive_cell_55	Vip_tdTpositive_cell_56	Vip_tdTpositive_cell_57	Vip_tdTpositive_cell_58	Vip_tdTpositive_cell_59	Vip_tdTpositive_cell_61	Vip_tdTpositive_cell_65	Vip_tdTpositive_cell_66	Vip_tdTpositive_cell_67	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ccl27b	5.92	0.0	27.99	0.0	0.0	7.1	0.0	0.0	2.85	8.94	0.0	1.03	0.0	0.0	17.73	0.0	7.54	4.28	0.0	0.0	0.0	0.92	0.27	0.0	35.09	0.0	10.06	0.0	0.27	0.1	0.0	5.02	0.0	411.12	176.6	29.61	40.26	93.01	470.61	26.37	0.0	0.0	0.0	0.0	0.0	0.0	16.03	0.0	0.0	12.41	0.0	0.18	0.42	16.45	0.0	0.0	0.0	0.0	6.75	0.11	0.0	2.94	0.0	132.22	177.66	74.98	61.27	76.52	71.98	30.63	28.29	22.96
Cdk5r1	0.0	9.3	26.92	0.0	8.95	8.16	2.48	24.45	35.46	1.48	17.6	62.01	14.31	0.05	0.0	16.23	70.15	6.68	0.0	0.0	16.17	114.5	44.1	0.0	30.08	48.93	10.44	34.08	1.21	3.65	27.88	0.0	11.95	203.48	98.27	20.62	48.43	72.21	135.82	0.0	0.0	0.0	23.69	19.41	0.0	0.0	36.23	7.15	6.04	0.0	5.68	0.0	32.62	86.17	34.95	63.73	57.36	105.9	37.71	47.95	0.35	13.92	0.25	27.79	31.89	31.44	23.43	19.83	22.85	215.41	232.31	213.19
Chd4	0.0	30.87	2.5	0.61	0.0	5.93	0.99	7.17	10.12	0.0	0.07	1.57	0.0	0.0	33.38	6.72	0.0	0.37	0.0	0.13	0.43	30.22	5.28	3.02	0.0	0.0	0.77	0.0	0.0	58.31	0.12	0.0	15.18	19.04	17.15	4.33	2.95	1.78	51.35	12.85	0.56	0.33	0.0	0.0	0.0	0.0	0.17	2.08	1.02	0.0	0.0	0.0	0.07	80.29	1.7	154.8	0.07	13.19	0.0	0.06	0.0	13.45	0.73	5.4	9.59	3.92	3.76	10.0	4.38	84.9	84.16	82.33
Cntnap1	25.89	0.08	13.3	0.0	0.0	0.0	0.0	0.0	21.4	47.61	0.17	0.06	0.5	0.0	0.0	0.0	22.8	0.0	0.0	0.0	7.57	0.14	0.0	2.33	0.17	0.0	2.2	6.19	0.0	0.0	0.0	0.0	0.93	27.25	0.9	10.65	12.42	0.32	6.14	1.94	0.0	0.1	0.0	0.0	0.0	43.49	0.0	0.08	0.0	0.0	0.1	0.0	0.36	21.56	6.52	0.0	0.6	0.0	0.04	0.0	34.49	2.21	0.0	5.68	7.43	5.59	7.76	6.74	6.09	146.45	139.24	144.43
Crim1	6.99	0.19	0.59	0.0	0.0	1.27	0.0	0.21	2.09	13.89	3.15	0.0	3.17	2.97	3.85	0.0	0.0	2.29	0.15	0.0	0.08	0.0	0.0	6.25	24.1	0.07	0.0	2.4	0.0	0.06	7.39	0.0	15.49	1.3	0.88	3.63	5.62	21.87	5.96	0.0	0.0	0.79	0.0	0.0	1.87	1.69	1.24	2.31	30.55	3.58	5.52	0.05	0.03	13.85	5.03	5.32	0.23	8.52	27.87	0.25	0.0	0.58	2.24	0.33	1.84	4.0	1.33	1.04	1.2	32.44	32.38	31.12
Cyp4f18	0.0	0.0	48.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.61	0.0	2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.54	4.64	0.0	0.0	0.0	0.35	0.28	0.24
Dagla	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	8.1	0.0	1.28	0.0	0.0	0.0	0.0	0.0	24.21	38.23	0.62	5.05	12.18	59.23	19.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	2.82	0.0	0.0	0.0	0.0	0.03	0.0	0.0	16.4	0.0	1.35	3.99	8.9	2.57	4.05	3.23	63.23	62.82	67.85
Fgf10	0.35	0.69	0.79	0.25	0.24	0.78	1.07	0.73	0.39	1.07	0.29	0.0	0.52	0.33	0.72	0.39	1.66	0.99	0.08	0.35	1.48	0.54	0.22	0.59	1.73	1.67	0.64	0.6	0.39	0.39	0.77	0.45	0.19	3.69	1.36	13.23	15.35	1.44	1.02	0.36	0.24	0.3	0.4	1.31	1.04	0.4	0.0	0.1	0.43	1.15	1.11	1.24	0.41	1.12	1.2	0.75	1.35	1.35	0.65	1.41	0.68	0.56	0.75	25.86	22.24	6.11	28.96	21.82	23.17	5.22	4.31	4.77
Fmn1	0.0	0.0	0.01	0.05	0.0	0.0	0.0	0.05	0.0	0.0	0.04	0.0	0.0	0.1	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.16	0.0	0.04	0.04	0.0	2.53	0.0	0.0	0.0	0.07	1.86	2.76	0.36	0.51	71.52	1.37	0.0	0.04	0.2	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.01	0.0	0.04	0.04	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.04	0.0	1.48	0.84	3.59	1.86	1.29	3.04	5.95	5.89	6.37
Fosb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	74.02	0.13	3.71	2.18	0.15	7.4	0.0	3.58	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.34	0.16	0.24	46.2	0.21	0.0	0.4	0.0	0.13	0.0	2.38	9.76	0.71	0.63	1.72	2.1	16.9	14.12	7.05
Gda	0.0	0.0	0.28	0.0	55.22	0.0	0.0	0.11	11.91	0.08	0.0	0.0	0.0	0.14	0.1	0.0	0.42	0.0	0.0	0.0	0.17	0.07	0.07	0.16	0.17	0.0	0.0	0.92	0.07	0.0	0.0	0.0	0.0	183.86	54.92	33.36	54.2	10.22	85.8	5.34	0.1	0.0	0.0	0.0	0.0	0.08	0.0	0.77	0.0	0.0	0.03	0.09	0.09	0.1	0.0	0.17	0.08	0.32	0.07	256.95	0.0	0.0	0.29	67.38	48.93	65.27	48.91	38.68	37.66	173.69	169.3	165.34
Gm13306	5.92	0.0	27.99	0.0	0.0	7.1	0.0	0.0	2.85	8.94	0.0	1.03	0.0	0.0	17.73	0.0	7.54	4.28	0.0	0.0	0.0	0.92	0.27	0.0	35.09	0.0	10.06	0.0	0.27	0.1	0.0	5.02	0.0	411.12	176.6	29.61	40.26	93.01	470.61	26.37	0.0	0.0	0.0	0.0	0.0	0.0	16.03	0.0	0.0	12.41	0.0	0.18	0.42	16.45	0.0	0.0	0.0	0.0	6.75	0.11	0.0	2.94	0.0	132.22	177.66	74.98	61.27	76.52	71.98	30.63	28.29	22.96
Gm2506	5.92	0.0	27.99	0.0	0.0	7.1	0.0	0.0	2.85	8.94	0.0	1.03	0.0	0.0	17.73	0.0	7.54	4.28	0.0	0.0	0.0	0.92	0.27	0.0	35.09	0.0	10.06	0.0	0.27	0.1	0.0	5.02	0.0	411.12	176.6	29.61	40.26	93.01	470.61	26.37	0.0	0.0	0.0	0.0	0.0	0.0	16.03	0.0	0.0	12.41	0.0	0.18	0.42	16.45	0.0	0.0	0.0	0.0	6.75	0.11	0.0	2.94	0.0	132.22	177.66	74.98	61.27	76.52	71.98	30.63	28.29	22.96
Gpr180	0.2	0.42	1.48	0.0	0.27	0.84	0.85	0.55	0.35	1.25	0.2	0.0	0.18	3.04	0.32	0.0	0.0	0.9	0.7	0.0	1.11	0.0	0.53	0.0	0.68	0.72	0.38	1.18	0.37	2.44	0.4	0.04	0.89	2.19	17.5	7.25	5.66	1.46	2.43	0.59	0.0	0.62	0.0	0.97	162.56	0.38	0.0	0.12	2.5	0.16	2.2	0.15	7.43	3.72	1.39	0.75	2.35	0.77	0.75	1.95	2.02	1.52	0.81	14.18	0.26	11.44	3.65	1.33	4.57	20.98	19.71	20.62
H2afj	0.0	0.0	13.76	0.0	0.0	0.0	1.07	0.0	0.0	0.0	0.0	3.92	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.35	0.73	0.0	0.0	0.0	0.0	13.71	0.0	0.0	0.0	0.25	0.0	32.06	0.81	6.33	12.6	0.42	21.39	3.54	0.0	0.0	0.0	0.0	5.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.52	0.0	12.98	0.0	0.0	0.2	0.0	0.0	20.74	36.23	9.63	2.23	10.62	6.11	7.81	9.63	35.61	41.66	40.51
Habp4	0.0	0.16	1.19	0.0	0.0	4.22	0.0	0.0	188.03	0.2	0.39	3.89	0.42	6.89	0.0	140.17	170.14	122.95	0.0	7.02	31.99	0.0	0.0	0.0	0.0	0.0	0.24	92.9	0.0	31.3	3.47	4.79	0.0	313.1	215.9	28.67	51.58	28.41	89.5	61.69	0.0	0.0	0.0	0.79	1.61	0.0	0.0	0.35	26.73	0.0	0.68	0.0	0.0	127.68	0.48	0.61	28.14	0.0	0.46	0.15	0.38	0.19	0.43	16.59	15.7	19.43	15.36	14.9	17.55	188.43	207.17	194.28
Hspa12a	0.0	0.0	0.0	0.0	11.16	0.4	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.04	0.09	2.99	0.0	0.0	0.0	0.0	0.0	0.0	4.58	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.08	2.39	102.02	71.68	19.75	15.07	2.2	1.54	9.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0	1.18	0.0	51.45	28.68	11.15	86.51	0.13	0.04	0.0	0.08	0.52	0.46	25.28	18.89	11.84	16.82	15.49	13.6	120.9	114.32	124.73
Igf1r	0.0	25.84	43.45	0.0	3.88	25.49	0.05	0.0	0.0	7.72	0.04	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.07	1.98	0.0	0.0	9.05	0.23	0.07	21.16	0.72	0.0	15.26	34.44	39.32	6.54	78.6	10.78	5.06	4.38	0.28	0.17	0.08	44.67	47.69	0.0	0.0	18.53	0.0	0.0	0.15	2.05	0.0	5.84	0.11	0.0	37.53	0.45	3.34	1.78	0.0	0.0	0.16	0.04	0.86	4.73	10.27	8.31	13.67	11.14	9.14	8.86	15.7	15.06	17.48
Klc2	0.94	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.26	57.79	0.0	0.0	0.0	6.92	0.17	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	27.03	3.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.41	0.81	11.36	9.94	1.07	3.43	1.51	0.0	0.0	3.79	0.11	0.0	11.79	0.0	0.15	0.11	0.0	0.0	0.0	0.0	6.02	0.0	0.86	15.8	0.0	13.92	0.0	0.0	0.0	0.7	12.18	6.18	15.18	4.74	4.55	6.43	196.16	207.95	205.42
Ldhd	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	117.51	0.47	0.0	0.0	0.0	0.0	0.0	0.0	3.12	0.22	0.22	0.0	0.0	0.17	0.0	104.41	159.61	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	6.47	0.35	1.06	1.89	0.02	0.24	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	247.75	0.28	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.57	1.56	2.58	1.22	0.0	4.87	14.62	13.31	13.76
Lynx1	0.0	0.0	1.79	0.0	0.0	3.69	0.0	0.0	40.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.22	0.0	167.64	0.0	23.83	1.54	0.0	0.0	5.13	39.19	116.56	0.19	0.0	0.0	270.72	299.77	43.73	20.37	44.15	246.4	47.98	5.0	166.94	0.0	0.0	0.0	10.05	1.08	0.0	0.08	0.0	0.0	0.0	0.0	137.05	0.0	0.39	13.28	0.0	0.0	0.1	159.88	0.0	45.93	38.69	30.5	33.7	35.16	58.04	47.66	249.12	247.11	249.79
Madd	21.86	2.05	6.12	0.85	0.0	0.26	76.49	0.21	0.0	14.02	134.21	0.0	0.05	0.41	98.65	0.0	231.69	0.0	0.24	0.0	11.94	0.26	49.89	29.62	0.41	0.4	1.49	3.45	0.31	1.4	1.36	0.15	4.2	162.64	215.67	21.93	19.22	16.49	68.46	55.06	0.54	0.65	44.94	0.0	35.59	1.76	1.36	25.5	0.39	0.0	68.0	0.57	0.23	154.89	9.89	0.09	1.18	0.65	0.61	48.39	2.11	1.5	0.05	34.49	35.95	34.69	27.52	35.5	31.56	113.32	109.49	109.17
Mast3	2.95	0.0	0.17	0.0	0.12	0.52	0.12	0.0	0.15	66.76	0.0	0.0	0.11	0.17	0.28	0.0	0.11	4.61	0.92	0.0	0.3	0.3	0.2	0.0	0.0	0.0	1.93	0.0	0.0	0.2	3.98	0.0	0.26	77.13	188.0	4.27	18.73	49.44	159.6	0.0	0.1	0.16	0.0	0.03	0.23	0.47	0.0	0.28	0.0	0.0	0.0	0.0	0.37	0.39	0.1	0.15	5.24	58.83	0.17	0.23	0.27	0.3	0.17	21.81	23.91	10.74	10.02	12.26	12.25	128.92	128.23	132.72
Miat	0.0	0.0	29.31	64.49	0.52	50.56	72.17	19.19	0.72	10.92	0.3	0.0	0.24	0.02	1.53	0.0	77.58	15.85	0.0	0.0	2.4	76.32	61.28	15.71	0.11	0.75	34.81	1.54	0.05	0.0	36.15	0.0	0.0	162.95	200.02	18.94	37.76	74.92	75.6	33.05	0.0	0.84	0.07	0.0	0.0	2.89	0.0	0.0	0.0	3.16	0.25	33.15	0.0	32.37	0.07	0.0	9.56	2.74	0.0	5.9	0.06	10.91	0.44	15.17	17.45	18.11	7.28	8.32	6.59	196.73	185.46	213.96
N28178	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	46.6	0.0	0.0	0.0	0.53	0.0	5.35	0.47	0.0	0.0	0.12	0.0	0.0	0.0	0.21	0.0	0.39	0.0	0.81	0.0	0.0	0.0	0.23	0.0	0.0	210.01	222.92	19.01	8.3	1.57	2.8	9.78	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.1	0.0	0.0	0.14	0.0	0.4	0.0	0.3	0.08	0.0	0.3	0.22	0.0	0.15	0.16	49.3	20.1	30.81	26.18	25.55	30.68	216.35	208.94	221.69
Nfic	0.0	0.07	14.43	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.13	0.0	5.65	0.0	0.0	0.0	6.52	2.14	0.0	0.0	0.0	0.0	2.67	12.23	1.89	1.07	2.3	7.82	19.16	6.17	0.0	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	28.77	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.37	1.46	1.57	1.8	3.94	3.09	48.31	45.12	48.02
Nhsl2	0.09	0.09	20.49	0.11	0.86	0.18	0.11	7.88	0.22	0.31	0.15	0.03	0.15	0.11	0.11	0.44	0.82	0.13	0.01	0.8	0.94	3.98	0.11	0.35	22.16	0.17	0.77	0.24	0.24	0.3	44.37	0.22	0.23	1.6	10.38	2.16	4.22	0.68	0.35	0.11	0.12	0.38	0.05	0.15	0.07	0.41	0.24	0.06	0.18	0.07	0.07	0.17	0.2	0.33	0.42	0.39	0.03	0.64	0.71	0.17	0.46	0.08	1.61	8.64	5.21	15.31	1.9	3.11	4.37	17.44	16.0	16.79
Phyhip	0.0	21.42	12.73	0.0	4.22	3.87	0.0	0.44	180.71	0.0	31.85	63.96	159.26	42.71	323.21	0.0	12.97	79.63	64.61	0.0	0.45	6.77	19.97	0.0	62.18	0.0	0.82	0.17	0.0	32.41	51.46	0.0	0.0	387.29	248.53	37.25	50.58	53.94	238.94	35.02	168.2	0.0	0.0	0.0	0.0	342.91	106.95	0.0	72.99	0.28	14.87	0.0	0.0	305.85	0.65	0.0	150.66	0.55	0.28	46.42	10.9	84.72	7.56	162.0	157.69	119.35	83.94	88.43	93.96	399.59	415.43	391.87
Ppp1r12c	0.0	48.61	0.0	0.0	0.0	0.0	0.0	0.0	52.63	12.21	0.0	46.56	0.61	0.0	0.0	0.0	32.3	0.32	0.0	0.0	11.95	0.13	0.0	67.38	13.29	0.0	0.46	1.18	0.0	0.0	0.65	0.0	2.75	35.47	47.45	7.67	6.15	3.43	5.29	0.0	4.55	0.53	0.0	0.0	0.0	2.74	0.0	0.0	0.0	29.59	7.63	0.0	0.16	9.68	0.0	0.0	2.0	0.0	0.0	0.0	0.0	89.84	0.0	5.04	3.66	7.13	2.2	7.48	6.74	87.06	89.41	88.48
