	Ndnf_tdTpositive_cell_7	Ndnf_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	Rbp4_tdTpositive_cell_51	Sst_tdTpositive_cell_106
Bex4	0.0	0.0	36.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	160.59
Bsn	0.02	0.02	11.9	22.36	3.56	1.41	8.96	8.87	18.19	8.13	12.49	0.19	21.58	0.42	25.79
Btaf1	0.03	0.25	0.32	0.0	2.51	9.34	0.06	14.66	10.33	5.11	0.18	0.42	2.06	2.24	26.47
Bzrap1	0.0	0.0	1.09	0.06	6.31	0.63	0.68	5.83	0.0	1.75	4.33	2.09	2.33	2.37	26.73
C630004H02Rik	0.0	0.0	28.67	2.35	11.99	0.0	22.87	19.15	27.8	43.14	19.43	0.0	3.62	0.6	100.99
Casp8ap2	0.0	0.0	14.28	0.0	7.34	0.0	0.0	0.0	6.41	0.0	0.0	0.0	2.3	0.0	56.51
Cbfa2t3	0.0	0.0	4.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1	14.14
Cdk19	0.0	0.0	17.83	15.79	0.0	0.65	8.61	0.0	5.42	2.92	0.0	1.26	0.0	0.0	77.34
Cdkn1a	0.0	0.0	0.0	11.87	0.0	0.0	0.0	0.0	0.0	0.0	9.12	0.0	0.0	0.0	49.72
Celf5	0.27	0.0	1.04	0.0	0.0	7.62	0.07	0.0	0.5	0.28	0.49	0.51	2.6	0.05	12.26
Chac1	0.0	0.0	12.22	67.12	2.52	108.81	9.93	7.41	14.03	61.33	0.0	58.49	41.09	0.0	184.23
Cnot7	0.0	0.0	15.16	0.0	93.45	0.0	35.44	28.48	83.05	4.24	67.52	33.73	21.59	28.91	157.98
Commd5	0.0	0.0	0.0	114.95	82.43	237.45	77.3	57.33	0.0	41.65	110.54	0.0	77.83	49.52	141.36
Cyb5r4	0.0	0.0	24.27	39.12	0.0	1.28	0.12	45.19	0.0	36.7	0.0	0.0	0.48	38.65	135.61
Dbpht2	0.0	1.06	96.17	25.01	42.85	93.58	10.76	22.01	141.27	59.22	26.45	59.25	17.76	0.26	423.9
Dscaml1	0.0	0.0	0.06	0.0	0.09	1.95	0.0	0.0	1.55	0.0	0.0	0.0	0.04	0.89	17.0
Dynlt1c	0.0	0.0	0.0	173.95	27.79	0.57	64.57	30.01	69.33	97.63	0.0	14.62	0.0	39.32	151.06
Eif3c	0.0	0.0	81.55	66.92	75.84	124.55	115.83	79.3	74.53	91.12	66.55	16.6	11.75	28.28	172.63
Evi5	0.0	0.0	3.62	12.93	9.22	0.0	4.82	0.24	31.74	30.73	10.39	3.97	1.1	6.84	57.52
Fam114a2	0.0	0.11	10.55	51.36	16.58	38.47	0.0	81.54	52.73	62.88	82.98	66.09	75.34	65.07	197.1
Gm1673	0.0	0.0	0.0	10.07	3.42	0.0	6.48	0.0	0.0	5.38	5.68	1.19	2.63	0.0	26.55
Gpx3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.0	121.28
Grm5	0.0	0.03	43.01	13.36	9.8	32.38	27.02	39.05	25.34	80.65	21.32	53.79	84.19	74.44	187.84
Gt(ROSA)26Sor	0.0	0.0	103.98	39.09	407.48	145.2	68.67	151.96	259.28	110.74	392.89	67.01	188.22	61.18	550.77
Gucy1b3	0.0	0.0	54.64	62.93	59.32	280.1	0.85	67.21	59.78	77.39	106.98	60.8	67.43	96.42	267.02
Hivep1	0.0	0.0	4.72	17.86	0.0	0.0	10.26	0.4	5.6	0.18	0.0	1.32	3.26	0.0	16.76
Ids	0.07	0.2	15.81	0.4	0.48	41.83	23.78	16.24	0.67	5.59	4.56	3.25	3.68	2.22	56.22
Ikzf5	0.0	0.0	0.76	18.9	0.15	0.34	31.34	0.32	14.44	0.0	3.53	0.0	4.18	22.77	75.58
Ldhb	0.0	5876.73	8752.31	10894.4	10165.1	11261.44	10004.69	9074.03	13571.31	12546.17	11010.48	10182.84	9082.37	11746.38	3304.16
Maged1	0.0	0.2	437.93	192.63	283.31	310.13	584.39	274.33	379.21	201.71	317.85	341.96	340.04	306.73	814.31
Map3k2	0.0	0.0	0.04	0.0	10.6	2.03	0.0	8.15	2.13	0.04	0.0	0.62	0.0	0.0	38.99
Mau2	7.73	4.53	18.2	19.02	54.17	42.69	62.61	22.69	8.22	68.61	41.82	1.75	43.63	14.13	91.9
Mettl10	0.0	0.0	65.65	19.73	0.0	112.61	178.66	88.59	89.38	143.91	84.38	108.9	122.16	82.1	175.57
Mmp16	0.0	0.06	3.63	0.0	0.0	150.03	54.05	14.1	22.57	28.76	94.08	27.11	50.05	37.64	100.17
Mthfd2	0.0	0.0	36.32	0.0	22.11	26.95	42.55	3.83	27.85	0.0	35.94	41.76	0.0	33.19	178.48
Mzt2	0.0	0.0	2.59	17.19	0.0	0.0	35.34	57.34	0.0	59.6	49.86	0.0	47.52	2.99	139.94
Nars	0.13	265.33	794.23	844.17	745.02	801.52	905.15	690.38	831.76	259.39	641.27	662.11	422.3	745.34	1198.66
Nmd3	0.0	0.0	96.51	159.23	62.78	221.49	0.72	87.06	168.0	104.69	166.81	113.18	0.0	59.91	388.57
Nol8	0.0	0.0	19.82	9.39	0.0	0.0	5.17	1.84	2.09	15.21	0.0	4.02	0.0	13.79	62.06
Pamr1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.61
Pcdha4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.25
Prpf8	0.0	0.0	9.57	21.62	11.9	58.75	4.49	11.31	3.41	2.59	4.84	4.53	14.97	9.6	29.2
Psph	0.0	0.0	98.8	184.03	44.24	27.87	84.09	18.45	2.02	41.89	0.0	38.27	16.71	63.74	195.95
Pten	0.0	0.0	36.35	40.44	31.57	29.27	36.47	6.77	18.66	15.94	26.87	39.38	17.98	43.13	85.76
R3hdm2	0.0	0.82	8.6	23.0	13.78	58.42	1.51	12.14	19.18	18.3	71.92	10.97	2.28	3.64	82.13
Rab7	0.0	0.0	369.19	346.8	394.72	392.91	673.06	415.43	270.39	456.42	299.8	102.31	377.43	607.04	673.33
Rbbp4	0.09	0.35	92.17	148.02	58.11	44.83	110.32	55.04	38.76	43.78	95.16	30.95	56.55	82.3	215.62
Rpgr	0.0	0.08	0.37	8.55	54.68	59.06	91.32	15.31	0.0	83.08	58.87	3.56	109.91	34.59	135.3
Rps21	0.0	0.0	367.08	294.51	317.05	301.8	392.5	130.12	229.32	279.04	216.49	185.76	211.82	339.52	326.28
Rps4x	0.0	0.0	317.58	381.78	335.35	826.99	172.25	302.0	355.61	410.23	426.13	457.77	281.59	371.04	1114.71
Sec61a2	0.0	106.91	4.26	48.57	60.22	0.0	37.31	105.08	7.53	99.3	16.67	86.3	59.61	58.31	217.27
Slc1a4	0.0	0.0	41.07	0.85	0.0	0.0	28.58	0.36	17.72	29.25	6.69	0.0	3.29	12.5	40.23
Slc7a3	0.0	0.0	0.18	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	141.4
Sp4	0.0	0.0	13.67	0.0	7.24	0.0	1.68	4.42	0.0	0.0	0.0	9.38	0.0	0.0	42.18
Tceal1	0.0	0.0	172.38	130.03	88.92	251.84	166.87	108.64	66.29	178.86	178.35	165.9	43.56	200.86	505.33
Tex264	0.0	0.0	50.86	62.42	48.48	0.0	59.38	56.62	80.2	61.87	58.84	120.01	50.63	20.79	251.97
Thrb	0.0	0.29	144.76	46.35	91.2	159.94	206.61	62.59	57.44	176.74	29.07	38.12	70.54	242.55	339.87
Timm9	0.0	6.3	172.52	255.51	40.38	43.59	144.44	113.05	188.91	182.58	325.75	94.38	124.48	196.04	412.47
Tmem229b	0.0	0.0	22.59	0.0	52.82	0.0	0.92	18.48	27.74	26.67	6.46	2.95	0.0	3.18	139.6
Tram1l1	0.0	0.0	76.0	38.22	29.64	68.22	64.63	83.68	113.74	1.11	44.35	0.0	114.27	129.11	239.52
Trappc2	0.0	0.0	597.29	715.22	494.8	279.54	372.56	438.5	224.93	550.5	360.06	348.01	410.35	518.07	1143.1
Ubxn2b	0.0	0.07	38.62	0.2	37.91	33.95	0.0	8.9	1.69	0.0	4.52	0.09	0.0	43.89	85.09
Usp4	0.0	0.0	37.53	11.79	37.85	0.0	51.17	31.99	47.15	3.66	2.05	0.0	33.69	0.47	109.36
Vps36	0.0	0.0	27.95	2.3	22.41	114.9	99.81	32.72	62.45	6.56	74.88	18.86	109.16	52.56	163.31
Ythdf3	0.0	0.05	1.62	1.75	25.93	26.97	0.0	9.38	0.0	0.0	0.21	1.22	56.52	10.7	70.03
Zzef1	0.0	0.0	0.63	0.42	3.32	1.78	13.51	3.34	0.58	4.2	17.19	11.2	7.02	1.96	19.85
