	Cux2_tdTnegative_cell_4	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_47	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Nphp4	0.0	0.0	0.27	11.9	12.75	11.86
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Nudt11	0.0	0.21	0.17	33.63	33.12	31.25
Nuf2	0.0	1.17	0.38	4.5	3.87	5.02
Nup205	0.0	0.0	0.0	15.31	13.61	14.92
Pcdhgc3	0.0	0.0	0.0	60.91	59.52	67.87
Pcdhgc5	23.9	0.0	0.0	114.38	115.99	121.96
Peg3	0.0	47.27	0.23	126.23	106.05	122.89
Pgls	0.0	17.45	0.0	29.57	38.8	38.01
Pitpna	0.0	55.4	21.96	225.42	225.66	222.62
Plcxd2	0.0	5.64	0.0	52.33	46.58	52.18
Ppp4r4	0.0	0.74	29.23	31.69	30.21	31.64
Prrc1	0.0	0.0	0.0	13.02	13.51	12.87
Rabep1	0.0	36.29	0.08	68.13	63.46	67.27
Rasd2	0.48	0.58	0.58	129.85	133.27	128.26
Rnf31	0.0	0.0	0.0	18.76	19.96	19.74
Sbf1	0.0	4.87	0.0	87.42	87.58	93.92
Sez6l	0.0	12.09	0.0	100.96	101.75	107.49
Sgsm1	0.83	23.01	2.63	64.4	60.59	64.75
Slc22a12	0.0	0.0	0.0	0.35	0.25	0.5
Slc2a1	0.27	0.0	0.0	78.33	91.62	72.46
Slc35e1	0.05	16.59	8.72	32.57	31.4	29.98
Snord47	0.0	0.0	0.0	3.48	6.55	17.94
Son	0.19	24.65	59.64	120.76	112.75	125.09
Spnb1	0.0	2.94	22.24	53.65	51.12	57.7
Ssbp4	0.0	0.0	0.0	129.81	157.67	149.81
St6galnac2	0.0	0.0	0.0	4.73	4.23	4.48
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tbl1x	0.0	2.38	4.8	41.08	38.06	42.11
Tcf20	0.0	17.33	13.15	41.58	41.79	43.86
Tcf7	0.0	0.0	0.0	4.64	4.58	5.57
Tnpo1	0.0	12.31	0.76	27.68	24.03	28.16
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Txlna	0.0	0.0	0.0	30.84	31.54	29.7
Ubqln2	0.0	17.1	32.13	164.55	175.3	163.88
Uck2	0.0	0.0	0.0	26.5	27.44	26.67
Uhmk1	0.0	0.0	0.0	88.22	83.8	88.49
Usp1	0.0	0.0	0.0	21.59	20.18	20.61
Usp28	0.0	4.87	0.76	23.75	22.79	22.92
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Wfdc3	0.0	0.0	0.0	0.99	1.17	0.13
Zdhhc8	0.0	0.11	0.0	58.16	64.64	66.92
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK140300	0.0	0.0	0.0	1475.61	1565.1	1568.58
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
