	Cux2_tdTpositive_cell_85	Cux2_tdTpositive_cell_94	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_49	Rbp4_tdTpositive_cell_179	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_187	Rbp4_tdTnegative_cell_22	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTpositive_cell_102	Rbp4_CTX_10pg_1	Rbp4_CTX_10pg_2	Rbp4_CTX_10pg_5	Rbp4_CTX_10pg_6	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Nrl	0.45	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.03	0.0	0.0	0.62	0.63	0.54
Nudt14	40.73	0.0	0.0	0.0	80.59	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.59	0.0	67.04	177.44	49.17	11.07	12.73	13.56
Pa2g4	457.07	0.0	0.14	0.0	348.31	145.26	110.08	129.91	129.68	0.0	6.81	12.37	178.63	0.06	7.01	133.64	37.89	57.75	62.67	56.01
Pik3ca	71.91	0.74	0.24	0.0	57.37	3.11	0.63	28.0	3.35	0.04	11.05	16.23	66.13	1.78	0.62	10.96	2.98	22.54	19.27	21.83
Prkag1	500.2	0.0	0.0	0.0	166.57	7.6	26.95	115.39	6.04	0.37	0.0	151.88	3.18	73.73	65.31	56.92	75.38	65.05	62.38	61.32
Psd3	186.22	10.65	0.0	0.0	59.3	148.92	42.32	70.58	23.82	0.0	11.39	0.78	51.15	42.92	106.49	37.21	59.59	186.39	161.39	187.14
Psme2	407.36	0.0	0.0	0.0	0.0	0.0	214.15	80.35	0.0	0.0	0.0	0.0	1.94	77.54	128.0	136.19	122.51	38.77	44.63	39.94
R3hdm2	88.5	21.11	0.0	0.0	143.03	98.57	27.06	83.12	27.49	0.0	34.64	20.44	60.81	65.5	37.45	41.03	77.95	167.66	158.1	167.93
Rab15	439.36	0.0	0.0	0.0	236.21	138.17	0.1	56.79	27.22	0.0	13.74	53.53	65.79	15.27	193.72	25.75	93.12	208.71	198.88	208.71
Rarb	163.34	0.0	0.0	0.0	106.63	0.0	0.0	0.0	12.57	0.0	0.0	0.0	0.0	0.11	0.17	0.3	0.19	21.59	22.3	17.81
Rasa4	60.35	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	29.78	5.56	5.17	4.58
Rassf5	168.72	0.0	0.0	0.0	91.67	0.0	0.0	2.57	0.0	0.0	21.07	0.0	0.0	0.0	0.0	0.0	0.16	21.93	21.35	19.75
Rpl12	679.25	92.58	0.0	96.18	1202.02	75.97	480.97	362.11	191.18	11.41	54.7	415.9	181.84	145.96	140.29	500.82	311.26	410.23	455.55	428.14
Rtn3	734.72	370.63	0.91	0.11	539.68	296.8	183.51	448.59	263.68	0.0	171.32	607.83	339.0	551.61	558.69	303.81	750.99	912.78	919.98	888.17
Sbf2	21.57	0.11	0.0	0.0	0.0	10.94	2.73	0.0	1.92	0.0	24.76	0.0	0.06	9.44	0.02	14.27	7.99	27.17	24.22	28.23
Scaf1	23.26	0.0	0.0	0.0	22.18	7.41	0.0	14.14	3.16	0.0	5.55	1.26	0.07	2.7	23.93	0.07	4.46	82.36	94.79	90.63
Serp2	240.09	56.72	0.0	0.0	194.85	151.56	0.45	1.82	7.75	0.0	179.54	131.67	30.45	1.63	19.6	81.26	2.69	141.78	155.98	144.95
Slc38a1	100.31	0.0	0.0	0.0	48.4	65.16	0.0	20.03	4.82	0.0	0.16	12.85	0.64	3.59	23.93	29.07	11.32	77.2	74.6	78.82
Slmo2	449.0	0.0	0.0	0.0	256.14	22.93	0.0	81.86	72.03	0.0	0.2	0.0	410.89	53.43	51.04	77.02	56.72	64.0	64.79	65.77
Snrnp200	191.5	62.83	0.0	0.0	160.78	12.09	29.66	70.8	4.44	0.0	0.28	15.53	115.95	59.62	52.46	24.38	17.21	56.11	58.53	58.1
Snx30	98.68	0.67	0.11	0.0	22.55	1.05	0.09	0.15	3.26	0.05	0.43	0.35	0.49	0.13	8.96	10.05	0.92	20.11	19.75	19.6
Stt3b	245.84	49.08	0.0	0.0	120.84	129.67	0.0	5.22	1.43	0.0	9.2	1.25	0.35	22.56	67.44	0.36	0.17	65.68	64.99	63.55
Taf12	507.88	0.0	0.0	0.0	218.11	1.43	0.0	2.21	0.0	0.0	0.0	0.0	718.08	103.11	0.35	7.42	35.76	18.37	19.19	16.52
Tbcc	201.03	0.0	0.0	0.0	104.27	0.0	0.0	1.2	0.0	0.0	0.0	16.46	0.08	0.0	0.11	0.0	0.0	18.97	22.03	21.09
Unc5a	179.3	0.0	0.0	0.0	39.38	37.33	0.16	44.21	16.25	0.0	9.95	0.0	10.45	20.52	8.02	0.03	9.15	66.21	71.14	67.84
Zfp248	436.79	0.33	0.09	0.38	119.0	1.75	0.83	1.04	0.59	0.56	2.82	3.52	442.23	0.18	0.08	41.69	57.83	8.23	7.55	8.22
Zfp598	29.4	0.0	0.0	0.0	0.0	14.32	0.0	0.09	0.19	0.0	9.4	26.2	0.13	0.0	0.0	0.0	0.0	29.85	31.91	30.48
c17_SSU-rRNA_Hsa	5524.56	2412.47	1516.89	1491.94	3693.03	32310.68	2454.01	15042.54	18147.83	3854.41	62935.79	39573.42	23420.99	22437.39	28697.02	28103.63	31264.04	987.3	970.01	1090.51
mt_AK153847	1763.48	0.0	0.0	0.0	1366.12	218.22	18.61	18.03	0.0	80.93	1106.6	1406.79	89.41	1337.1	1112.33	442.59	637.84	7244.76	6702.54	7355.06
