	Calb2_tdTpositive_cell_33	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_42	Cux2_tdTpositive_cell_62	Gad2_tdTpositive_cell_1	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_109	Nos1_tdTpositive_cell_37	Ntsr1_tdTpositive_cell_19	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_76	Ntsr1_tdTnegative_cell_6	Ntsr1_tdTnegative_cell_31	Ntsr1_tdTnegative_cell_36	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_32	Rbp4_tdTpositive_cell_50	Rbp4_tdTpositive_cell_69	Rbp4_tdTpositive_cell_138	Scnn1a.Tg3_tdTnegative_cell_4	Slc17a6_tdTpositive_cell_36	Vip_tdTpositive_cell_20	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_11
Gm2506	0.0	10.98	22.87	48.6	0.0	0.0	415.15	0.0	47.74	81.28	272.53	147.69	178.93	92.75	3.5	0.0	0.0	0.0	8.59	19.48	0.0	16.78	0.0	0.0	0.0	103.08	75.81	61.27	76.52	71.98	74.33
Gm5460	1.94	0.0	0.94	1.71	0.0	1.55	1.98	4.19	1.31	0.34	0.54	0.38	0.63	0.21	1.52	0.14	1.07	0.87	1.27	0.51	0.99	3.46	0.0	0.65	0.0	0.97	0.31	0.24	0.4	0.55	0.0
Gm8898	0.0	0.0	0.83	18.01	0.5	0.0	0.08	1.62	2.27	0.0	0.48	0.13	0.0	2.02	0.07	0.28	1.22	0.19	1.1	0.42	0.0	13.65	0.07	1.56	0.25	2.49	0.72	0.99	0.9	1.65	0.0
Gnpnat1	45.97	0.0	0.0	54.37	0.0	0.0	0.0	0.15	80.92	1.9	0.28	67.72	0.0	13.91	0.0	51.75	0.0	0.0	105.62	0.0	0.0	69.47	0.0	191.74	0.2	48.85	16.4	53.4	26.47	29.89	137.59
Gpr22	46.6	108.98	26.61	471.64	0.0	68.74	27.43	67.4	241.48	132.09	97.13	127.25	7.31	165.08	21.1	0.46	25.62	0.0	201.53	15.89	123.24	63.58	0.0	156.18	35.03	86.48	59.06	92.57	76.83	60.48	57.87
Gria3	189.48	0.0	211.89	375.77	84.39	0.0	357.9	86.49	241.79	152.08	86.06	101.76	172.74	164.88	70.43	46.47	276.48	0.0	135.81	146.64	249.87	394.14	0.0	193.63	0.1	212.28	181.84	335.92	241.89	223.69	33.1
Gtf3c4	0.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.3	0.0	0.0	0.07	3.71	0.0	0.07	113.82	30.48	0.0	0.0	0.07	0.08	1.08	3.02	3.87	2.25	0.0
Hint3	0.0	0.0	0.0	0.0	5.1	0.0	0.0	0.0	0.0	0.0	70.35	0.52	0.0	0.0	0.0	0.0	4.66	0.0	107.5	43.27	0.0	1.79	0.0	1.13	0.0	13.22	4.55	9.62	4.22	4.79	0.0
Hmgb1-rs17	0.76	2.44	2.97	0.51	0.27	2.06	1.46	1.56	2.5	1.55	0.39	1.1	1.22	0.42	0.0	3.19	2.58	0.25	3.91	1.46	3.12	4.03	1.18	6.52	1.12	3.36	1.74	1.28	0.84	0.77	0.98
Hsbp1l1	0.16	0.0	0.0	5.69	0.0	0.0	0.0	0.0	0.0	0.26	0.22	0.0	0.27	0.0	0.0	0.0	0.0	0.0	42.08	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	2.09	0.51	0.0
Impdh2	220.98	729.33	24.7	213.7	0.0	0.0	161.11	5.54	120.43	315.55	0.0	137.21	0.0	232.64	65.64	232.26	0.63	0.0	360.29	224.7	0.0	334.07	0.0	80.89	0.31	123.68	104.09	107.37	110.04	92.83	182.86
Ints12	0.0	0.0	0.0	0.0	0.0	0.0	3.22	38.51	39.12	0.0	0.0	0.11	0.0	0.17	0.0	0.0	51.16	0.0	38.19	0.0	2.79	95.34	0.0	0.49	0.0	20.72	19.49	29.33	29.69	20.09	0.11
Klhl20	57.37	74.26	3.49	34.55	0.18	0.13	0.11	0.0	0.49	22.96	1.32	1.01	0.16	0.0	0.0	10.99	0.0	0.18	36.78	0.3	2.07	56.18	0.0	0.54	0.0	12.66	4.47	11.46	6.93	8.54	0.08
Klhl32	0.0	0.0	0.0	0.0	0.0	0.0	38.14	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124.15	0.0	0.0	0.0	17.13	15.04	6.77	15.05	3.07	0.0
Krtcap2	323.93	0.0	141.14	302.82	143.64	0.0	295.57	112.18	300.2	284.47	165.87	129.97	437.83	219.95	0.0	184.86	156.97	0.0	389.59	163.64	93.95	47.94	1.63	199.65	0.0	211.91	229.32	166.74	202.07	202.5	179.02
Mettl17	0.0	0.0	75.33	72.51	0.0	0.0	143.55	0.24	98.3	0.0	0.0	91.59	131.57	0.32	0.0	0.0	0.0	0.0	0.0	63.93	0.0	89.21	0.0	0.0	279.24	6.64	24.11	14.0	28.19	18.24	70.11
Mrto4	136.98	0.0	2.52	0.35	0.0	0.0	108.49	0.0	0.0	163.57	0.0	0.38	186.71	147.06	95.41	50.87	7.39	0.0	133.5	0.0	73.03	180.54	0.0	73.5	234.69	45.41	70.37	48.6	50.97	45.98	0.0
Naa35	175.69	0.0	0.0	98.14	83.0	0.0	190.01	132.9	155.53	0.0	0.0	0.39	95.79	0.0	109.79	93.16	153.44	0.0	163.37	201.56	1.35	157.05	103.05	58.89	0.77	55.48	76.66	109.56	60.09	68.08	0.0
Nap1l1	323.21	723.25	393.02	390.28	151.13	218.2	100.55	281.19	379.71	255.28	162.6	502.99	272.63	345.59	424.25	161.42	221.38	2.02	424.49	364.49	200.17	366.03	9.49	253.18	338.21	272.4	383.46	341.48	317.88	343.79	98.4
Ncam2	0.54	0.0	0.09	0.28	0.0	7.31	3.07	18.46	8.85	10.08	0.0	63.91	8.4	20.48	0.13	3.61	43.85	0.0	0.0	22.8	0.0	149.29	0.0	0.0	15.35	39.63	24.82	14.76	15.28	14.98	0.0
Negr1	2.49	3.08	77.43	34.64	0.35	0.0	139.45	39.48	66.96	5.28	4.92	1.73	8.28	7.63	98.36	48.63	32.0	0.0	120.48	28.76	60.21	50.38	0.0	11.99	71.61	48.28	15.93	69.74	27.55	43.45	9.99
Nexn	0.0	0.0	0.0	9.26	0.0	0.0	23.08	0.15	0.0	11.49	0.32	34.89	18.68	22.06	18.69	8.23	20.18	0.0	32.16	0.0	0.0	12.51	0.0	0.86	0.0	16.46	10.17	5.59	3.23	3.98	29.57
Npl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	65.83	0.0	0.0	0.0	0.0	45.52	0.0	29.45	8.63	7.38	8.51	7.07	0.0
Nsa2	88.78	68.81	98.58	75.84	53.99	47.53	0.0	9.04	52.06	79.02	87.0	25.11	46.46	1.48	18.86	119.43	62.36	0.0	63.29	38.47	144.5	69.22	0.0	19.02	0.0	39.5	30.82	25.61	35.76	32.63	0.0
Nub1	23.46	140.49	65.26	112.35	0.32	21.91	12.15	15.43	113.72	45.35	15.2	61.44	0.0	88.67	97.48	12.14	68.16	0.0	91.71	74.56	99.21	54.25	8.4	1.06	0.0	68.19	39.57	41.77	42.24	56.93	0.19
Nudt8	0.0	0.0	2.42	22.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.6	0.0	0.0	0.0	1.54	0.0	0.0	1.85	0.0	0.0
Obox3	0.0	0.16	0.0	0.16	0.0	0.0	0.55	0.0	0.2	0.0	0.18	0.0	1.39	0.0	0.0	0.0	0.0	2.3	0.18	0.83	0.0	3.67	0.0	0.9	0.32	0.17	0.13	0.19	0.0	0.22	0.31
Pdzd4	7.7	0.0	3.71	0.0	4.6	0.0	0.0	0.0	3.19	0.0	1.82	9.42	14.86	0.0	0.0	0.53	0.0	0.0	0.0	0.12	3.52	19.65	0.0	0.55	3.26	3.66	0.44	4.18	5.08	3.39	0.0
Phf17	0.0	0.0	0.0	17.63	35.25	50.35	36.99	7.16	1.24	7.55	0.0	2.53	65.22	44.94	0.0	1.43	0.19	0.0	15.03	1.7	0.48	32.86	0.0	28.44	0.0	7.46	3.46	7.0	5.16	6.71	0.0
Pigr	2.0	1.28	0.98	0.82	2.13	4.68	0.27	1.41	0.7	0.73	0.81	0.0	0.79	0.58	0.96	0.68	0.56	0.25	1.59	1.09	0.3	1.83	0.0	0.0	0.09	1.81	0.29	0.89	0.63	0.9	1.05
Polr2g	347.84	281.05	293.22	164.85	167.79	274.48	454.44	156.55	664.31	408.48	684.74	112.4	556.56	185.9	351.97	446.2	319.53	0.0	561.7	209.5	160.44	308.2	0.0	257.83	261.72	439.61	344.41	443.47	455.58	444.67	843.11
Rabep2	0.0	0.0	0.0	0.0	0.0	0.0	1.45	9.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.08	0.0	0.0	40.78	0.0	6.97	23.76	1.02	2.18	3.88	1.36	2.88	0.0
Ralgapa2	1.7	1.23	1.4	1.83	1.0	0.71	3.32	15.96	2.17	0.95	15.33	31.32	1.72	1.37	0.36	2.53	1.67	0.16	12.68	0.86	0.76	7.07	0.28	1.58	0.19	4.99	2.64	3.97	4.36	3.83	8.01
Ranbp17	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.87	0.0	0.0	0.0	0.0	20.23	0.0	0.0	0.0	3.75	0.2	2.01	1.02	0.21	1.03
Rap2b	63.7	0.0	71.53	101.41	26.55	0.1	65.23	116.17	92.79	30.78	27.7	31.89	13.66	38.65	73.23	9.09	52.59	0.0	92.04	16.06	45.84	110.07	0.0	67.35	14.95	87.37	45.7	199.7	135.11	137.06	31.59
Rfx2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0
Rnf138	4.35	0.0	26.45	6.62	0.0	0.0	0.0	3.21	91.49	25.09	0.0	0.0	0.65	30.12	0.0	0.0	1.35	0.0	19.21	6.49	0.0	80.46	0.0	12.74	0.17	19.21	8.74	16.92	16.32	12.76	3.33
Rps2	0.0	0.0	93.48	10.18	0.0	0.0	0.0	63.69	63.04	52.39	28.47	4.35	146.75	6.3	0.0	39.6	0.53	0.0	199.18	57.65	17.75	39.23	0.0	1.53	0.0	35.33	12.27	15.78	24.64	31.39	77.79
Rqcd1	0.96	441.55	46.21	29.89	0.0	0.0	0.0	60.88	47.45	124.36	35.15	64.73	37.86	53.17	40.24	120.97	126.25	0.0	115.09	59.85	0.0	178.96	0.0	175.8	168.42	127.52	133.91	178.22	146.27	126.08	25.38
Scrn1	0.0	184.1	33.27	21.04	0.0	0.0	0.0	59.45	28.84	42.02	40.45	201.25	34.76	2.16	177.09	1.8	95.76	0.0	197.13	135.33	0.5	0.67	0.0	37.29	0.29	92.48	46.71	83.43	75.84	88.18	93.06
