	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_2	Calb2_tdTpositive_cell_19	Calb2_tdTpositive_cell_28	Calb2_tdTpositive_cell_29	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_43	Calb2_tdTpositive_cell_48	Calb2_tdTpositive_cell_51	Calb2_tdTpositive_cell_52	Calb2_tdTpositive_cell_61	Calb2_tdTpositive_cell_62	Chat_tdTpositive_cell_4	Chat_tdTpositive_cell_6	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_45	Chrna2_tdTpositive_cell_70	Ctgf_tdTpositive_cell_1	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_10	Cux2_tdTpositive_cell_71	Cux2_tdTpositive_cell_81	Cux2_tdTpositive_cell_85	Cux2_tdTpositive_cell_115	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_12	Gad2_tdTpositive_cell_45	Htr3a_tdTpositive_cell_3	Htr3a_tdTpositive_cell_52	Htr3a_tdTpositive_cell_66	Htr3a_tdTpositive_cell_71	Htr3a_tdTpositive_cell_74	Htr3a_tdTpositive_cell_81	Htr3a_tdTpositive_cell_94	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_21	Ndnf_tdTnegative_cell_7	Nkx2.1_tdTpositive_cell_3	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_71	Nr5a1_tdTpositive_cell_35	Ntsr1_tdTpositive_cell_18	Ntsr1_tdTpositive_cell_57	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_29	Ntsr1_tdTnegative_cell_38	Ntsr1_tdTnegative_cell_42	Ntsr1_tdTnegative_cell_46	Pvalb_tdTpositive_cell_80	PvalbD.Slc32a1_tdTpositive_cell_22	PvalbD.Slc32a1_tdTpositive_cell_27	PvalbD.Slc32a1_tdTpositive_cell_43	PvalbF.Gad2_tdTpositive_cell_7	PvalbF.Gad2_tdTpositive_cell_24	Rbp4_tdTpositive_cell_33	Rbp4_tdTpositive_cell_56	Rbp4_tdTpositive_cell_119	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_5	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_15	Rbp4_tdTnegative_cell_17	Rbp4_tdTnegative_cell_23	Scnn1a.Tg2_tdTnegative_cell_12	Scnn1a.Tg2_tdTnegative_cell_15	Scnn1a.Tg3_tdTpositive_cell_65	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_11	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_18	Sst_tdTpositive_cell_9	Sst_tdTpositive_cell_38	Sst_tdTpositive_cell_41	Sst_tdTpositive_cell_54	Sst_tdTpositive_cell_58	Sst_tdTpositive_cell_78	Sst_tdTpositive_cell_82	Sst_tdTpositive_cell_85	Sst_tdTpositive_cell_91	Sst_tdTpositive_cell_97	Sst_tdTpositive_cell_98	Vip_tdTpositive_cell_4	Vip_tdTpositive_cell_12	Vip_tdTpositive_cell_18	Vip_tdTpositive_cell_24	Vip_tdTpositive_cell_25	Vip_tdTpositive_cell_28	Vip_tdTpositive_cell_33	Vip_tdTpositive_cell_35	Vip_tdTpositive_cell_38	Vip_tdTpositive_cell_61	Vip_tdTpositive_cell_69	CAV_LP_Ipsi_tdTpos_cell_16
Celsr2	0.06	0.25	23.95	0.0	3.5	0.01	0.0	0.0	18.84	9.76	0.0	1.58	33.86	4.55	0.0	4.49	5.25	0.0	0.0	0.0	19.72	0.0	46.16	28.38	0.0	0.0	0.0	0.0	17.38	7.36	4.42	0.0	58.26	0.09	33.25	0.0	0.04	0.0	0.0	0.08	20.5	1.6	25.75	31.09	32.96	0.0	0.0	0.06	0.0	0.0	0.0	2.18	1.91	0.0	0.0	30.5	2.13	16.34	10.47	45.91	0.02	0.06	1.02	0.0	0.0	0.0	0.0	0.0	0.0	0.07	49.23	0.0	0.0	0.0	0.0	5.3	0.0	16.57	7.41	22.38	7.38	15.5	7.72	0.57	21.95	24.64	0.0	0.0	66.52	0.0	28.58	11.32	0.0	24.68	16.51	0.0	10.81	0.19
Chd5	13.18	0.0	0.0	0.0	0.27	0.0	8.82	0.0	1.04	38.77	0.0	3.38	2.08	3.5	3.03	0.0	16.99	0.0	0.0	0.0	0.07	20.68	2.59	0.46	0.0	0.0	0.0	11.68	0.62	0.83	10.53	0.0	0.05	4.54	5.97	0.0	0.0	0.0	0.0	2.02	0.77	1.86	46.69	3.55	5.43	0.0	0.0	0.0	0.0	0.0	0.0	14.89	1.19	15.18	7.88	16.32	7.54	3.1	15.37	5.05	0.02	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.07	10.06	0.0	0.0	0.0	0.0	7.56	55.43	3.37	0.42	9.3	1.39	2.18	1.65	6.64	25.38	2.04	2.62	1.02	4.13	21.66	1.25	24.14	0.76	0.0	1.87	0.12	0.0	24.05
Csrnp3	43.57	0.87	6.2	5.58	41.32	0.0	0.05	0.1	15.88	0.0	0.07	4.14	49.93	0.0	20.57	14.68	53.48	0.0	0.03	0.0	0.06	65.69	26.89	84.67	0.12	0.06	0.11	11.13	25.81	3.06	0.28	0.04	2.71	9.17	7.21	0.21	0.0	0.09	0.0	1.1	15.7	13.66	0.49	30.73	0.11	0.12	0.04	0.0	0.5	0.07	0.07	1.3	21.71	6.85	16.17	6.22	12.95	6.34	15.02	29.5	0.08	0.29	0.02	0.81	0.09	0.09	0.0	1.0	0.21	1.34	100.48	0.05	0.0	1.89	0.05	53.56	138.34	0.12	39.43	32.1	33.23	36.88	35.95	26.8	36.47	13.57	104.36	36.77	49.78	0.19	39.0	0.0	24.25	0.34	0.0	0.16	0.04	0.04
Dock3	5.81	4.8	1.87	3.98	2.18	63.37	41.77	0.0	1.73	1.21	0.07	32.73	0.69	76.85	5.45	35.41	6.16	0.0	0.0	0.0	15.42	39.97	27.79	13.0	0.0	0.0	0.0	40.63	36.71	49.75	30.92	6.82	18.23	0.32	26.57	0.0	0.0	0.0	9.63	0.05	12.61	4.06	32.54	74.03	101.69	0.0	0.0	0.0	0.0	0.04	0.0	0.13	4.44	8.83	19.91	11.76	11.7	27.49	4.75	38.11	0.0	1.16	14.06	23.09	0.0	8.25	0.0	0.0	170.94	0.0	69.14	0.0	0.0	0.0	52.22	8.15	3.71	0.69	13.72	14.37	16.41	11.45	3.51	46.13	2.07	18.86	12.89	12.11	1.85	55.36	82.87	0.05	2.02	0.35	5.51	4.46	0.05	27.7
Dpf1	0.0	1.77	8.79	7.35	89.41	3.24	0.0	0.0	15.97	2.35	14.14	9.83	1.4	1.96	0.0	9.54	20.01	0.0	0.0	0.0	5.4	2.95	4.13	61.42	0.0	0.0	3.01	9.68	3.55	4.84	0.0	14.46	1.17	13.64	6.16	0.0	0.0	0.0	0.0	3.66	0.0	12.78	21.7	5.82	8.14	0.0	0.0	0.0	0.0	13.44	14.15	1.17	2.44	0.33	63.13	19.13	0.0	5.55	6.41	10.33	0.0	0.13	2.9	0.0	0.0	0.0	0.0	0.0	0.3	0.0	16.38	0.0	0.0	0.0	1.8	6.46	16.43	37.85	14.34	21.47	0.6	15.82	120.52	18.75	1.24	82.42	0.19	9.42	30.69	13.36	0.35	10.49	9.54	9.02	20.45	0.0	0.0	2.66
Eml5	35.16	0.0	88.35	0.0	12.38	0.0	0.0	0.0	25.5	36.79	0.0	34.66	83.37	152.61	0.04	0.14	1.16	0.0	0.0	0.0	36.82	86.14	144.02	21.71	0.0	0.0	0.0	0.0	3.21	0.82	0.0	0.0	25.52	1.38	30.79	0.0	0.0	0.0	0.0	1.59	31.3	2.48	92.6	36.41	72.7	3.01	0.0	0.0	0.0	5.28	0.06	3.67	72.8	37.94	26.29	14.51	2.18	29.65	18.64	19.67	0.54	17.72	35.86	0.08	0.0	0.0	0.0	0.0	19.18	8.94	101.96	0.0	0.0	0.0	0.0	50.05	11.68	27.15	45.39	19.04	1.44	2.24	52.63	0.48	23.54	23.09	9.03	37.33	0.04	130.34	0.0	3.31	63.86	38.61	9.95	28.34	0.04	0.39
Gm14288	7.74	15.4	2.65	1.43	3.87	1.13	3.04	0.0	16.41	16.24	3.95	35.55	1.78	1.37	0.92	5.66	4.5	0.15	0.0	0.0	5.92	0.19	6.84	27.42	0.0	0.0	5.51	10.49	19.85	4.83	0.0	30.95	6.81	1.37	60.79	0.0	0.0	5.11	0.37	0.63	3.3	7.39	1.65	0.77	29.09	0.0	0.0	0.6	0.0	1.13	98.88	6.67	5.15	1.32	12.63	3.46	22.42	4.61	5.59	1.95	1.34	14.66	5.9	2.37	0.0	0.03	0.16	0.0	15.0	2.64	14.93	0.0	1.0	0.0	0.64	3.97	3.82	24.75	14.64	2.34	1.21	3.65	49.83	3.19	4.82	5.17	15.4	0.38	83.06	11.01	1.75	5.29	21.75	104.41	17.61	5.11	6.25	1.68
Gm14430	0.0	0.37	0.0	0.0	7.86	0.21	15.26	61.33	0.0	34.51	0.0	48.49	5.25	0.0	0.0	1.6	0.0	0.0	0.0	0.0	3.12	0.0	19.94	0.0	0.04	0.0	0.0	0.0	0.0	1.74	14.57	1.31	27.27	0.0	19.17	0.0	0.0	0.0	0.0	30.21	11.85	0.22	1.33	11.9	21.67	0.0	0.0	0.0	0.0	0.01	0.0	36.78	1.86	0.0	20.74	19.12	35.07	6.31	1.8	0.0	0.0	0.72	0.0	0.0	0.28	0.0	0.21	0.0	0.43	0.67	0.11	0.0	0.0	0.0	0.09	11.21	0.0	0.37	42.42	36.31	1.27	4.53	50.2	28.02	4.11	21.08	86.85	1.27	0.14	0.0	0.66	17.1	26.36	84.4	41.01	0.0	2.15	0.93
Gm14434	0.0	0.37	0.0	0.0	7.86	0.21	15.26	61.33	0.0	34.51	0.0	48.49	5.25	0.0	0.0	1.6	0.0	0.0	0.0	0.0	3.12	0.0	19.94	0.0	0.04	0.0	0.0	0.0	0.0	1.74	14.57	1.31	27.27	0.0	19.17	0.0	0.0	0.0	0.0	30.21	11.85	0.22	1.33	11.9	21.67	0.0	0.0	0.0	0.0	0.01	0.0	36.78	1.86	0.0	20.74	19.12	35.07	6.31	1.8	0.0	0.0	0.72	0.0	0.0	0.28	0.0	0.21	0.0	0.43	0.67	0.11	0.0	0.0	0.0	0.09	11.21	0.0	0.37	42.42	36.31	1.27	4.53	50.2	28.02	4.11	21.08	86.85	1.27	0.14	0.0	0.66	17.1	26.36	84.4	41.01	0.0	2.15	0.93
Gm4724	0.0	0.37	0.0	0.0	7.86	0.21	15.26	61.33	0.0	34.51	0.0	48.49	5.25	0.0	0.0	1.6	0.0	0.0	0.0	0.0	3.12	0.0	19.94	0.0	0.04	0.0	0.0	0.0	0.0	1.74	14.57	1.31	27.27	0.0	19.17	0.0	0.0	0.0	0.0	30.21	11.85	0.22	1.33	11.9	21.67	0.0	0.0	0.0	0.0	0.01	0.0	36.78	1.86	0.0	20.74	19.12	35.07	6.31	1.8	0.0	0.0	0.72	0.0	0.0	0.28	0.0	0.21	0.0	0.43	0.67	0.11	0.0	0.0	0.0	0.09	11.21	0.0	0.37	42.42	36.31	1.27	4.53	50.2	28.02	4.11	21.08	86.85	1.27	0.14	0.0	0.66	17.1	26.36	84.4	41.01	0.0	2.15	0.93
Gm5177	41.01	34.96	51.25	9.85	55.01	35.57	54.44	32.43	33.5	40.57	12.97	52.88	31.86	31.1	42.15	37.74	35.13	5.04	2.27	13.85	34.1	17.67	12.15	30.89	2.56	22.95	11.25	25.18	27.57	29.37	37.33	13.79	37.19	19.89	27.66	0.11	8.76	0.12	17.17	38.99	42.83	27.3	17.96	43.52	18.17	2.5	2.9	6.84	12.78	3.9	16.79	38.97	48.32	66.42	46.66	48.72	14.62	49.49	58.67	27.76	23.06	5.9	9.62	13.22	0.47	6.22	14.35	0.5	0.36	5.57	9.13	3.5	10.33	4.2	12.28	28.57	33.03	37.6	30.0	28.44	55.7	31.94	38.97	38.89	22.56	28.04	33.03	25.67	22.67	23.7	38.33	38.24	28.45	30.56	20.85	19.27	12.1	36.78
Grin1	16.69	0.14	0.0	0.0	0.0	2.15	1.16	0.0	27.51	29.05	0.0	12.68	44.56	29.38	0.63	57.03	6.54	0.0	0.0	0.0	17.96	45.05	50.66	27.65	0.0	0.0	0.0	40.28	4.6	1.7	177.88	0.13	66.81	44.47	15.36	0.0	0.0	0.0	0.0	6.36	6.68	0.25	34.14	0.84	24.59	0.0	0.0	0.0	0.58	0.0	0.0	0.46	0.61	9.94	17.07	25.24	13.01	1.68	0.09	34.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	3.38	0.0	0.0	0.0	0.0	3.87	0.92	6.43	10.53	19.41	5.09	2.02	0.0	11.66	0.63	0.14	203.07	24.44	0.66	0.0	4.81	0.24	59.75	0.67	126.69	0.0	0.0	0.0
Grlf1	85.59	0.16	13.59	39.29	0.72	1.05	0.0	0.0	92.39	39.32	4.86	44.38	6.34	5.74	14.77	29.74	78.3	0.0	0.0	0.0	40.76	25.99	5.79	23.41	0.47	0.0	28.84	0.05	9.17	0.64	0.91	0.89	1.77	0.81	27.86	0.0	0.0	0.0	0.0	2.72	0.47	6.24	46.87	5.57	29.93	8.19	0.2	0.0	0.29	71.53	2.49	3.29	0.03	1.31	14.9	40.89	31.98	1.8	2.17	5.05	3.6	4.15	0.09	0.09	0.0	0.05	0.13	0.0	148.34	0.0	9.06	0.0	0.0	0.0	0.0	9.06	17.26	34.21	1.34	6.95	1.83	9.16	54.25	17.09	0.0	4.55	2.51	61.51	0.1	0.71	4.34	74.42	1.94	3.92	0.0	3.0	0.1	18.03
Hcn1	59.87	0.06	4.69	0.04	0.06	0.0	69.08	0.0	9.09	14.98	0.0	22.55	27.8	0.49	38.71	0.11	14.83	0.0	0.0	0.0	0.45	0.18	0.11	0.07	0.0	0.0	0.0	87.13	48.21	9.52	0.41	0.0	1.32	0.0	5.93	0.0	0.0	0.0	0.0	0.11	57.56	3.81	10.66	44.77	8.16	0.0	0.0	0.0	0.0	0.0	0.0	35.62	43.86	36.07	23.96	96.47	20.36	28.47	0.21	31.48	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.06	0.13	0.0	0.27	6.77	0.22	0.0	7.78	26.34	17.17	9.61	0.0	11.21	46.05	0.26	2.45	115.47	0.06	5.38	45.95	0.12	0.26	0.13	23.43	0.2	2.78	18.94
Hecw1	0.02	6.24	12.93	0.0	27.14	61.46	0.0	0.0	76.48	6.57	0.07	9.03	0.08	0.0	20.02	13.7	44.4	0.0	0.0	0.0	19.64	69.18	0.09	86.3	0.0	0.0	0.0	0.05	14.25	0.0	0.0	0.0	23.19	0.0	0.79	0.0	0.0	0.0	0.0	0.45	17.66	17.11	93.22	37.4	42.2	0.0	0.0	0.0	0.11	0.0	0.0	1.75	13.65	4.08	0.79	6.52	12.81	41.8	23.33	34.92	0.0	0.17	0.3	0.0	0.0	0.0	0.67	0.06	0.07	0.0	52.17	0.0	0.0	0.0	0.0	0.13	83.62	11.42	41.79	31.87	8.17	22.44	0.94	18.21	51.78	10.96	118.52	1.21	1.68	94.06	0.31	0.0	0.11	0.0	0.0	170.64	0.05	53.79
Hmga2	3.88	7.52	0.0	0.0	4.53	0.0	19.44	0.0	2.83	6.13	5.08	10.11	0.57	0.11	1.19	11.77	0.0	0.0	0.0	0.0	0.0	3.84	31.76	3.98	0.0	0.0	9.75	6.77	12.34	3.18	1.85	0.2	12.17	0.0	20.85	0.0	0.0	0.0	0.0	9.65	4.11	0.06	12.02	3.32	4.74	0.0	0.0	0.0	0.0	0.0	0.0	6.45	2.01	3.93	3.3	13.88	8.93	6.99	2.44	0.45	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	19.03	0.0	0.0	18.84	0.0	0.0	2.26	4.64	4.98	2.14	3.1	0.06	16.04	3.39	2.33	11.6	2.85	18.03	3.39	10.09	10.66	5.58	5.22	5.98	12.29	5.58	0.0	0.0	4.23
