	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_12	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_39	Gad2_tdTpositive_cell_41	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_4	Ntsr1_tdTnegative_cell_11	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_18	Ntsr1_tdTnegative_cell_45	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_23	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_21	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Lrch4	0.0	8.72	31.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	414.26	0.0	148.25	0.0	0.0	0.0	3.7	0.0	0.23	19.21	0.0	22.45	11.26	7.66	11.08
Mef2c	0.0	525.31	209.85	0.15	0.15	0.0	0.0	0.0	0.64	0.0	66.79	0.0	691.45	12.03	121.95	112.86	143.45	134.26	619.34	1.38	0.33	4.75	359.59	150.07	269.78	247.15	258.84
Mrap2	0.18	10.3	0.0	0.0	0.0	1.82	0.0	2.69	1.07	4.72	0.0	0.95	13.05	7.48	16.57	1.73	0.0	0.05	0.39	0.0	0.0	0.0	0.0	0.0	7.06	6.98	7.22
Nrl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62	0.63	0.54
Opa3	0.0	5.36	5.68	3.09	2.87	1.73	1.62	5.59	1.68	0.0	1.5	2.73	6.38	8.44	5.8	8.52	7.62	5.15	18.16	3.65	3.59	3.77	3.1	5.49	39.03	38.32	41.46
Pcsk1n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.16	0.0	0.55	0.26	0.26	0.0	0.0	0.0	0.31	0.0	0.0	0.0	383.89	483.91	457.22
Prkab1	0.0	0.0	13.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	1720.81	0.63	940.49	373.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.64	18.44	17.01
Rac1	0.0	255.31	301.6	0.0	0.0	0.0	257.91	0.0	64.45	103.25	113.98	0.27	1772.18	167.55	1295.35	33.37	0.0	4.51	58.26	0.65	0.64	933.05	207.75	97.13	298.7	301.14	284.92
Rapgef6	0.0	0.1	46.96	0.0	0.19	0.0	0.03	0.0	79.98	6.6	205.33	0.45	441.02	0.86	278.17	0.68	0.0	0.11	0.0	0.0	0.25	0.52	0.0	0.11	17.86	16.77	18.45
Rpl31-ps12	5.9	21.57	89.03	37.27	0.0	0.0	0.0	0.0	36.12	20.6	70.27	0.0	407.84	191.89	196.3	198.71	105.35	49.41	108.26	47.63	60.76	196.28	43.63	1.41	242.37	250.32	239.94
Rrp8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	940.76	0.11	838.21	0.0	0.12	0.0	0.16	0.0	643.88	0.17	0.0	0.0	8.12	7.46	7.28
Sft2d2	124.65	155.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	893.33	0.17	625.3	51.83	0.0	0.0	19.93	0.07	0.0	0.0	204.08	26.56	19.91	18.91	18.73
Sgk1	0.0	406.78	4493.41	0.0	0.0	0.0	0.17	0.0	0.34	0.32	0.51	0.76	5400.32	1053.64	8040.38	33.41	0.59	991.64	4018.78	1.66	0.0	0.0	5113.96	3349.75	54.54	75.04	48.81
Sox4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	143.32	0.11	207.55	32.04	0.0	0.0	2.51	0.0	0.0	0.0	0.69	0.0	13.85	16.57	19.85
Tanc2	0.03	92.96	6.7	0.13	0.19	0.0	0.06	0.0	0.1	2.78	0.11	0.24	145.27	14.23	101.93	107.45	192.85	6.93	36.03	0.13	2.94	87.69	0.17	5.38	57.39	54.13	60.94
Tbk1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	271.02	399.08	371.04	101.1	673.8	0.0	0.12	6.91	82.9	0.24	0.0	70.82	245.58	0.0	42.03	39.89	38.13
Tnfaip3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	791.29	0.0	500.1	0.0	0.0	0.0	0.0	0.0	0.0	43.2	0.0	316.17	4.95	4.27	3.9
Whrn	0.0	380.47	0.0	0.0	0.0	0.0	0.0	0.0	42.39	0.0	0.0	0.0	445.94	0.27	317.56	0.0	0.0	195.27	0.0	0.0	0.0	0.0	0.0	0.0	25.21	28.08	30.17
c16_LSU-rRNA_Hsa	162.22	216.65	426.34	55.81	127.44	89.64	136.87	136.33	151.96	216.89	438.99	123.16	456.72	365.72	272.94	495.97	219.07	299.1	452.57	203.34	298.93	134.16	216.65	284.75	922.7	980.77	1029.35
c1_LSU-rRNA_Hsa	75.71	85.56	150.2	66.75	46.78	28.89	235.72	46.51	65.07	141.97	116.35	78.09	383.79	454.25	598.31	293.39	160.74	143.56	330.34	157.05	88.17	93.13	269.32	215.98	245.3	236.37	241.93
c9_LSU-rRNA_Hsa	158.2	573.71	204.63	46.11	117.4	48.7	126.75	136.97	100.56	189.76	456.86	146.89	742.92	601.47	2864.29	191.8	1279.66	241.1	393.01	304.16	116.24	192.05	234.52	478.16	591.27	523.27	614.46
