	Chrna2_tdTpositive_cell_41	Chrna2_tdTpositive_cell_43	Ctgf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_7	Pvalb_tdTpositive_cell_47	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_35	PvalbD.Slc32a1_tdTpositive_cell_37	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_85	PvalbF.Gad2_tdTpositive_cell_87	Tac2_tdTpositive_cell_6	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ceacam15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
Clec12b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
Cpsf7	0.0	0.15	0.0	0.0	0.0	14.6	0.07	109.15	1.23	32.21	0.0	58.45	0.0	33.15	56.89	57.03	58.61
Cyp2c55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.05
Cyp3a57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Dars2	0.46	0.0	0.56	0.13	0.26	1.54	0.16	52.91	0.29	40.26	0.31	0.1	0.23	0.51	15.36	14.16	13.53
Dennd4c	0.0	0.0	0.0	0.0	0.16	1.14	0.0	17.64	0.26	0.22	0.57	0.05	0.01	0.07	9.12	8.66	10.1
Dlec1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.36	0.0	0.0	0.0	0.0	0.0	0.0	1.68	1.56	1.17
Etv5	0.0	5.27	0.0	0.0	32.01	13.65	2.44	66.15	34.95	10.39	3.37	4.04	0.0	39.38	79.74	73.83	71.38
Fgfr2	0.0	0.0	0.0	0.0	0.0	0.45	0.0	35.47	0.08	12.42	0.99	0.49	16.54	0.0	20.36	21.07	22.66
Fhod3	0.0	1.8	0.0	0.0	0.0	4.86	0.0	8.7	31.16	0.0	16.48	0.66	0.06	0.23	31.94	31.54	32.71
Fmo4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Gm12633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Gm14431	0.0	0.0	0.34	0.0	0.76	2.52	0.0	21.35	4.65	0.74	1.58	1.37	1.37	0.0	8.87	7.17	8.34
Gm1647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.14
Gm8898	0.0	0.0	0.34	0.0	0.76	2.52	0.0	21.35	4.65	0.74	1.58	1.37	1.37	0.0	8.87	7.17	8.34
Gpr17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	27.98	29.65	31.41
Gpr89	0.0	0.0	0.0	0.0	0.0	19.62	50.34	219.37	0.7	0.0	81.31	21.22	183.65	0.24	33.97	32.58	33.38
Gxylt1	0.26	0.05	0.0	0.29	0.0	0.05	0.15	25.56	0.09	9.75	0.16	0.06	0.25	0.32	9.29	8.33	8.27
Gzma	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.12
Hk2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	1.4	1.88	1.76
Hsph1	83.95	0.24	0.0	0.0	3.02	98.83	4.44	115.02	118.88	158.28	85.37	84.4	29.31	9.28	238.03	226.06	225.17
Ifit2	0.0	0.0	0.0	0.0	0.12	9.09	0.0	120.14	0.0	1.73	0.0	0.7	0.0	2.01	6.64	6.45	7.55
Kctd19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.03
Lcp2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	2.19	1.83	2.12
Lect2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.12
Myog	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
Ncr1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
Ngf	0.0	0.0	0.0	0.0	237.78	0.0	0.0	231.05	55.83	0.0	0.0	3.34	94.68	0.0	5.09	3.94	4.22
Nox4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Nr2c2	0.0	0.04	0.0	0.0	1.57	11.6	0.0	8.16	11.83	7.32	1.74	2.37	0.79	7.34	47.92	44.91	49.08
Otx2os1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.14
Pcdha11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.08	0.0	0.27	0.0	0.0	0.0	1.41	4.23	4.84	2.9
Pex26	0.0	3.73	0.0	0.0	23.96	4.8	0.0	39.82	0.0	4.09	0.0	0.0	0.08	0.0	11.99	12.25	10.97
Pla2g6	0.0	11.95	0.0	0.0	0.3	0.0	0.0	78.96	0.0	0.0	0.0	0.0	0.0	0.0	13.99	15.4	14.99
Ppm1e	0.55	3.09	0.0	0.11	54.6	60.11	2.69	257.05	38.92	39.13	54.78	65.87	183.2	69.3	127.2	120.08	127.03
Ppp2cb	10.57	17.26	0.0	0.0	52.54	73.47	0.0	132.94	107.01	63.15	1.53	0.0	60.8	84.42	155.13	154.21	139.78
Pramef8	0.0	0.0	0.28	0.0	26.3	0.0	69.69	103.29	10.25	4.31	0.14	0.0	0.0	0.0	9.6	9.87	10.19
Prps1l1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Ptgs1	0.0	0.0	0.0	0.0	0.16	0.0	0.25	188.08	0.0	1.96	0.0	0.0	0.0	0.29	12.29	11.35	12.66
Rbfox3	0.0	2.18	0.0	0.0	2.59	11.34	26.03	23.96	5.92	7.25	30.69	4.36	12.8	1.96	216.71	228.38	226.62
Rhog	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	2.65	0.0	0.0	0.0	0.0	0.0	34.59	32.35	36.77
Rnase13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.17
Senp5	0.05	0.38	0.23	1.01	0.22	11.84	0.82	31.94	0.26	52.98	30.5	0.52	0.62	0.08	32.11	30.03	30.39
Slc34a2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.05
Slfnl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Spns1	71.39	1.23	0.0	0.0	0.0	11.81	0.0	155.69	81.02	40.41	0.0	46.24	0.0	0.0	47.1	54.44	50.3
Tas1r2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.03
Tcstv1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.12
Tfap4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.75	0.0	0.0	0.0	0.0	0.0	0.0	2.63	2.34	2.37
Tmem194	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.04	0.0	0.0	0.16	0.0	0.0	0.0	3.2	2.72	3.53
Tnfrsf9	0.0	0.13	0.25	0.0	0.08	0.0	0.14	0.29	0.0	0.29	0.0	0.0	0.2	0.0	0.57	0.68	0.99
Tube1	0.0	0.41	0.42	0.22	0.0	0.19	0.0	61.27	0.86	0.24	0.18	0.34	0.0	0.39	2.78	2.17	2.93
Ubqln4	0.0	11.33	0.0	0.0	39.82	42.49	6.12	48.86	26.17	28.38	43.07	0.0	0.0	42.51	106.26	110.47	109.06
Zfp35	0.0	0.0	0.0	0.0	0.0	35.46	0.0	76.64	0.0	4.52	67.61	0.13	0.11	16.19	14.16	13.84	12.21
Zfp354b	0.0	0.0	0.0	0.0	0.05	30.81	0.0	85.04	32.42	0.0	1.07	11.51	0.0	0.0	3.12	3.84	2.77
Zfp772	0.85	0.1	12.68	0.0	0.58	1.12	1.37	78.4	0.53	0.9	0.77	10.91	0.9	0.0	11.53	12.53	11.14
mt_AK131586	0.0	0.0	6370.03	4908.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	17.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9032.87	8417.95	8583.15
