	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_43	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_21	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_24	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	Rbp4_tdTpositive_cell_51	Scnn1a.Tg2_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_12
Gm14434	0.0	0.0	0.0	17.66	0.0	0.0	3.32	0.0	0.0	36.04	0.0	14.72	31.75	1.87	26.14	10.3	14.72	6.05	13.5	30.16	14.04	16.5	13.46	3.22	12.83	28.02	3.07	11.03	18.55	13.57	4.08	11.25	0.0	0.32	19.5	0.54	8.34	13.81	2.38	0.08	0.0
Gm4724	0.0	0.0	0.0	17.66	0.0	0.0	3.32	0.0	0.0	36.04	0.0	14.72	31.75	1.87	26.14	10.3	14.72	6.05	13.5	30.16	14.04	16.5	13.46	3.22	12.83	28.02	3.07	11.03	18.55	13.57	4.08	11.25	0.0	0.32	19.5	0.54	8.34	13.81	2.38	0.08	0.0
Gtf2i	0.18	0.11	0.0	0.73	0.54	0.0	2.41	1.1	0.27	3.06	8.98	26.5	28.85	1.06	29.12	40.86	1.31	23.59	35.26	26.45	12.92	25.63	14.27	85.95	7.69	97.94	27.92	41.81	5.25	64.5	11.35	90.43	32.05	7.03	23.96	30.72	25.34	1.93	37.8	0.37	0.0
Gtpbp4	0.0	0.0	0.0	7.67	349.59	0.0	32.75	0.0	0.23	50.62	3.3	173.14	70.36	61.05	93.38	0.65	76.43	136.03	101.68	261.55	71.44	277.87	73.26	174.39	93.82	74.51	44.1	46.13	60.58	25.38	46.73	21.5	49.58	7.82	34.82	45.06	71.79	60.02	130.52	0.0	0.0
Hnrnpa0	21.57	17.25	0.0	35.05	0.0	0.18	32.12	0.0	74.58	102.67	44.55	35.14	27.8	165.73	93.01	118.02	55.8	71.72	83.9	104.08	21.4	65.75	81.98	192.22	23.01	42.67	26.6	42.53	45.68	57.7	54.18	54.57	56.6	85.25	19.19	101.15	8.27	166.08	64.72	21.64	0.0
Jmy	75.15	0.0	0.0	10.75	0.0	0.0	7.34	0.0	0.2	18.8	9.39	24.57	19.19	0.78	17.61	8.77	21.54	21.54	17.66	54.12	1.71	16.3	7.29	44.93	22.7	34.83	0.04	7.47	34.58	14.37	31.41	0.03	0.06	44.72	32.95	12.47	9.53	0.0	12.4	0.0	0.0
Kif5a	0.0	35.39	0.0	114.7	0.0	0.0	75.86	0.0	0.31	75.83	38.98	95.69	74.35	86.72	99.87	101.65	97.06	52.82	142.82	121.67	62.67	65.02	87.32	120.98	79.05	187.99	97.46	149.08	70.34	83.79	152.8	103.14	69.74	132.44	108.96	203.28	67.01	88.2	74.58	0.19	0.0
Ldhb	7486.96	8970.97	2593.67	9309.63	5876.73	5600.23	8752.31	4568.2	6399.01	8750.45	10118.08	10894.4	8525.9	8892.3	8217.62	8583.06	8517.89	9220.91	9343.6	6570.82	8808.99	8574.79	10165.1	9166.61	9602.81	7343.35	11261.44	10004.69	9074.03	13571.31	12546.17	9106.97	8513.41	9755.78	8390.99	11010.48	10182.84	9082.37	11746.38	3719.56	5577.5
Mapk8	0.0	0.0	0.0	24.29	0.0	0.0	0.79	0.0	0.0	28.54	0.0	20.45	8.62	4.77	30.6	23.29	31.23	25.79	7.83	23.78	19.68	26.7	38.56	83.5	9.84	41.24	37.92	10.28	29.36	23.34	22.85	22.98	6.19	0.39	5.61	1.85	37.73	46.48	20.53	0.0	0.0
Mrpl3	0.0	0.0	0.0	6.74	0.0	0.0	9.75	0.0	0.0	0.0	0.0	7.3	2.27	40.93	20.27	29.83	0.0	0.0	10.82	0.0	0.0	0.0	0.0	58.44	0.0	72.55	40.12	34.47	1.9	34.32	0.0	0.5	2.33	13.3	5.29	0.0	12.31	6.31	34.09	0.0	0.0
Mrps25	0.0	50.31	0.0	60.01	0.0	0.33	41.48	0.47	0.0	30.95	117.81	34.51	33.26	51.57	27.09	48.75	20.61	23.47	14.94	45.42	62.22	25.12	74.68	121.53	35.09	19.27	0.0	9.05	29.66	12.39	59.0	45.3	59.32	45.93	37.57	47.3	58.82	59.96	5.17	0.3	0.0
Ndfip1	0.0	0.0	0.38	59.97	0.0	0.52	35.95	0.0	0.0	81.92	47.95	94.15	67.23	52.27	33.36	132.33	50.99	62.5	36.27	138.33	36.11	22.43	98.26	380.53	107.7	264.07	110.36	34.52	37.42	61.24	25.22	53.78	31.74	48.46	102.81	40.8	13.58	63.43	18.59	0.0	0.0
Plxna2	0.0	0.0	0.0	1.19	0.0	0.0	5.72	0.0	0.16	0.0	0.09	6.78	5.88	7.96	0.0	5.49	1.42	10.73	1.26	20.75	16.23	8.1	12.1	34.39	3.97	29.74	1.46	27.64	13.33	5.25	1.17	17.07	4.59	8.69	0.39	1.11	3.67	27.56	4.69	0.04	0.0
Polr2m	0.0	0.0	0.0	6.75	0.0	0.0	24.28	0.0	0.0	5.52	0.0	98.37	12.89	100.94	24.72	56.97	48.85	16.44	27.38	36.73	13.38	47.59	17.13	78.58	36.52	207.08	74.9	62.95	50.98	34.6	4.54	104.24	99.31	24.6	11.61	15.23	54.93	65.51	35.11	0.19	0.0
Ppp2r5c	0.0	104.89	0.0	115.92	0.0	0.0	105.94	23.11	0.85	187.6	138.12	37.05	102.7	191.6	130.04	257.15	122.76	243.56	134.32	287.96	193.16	29.99	138.65	188.28	201.9	389.49	66.03	91.3	208.34	145.12	60.19	179.08	269.68	161.79	149.68	135.22	134.64	127.38	110.31	40.57	0.0
Prpf38a	0.0	0.0	0.0	0.0	2.79	0.0	54.78	0.0	6.41	139.91	3.84	68.18	28.57	13.41	86.13	183.77	14.48	67.77	0.73	80.35	37.01	128.09	73.93	122.01	0.92	174.94	40.2	0.21	75.21	155.14	100.95	42.15	125.6	58.74	66.68	71.88	65.98	34.66	83.48	0.0	0.0
Rgs7bp	0.74	1.11	0.0	40.81	0.95	5.81	52.49	0.67	2.17	34.57	23.82	30.7	38.16	80.03	95.93	136.16	66.56	41.33	21.77	80.66	64.61	46.53	75.33	91.72	8.08	61.98	28.57	51.6	56.56	36.19	27.38	36.07	38.49	52.8	73.45	61.33	10.56	56.86	9.01	0.0	1.02
Scai	0.0	29.05	0.0	1.4	0.03	0.0	6.29	0.0	0.0	11.86	0.02	6.94	1.35	0.64	3.06	3.98	0.0	5.45	0.85	1.03	0.75	0.99	1.61	16.45	1.69	38.94	0.89	1.35	7.95	8.82	4.58	10.4	1.29	5.38	9.52	0.9	6.77	9.29	0.05	0.0	0.0
Slc23a2	0.0	0.04	0.11	62.9	0.0	0.0	10.16	0.0	0.09	12.51	0.19	41.17	9.27	25.35	41.1	51.49	18.15	42.3	47.74	91.14	1.89	6.68	0.81	1.2	7.62	48.88	9.32	45.49	19.42	39.86	6.6	39.19	17.54	86.39	7.6	0.0	17.74	5.39	0.82	0.0	0.0
Smad9	0.13	0.1	0.0	7.31	1.68	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.44	0.65	0.84	0.0	0.0	0.35	0.71	0.34	0.0	2.97	12.69	0.14	0.0	32.68	0.07	0.14	0.0	0.1	8.73	1.7	0.27	0.17	0.19	22.46	0.06	5.26	0.11	0.0	0.0
Taf12	0.0	132.05	0.0	41.74	0.0	0.0	43.81	0.0	0.91	57.82	15.82	17.0	55.79	9.33	35.46	64.81	55.84	106.49	1.23	64.71	37.21	0.0	49.13	1.17	70.11	109.87	80.68	57.15	37.35	187.78	99.22	51.02	40.12	119.3	217.84	133.85	0.0	28.94	80.0	0.0	0.0
Tet2	2.03	19.13	0.0	21.71	48.16	25.19	16.51	34.58	6.8	32.49	0.03	35.02	28.42	26.46	41.54	45.53	39.47	30.07	18.74	62.25	34.95	26.41	12.89	89.08	35.58	40.44	50.44	58.02	28.99	5.81	2.89	51.36	35.48	23.08	23.2	17.13	29.85	27.95	30.63	25.52	0.0
Tnrc6c	0.0	3.05	0.0	20.83	1.82	0.0	6.6	0.0	0.2	10.45	0.17	4.91	21.12	21.57	20.3	13.33	8.47	7.4	6.92	19.01	0.0	4.52	9.3	26.04	11.44	35.48	7.24	23.73	10.98	7.43	15.31	18.69	7.68	18.22	19.59	16.81	12.75	1.13	10.33	0.14	0.0
Usp9x	0.0	43.09	0.0	0.31	0.0	0.0	13.0	0.0	0.15	39.33	7.01	15.05	20.23	24.84	40.66	50.64	50.5	33.29	47.11	39.13	25.54	26.52	99.32	34.81	28.73	80.28	36.66	33.38	12.53	17.53	19.58	23.28	19.18	43.77	52.95	21.71	20.53	51.45	25.07	1.62	0.0
Wbp11	0.0	26.05	0.0	42.63	0.0	0.0	8.48	0.0	0.0	25.75	0.0	33.54	10.28	16.7	3.0	5.8	8.83	13.35	8.57	60.56	6.7	13.61	28.86	42.52	15.09	51.92	14.11	6.31	17.08	1.94	0.45	35.5	48.5	67.96	26.63	2.38	2.82	38.76	9.69	0.15	0.0
Wdr67	0.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	3.57	0.0	2.87	0.61	4.16	22.09	1.25	1.91	0.0	0.0	46.44	53.87	0.9	0.0	69.25	0.0	92.19	14.89	42.29	7.73	0.67	33.73	2.7	0.0	13.65	0.24	0.0	0.54	0.07	0.23	0.0	0.0
Yaf2	218.93	0.0	9.06	62.09	0.0	0.0	32.05	0.0	239.15	0.31	0.88	42.29	106.86	1.38	66.48	133.39	147.13	85.3	112.76	154.04	69.96	126.48	109.34	71.71	88.95	257.09	1.83	55.88	27.67	58.62	12.04	4.85	34.86	57.6	32.98	27.48	45.0	111.72	103.15	0.18	0.0
Zfp385a	1.25	0.0	0.0	0.0	0.0	0.0	21.53	0.0	0.26	5.53	0.87	22.83	20.19	24.65	1.19	10.57	10.87	4.85	2.14	26.66	14.0	17.29	21.63	13.19	12.06	68.32	2.94	7.0	10.97	49.81	24.71	24.79	24.11	0.57	6.11	0.0	1.58	2.52	5.08	0.0	0.0
Zfp780b	1.0	1.6	0.0	36.06	1.88	2.7	19.78	1.82	1.07	2.03	6.1	22.42	10.79	25.48	55.1	20.32	29.06	29.85	25.33	57.13	15.29	27.63	42.62	100.31	1.99	85.06	1.16	23.36	21.37	11.42	32.65	35.54	32.42	41.69	41.53	28.34	10.71	42.17	53.16	1.38	1.61
mt_AK136262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.05	0.04	0.1	0.2	17.46	0.04	0.05	0.0	0.08	20.35	0.17	0.15	7.2	0.21	0.09	39.31	0.0	0.0	0.0	0.0	0.15	0.15	7.33	0.0	0.19	0.04	0.06	0.0	0.0	0.0	0.0
mt_AK142003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.05	0.04	0.1	0.2	17.46	0.04	0.05	0.0	0.08	20.35	0.17	0.15	7.2	0.21	0.09	39.31	0.0	0.0	0.0	0.0	0.15	0.15	7.33	0.0	0.19	0.04	0.06	0.0	0.0	0.0	0.0
mt_AK166798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.05	0.04	0.1	0.2	17.46	0.04	0.05	0.0	0.08	20.35	0.17	0.15	7.2	0.21	0.09	39.31	0.0	0.0	0.0	0.0	0.15	0.15	7.33	0.0	0.19	0.04	0.06	0.0	0.0	0.0	0.0
mt_AK166978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.05	0.04	0.1	0.2	17.46	0.04	0.05	0.0	0.08	20.35	0.17	0.15	7.2	0.21	0.09	39.31	0.0	0.0	0.0	0.0	0.15	0.15	7.33	0.0	0.19	0.04	0.06	0.0	0.0	0.0	0.0
