	Ntsr1_tdTpos_100cell_1	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2
Apln	0.28	0.0	0.0	0.0	21.49	17.42
Arhgap11a	0.18	0.0	0.0	0.0	2.09	2.23
Arhgef26	2.16	0.0	0.0	0.0	16.25	15.83
Ascl1	1.46	0.0	0.0	0.0	6.75	7.22
Ascl2	0.19	0.0	0.0	0.0	0.31	0.29
Axin1	4.2	0.0	0.0	0.0	16.05	17.05
B930003M22Rik	1.0	0.0	0.0	0.0	4.27	4.87
BC013712	0.12	0.0	0.0	0.0	0.93	0.99
BC020535	0.56	0.0	0.0	0.0	3.9	4.45
BC021891	0.05	0.0	0.0	0.0	2.15	2.35
BC028528	9.02	0.0	0.0	0.0	6.77	5.24
Bcl6b	1.04	0.0	0.0	0.0	1.98	1.73
Bco2	0.14	0.0	0.0	0.0	3.77	2.52
C1ra	2.19	0.0	0.0	0.0	2.46	2.46
C1s	0.2	0.0	0.0	0.0	1.36	1.22
Cbln1	0.77	0.0	0.0	0.0	10.84	11.05
Cbs	0.13	0.0	0.0	0.0	23.96	25.78
Cbx2	0.24	0.0	0.0	0.0	3.1	2.92
Ccdc11	0.96	0.0	0.0	0.0	0.32	0.3
Ccdc146	0.09	0.0	0.0	0.0	0.35	0.27
Ccdc88b	0.12	0.0	0.0	0.0	2.13	2.33
Ccdc99	0.12	0.0	0.0	0.0	0.28	0.3
Ccr7	0.61	0.0	0.0	0.0	0.1	0.09
Cd248	0.23	0.0	0.0	0.0	3.7	3.81
Cdca2	1.0	0.0	0.0	0.0	0.23	0.24
Cdca4	6.31	0.0	0.0	0.0	5.8	6.66
Cdt1	0.82	0.0	0.0	0.0	1.72	1.87
Ceacam15	1.53	0.0	0.0	0.0	0.07	0.0
Cenpj	4.88	0.0	0.0	0.0	1.93	1.67
Ch25h	0.23	0.0	0.0	0.0	0.37	0.63
Chst9	0.22	0.0	0.0	0.0	0.66	1.38
Clcn6	0.41	0.0	0.0	0.0	54.01	53.58
Clnk	0.19	0.0	0.0	0.0	0.75	0.41
Col7a1	0.03	0.0	0.0	0.0	1.26	1.66
Cpne7	0.12	0.0	0.0	0.0	70.78	77.82
Crybb3	1.25	0.0	0.0	0.0	1.48	2.16
Csrp2	4.57	0.0	0.0	0.0	7.31	8.93
Ctnna3	2.1	0.0	0.0	0.0	1.32	0.95
Ctsh	0.19	0.0	0.0	0.0	14.67	14.09
Ctu1	0.24	0.0	0.0	0.0	6.55	8.4
Cyp26b1	0.38	0.0	0.0	0.0	6.45	6.02
Cyp2d22	1.51	0.0	0.0	0.0	19.18	21.16
Cyp39a1	1.95	0.0	0.0	0.0	1.81	1.92
D930014E17Rik	1.92	0.0	0.0	0.0	4.06	4.11
Dap	1.85	0.0	0.0	0.0	7.75	7.75
Dbf4	0.74	0.0	0.0	0.0	1.54	1.3
Dcaf15	0.26	0.0	0.0	0.0	19.57	22.94
Ddah2	2.04	0.0	0.0	0.0	12.99	16.69
Def6	0.26	0.0	0.0	0.0	2.04	2.46
Dennd3	0.06	0.0	0.0	0.0	3.7	4.23
Des	0.42	0.0	0.0	0.0	2.07	2.13
Dmp1	1.08	0.0	0.0	0.0	5.18	4.44
Dna2	0.5	0.0	0.0	0.0	1.38	1.66
Dnahc2	0.19	0.0	0.0	0.0	0.8	0.86
Dnahc9	0.11	0.0	0.0	0.0	1.3	1.47
Dnaic1	1.68	0.0	0.0	0.0	2.41	2.5
Dnmbp	0.06	0.0	0.0	0.0	6.09	5.8
Dock10	0.28	0.0	0.0	0.0	18.88	17.07
Dsg3	0.07	0.0	0.0	0.0	0.0	0.0
Dsp	0.03	0.0	0.0	0.0	1.39	1.47
Dusp4	0.25	0.0	0.0	0.0	11.36	11.55
E130317F20Rik	0.17	0.0	0.0	0.0	2.78	3.3
E2f7	0.05	0.0	0.0	0.0	0.16	0.25
E330033L03	0.34	0.0	0.0	0.0	0.0	0.11
E330034G19Rik	0.41	0.0	0.0	0.0	1.27	0.94
Eda	0.06	0.0	0.0	0.0	3.4	3.5
Emilin3	0.25	0.0	0.0	0.0	0.14	0.13
Entpd1	2.12	0.0	0.0	0.0	8.94	8.38
Epb4.1l4a	0.46	0.0	0.0	0.0	2.35	2.43
Epha1	0.09	0.0	0.0	0.0	0.21	0.43
Erp27	2.29	0.0	0.0	0.0	0.21	0.6
Fam151b	0.22	0.0	0.0	0.0	7.19	8.52
Fam178b	0.35	0.0	0.0	0.0	0.22	0.44
Fam187a	2.13	0.0	0.0	0.0	0.13	0.06
Fam196b	0.05	0.0	0.0	0.0	1.61	1.48
Fam53a	1.5	0.0	0.0	0.0	19.06	20.61
Fam83g	0.06	0.0	0.0	0.0	0.02	0.08
Fbxo15	3.06	0.0	0.0	0.0	0.13	0.41
Fchsd1	0.5	0.0	0.0	0.0	6.64	6.92
Figf	0.48	0.0	0.0	0.0	2.43	2.94
Fkbp7	2.44	0.0	0.0	0.0	5.65	5.75
Foxj1	0.23	0.0	0.0	0.0	5.71	5.88
Fxyd3	1.85	0.0	0.0	0.0	0.31	0.25
Galnt4	0.17	0.0	0.0	0.0	2.55	2.08
Gbe1	0.52	0.0	0.0	0.0	9.43	10.54
Gli3	0.38	0.0	0.0	0.0	3.04	3.58
Gm10638	0.45	0.0	0.0	0.0	1.13	1.09
Gm1078	0.19	0.0	0.0	0.0	1.09	0.94
Gm10814	1.07	0.0	0.0	0.0	1.57	1.25
Gm12522	2.33	0.0	0.0	0.0	1.7	1.15
Gm12888	0.25	0.0	0.0	0.0	0.0	0.04
Gm13498	0.28	0.0	0.0	0.0	0.05	0.05
Gm14378	0.29	0.0	0.0	0.0	9.28	10.95
Gm14496	0.4	0.0	0.0	0.0	0.04	0.0
Gm15455	0.1	0.0	0.0	0.0	0.0	0.0
Gm15612	0.1	0.0	0.0	0.0	2.57	2.62
Gm16517	1.12	0.0	0.0	0.0	69.43	90.05
Gm16701	3.0	0.0	0.0	0.0	3.46	3.06
Gm19461	0.1	0.0	0.0	0.0	0.92	0.86
Gm2721	0.96	0.0	0.0	0.0	0.32	0.48
Gm3417	0.2	0.0	0.0	0.0	0.0	0.0
Gm3448	0.2	0.0	0.0	0.0	0.0	0.0
Gm3716	0.1	0.0	0.0	0.0	0.1	0.19
Gm4013	2.35	0.0	0.0	0.0	1.03	1.21
Gm4902	2.12	0.0	0.0	0.0	0.09	0.44
Gm4961	0.54	0.0	0.0	0.0	0.31	0.4
Gm4980	0.1	0.0	0.0	0.0	5.65	4.89
Gm9871	0.19	0.0	0.0	0.0	0.28	0.07
Gnat1	0.14	0.0	0.0	0.0	0.13	0.17
Gpr156	0.03	0.0	0.0	0.0	1.15	1.35
Gpr37l1	0.4	0.0	0.0	0.0	166.73	179.09
Gpr4	0.52	0.0	0.0	0.0	3.01	3.32
Gpr62	0.76	0.0	0.0	0.0	13.97	16.49
Gsg1	0.5	0.0	0.0	0.0	0.92	0.62
Gsta3	0.45	0.0	0.0	0.0	3.03	1.74
H2-DMb2	0.54	0.0	0.0	0.0	1.25	0.65
Hcrtr1	3.61	0.0	0.0	0.0	2.81	2.83
Hist3h2bb-ps	1.44	0.0	0.0	0.0	0.44	0.96
Hn1l	0.23	0.0	0.0	0.0	3.7	5.25
Homer3	0.39	0.0	0.0	0.0	10.48	10.52
Hpdl	1.51	0.0	0.0	0.0	1.87	1.7
Hs3st3b1	0.54	0.0	0.0	0.0	0.61	0.73
Hsd17b14	0.22	0.0	0.0	0.0	0.27	0.21
Hspb2	1.76	0.0	0.0	0.0	1.7	1.33
Htr3b	0.12	0.0	0.0	0.0	0.0	0.0
Hyi	2.23	0.0	0.0	0.0	13.37	11.03
Ifit1	0.23	0.0	0.0	0.0	2.13	1.54
Il10rb	2.44	0.0	0.0	0.0	9.88	9.96
Il16	0.65	0.0	0.0	0.0	2.85	3.72
Il4	0.56	0.0	0.0	0.0	0.34	0.0
Inhbe	0.14	0.0	0.0	0.0	0.32	0.09
Itgb3	0.46	0.0	0.0	0.0	2.24	2.51
Jrk	1.87	0.0	0.0	0.0	4.21	4.41
Kank1	0.22	0.0	0.0	0.0	8.81	8.89
Kcnk10	1.06	0.0	0.0	0.0	4.25	4.33
Khnyn	0.23	0.0	0.0	0.0	11.18	11.32
Kif13a	0.9	0.0	0.0	0.0	13.91	12.9
Klf14	0.8	0.0	0.0	0.0	0.43	0.31
Klf3	0.78	0.0	0.0	0.0	15.86	16.95
Klhl13	1.57	0.0	0.0	0.0	32.86	35.9
Klhl30	0.49	0.0	0.0	0.0	0.13	0.22
Krt16	0.19	0.0	0.0	0.0	0.06	0.0
Krt18	0.22	0.0	0.0	0.0	0.57	0.34
Krt26	3.1	0.0	0.0	0.0	0.27	0.21
LOC100039753	0.22	0.0	0.0	0.0	0.0	0.0
LOC100040911	0.53	0.0	0.0	0.0	0.0	0.0
LOC100502924	0.25	0.0	0.0	0.0	0.0	0.0
Lass3	0.46	0.0	0.0	0.0	0.42	0.2
Ldlrad3	0.46	0.0	0.0	0.0	9.04	7.94
Lgals4	0.42	0.0	0.0	0.0	2.29	1.36
Limd1	0.61	0.0	0.0	0.0	6.69	6.58
Lims2	0.18	0.0	0.0	0.0	15.04	14.33
Lingo2	0.07	0.0	0.0	0.0	16.19	15.98
Lipg	1.1	0.0	0.0	0.0	3.53	3.25
Lnp	63.25	0.0	8.11	33.22	31.71	27.56
Lor	0.17	0.0	0.0	0.0	8.94	15.74
Lrfn3	0.42	0.0	0.0	0.0	20.54	21.55
Lrrc66	0.1	0.0	0.0	0.0	0.0	0.0
Madcam1	0.21	0.0	0.0	0.0	0.07	0.4
Maml1	0.9	0.0	0.0	0.0	6.35	6.72
Map4k1	0.11	0.0	0.0	0.0	1.61	1.41
March10	0.29	0.0	0.0	0.0	1.74	1.51
Melk	0.2	0.0	0.0	0.0	1.21	1.15
Metrn	1.12	0.0	0.0	0.0	61.59	63.33
Mfsd9	0.19	0.0	0.0	0.0	4.87	4.59
Mgmt	1.15	0.0	0.0	0.0	1.0	1.64
Mitf	2.0	0.0	0.0	0.0	4.09	4.02
Mmp24	2.06	0.0	0.0	0.0	27.56	27.39
Mndal	9.31	0.0	0.0	0.0	1.71	1.13
Mr1	0.36	0.0	0.0	0.0	3.74	2.89
Mycbpap	0.1	0.0	0.0	0.0	1.41	1.08
Myh7b	0.14	0.45	0.0	0.0	3.51	3.82
Myo1b	0.53	0.0	0.0	0.0	27.48	25.26
Myot	1.36	0.0	0.0	0.0	0.0	0.13
Myrip	1.12	0.0	0.0	0.0	42.5	41.89
Naalad2	1.22	0.0	0.0	0.0	1.25	1.14
Naip1	0.06	0.0	0.0	0.0	0.37	0.12
Nat2	1.56	0.0	0.0	0.0	0.95	1.85
Nat8	0.35	0.0	0.0	0.0	1.95	2.04
Ndst2	2.35	0.0	0.0	0.0	11.14	12.04
Neat1	0.92	0.0	0.0	0.0	55.42	57.07
Nespas	0.53	0.0	0.0	0.0	0.13	0.0
Ngp	0.26	0.0	0.0	0.0	0.0	0.16
Nkain1	0.12	0.0	0.0	0.0	47.92	51.3
Nme4	2.18	0.0	0.0	0.0	5.18	4.55
Nmral1	4.24	0.0	0.0	0.0	10.98	16.8
Notch1	0.53	0.0	0.0	0.0	9.17	9.32
Npepl1	1.43	0.0	0.0	0.0	12.17	14.55
Nppa	0.76	0.0	0.0	0.0	1.35	2.2
Nrg2	0.11	0.0	0.0	0.0	6.66	7.42
Nrg4	0.65	0.0	0.0	0.0	2.05	2.96
Nt5dc2	1.3	0.0	0.0	0.0	4.97	5.11
Ntn5	0.19	0.0	0.0	0.0	9.37	9.54
Nup62-il4i1	0.52	0.0	0.0	0.0	1.46	1.83
Olfr1425	1.0	0.0	0.0	0.0	0.0	0.0
Olfr18	0.27	0.0	0.0	0.0	0.0	0.0
Olfr53	0.26	0.0	0.0	0.0	0.27	0.0
Olig2	0.12	0.0	0.0	0.0	25.27	24.04
Oprk1	0.06	0.0	0.0	0.0	7.22	5.47
Orai1	0.48	0.0	0.0	0.0	5.47	6.31
Pafah2	7.42	0.0	0.0	0.0	5.92	6.88
Paox	0.7	0.0	0.0	0.0	6.53	7.07
Pbld2	1.06	0.0	0.0	0.0	1.09	1.44
Pcdha3	0.61	0.0	0.0	0.0	4.97	4.98
Pcdha6	0.58	0.0	0.0	0.0	6.28	6.93
Pcdhb1	0.12	0.0	0.0	0.0	0.16	0.15
Pcdhb15	1.92	0.0	0.0	0.0	3.88	3.31
Pcdhgb2	0.12	0.0	0.0	0.0	8.59	9.12
Pde6c	0.21	0.0	0.0	0.0	0.8	0.94
Pdia5	1.5	0.0	0.0	0.0	5.22	4.66
Phf11	0.45	0.0	0.0	0.0	0.11	0.27
Phgdh	1.13	0.0	0.0	0.0	78.48	87.44
Pkd1l2	0.48	0.0	0.0	0.0	0.11	0.1
Pkdcc	0.12	0.0	0.0	0.0	8.84	9.75
Pla2g4a	0.1	0.0	0.0	0.0	3.05	3.1
Pla2g4d	0.27	0.0	0.0	0.0	0.12	0.03
Plcb2	0.46	0.0	0.0	0.0	1.79	1.79
Plekhg6	0.39	0.0	0.0	0.0	0.36	0.18
Plekho2	1.36	0.0	0.0	0.0	12.66	11.55
Plk1s1	2.23	0.0	0.0	0.0	12.53	13.1
Plod2	0.26	0.0	0.0	0.0	4.42	4.02
Plxdc2	0.56	0.0	0.0	0.0	21.14	17.63
Pnldc1	0.9	0.0	0.0	0.0	1.24	1.28
Pnma1	0.13	0.0	0.0	0.0	5.49	6.36
Pnpla7	1.68	0.0	0.0	0.0	8.8	8.12
Polm	2.44	0.0	0.0	0.0	5.83	5.75
Pou4f1	0.62	0.0	0.0	0.0	0.08	0.05
Pou4f3	0.27	0.0	0.0	0.0	0.0	0.0
Ppap2c	0.37	0.0	0.0	0.0	2.96	3.59
Ppef2	0.92	0.0	0.0	0.0	0.74	0.7
Ppp1r13l	0.1	0.0	0.0	0.0	2.86	3.32
Ppp1r14b	0.34	0.0	0.0	0.0	31.01	36.7
Ppp1r14c	0.12	0.0	0.0	0.0	15.05	17.27
Ppp1r37	0.2	0.0	0.0	0.0	117.35	129.34
Prdm5	0.14	0.0	0.0	0.0	2.72	2.86
Prokr1	0.44	0.0	0.0	0.0	0.1	0.11
Prss2	0.38	0.0	0.0	0.0	0.0	0.0
Prss27	0.27	0.0	0.0	0.0	0.18	0.0
Psmc3ip	4.48	0.0	0.0	0.0	4.48	4.22
Ptgr1	1.0	0.0	0.0	0.0	0.94	0.75
Ptprh	0.22	0.0	0.0	0.0	0.66	1.17
Pwwp2b	1.15	0.0	0.0	0.0	11.19	14.38
Pygo1	1.04	0.0	0.0	0.0	19.03	17.18
Rab7l1	1.55	0.0	0.0	0.0	6.66	6.36
Rad51ap1	1.15	0.0	0.0	0.0	1.73	2.03
Raet1a	1.1	0.0	0.0	0.0	0.0	0.0
Rapsn	0.37	0.0	0.0	0.0	0.49	0.64
Rarg	1.02	0.0	0.0	0.0	8.96	10.44
Rassf4	0.23	0.0	0.0	0.0	3.87	3.75
Rbl1	0.25	0.0	0.0	0.0	1.39	1.33
Rbm20	0.45	0.0	0.0	0.0	1.86	2.36
Rcc1	1.57	0.0	0.2	0.0	9.64	10.93
Reep4	0.54	0.0	0.0	0.0	3.58	3.54
Rgs16	0.38	0.0	0.0	0.0	10.46	10.89
Rhog	0.48	0.0	0.0	0.0	34.59	32.35
Ribc2	0.92	0.0	0.0	0.0	0.36	0.23
Rilp	1.84	0.0	0.0	0.0	1.88	1.52
Rnf122	1.51	0.0	0.0	0.0	3.66	4.15
Rnf135	0.61	0.0	0.0	0.0	2.79	4.25
Rnf144a	0.06	0.0	0.0	0.0	20.01	19.24
Rnf207	0.13	0.0	0.0	0.0	6.48	6.27
Rnf41	30.83	1.67	6.48	0.0	39.3	42.32
Rps6ka1	0.76	0.0	0.0	0.0	9.98	11.18
Rps6ka6	0.82	0.0	0.0	0.0	3.62	2.94
Runx1	0.42	0.0	0.0	0.0	0.36	0.31
Ryr1	0.06	0.0	0.0	0.0	8.42	7.09
Scarna6	1.55	0.0	0.0	0.0	0.92	0.0
Sema6c	0.1	0.0	0.0	0.0	14.99	16.94
Serpine3	1.3	0.0	0.0	0.0	0.29	0.67
Sh2b3	0.12	0.0	0.0	0.0	17.87	19.01
Sh3bp4	1.29	0.0	0.0	0.0	14.55	15.81
Sh3rf2	0.06	0.0	0.0	0.0	4.57	4.36
Shb	1.52	0.0	0.0	0.0	9.92	11.14
Shf	0.19	0.0	0.0	0.0	35.84	41.34
Shkbp1	0.38	0.0	0.0	0.0	14.05	13.42
Slc13a1	1.56	0.0	0.0	0.0	0.04	0.15
Slc15a2	0.28	0.0	0.0	0.0	16.56	15.41
Slc25a2	4.31	0.0	0.0	0.0	0.0	0.0
Slc35d3	0.11	0.0	0.0	0.0	7.06	8.28
Slco1a4	1.4	0.0	0.0	0.0	42.23	36.41
Slit1	0.96	0.0	0.0	0.0	38.98	41.29
Snora21	4.24	0.0	0.0	0.0	0.0	2.02
Snora62	4.24	0.0	0.0	0.0	0.0	1.01
Socs3	0.22	0.0	0.0	0.0	3.01	3.65
Sox4	0.2	0.0	0.0	0.0	13.85	16.57
Spsb2	0.52	0.0	0.0	0.0	3.41	4.58
Sstr3	0.53	0.0	0.0	0.0	16.31	16.21
Ssty1	0.24	0.0	0.0	0.0	0.0	0.07
Stard13	0.05	0.0	0.0	0.0	5.75	6.35
Stk17b	0.09	0.0	0.0	0.0	8.38	6.34
Strc	0.1	0.0	0.0	0.0	0.48	0.35
Tek	0.13	0.0	0.0	0.0	9.28	8.12
Tgm7	0.14	0.0	0.0	0.0	0.65	0.48
Tinagl1	0.31	0.0	0.0	0.0	5.89	6.65
Tle3	0.06	0.0	0.0	0.0	17.78	20.27
Tln1	0.14	0.0	0.0	0.0	14.41	15.58
Tm4sf5	0.96	0.0	0.0	0.0	0.31	0.59
Tm6sf2	0.21	0.0	0.0	0.0	3.24	3.58
Tmem106a	0.39	0.0	0.0	0.0	0.77	0.57
Tmem146	2.33	0.0	0.0	0.0	0.81	0.87
Tmem79	0.13	0.0	0.0	0.0	1.1	1.23
Tmem8c	1.57	0.0	0.0	0.0	0.37	0.39
Tnfrsf4	0.53	0.0	0.0	0.0	1.57	1.64
Trim71	0.06	0.0	0.0	0.0	0.51	0.55
Trip6	1.03	0.0	0.0	0.0	6.55	7.46
Trpv3	0.12	0.0	0.0	0.0	0.36	0.42
Tshz2	0.12	0.0	0.0	0.0	22.48	20.32
Tspan17	0.19	0.0	0.0	0.0	38.39	46.39
Ttc32	0.31	0.0	0.0	0.0	4.85	4.38
Txnrd3	0.24	0.0	0.0	0.0	4.24	4.32
Uba7	0.19	0.0	0.0	0.0	2.8	2.73
Urb1	1.12	0.0	0.0	0.0	6.88	7.37
Uts2	0.61	0.0	0.0	0.0	0.97	0.55
Vcan	0.46	0.0	0.0	0.0	7.15	6.63
Vim	0.82	0.0	0.0	0.0	37.85	41.07
Vmn1r199	0.28	0.0	0.0	0.0	0.09	0.0
Vmn1r32	0.61	0.0	0.0	0.0	0.12	0.08
Vmn2r11	0.23	0.0	0.0	0.0	0.04	0.0
Vmn2r110	0.12	0.0	0.0	0.0	0.0	0.0
Vmn2r18	0.38	0.0	0.0	0.0	0.04	0.04
Wee2	0.1	0.0	0.0	0.0	0.03	0.0
Whrn	2.24	0.0	0.0	0.0	25.21	28.08
Wnt3	0.48	0.0	0.0	0.0	1.8	1.97
Wnt9b	0.39	0.0	0.0	0.0	0.02	0.04
Xpnpep2	0.25	0.0	0.0	0.0	0.25	0.08
Yes1	0.14	0.0	0.0	0.0	7.98	6.9
Zbtb46	1.04	0.0	0.0	0.0	7.15	8.78
Zcchc24	0.07	0.0	0.0	0.0	40.9	41.42
Zfp114	0.13	0.0	0.0	0.0	3.32	2.8
Zfp185	0.92	0.0	0.0	0.0	0.89	0.81
Zfp541	0.06	0.0	0.0	0.0	0.39	0.43
Zfp580	0.84	0.0	0.0	0.0	26.5	33.72
Zfp777	0.48	0.0	0.0	0.0	21.37	25.05
Zfp783	0.14	0.0	0.0	0.0	4.18	4.26
Zfp804b	0.51	0.0	0.0	0.0	1.27	0.46
Zmynd10	0.34	0.0	0.25	0.0	3.74	4.22
Zp2	0.14	0.0	0.0	0.0	0.18	0.08
mt_AK131586	0.01	0.01	0.1	1075.62	25813.35	24091.17
mt_AK166684	0.0	0.0	0.0	0.0	18796.57	17507.83
