	Ctgf_tdTpositive_cell_3	Rbp4_tdTnegative_cell_6	Rorb_tdTpositive_cell_55	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Tulp2	0.0	0.0	0.0	0.06	0.0	0.11
Txndc2	0.0	0.0	0.0	0.12	0.11	0.12
Ubash3a	0.0	0.0	0.0	0.03	0.13	0.07
Ugt1a6a	0.0	0.0	0.0	1.06	0.73	0.53
Umodl1	0.0	0.0	0.0	0.19	0.26	0.2
Unc5cl	0.0	0.0	0.0	0.03	0.2	0.11
Upp1	0.0	0.0	0.0	1.52	1.13	2.23
Ush1c	0.0	0.0	0.0	0.1	0.14	0.1
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vgll2	0.0	0.0	0.0	0.07	0.26	0.07
Vil1	0.0	0.0	0.0	0.38	0.48	0.39
Vmn1r32	0.0	0.0	0.0	0.12	0.08	0.13
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r1	0.0	0.0	0.0	0.53	0.47	0.56
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Wdr64	0.0	0.0	0.0	0.03	0.0	0.05
Wdr69	0.0	0.0	0.0	0.48	0.23	0.46
Wdr96	0.0	0.0	0.0	0.96	0.74	0.61
Wee2	0.0	0.0	0.0	0.03	0.0	0.11
Wfikkn1	0.0	0.0	0.0	0.19	0.48	0.32
Wnt8b	0.0	0.0	0.0	0.12	0.14	0.09
Yipf7	0.0	0.0	0.0	0.08	0.08	0.09
Zar1	0.0	0.0	0.0	0.24	0.38	0.58
Zfp957	0.0	0.0	0.0	0.07	0.1	0.07
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
Zscan10	0.0	0.0	0.0	0.04	0.03	0.04
mt_AK131586	6370.03	0.0	4339.12	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
