	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Mpz	0.0	0.0	0.0	0.1	0.14	0.1
Musk	0.0	0.0	0.0	1.04	1.4	1.04
Myadm	7.41	44.45	4.09	55.98	54.68	53.61
Myom2	0.0	0.0	0.0	0.08	0.07	0.08
Naip6	0.0	0.0	0.0	0.38	0.22	0.38
Nkx6-1	0.0	0.0	0.0	0.17	0.1	0.17
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nmur2	0.0	0.0	0.0	0.06	0.11	0.12
Nr0b1	0.0	0.0	0.0	0.06	0.1	0.06
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Olfr1419	0.0	0.0	0.0	0.1	0.09	0.1
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Olfr61	0.0	0.0	0.0	0.11	0.1	0.22
Otop3	0.0	0.0	0.0	0.04	0.12	0.04
Oxgr1	0.0	0.0	0.0	0.24	0.15	0.24
Pabpc4l	0.0	0.0	0.0	0.17	0.28	0.17
Pdcd1lg2	0.0	0.0	0.0	0.03	0.08	0.06
Pip4k2c	0.0	1.21	0.69	104.5	103.92	96.75
Pira1	0.0	0.0	0.0	0.02	0.03	0.04
Prdm13	0.0	0.0	0.0	0.03	0.09	0.06
Ptx3	0.0	0.0	0.0	0.21	0.58	0.21
Ptx4	0.0	0.0	0.0	0.07	0.18	0.07
Qrfp	0.0	0.0	0.0	0.14	0.06	0.14
Rab44	0.0	0.0	0.0	0.12	0.18	0.12
Rnf130	0.75	0.0	0.0	80.45	77.33	86.19
Rnf133	0.0	0.0	0.0	0.08	0.14	0.08
Rtp1	0.0	0.0	0.0	0.16	0.33	0.16
Slc10a6	0.0	0.0	0.0	0.05	0.04	0.05
Slc10a7	0.0	0.0	0.0	2.57	2.86	3.81
Slc16a6	0.0	6.92	0.0	12.52	11.34	12.47
Slc22a14	0.0	0.0	0.0	0.05	0.04	0.05
Slc34a1	0.0	0.0	0.0	0.1	0.06	0.1
Slc34a3	0.0	0.0	0.0	0.05	0.32	0.05
Slc4a5	0.0	0.0	0.0	0.04	0.13	0.04
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Smpd3	0.0	0.0	0.08	52.6	55.28	52.37
Speer6-ps1	0.0	0.0	0.0	0.21	0.1	0.21
Stx11	0.0	0.0	0.0	0.14	0.09	0.14
Tal2	0.0	0.0	0.0	0.18	0.33	0.18
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tg	0.0	0.0	0.0	0.08	0.04	0.08
Tktl1	0.0	0.0	0.0	0.08	0.11	0.08
Trim75	0.0	0.0	0.0	0.2	0.19	0.2
Tslp	0.0	0.0	0.0	0.09	0.17	0.09
Tssk3	0.0	0.0	0.0	0.2	0.55	0.2
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Tuba3a	0.0	0.0	0.0	0.2	0.22	0.2
Tubb1	0.0	0.0	0.0	0.07	0.2	0.07
Tubgcp6	0.0	5.48	20.9	17.64	16.8	19.37
Txndc2	0.0	0.0	0.0	0.12	0.11	0.12
Ush1c	0.0	0.0	0.0	0.1	0.14	0.1
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vcan	0.0	0.0	0.0	7.15	6.63	7.15
Vgll2	0.0	0.0	0.0	0.07	0.26	0.07
Vrk2	0.0	0.0	0.0	2.24	2.2	2.24
Wdr38	0.0	0.0	0.0	0.17	0.31	0.17
Zfp185	0.0	0.0	0.0	0.89	0.81	0.89
Zfp957	0.0	0.0	0.0	0.07	0.1	0.07
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
Zscan10	0.0	0.0	0.0	0.04	0.03	0.04
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	15.09	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	10.88	9032.87	8417.95	8583.15
