	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_52	Cux2_tdTpositive_cell_73	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_5	Rorb_tdTpositive_cell_24	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_66	Scnn1a.Tg3_tdTpositive_cell_73	Scnn1a.Tg3_tdTpositive_cell_99	Slc17a6_tdTpositive_cell_18	Vip_tdTpositive_cell_16
Dmxl1	0.01	0.02	1.95	0.0	2.58	0.0	0.0	44.29	17.58	17.45	75.86	15.96	3.22	0.0	28.4	10.19	25.98	27.83	21.59	0.07	1.07	0.0
Dnaja3	0.2	0.0	27.88	32.0	0.0	0.0	0.0	13.11	15.07	85.95	0.08	68.26	19.48	127.9	27.21	17.77	0.0	140.27	20.36	147.06	103.73	75.04
E030030I06Rik	15.83	23.05	3.95	26.02	13.77	0.0	0.0	3.13	4.69	42.83	15.58	7.97	8.38	3.81	9.02	30.38	4.95	100.41	69.65	19.09	7.9	0.0
Egr3	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.41	0.68	0.0	0.28	0.68	1.53	2.31	0.38	8.39	0.0	32.68	15.18	1.82	0.0	0.0
Ehmt1	0.03	1.4	0.08	0.99	0.0	0.0	0.0	0.42	80.08	7.91	10.36	1.71	2.88	63.49	16.14	4.63	22.22	31.54	28.64	22.08	2.2	0.0
Eif2b3	0.07	0.89	0.0	0.0	247.09	0.0	373.88	18.76	113.54	26.72	180.9	158.95	0.0	0.07	19.36	0.0	0.0	0.0	403.69	0.0	0.0	0.0
Fam134a	0.12	0.0	199.14	0.0	0.0	0.0	0.0	138.53	5.9	8.0	103.38	0.12	182.08	55.74	13.94	99.12	328.69	311.63	241.79	5.66	15.14	0.0
Fam158a	0.4	79.26	0.0	0.0	0.0	0.0	0.0	122.37	0.25	0.0	0.0	0.0	0.0	108.83	0.0	0.0	132.79	0.0	0.0	148.73	0.0	0.0
Fam19a2	119.2	97.8	135.5	0.0	0.0	0.0	0.0	111.91	75.53	130.23	11.98	116.06	4.03	91.98	47.43	74.71	1.99	134.28	228.02	180.71	47.32	0.0
Fert2	0.03	0.0	0.0	4.3	0.0	0.0	0.0	0.0	191.9	5.99	0.0	82.82	0.07	0.0	25.47	0.0	45.17	108.78	167.65	50.02	5.53	0.0
Fxr1	43.11	234.41	3.87	0.0	0.0	24.8	0.0	2.59	12.49	3.27	158.63	30.33	1.97	0.29	95.78	214.33	7.6	227.63	0.0	24.92	43.42	0.0
Ghdc	2.46	1.66	1.13	2.27	0.07	1.48	0.0	9.58	12.27	4.34	2.13	7.99	2.85	4.01	5.56	6.13	2.25	8.47	4.13	3.06	2.63	0.0
Gm10635	0.68	0.08	0.1	0.0	0.0	0.0	0.0	0.25	0.15	0.67	0.19	0.01	0.07	0.03	0.24	0.14	0.09	0.26	0.43	0.3	0.18	0.0
Gm11978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.66	0.0	0.0	0.0
Gm13306	2.22	7.78	72.87	45.32	0.0	0.0	0.0	2.24	98.78	98.8	157.47	71.38	106.16	180.86	123.99	271.66	370.84	127.63	123.96	342.75	74.04	0.0
Gm19434	3.24	4.22	0.0	1.85	0.0	1.25	1.31	4.12	3.61	2.44	2.31	1.19	0.71	3.58	8.08	1.33	4.1	7.29	6.3	5.59	0.58	0.0
Gm2506	2.22	7.78	72.87	45.32	0.0	0.0	0.0	2.24	98.78	98.8	157.47	71.38	106.16	180.86	123.99	271.66	370.84	127.63	123.96	342.75	74.04	0.0
Gm3286	0.43	1.12	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.68	0.56	0.0	0.0	0.0	0.0	2.18	0.48	1.65	0.42	0.17	0.0	0.0
Gm5065	0.96	0.95	0.74	1.69	0.56	0.12	0.0	1.62	1.48	1.35	1.53	1.01	1.18	0.87	2.2	1.89	1.34	2.8	2.19	1.39	1.12	0.16
Gm5531	9.19	11.15	10.16	13.54	31.59	6.11	7.05	22.92	16.9	22.2	26.46	8.35	16.61	13.56	8.05	9.35	17.57	82.9	10.85	26.9	25.26	0.15
Gm561	122.0	119.22	0.0	57.27	0.0	0.0	0.0	103.57	1.83	3.26	3.28	0.77	85.62	62.19	104.08	83.09	29.07	112.89	102.74	174.0	0.0	0.91
Gm6498	0.26	0.0	0.24	0.0	0.81	0.0	0.0	0.49	1.21	0.32	0.0	4.75	0.27	0.07	0.0	1.26	0.22	2.8	0.0	5.34	0.85	0.0
Gm6981	0.42	0.34	2.21	0.0	0.79	0.0	0.0	0.52	0.44	0.24	0.2	15.14	0.28	0.16	0.13	1.93	12.41	22.77	1.22	27.35	25.25	0.0
Gm9159	46.49	38.17	67.99	48.0	38.39	2.5	49.47	33.79	35.89	43.55	57.55	32.54	53.63	28.12	40.34	26.4	24.82	55.61	129.82	32.34	33.67	0.74
Gnaq	119.42	30.45	91.97	84.43	98.77	0.17	0.0	159.89	4.13	131.38	18.09	43.21	83.71	41.34	21.65	53.31	176.1	93.64	140.95	144.93	165.25	0.07
Gpaa1	0.1	0.0	31.63	0.0	0.0	0.0	0.0	0.0	56.56	165.97	0.1	153.32	0.16	63.42	44.57	115.77	0.16	0.0	0.0	152.09	0.0	0.0
Gphn	1.62	61.51	65.86	0.0	0.0	0.0	0.0	354.11	58.0	89.88	219.54	109.01	48.59	23.34	151.32	64.8	165.85	223.47	241.32	65.75	111.96	0.0
Gpn1	43.33	0.0	461.06	219.33	0.0	0.0	0.0	257.99	168.44	0.18	190.8	98.28	0.0	124.9	161.38	0.0	0.0	0.0	0.0	470.72	0.0	0.0
Hecw2	0.02	35.66	0.1	1.19	74.23	0.0	0.0	27.12	31.38	28.28	10.64	0.01	1.75	25.0	0.02	0.0	1.84	43.49	82.29	0.04	7.1	0.0
Hint2	15.41	59.02	0.0	0.0	0.0	0.0	0.0	0.0	159.89	0.0	78.35	0.0	0.19	0.0	0.32	103.03	0.0	33.63	102.05	4.21	2.44	0.0
Ica1	59.21	150.25	247.25	260.13	46.19	0.0	0.0	51.82	217.4	293.07	227.28	457.81	246.0	10.35	235.96	1.37	81.55	0.0	1.07	852.79	0.0	0.0
Immp1l	53.97	0.0	20.21	168.3	0.0	18.01	0.0	0.0	0.0	207.0	247.66	147.06	163.21	93.32	0.0	135.66	0.36	413.59	0.0	199.08	212.21	0.0
Jakmip2	112.25	0.06	0.0	34.96	0.0	0.0	0.0	2.24	114.09	44.05	60.54	130.31	0.03	127.78	21.98	59.75	87.63	135.67	157.38	232.31	0.0	0.0
Kif3a	100.03	246.47	147.0	13.81	149.55	9.89	0.0	210.8	111.52	93.31	77.69	162.01	183.67	207.71	151.44	34.77	67.6	158.15	341.6	97.05	42.34	5.83
Kif5b	1.11	43.47	0.64	3.42	42.98	1.6	0.0	48.01	21.96	0.54	48.51	26.61	1.02	17.44	49.28	12.03	46.79	191.22	132.54	30.89	0.78	28.44
Krt222	0.71	0.65	0.14	0.68	0.0	0.0	2.63	1.16	111.44	97.56	244.48	0.72	0.48	170.23	0.55	59.12	0.88	0.96	133.37	325.05	22.71	0.0
Lias	0.06	0.0	41.62	191.6	210.21	0.0	0.0	143.9	3.99	0.2	0.12	146.46	0.0	21.08	231.03	0.38	9.46	208.13	175.15	164.03	0.0	0.0
Lrrc42	2.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.47	0.0	0.0	0.38	0.0
Lrrc59	0.0	23.99	0.0	66.97	27.07	0.0	0.0	0.07	0.07	11.74	0.14	144.45	0.04	0.0	0.13	0.0	0.0	70.78	0.0	126.94	25.64	0.0
Mafg	0.0	0.0	0.0	0.0	9.5	0.0	0.0	5.36	0.0	0.0	29.25	0.0	0.0	0.0	0.0	0.13	0.0	99.94	20.38	0.0	17.45	0.0
Mapk1ip1	0.07	0.0	4.55	198.49	0.0	0.0	0.0	168.6	143.77	111.32	46.32	165.62	16.7	352.37	0.0	0.0	0.0	347.82	132.17	19.61	0.0	0.0
Mapt	44.17	133.58	124.15	310.55	44.36	0.0	0.0	22.69	83.3	107.73	190.38	220.78	81.04	96.06	40.34	114.02	178.67	106.89	189.04	238.09	108.12	3.13
March6	3.69	9.95	17.44	0.0	41.84	0.07	0.0	0.09	59.54	156.09	100.89	55.37	139.53	47.33	46.62	87.4	9.09	215.13	162.78	72.5	2.96	0.0
Mbtps2	0.05	20.04	0.12	0.13	0.0	0.23	336.49	0.11	0.81	0.11	0.0	0.18	0.02	0.0	10.32	0.22	0.0	95.44	0.0	44.79	0.14	0.0
Mcm7	1.48	0.25	0.0	0.0	0.0	0.0	314.1	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.35	121.73	0.0	190.66	140.02	36.78	0.0	0.0
Mfsd6	6.23	0.0	39.82	0.09	0.0	0.0	0.0	0.77	0.16	0.07	0.15	62.44	70.78	0.42	0.04	0.18	65.33	130.31	153.98	3.48	0.0	0.0
Mir3064	0.0	0.0	32.73	0.0	0.0	0.0	0.0	32.78	0.0	0.0	34.18	0.0	0.0	4.93	0.0	0.0	0.0	126.0	0.0	50.11	0.0	0.0
Morn4	51.5	397.05	96.0	197.1	0.0	0.0	0.0	0.31	0.1	86.52	151.62	0.0	252.67	15.62	116.55	0.0	0.0	414.16	158.06	314.52	0.37	0.0
Mras	63.15	13.64	87.03	20.2	33.94	0.0	0.0	49.24	37.76	55.29	92.42	120.78	53.72	5.25	75.52	133.83	93.24	63.46	72.63	168.35	51.54	0.0
Mrpl52	0.28	0.0	0.0	0.0	0.0	14.73	0.0	59.68	55.58	0.0	123.66	41.06	0.0	77.28	56.74	0.0	79.57	111.87	59.02	0.0	0.0	0.0
Mtus2	0.01	0.27	119.58	0.0	0.17	0.0	0.0	1.8	24.98	10.93	0.0	57.29	48.76	0.04	0.02	0.05	65.71	0.0	72.17	0.0	0.0	0.0
Mypop	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.21	0.0	0.0	0.0	0.0
Nalcn	0.01	16.25	0.0	0.65	0.0	0.0	0.0	0.0	32.06	0.12	0.05	72.92	0.03	1.0	54.92	0.78	21.2	125.29	98.86	0.38	0.0	0.0
Olfr287	1.13	0.72	0.55	0.33	0.0	0.23	0.0	0.71	0.67	0.22	0.0	0.19	0.06	0.0	0.66	0.14	0.0	1.14	0.66	0.61	0.0	0.0
Orai3	0.21	0.0	0.0	0.65	0.0	0.0	0.0	0.18	0.17	10.4	0.1	0.0	0.0	36.21	0.18	0.22	0.33	206.51	147.64	11.31	0.0	0.0
Pacsin2	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	36.86	0.0	1.63	22.65	98.91	49.97	114.25	0.0	47.29	0.0	139.76	0.0	0.0
Pcf11	0.16	10.08	25.65	0.0	13.56	0.0	0.0	30.22	46.28	8.89	0.69	24.94	0.16	14.88	10.17	2.8	16.6	93.07	76.5	34.58	0.0	0.0
Pigp	421.59	0.33	110.12	116.99	0.0	0.0	118.19	177.68	0.27	10.01	386.21	158.63	154.66	92.74	162.51	128.58	360.35	421.46	315.43	0.33	0.0	0.0
Ppp2r4	0.04	0.0	0.0	0.0	36.69	0.0	0.0	0.0	6.28	1.23	10.02	0.0	0.0	30.53	54.21	3.88	35.55	101.61	23.9	144.39	0.0	1.02
Prkce	34.77	12.35	0.06	16.36	0.0	0.0	0.0	49.57	112.24	51.88	0.19	50.98	33.83	79.76	28.2	108.97	37.26	83.39	185.03	52.34	33.75	0.06
Rbfox1	192.78	206.64	53.06	66.75	0.0	0.0	0.0	127.6	74.07	151.36	113.92	166.6	100.78	108.67	60.52	253.2	48.51	251.94	264.61	198.56	0.32	0.0
Rbm11	0.66	0.21	0.21	0.88	0.54	0.0	0.0	1.41	92.69	1.5	2.42	2.78	0.74	0.98	2.64	2.37	1.1	4.57	3.38	1.62	1.8	0.0
Rgs4	4793.66	4051.91	5481.44	4252.35	3996.83	0.45	2.55	5873.8	4839.36	4315.87	5539.67	5399.11	5219.32	5037.98	5187.94	4921.82	6274.8	3013.54	4227.76	3843.25	6781.39	0.25
Rpa2	0.29	0.0	209.58	0.0	0.0	0.0	0.0	0.21	0.21	0.47	133.41	5.62	0.06	0.19	7.73	0.0	261.71	11.04	147.79	90.63	0.0	0.0
Rwdd1	2.89	60.71	0.0	99.21	17.07	0.0	0.0	47.97	90.68	58.91	9.38	115.02	0.0	115.75	97.37	73.9	88.98	121.7	78.9	54.45	4.46	0.0
Samhd1	0.11	0.0	0.0	0.19	0.0	0.11	0.0	0.0	0.05	0.0	0.08	0.03	0.03	0.03	62.42	0.16	0.09	0.47	0.57	0.06	0.0	0.0
Scai	54.18	27.42	67.14	25.9	0.0	0.0	0.0	26.05	42.48	0.69	38.66	1.18	17.91	84.52	54.05	75.21	26.37	76.4	8.83	43.59	1.35	0.03
Scp2	174.8	100.73	185.95	0.0	6.23	0.0	11.27	169.01	51.07	146.74	265.66	88.94	238.88	47.55	33.25	126.49	238.66	205.85	210.74	270.61	168.92	0.0
Sdhaf2	94.99	91.52	26.07	0.0	0.0	0.02	0.0	0.13	101.53	1.04	0.07	0.17	71.32	0.05	190.5	20.14	0.11	89.53	149.94	0.59	119.12	0.0
Sephs2	5.0	4.92	31.78	2.84	5.29	0.0	0.0	16.86	14.59	33.44	10.74	23.95	8.41	7.14	1.93	31.74	3.21	29.8	37.28	34.58	19.97	37.63
Sepx1	46.17	34.02	72.39	0.0	0.0	0.0	0.0	37.99	40.93	33.16	0.0	0.0	0.0	0.13	0.0	44.97	13.7	57.0	34.85	2.17	0.0	0.0
Sh2b1	0.03	0.0	0.0	0.0	109.14	0.0	0.0	0.39	0.0	5.34	0.0	0.0	0.0	0.0	59.35	0.0	0.68	124.1	0.0	0.07	26.05	0.0
Sh3gl2	300.81	320.89	61.89	165.36	18.94	0.0	0.0	312.33	377.31	78.95	554.56	286.85	22.79	448.44	230.64	276.49	150.5	331.41	554.16	66.55	196.25	309.83
Shisa7	0.02	2.71	0.31	0.1	0.0	0.0	0.0	0.0	0.0	0.44	1.49	0.09	0.05	0.37	48.79	24.44	56.72	89.39	81.1	2.38	0.0	0.0
Slc12a8	2.78	0.76	0.88	2.19	3.42	1.75	2.44	4.26	1.28	2.87	4.76	2.45	1.55	1.76	1.33	3.39	1.23	6.57	6.27	1.98	4.66	0.0
Slc29a3	0.06	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	2.56	0.84	2.43	0.0	1.18	3.21	0.65	0.0	0.0	0.0
Snx14	0.03	1.67	0.0	9.29	0.0	0.0	0.0	94.86	0.0	61.47	190.87	0.07	11.73	0.0	83.78	9.4	35.48	105.46	212.06	50.43	0.0	82.43
Spsb3	196.64	2.29	0.96	891.9	0.0	0.0	0.0	23.27	287.75	197.54	0.12	334.8	59.75	133.32	104.8	300.95	671.98	0.0	445.79	2.63	445.09	0.0
Stxbp2	23.58	19.23	21.09	33.12	71.05	19.86	14.58	34.96	38.3	50.17	320.75	23.53	25.71	167.79	29.82	37.28	26.9	187.63	171.61	34.66	58.34	0.0
Tcf23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.04	0.0	0.0	0.06	0.09	0.0	0.23	0.0	0.0	0.0	0.0
Tigit	30.01	17.58	14.47	44.28	19.88	14.54	0.0	37.26	29.32	32.98	26.81	31.58	28.91	44.99	43.07	40.97	25.8	60.38	42.83	34.88	26.18	0.0
Timm13	98.75	51.67	179.83	223.5	0.0	354.73	439.56	150.56	55.73	206.09	15.48	67.57	54.27	148.58	408.41	184.83	101.98	110.84	316.47	323.74	229.59	168.54
Tnfrsf11a	2.43	2.13	2.74	4.42	4.57	0.15	0.0	7.27	5.02	6.42	10.32	3.11	0.9	3.28	25.7	6.11	1.9	18.92	18.86	8.54	2.51	0.0
Tnfrsf26	1.25	0.44	0.05	0.0	0.41	0.0	0.0	0.33	0.27	0.0	0.23	0.24	0.47	0.27	0.14	0.83	0.18	1.76	1.57	0.17	0.22	0.0
Tnip2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	8.98	0.11	0.0	0.0	0.0	0.0	0.0	85.63	97.67	0.0	0.0	0.0
Trove2	66.25	37.35	0.3	2.58	0.0	16.67	0.0	0.15	23.18	0.73	45.62	2.09	0.03	10.18	78.25	5.95	46.24	0.58	61.85	99.55	67.15	0.04
Ttc8	95.97	92.92	223.98	39.7	0.0	0.0	0.0	230.77	0.0	2.96	0.0	0.0	71.77	36.9	111.98	101.9	79.05	118.27	76.52	193.23	46.71	0.0
Ube3c	0.0	3.19	0.0	0.0	0.0	0.0	0.0	95.97	2.52	12.91	114.17	8.71	0.09	4.92	43.43	0.0	1.96	83.35	65.81	3.88	0.0	0.0
Ubxn2b	0.09	0.0	177.06	0.0	0.0	0.0	0.0	65.78	0.16	73.45	3.34	1.97	38.81	64.03	0.21	50.75	45.25	64.04	60.48	50.78	0.0	0.0
Uimc1	0.0	21.57	0.0	0.0	0.0	0.0	0.0	0.0	38.44	13.63	0.0	12.17	0.0	8.95	0.0	0.0	0.0	0.0	0.0	44.51	0.68	0.0
Whrn	5.6	10.35	19.88	0.0	0.0	0.0	0.0	22.76	66.08	53.09	0.24	0.13	1.96	0.05	0.28	44.76	6.73	288.68	76.23	41.86	0.0	0.0
Yipf2	0.42	0.0	45.77	0.0	0.0	0.0	0.0	111.49	0.0	0.0	0.0	24.39	43.46	0.0	0.0	122.58	63.59	0.0	199.01	0.11	0.0	3.69
Zfp658	0.73	0.54	0.99	0.0	0.76	1.36	0.0	0.89	0.91	0.67	0.38	0.69	0.32	0.14	0.3	1.42	0.38	1.89	1.99	1.06	0.97	0.11
Zfp874a	1.6	0.0	1.07	1.93	0.0	0.0	0.0	0.66	0.66	129.12	0.0	1.16	0.82	0.38	0.27	170.48	119.11	165.76	1.08	262.61	0.0	0.0
Zfp961	177.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.15	1.04	0.0	0.0	0.0	0.0	93.35	17.99	1.46	190.31	0.0	0.0	0.0	0.0
Zkscan1	159.92	44.34	85.79	216.95	259.84	0.0	0.0	121.38	148.85	153.49	18.38	8.67	15.83	14.25	164.87	106.93	34.98	127.17	164.05	0.06	61.32	45.35
Zmiz2	5.11	1.42	3.04	0.0	0.0	0.0	0.0	0.0	35.18	3.1	21.31	30.75	1.7	105.66	0.04	7.31	0.0	73.43	0.0	12.78	54.9	0.09
