	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Pvalb_tdTpositive_cell_57	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Calhm1	0.0	0.0	0.0	0.1	0.09	0.1
Casd1	0.0	0.0	0.06	55.02	51.3	49.9
Ccdc108	0.0	0.0	0.0	2.86	2.99	3.33
Ccdc110	0.0	0.0	0.0	0.79	0.71	0.74
Cchcr1	0.0	0.0	0.0	6.1	5.35	5.02
Cd28	0.0	0.0	0.0	0.27	0.15	0.21
Cdk1	0.0	0.0	0.0	0.21	0.16	0.25
Cenpi	0.0	0.0	0.0	0.44	0.38	0.42
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Clasrp	10.39	0.0	0.0	55.37	61.75	62.67
Clec1a	0.0	0.0	0.0	0.78	0.79	0.53
Cltc	21.93	65.08	167.94	317.09	302.53	308.61
Cnksr2	0.0	0.0	0.0	114.68	103.4	116.88
Cntnap5a	0.0	0.0	0.81	16.67	14.54	17.36
Col22a1	0.0	0.0	0.0	1.31	1.26	1.34
D17Ertd648e	0.0	0.0	0.0	11.77	7.97	10.82
D6Mm5e	0.0	0.0	0.0	0.1	0.09	0.1
Ddx28	0.0	0.0	0.0	12.79	14.15	12.66
Ddx55	0.25	0.05	15.25	21.72	21.72	21.82
Dnajc3	0.0	0.0	0.0	29.01	26.39	26.93
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Dym	0.0	36.79	21.26	46.47	47.15	44.01
Dyrk4	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.1	0.09	0.1
Esrrg	0.79	0.0	23.86	14.89	15.02	14.16
Fam123c	0.0	0.0	3.48	19.12	21.66	19.68
Fam135a	0.0	0.0	6.52	17.48	15.3	18.07
Fam83e	0.0	0.0	0.0	0.0	0.03	0.04
Fem1c	0.0	0.0	0.0	19.13	16.43	17.19
Fkbp5	0.0	0.0	0.0	21.92	23.35	22.8
Fmod	0.0	0.0	0.0	13.11	16.28	11.82
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gabra6	0.0	0.0	0.0	0.04	0.04	0.08
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Gipc2	0.0	0.0	0.0	1.9	1.79	1.88
Gm10714	0.0	0.0	0.0	0.35	0.11	0.36
Gm10865	0.0	0.0	0.0	1.35	1.82	2.16
Gm14379	0.0	0.0	0.0	0.48	0.25	0.55
Gm15787	0.0	0.0	0.0	1.89	2.27	2.27
Gm5936	0.0	0.0	0.0	0.0	0.0	0.14
Gm7444	0.0	0.0	0.0	0.42	0.15	0.35
Gm8979	0.0	0.0	0.0	0.32	0.45	0.21
Gm9961	0.0	0.0	0.0	0.19	0.18	0.2
Gng11	0.0	0.0	0.0	18.25	18.45	21.1
Gpr116	0.0	0.0	0.0	13.09	13.5	12.66
Gtse1	0.0	0.0	0.0	0.33	0.55	0.38
Heatr7b1	0.0	0.0	0.0	0.05	0.0	0.02
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxc8	0.0	0.0	0.0	0.04	0.04	0.09
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Hs3st5	0.0	0.0	0.0	6.23	6.93	6.12
Igsf9b	0.0	0.0	0.0	20.04	16.04	26.03
Inhbc	0.0	0.0	0.0	0.05	0.05	0.1
Izumo1	0.0	0.0	0.0	0.07	0.0	0.21
Kera	0.0	0.0	0.0	0.05	0.05	0.05
L3mbtl2	0.0	0.0	0.31	29.22	31.1	29.72
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lgals9	0.0	0.0	0.0	10.86	9.32	9.94
Lig4	0.0	0.1	0.0	8.14	7.01	7.21
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Lrrc46	0.0	0.0	0.0	1.16	1.09	1.27
Med15	0.0	0.0	20.17	44.79	47.43	48.92
Mia1	0.0	0.0	0.0	1.84	2.77	2.09
Mir1188	0.0	0.0	0.0	19.94	9.94	16.95
Mybph	0.0	0.0	0.0	0.07	0.34	0.3
Nes	0.0	0.0	0.0	5.28	5.51	5.35
Nhedc1	0.0	0.0	0.0	0.31	0.33	0.14
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Nsun4	0.0	0.11	0.06	7.54	7.68	7.58
Olfr1419	0.0	0.0	0.0	0.1	0.09	0.1
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Pacs2	0.39	0.0	0.0	62.85	66.6	75.48
Pamr1	0.0	0.0	0.0	34.14	34.31	32.92
Paqr3	0.0	0.0	0.0	14.48	12.54	14.72
Paqr8	0.0	0.0	0.0	69.76	67.21	69.08
Pcdhga11	0.0	0.0	2.15	25.26	25.52	23.72
Peli1	0.0	0.11	11.95	26.7	26.4	25.67
Pfn3	0.0	0.0	0.0	0.19	0.18	0.2
Plekha6	0.0	0.0	0.0	47.56	44.89	49.5
Polr3d	0.0	0.0	0.21	18.96	23.69	20.44
Ppifos	0.0	0.0	0.0	5.04	4.57	5.12
Ppp1r1b	0.0	0.0	0.0	454.86	500.69	444.22
Prkdc	0.07	0.0	3.34	10.04	8.21	9.69
Pvrl4	0.12	0.0	0.0	2.71	3.45	3.13
Raly	0.0	0.0	0.0	115.6	114.16	116.41
Rexo1	0.0	0.0	0.0	27.57	30.74	32.54
Rgs9	0.0	1.77	0.0	95.2	92.99	88.16
Rhbdl1	0.0	0.0	0.0	63.67	79.86	77.35
Rit1	0.0	0.0	0.0	23.27	24.0	22.49
Rnf113a1	0.0	0.0	0.0	9.32	10.64	10.18
Sac3d1	0.0	0.0	0.0	20.75	25.79	23.82
Scel	0.0	0.0	0.0	2.03	1.58	1.97
Scfd2	0.0	0.0	0.0	10.99	12.28	12.37
Scn3a	0.0	0.0	0.0	17.55	14.52	17.7
Sec16a	0.0	0.05	0.12	24.56	22.49	24.35
Serhl	9.2	0.0	0.0	5.45	6.06	6.1
Sh3bp1	0.0	0.0	0.45	13.9	14.26	13.38
Sin3a	0.0	8.91	0.0	19.98	19.5	19.36
Slx4	0.0	0.0	0.0	13.25	12.89	12.41
Smc4	0.0	0.0	0.0	3.97	3.29	4.52
Snapc1	0.0	19.29	0.0	38.5	35.61	37.24
Solh	0.0	0.0	0.0	29.12	31.21	32.67
Sox15	0.0	0.0	0.0	0.0	0.08	0.09
Spdya	0.0	0.0	0.0	1.67	1.54	2.06
Styx	2.18	0.0	0.55	11.0	10.28	10.57
Synpo2	0.0	0.0	0.0	1.72	1.87	1.96
Taf3	0.0	11.47	0.18	8.7	8.65	8.56
Tardbp	0.0	7.13	38.22	82.06	76.98	83.35
Tas1r3	0.0	0.0	0.07	0.96	0.62	0.29
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tbl2	0.0	0.0	8.89	16.84	16.74	16.2
Thap1	0.0	0.0	0.09	11.57	8.88	10.81
Tmem106a	0.0	0.0	0.0	0.77	0.57	0.98
Tmem140	0.0	0.0	0.0	1.17	0.95	1.47
Tmem173	0.0	0.0	0.0	3.89	3.89	4.04
Tollip	0.0	46.03	48.15	103.91	106.19	102.1
Tshz1	0.0	0.0	0.0	15.65	16.68	17.03
Tssk2	0.0	0.0	0.0	0.09	0.2	0.37
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Usp4	0.0	9.61	23.54	69.01	67.97	66.36
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Vps13b	0.0	14.27	4.03	18.49	16.74	18.73
Wdr31	0.0	0.0	0.0	8.16	6.26	6.71
Wrn	0.22	0.0	1.25	6.05	5.77	5.78
Zfp59	0.0	0.0	0.0	6.36	6.26	6.1
Zfp644	0.0	9.24	21.1	24.87	21.59	26.39
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
