	Nr5a1_tdTpositive_cell_40	Nr5a1_tdTpositive_cell_49	Nr5a1_tdTpositive_cell_50	Rbp4_tdTpositive_cell_186	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTpositive_cell_102	Rbp4_CTX_10pg_1	Rbp4_CTX_10pg_2	Rbp4_CTX_10pg_4	Rbp4_CTX_10pg_5	Rbp4_CTX_10pg_6
Eif2ak2	48.68	127.44	115.83	40.2	172.84	167.55	53.3	23.72	13.24	13.61	11.08	11.27
Ermap	3.96	12.13	7.41	2.78	16.97	14.19	8.56	2.55	1.67	1.36	1.14	0.86
F830016B08Rik	33.28	152.11	41.13	26.9	149.75	202.52	102.24	9.37	12.08	8.41	6.98	4.35
Glrx2	82.51	224.68	170.03	101.18	381.69	333.15	207.92	44.76	66.66	62.07	32.67	25.03
Gm16702	64.09	195.9	153.22	97.09	239.87	230.82	138.84	19.91	38.94	47.79	47.54	42.36
Gm17821	366.89	901.14	610.86	339.02	1354.52	1413.94	710.76	71.35	84.8	68.81	68.88	62.32
Gm19619	13.76	21.6	29.54	8.64	59.27	42.49	50.77	3.94	2.2	2.55	2.58	2.88
Gm2002	0.14	0.58	0.33	0.0	1.53	0.7	0.03	0.0	0.0	0.13	0.04	0.0
Gm20597	2.78	1.82	9.37	1.39	6.79	12.29	7.33	0.7	0.91	0.44	0.68	1.53
Gm4841	19.12	61.93	36.33	10.4	51.59	102.41	74.71	7.24	3.74	3.79	1.96	2.31
Gm5934	1.67	6.54	6.92	2.45	8.68	10.9	3.1	0.66	0.88	0.07	0.05	0.01
Gm6300	157.13	319.57	263.23	116.94	310.83	476.23	334.67	40.35	40.5	23.78	22.78	23.24
Gm6313	18.92	55.14	48.15	20.23	37.2	110.06	28.79	11.16	8.37	6.94	8.02	7.54
Gm6634	13.42	15.46	22.96	13.53	33.46	24.79	23.2	1.87	3.01	0.55	1.99	1.68
Gpr157	6.75	29.39	21.62	9.94	30.57	57.86	8.38	3.13	3.05	2.32	2.81	2.24
Gpr174	1.58	4.43	3.09	1.11	2.38	8.2	4.02	0.28	0.19	0.54	0.37	0.23
Grk4	599.76	1258.78	1027.01	509.25	1908.63	2134.42	1348.46	100.89	131.1	96.63	88.19	105.72
H2-Q4	116.44	323.74	147.63	103.09	330.48	411.48	206.54	38.62	41.12	31.47	21.14	13.66
Il11ra2	0.14	0.58	0.33	0.0	1.53	0.7	0.03	0.0	0.0	0.13	0.04	0.0
Itgb1bp3	6.66	12.63	17.04	6.84	16.89	17.09	20.5	2.38	2.72	0.17	1.12	0.59
Kcnj15	0.31	0.87	0.9	0.21	1.35	4.17	0.54	0.11	0.11	0.05	0.05	0.0
Kcnq1ot1	104.98	247.32	196.96	95.2	389.16	306.38	218.54	16.83	22.02	14.55	15.7	14.62
LOC622124	0.09	1.88	3.44	0.64	2.09	5.01	1.59	0.13	0.25	0.08	0.16	0.1
Olfr613	134.35	169.53	182.39	105.48	213.58	414.44	206.14	38.68	30.86	21.8	17.97	13.22
Olfr856-ps1	339.48	342.31	179.19	337.33	306.3	772.36	982.16	32.45	96.34	67.37	54.21	63.76
Pirt	0.55	6.01	4.08	0.84	3.45	5.76	5.2	0.51	0.16	0.04	0.16	0.25
Psg28	16.25	44.61	38.96	25.01	88.87	102.01	51.35	4.32	7.59	4.3	8.03	2.68
Serpina1a	6.0	53.83	21.44	4.82	42.56	40.45	10.99	1.91	1.65	0.0	1.4	0.73
Six6	0.29	0.58	1.07	0.76	0.7	1.3	0.22	0.05	0.03	0.0	0.07	0.13
Skint4	11.32	29.21	29.3	10.11	34.78	48.11	24.14	2.7	3.02	3.36	3.67	2.59
Slc6a18	14.89	24.63	28.14	6.6	24.54	20.52	18.15	1.83	1.43	1.36	2.41	2.02
Slfn8	9.68	9.76	14.48	15.14	28.93	86.55	11.06	1.1	2.91	2.61	2.71	1.37
Slfn9	31.0	81.84	45.79	24.14	163.75	133.82	46.99	5.99	5.23	3.03	5.9	4.08
Synj2bp	122.5	335.24	254.38	172.96	601.71	490.64	248.68	24.87	47.12	50.51	53.94	22.53
Tigit	33.14	124.32	88.15	37.03	126.15	248.07	38.27	4.51	9.12	2.59	3.82	3.08
Tmprss11g	3.0	8.24	4.31	1.52	14.07	10.78	1.48	0.81	0.5	1.22	0.93	1.08
Trappc9	61.59	136.82	95.44	82.23	93.04	171.35	219.32	104.19	21.24	70.38	63.4	87.65
Utp23	34.45	97.88	69.12	27.29	57.38	170.92	60.72	9.51	33.15	9.46	6.47	8.26
Veph1	11.56	12.77	15.21	7.64	21.03	45.63	8.49	3.56	2.76	2.71	2.61	2.08
Vmn1r58	350.08	461.67	516.36	217.03	697.38	592.17	313.31	57.95	52.36	52.49	38.08	49.23
Zfc3h1	16.0	8.05	0.12	53.89	62.68	84.25	0.23	0.82	0.0	0.18	0.0	0.0
Zfp277	351.26	500.4	432.66	184.55	659.19	841.12	633.8	47.39	193.9	82.0	126.67	38.99
Zfp488	394.19	640.17	432.33	347.99	893.4	1372.92	914.7	69.48	92.0	52.89	53.77	39.17
Zfp71-rs1	171.94	216.28	242.05	85.0	338.68	399.21	241.24	19.86	30.91	21.01	22.76	19.8
c17_SSU-rRNA_Hsa	9382.33	32310.68	18100.4	15720.15	62935.79	39573.42	23420.99	22437.39	28697.02	15731.79	28103.63	31264.04
