	Chrna2_tdTpositive_cell_31	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_4	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_12	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_12	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_101
Kcnc2	184.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	184.37	103.98	110.6	45.45	71.6	99.69	25.17	66.42	131.9	106.58	78.23	18.2	19.71	53.38	55.49	15.38	132.76	70.55	111.61	0.0	0.0	38.05	27.4	107.55	127.19	68.1
Ncald	234.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	371.57	438.72	121.3	228.5	359.05	304.57	201.68	212.68	278.65	327.0	169.1	108.96	328.24	452.58	399.28	260.85	307.53	563.32	363.03	0.79	0.07	37.72	177.81	285.58	313.43	345.91
Npdc1	91.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.39	53.23	0.17	105.0	60.82	88.54	1.36	81.86	100.95	32.82	38.55	2.93	9.52	14.28	88.99	2.43	16.65	59.04	57.87	0.47	0.0	1.39	62.86	54.27	104.5	2.23
Npy	173305.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	132042.44	149629.49	134232.96	130357.56	132052.33	117863.77	130527.91	173863.58	126989.03	166048.87	191162.16	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	151963.58	0.0	0.0	145032.54	180453.32	137945.15	70964.58	120620.2
Pnmal2	42.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.17	34.05	8.16	3.14	52.88	21.81	11.85	43.5	41.74	34.21	16.19	8.02	2.49	21.46	31.0	24.27	28.69	13.02	33.07	0.0	0.0	21.4	13.8	12.06	23.79	73.27
Polr2m	6.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.14	9.78	4.81	18.64	5.17	53.51	3.26	126.02	2.84	46.92	3.16	19.34	5.31	3.86	97.53	7.04	83.48	100.77	87.06	0.0	0.0	5.44	112.5	7.03	240.8	95.39
Ppp2cb	136.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	5.22	97.79	127.68	0.0	34.02	102.67	168.35	66.49	68.4	86.84	38.61	47.13	96.06	3.34	37.64	0.45	56.75	10.54	0.0	0.0	24.66	136.04	187.62	62.97	37.43
Rab6b	101.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.92	85.79	31.49	29.74	108.83	84.62	38.52	125.65	125.71	87.6	45.2	54.23	49.13	105.18	145.52	63.61	189.91	100.0	75.64	0.57	45.7	37.3	92.13	63.07	134.34	57.92
Rbbp5	37.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6	26.97	0.0	0.0	0.0	1.9	18.88	0.41	92.33	19.79	0.0	1.29	128.71	12.17	0.15	0.0	72.46	44.26	3.72	0.0	0.0	2.98	0.63	1.51	180.91	10.73
Reep5	335.27	0.0	0.14	0.0	0.0	18.39	0.0	0.0	116.72	145.32	161.18	93.01	194.65	259.94	220.63	181.55	147.79	201.28	85.07	79.96	130.33	293.9	241.99	73.94	251.46	183.38	208.26	0.23	0.0	161.19	203.89	169.2	377.68	189.61
Rian	163.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.41	158.52	92.71	63.58	54.76	119.53	47.52	19.14	111.9	99.19	62.49	17.78	35.95	57.6	33.76	86.91	112.71	171.37	77.54	0.66	0.0	80.6	1.52	75.52	230.98	119.25
Rnf167	138.38	0.0	0.0	0.0	0.23	0.62	0.0	0.0	41.01	219.51	0.16	72.05	119.69	178.33	53.35	29.88	202.29	174.55	87.25	0.63	127.42	146.49	0.0	179.28	50.77	87.73	244.86	0.91	0.0	89.74	108.46	56.22	152.54	81.33
Sema6d	48.85	0.13	0.0	0.15	0.0	0.0	0.04	0.0	11.75	27.07	46.41	18.02	31.28	7.79	7.18	11.22	0.14	0.05	50.02	11.99	0.0	13.76	27.96	7.91	13.76	11.87	24.35	0.11	0.08	35.08	7.35	0.04	16.64	19.77
Slc25a12	208.2	0.0	0.82	0.0	0.0	0.0	0.0	0.0	49.31	176.62	41.33	199.26	134.22	155.81	202.21	113.3	225.47	115.92	153.29	0.24	91.38	297.74	96.52	84.02	221.24	179.74	129.71	0.7	0.0	71.92	86.31	55.67	512.1	200.63
Snurf	241.44	0.0	0.0	0.0	0.0	0.02	0.0	0.0	72.69	207.99	96.74	151.63	156.68	103.75	124.24	141.27	183.68	152.92	109.5	95.04	117.74	163.74	124.68	169.7	122.3	99.84	312.16	0.02	35.93	170.11	184.08	156.67	191.19	150.4
Syt4	595.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	331.02	496.18	238.18	137.49	370.71	290.79	198.3	171.03	209.34	182.72	399.46	240.83	208.6	311.35	242.27	297.07	238.61	446.94	213.84	0.0	0.0	337.61	241.48	111.02	410.09	141.18
Zwint	1576.31	0.38	0.0	0.0	0.0	0.17	4.92	2.81	1702.15	1997.78	1359.21	1473.22	1490.88	1597.26	1429.37	1114.09	1492.59	1270.0	1374.41	803.89	1208.5	1439.62	1384.66	1292.34	1597.65	1454.38	1548.3	0.51	59.11	1518.07	1618.0	1669.2	2260.3	1541.1
