	Calb2_tdTpositive_cell_24	Chrna2_tdTpositive_cell_75	Ctgf_tdTpositive_cell_17	Ctgf_tdTpositive_cell_20	Htr3a_tdTpositive_cell_86	Htr3a_tdTpositive_cell_97	Htr3a_tdTpositive_cell_106	Htr3a_tdTpositive_cell_109	Nos1_tdTpositive_cell_42	Nos1_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_2	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_26	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_49	Rbp4_tdTpositive_cell_56	Rbp4_tdTpositive_cell_60	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_165	Slc17a6_tdTpositive_cell_24	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_10	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Bpifb1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.29	0.19
C8b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Cacna1c	6.92	0.0	0.0	3.27	0.0	0.14	0.04	0.0	9.07	0.0	0.0	2.6	0.0	0.0	0.0	0.0	0.0	3.99	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.07	0.7	0.05	0.04	0.0	0.0	0.41	0.0	0.0	0.0	0.22	0.0	26.61	24.77	28.8
Cars2	0.0	0.0	0.0	3.28	0.0	0.0	23.71	0.0	37.58	0.0	0.0	0.19	0.0	0.0	16.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.0	21.63	0.0	0.0	2.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.28	0.0	13.21	14.77	13.2
Ccdc157	0.0	1.58	0.44	0.5	1.44	0.38	0.48	1.73	24.83	0.19	0.54	0.31	2.52	0.66	1.24	1.24	1.41	24.02	9.42	1.03	1.32	0.61	0.46	0.69	0.0	5.13	0.0	6.08	3.62	0.89	2.17	7.29	0.18	1.01	0.59	1.26	0.0	0.31	19.84	18.57	21.08
Ccl28	0.0	0.41	0.0	0.0	0.0	0.0	0.0	0.0	3.42	0.0	0.14	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.43	0.08	0.0	0.0	0.0	0.08	0.0	1.7	0.0	0.0	0.0	0.19	0.0	43.09	0.0	0.0	0.0	0.0	0.0	0.0	0.87	2.26	2.26
Cd8a	0.0	0.33	0.42	1.24	1.18	0.13	0.67	0.17	5.37	1.82	0.01	0.25	2.05	0.71	0.39	0.0	1.85	2.34	0.12	0.23	0.14	0.42	0.5	1.19	0.0	1.87	0.0	3.51	0.14	1.3	2.12	0.79	0.0	0.0	0.44	0.56	1.57	0.0	1.31	0.7	1.17
Cnot3	0.0	9.79	0.0	2.44	2.03	0.0	0.0	0.0	12.92	0.0	4.37	1.69	4.87	0.54	0.12	0.0	0.06	2.45	14.71	2.78	2.43	0.0	2.61	0.66	0.0	3.25	0.8	0.0	2.65	0.22	0.7	0.36	0.0	0.25	0.0	0.0	1.78	0.91	33.4	35.15	37.79
Crim1	0.0	1.08	0.11	4.49	10.1	1.35	0.11	4.38	29.2	0.0	0.03	0.06	0.0	0.0	0.0	0.0	0.03	0.0	0.07	0.0	0.21	0.06	0.87	0.0	0.0	5.62	0.19	0.0	1.64	2.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.44	32.38	31.12
Csrnp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.1	0.0	0.0	0.0	0.0	0.0	0.0	4.43	0.0	0.0	0.0	5.83	0.0	0.0	0.0	0.0	0.0	0.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.73	12.69	6.34
Csta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.57	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.0	0.33	0.0	0.12	0.0	0.13	0.0	0.0	0.22	0.0	0.0	0.0	0.09	0.1	0.12
D330012F22Rik	0.25	0.88	0.24	33.13	1.63	0.87	2.11	0.58	77.91	17.39	64.3	0.83	0.2	0.55	80.55	0.25	0.21	0.35	0.79	1.13	1.76	0.16	32.82	0.28	0.56	6.56	106.98	0.77	14.11	0.82	42.84	0.84	0.92	2.06	0.22	0.45	0.27	0.0	5.35	5.2	6.08
D830015G02Rik	0.0	0.0	0.0	3.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.89	6.26	5.49
Dclk2	0.0	0.76	0.0	0.0	8.06	0.0	11.65	0.0	47.35	0.55	0.0	0.0	0.0	0.0	28.1	0.0	0.04	0.0	0.0	0.0	0.11	2.9	0.0	0.0	0.0	5.41	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.07	45.98	50.09	47.27
Dhx37	2.26	3.31	1.93	2.29	1.78	2.23	3.37	41.39	30.23	1.65	0.91	1.4	5.74	0.87	2.66	0.64	0.38	0.4	0.71	1.31	0.92	2.55	1.19	0.87	0.0	1.77	2.04	3.03	1.59	34.42	1.06	2.0	0.82	2.18	1.25	5.55	0.78	1.11	10.77	10.37	10.38
Dlx1as	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	1.63	0.13	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.12	0.0	0.0	0.09	0.0	423.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.92	17.39	19.52
Dtx3l	0.0	2.14	1.47	0.56	0.71	1.1	1.41	0.95	19.49	0.2	0.74	0.49	3.16	5.74	0.73	0.36	0.49	0.06	0.78	0.53	0.66	0.26	0.43	0.1	0.49	2.29	0.39	0.04	1.1	0.13	0.43	0.26	0.76	0.42	0.02	0.79	0.87	1.05	2.36	2.15	2.58
Dysf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.47	1.73	1.66
Edn2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ermp1	0.27	0.09	0.65	1.14	1.33	0.8	5.05	0.42	32.77	29.6	0.8	0.0	1.31	0.06	9.01	0.12	0.4	0.15	1.47	0.86	0.93	0.36	1.49	0.25	0.0	10.46	1.0	2.43	0.07	6.61	0.32	1.02	0.68	26.01	0.12	0.56	0.49	0.21	31.44	31.72	32.7
Fam43b	0.0	0.0	0.0	0.0	0.0	2.46	0.0	0.0	66.34	0.33	0.0	0.0	0.0	0.0	0.0	96.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.77	0.0	0.0	0.5	0.0	1.11	27.39	0.0	0.0	0.0	0.0	0.0	0.0	30.66	33.57	27.0
Fam54a	0.23	1.19	0.54	1.71	1.5	1.83	0.57	1.43	7.57	0.23	2.29	1.79	0.27	1.53	1.69	0.69	1.15	0.0	0.99	0.42	0.18	0.54	0.31	1.2	0.0	3.6	0.67	0.98	0.09	1.92	0.53	2.7	0.28	0.1	10.71	0.0	0.0	0.0	0.46	0.53	0.44
Fam71e1	0.0	0.0	0.0	0.0	1.37	0.0	0.0	0.0	20.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.28	0.0	0.0	0.24	0.0	3.97	0.85	0.0	0.89	0.0	0.0	0.0	0.0	4.44	4.63	6.0
Fbrsl1	0.0	0.14	0.0	0.0	0.0	2.99	1.24	0.0	13.89	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.46	0.0	0.0	4.69	12.52	0.0	0.0	0.0	11.1	0.0	0.0	0.0	0.0	31.38	34.29	34.11
Fn1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.79	0.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.05	18.19	18.24
Foxi1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Ghdc	0.48	3.11	6.36	5.98	1.25	2.48	3.39	2.19	87.94	3.22	6.6	1.98	1.18	4.1	2.6	3.74	1.42	0.96	3.81	1.49	2.28	3.91	0.96	2.88	0.22	10.21	4.31	2.36	5.49	2.5	1.51	3.19	2.92	2.32	2.69	1.11	0.7	4.8	9.46	10.64	10.55
Gm1045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.13	0.42
Gm10516	0.19	0.4	1.05	1.95	1.43	0.77	0.66	2.12	1.72	0.35	0.69	0.82	0.62	0.39	0.87	0.51	0.08	0.14	0.52	0.78	1.53	1.84	0.44	0.12	0.13	0.98	0.76	0.36	0.11	0.91	0.73	1.14	0.23	0.22	0.94	0.17	0.35	0.18	4.72	5.54	5.89
Gm16497	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.12	0.07
Gm239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.62	0.0	0.0	0.0	0.0	0.0	4.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.15	0.2
Gm4224	0.0	0.0	0.0	0.0	0.91	0.0	0.0	0.0	0.35	0.34	0.06	0.0	0.0	0.0	1.24	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.07
Gm4827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.63	0.0	0.0	0.0	1.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.22	0.59
Gm4832	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm5475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.3	0.0	0.08	0.0	0.0	0.0	0.0	0.09	0.18	0.08
Gmeb1	17.53	8.93	5.88	37.31	9.66	4.39	5.58	7.56	87.29	4.53	4.42	10.6	10.62	6.76	4.31	2.28	32.1	2.96	8.33	19.13	7.2	4.27	24.41	5.47	0.74	16.44	2.72	354.2	19.0	6.53	2.33	7.87	1.97	5.63	39.14	5.52	13.22	3.91	9.63	7.72	9.84
Gnb3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.05	0.17
Gpr180	0.0	0.6	0.22	0.63	0.32	0.66	0.16	0.85	38.89	0.26	0.55	0.5	0.28	0.11	0.13	0.12	0.25	0.0	0.19	0.01	0.57	0.09	0.0	0.0	0.0	5.66	0.45	1.21	2.52	0.7	0.0	0.51	0.0	0.18	30.17	0.02	0.0	0.08	20.98	19.71	20.62
Heatr2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.03	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.41	0.0	0.0	0.08	0.0	4.73	0.0	0.0	0.06	0.0	0.0	0.0	0.0	55.34	0.0	0.0	0.0	0.0	5.74	5.74	5.71
Hhla1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hivep3	0.53	0.0	0.0	0.6	0.08	1.75	0.0	14.33	40.91	0.24	0.0	0.65	0.0	0.03	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.13	10.08	0.39	0.0	2.41	0.06	0.05	1.27	0.99	0.03	0.0	0.0	0.53	4.27	0.0	2.06	3.78	18.82	17.25	20.23
Hnrnpab	0.32	56.04	4.06	55.83	0.52	1.1	23.9	23.37	10.08	5.65	49.78	0.31	0.0	0.66	5.31	3.54	40.16	15.4	45.29	0.11	14.28	81.51	29.85	2.69	38.56	26.77	48.77	0.33	16.92	7.16	12.66	29.73	12.99	0.0	0.11	1.66	0.0	1.01	108.31	120.31	108.59
Hnrnpul2	20.01	0.09	0.0	43.89	3.38	0.0	3.24	14.4	4.0	3.58	9.08	30.12	0.0	35.38	0.19	0.06	0.06	6.97	0.78	43.31	0.15	0.4	20.3	0.1	134.7	11.37	31.98	223.62	15.27	30.99	0.25	0.18	9.23	54.29	14.98	0.0	36.22	2.16	123.85	124.17	120.5
Hoxd8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Hsf5	0.0	0.0	0.0	0.0	7.4	0.65	0.0	0.0	70.92	0.0	0.0	0.0	15.18	8.85	0.09	0.0	0.0	0.83	15.1	0.0	0.1	1.1	0.0	0.0	0.0	12.61	0.0	0.0	7.31	20.49	0.0	0.08	0.88	0.0	58.12	22.38	0.0	2.46	0.26	0.29	0.27
Hyal1	0.68	1.19	1.22	0.99	0.39	0.37	0.29	1.9	1.6	0.19	0.96	0.0	0.83	0.43	1.01	0.58	0.2	0.0	0.8	0.0	0.8	0.53	1.11	0.66	0.0	1.5	1.33	0.74	0.32	2.11	0.28	0.73	0.26	0.12	0.7	0.0	0.7	0.56	4.13	4.13	4.53
Kctd12b	0.1	0.0	0.0	0.12	0.36	0.04	0.2	0.09	0.78	0.0	0.16	0.13	0.07	0.0	0.0	0.0	0.18	0.0	0.6	0.0	0.0	0.14	0.09	0.19	0.23	0.12	0.0	0.27	0.05	0.18	0.26	0.07	0.0	0.16	0.0	0.19	0.07	0.05	2.85	2.84	2.38
Kera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Kif18a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.55	0.0	0.0	3.78	0.0	52.77	12.0	0.0	0.0	0.0	0.47	0.61	0.63
Kifc5b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.05	2.29	2.15
Krtcap3	0.0	0.0	0.0	0.63	0.0	0.0	0.0	0.0	0.0	29.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.38	2.97	4.87
Lao1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Lig3	0.0	0.0	0.0	0.0	6.92	0.0	0.0	0.0	30.16	2.1	0.03	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.17	0.0	0.0	4.34	7.3	0.9	0.0	0.0	0.0	0.05	0.0	37.28	0.0	16.4	14.44	14.32
Lrguk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.06	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.39	1.0	0.96
