	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_42	Cux2_tdTnegative_cell_2	Htr3a_tdTpositive_cell_100	Htr3a_tdTpositive_cell_109	Htr3a_tdTpositive_cell_110	Nos1_tdTpositive_cell_37	Nos1_tdTpositive_cell_51	Ntsr1_tdTpositive_cell_19	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_25	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_76	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_6	Rbp4_tdTpositive_cell_50	Rbp4_tdTpositive_cell_99	Rorb_tdTpositive_cell_49	Vip_tdTpositive_cell_20	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_6	CAV_LP_Ipsi_tdTpos_cell_11
Gnb2	0.0	15.64	0.0	0.0	0.3	76.05	11.42	3.11	0.21	16.53	81.85	0.87	0.0	0.0	2.99	1.66	0.0	0.0	0.0	3.23	90.52	0.0	18.34	12.86	23.05	7.41	0.21
Gnl3	6.24	76.85	0.0	0.0	239.93	10.66	93.55	83.99	2.45	31.41	5.64	45.1	50.44	2.64	37.06	54.55	0.0	170.82	87.5	13.6	0.17	0.0	29.38	50.17	58.63	102.47	10.28
Hcfc1	0.99	1.26	0.0	9.94	29.97	4.56	9.01	15.73	15.8	0.0	0.09	5.74	3.04	4.2	3.43	42.94	0.0	20.84	0.73	0.0	35.17	72.39	33.5	11.36	14.07	0.0	7.13
Hspa4	6.8	3.94	0.0	4.4	8.61	8.9	4.38	1.78	9.07	47.56	21.04	4.54	14.26	0.0	12.18	11.55	0.0	0.1	7.53	0.0	2.81	0.0	22.95	15.74	14.02	8.11	14.02
Inpp4a	48.87	384.53	0.0	571.66	569.38	344.0	536.64	654.48	884.78	437.1	628.09	133.82	279.52	233.52	488.25	416.12	3.44	475.27	291.22	223.56	425.19	194.67	468.13	683.89	741.12	691.02	448.42
Ldha	807.74	2078.7	0.0	2007.82	1227.32	2378.02	3112.21	1730.94	1936.56	2477.56	3217.4	2864.01	3028.56	2815.12	2425.05	3537.29	776.51	2661.63	1228.4	2032.31	904.62	391.53	2266.41	2019.03	1862.91	3793.66	1693.32
Lypd6b	0.1	0.0	0.0	0.0	0.4	0.0	0.34	0.25	0.3	0.62	0.4	0.0	0.0	0.0	0.34	0.26	0.25	0.16	0.66	0.14	0.13	0.44	9.71	2.72	1.23	0.13	1.22
Magi1	78.01	30.7	0.0	2.57	30.99	0.5	11.01	22.17	13.07	49.18	36.41	8.48	5.22	13.36	4.59	20.29	0.0	42.57	2.47	0.69	12.33	32.84	24.01	33.81	35.78	42.72	25.39
Mapre3	0.0	1.43	0.0	35.53	100.94	12.89	2.65	11.41	39.84	0.17	33.78	3.7	0.18	70.06	36.2	17.63	0.0	2.78	12.88	5.64	3.35	17.01	17.55	13.49	11.59	7.86	39.24
Mtx1	0.0	0.0	0.0	90.97	66.77	206.2	18.55	44.91	102.26	66.28	155.57	79.53	135.64	116.89	66.32	0.46	0.0	40.56	98.6	134.72	0.42	0.0	58.43	41.41	39.23	350.87	72.99
Myef2	104.37	203.18	17.02	258.43	133.46	227.68	198.99	259.43	316.82	319.23	421.39	48.31	137.24	77.66	311.78	329.38	51.06	310.14	279.61	124.27	105.74	269.26	287.26	369.51	385.4	370.17	350.65
Pcp4	2142.29	0.0	0.0	2777.44	3670.93	2890.59	854.94	2012.53	3003.24	4785.11	3783.89	5326.1	3680.68	6583.41	2999.77	3242.25	0.0	1509.39	2429.01	2547.46	2834.5	2097.74	3150.04	3442.63	3306.12	4212.47	5106.23
Pdk1	0.55	0.35	0.0	0.29	67.82	0.35	6.98	5.4	0.5	13.01	19.36	0.42	11.35	0.52	26.97	1.8	0.09	0.18	6.35	0.12	0.0	0.87	10.08	8.6	13.05	5.86	0.22
Prkaca	2.86	51.59	0.0	76.2	4.01	64.47	100.72	24.21	10.6	56.87	56.94	16.97	23.14	18.26	46.69	33.24	36.95	34.95	41.75	29.48	23.3	297.75	37.67	33.31	40.45	134.05	70.46
Rasal1	0.0	0.0	0.0	7.82	8.4	36.1	0.96	6.29	20.71	0.2	2.5	0.0	10.96	0.1	26.09	0.32	0.0	0.0	0.15	0.0	0.0	0.0	4.47	6.31	7.12	81.01	46.92
Rgs17	113.14	12.82	0.0	38.81	35.9	51.59	45.47	22.63	108.52	100.78	80.1	46.13	22.9	11.72	61.11	109.77	0.0	0.11	35.04	0.04	8.32	0.0	59.22	40.26	41.36	15.64	27.74
Rhox8	16.42	9.98	0.97	6.48	5.06	3.94	6.26	5.55	10.73	6.09	9.34	8.91	1.47	5.63	4.27	4.37	1.97	2.61	6.89	0.54	5.38	9.45	8.56	7.32	6.79	2.86	5.45
Rnf112	0.0	45.07	0.0	50.01	0.0	1.94	53.78	8.76	10.77	9.59	0.71	40.76	45.83	132.93	37.08	54.94	0.0	0.16	36.43	0.0	19.8	0.0	19.03	32.77	20.1	0.0	0.87
Rnf19a	0.0	0.0	0.0	0.0	0.0	0.0	3.22	0.0	0.0	0.96	18.13	0.0	0.24	0.0	28.37	0.0	0.13	35.6	0.0	0.0	0.0	0.0	10.33	6.23	9.99	0.52	0.0
Sh3glb1	0.0	25.78	0.0	0.0	14.2	37.03	33.81	0.48	5.01	0.0	0.26	2.78	0.09	0.0	0.0	0.0	0.0	0.0	30.86	0.0	0.0	0.0	4.63	5.63	6.11	0.0	0.0
Skil	44.52	151.79	0.0	130.36	123.79	97.94	88.76	74.37	180.65	134.18	190.22	37.76	68.33	50.21	155.66	200.54	0.0	103.22	77.2	84.9	66.03	59.89	205.98	150.74	164.3	226.13	122.63
Smarca2	54.88	136.39	0.0	151.06	181.1	334.44	53.19	60.72	234.71	231.06	197.49	90.54	129.57	501.62	110.9	173.2	78.47	150.56	186.6	0.0	33.67	48.42	184.64	151.46	186.58	165.62	18.49
Snupn	0.0	413.74	0.0	57.42	126.11	115.82	88.41	124.41	165.68	103.91	0.27	0.0	13.08	0.0	61.81	0.26	0.0	326.55	148.68	0.0	0.47	0.0	110.6	72.88	72.48	133.95	0.0
Specc1	0.0	5.19	0.0	16.29	0.68	14.85	1.37	0.0	4.09	0.0	20.11	2.67	0.0	2.43	6.3	1.43	0.0	23.68	0.0	0.0	0.09	0.0	5.99	4.28	8.42	19.93	0.19
Ssh2	0.0	5.63	0.0	9.41	0.06	15.72	0.15	10.71	17.72	0.0	0.0	0.09	0.04	0.0	25.44	11.15	0.06	0.0	5.36	0.0	0.03	0.05	4.47	4.54	4.03	3.84	23.63
Stxbp5l	0.0	8.86	0.02	26.59	1.34	15.19	17.86	4.33	39.91	9.27	50.75	8.58	15.09	0.11	49.67	61.86	0.0	17.18	8.96	0.08	7.13	2.41	40.89	17.77	17.8	30.57	11.85
Tmem161b	0.0	83.35	0.0	0.0	1.71	0.91	23.08	33.27	0.24	27.01	6.92	1.47	26.23	3.15	48.89	3.75	0.0	8.19	0.0	0.0	0.25	3.94	58.9	61.12	49.33	38.53	0.0
Ube2z	0.0	0.34	0.0	0.19	0.0	0.0	4.81	34.77	26.7	39.02	1.4	0.0	0.43	61.22	26.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.93	7.91	9.03	0.0	47.27
Wbp11	32.41	2.97	0.0	5.74	43.09	8.64	27.88	29.98	5.28	17.42	36.04	22.94	4.14	2.49	129.39	15.69	0.0	4.04	7.85	3.15	1.72	16.22	32.09	29.46	27.58	27.96	30.56
Whsc1l1	0.0	105.88	0.0	37.43	78.95	66.2	53.96	22.02	105.31	15.49	140.37	0.96	0.09	5.49	77.31	73.94	0.0	104.56	73.55	7.98	0.51	16.26	102.61	83.46	93.69	42.83	20.58
Zbtb7a	5.12	5.55	0.0	3.12	0.11	11.84	7.7	12.84	10.18	1.84	36.33	0.97	5.53	3.02	16.83	6.12	0.0	3.7	5.33	0.0	13.01	0.0	16.62	16.78	16.34	19.99	10.86
Zfp187	304.57	176.8	4.31	187.04	69.65	98.54	196.43	156.71	286.57	162.26	290.6	11.79	225.14	57.35	244.81	304.05	0.77	245.52	247.35	121.99	243.03	207.97	324.95	271.99	298.62	268.21	238.29
mt_AK136262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.0	0.14	2.25	0.0	0.0	0.0	0.0	0.12	0.0	1.02	0.0	0.0	0.0	0.0	4.83	0.19	1.6	0.03	0.13
mt_AK142003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.0	0.14	2.25	0.0	0.0	0.0	0.0	0.12	0.0	1.02	0.0	0.0	0.0	0.0	4.83	0.19	1.6	0.03	0.13
mt_AK166798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.0	0.14	2.25	0.0	0.0	0.0	0.0	0.12	0.0	1.02	0.0	0.0	0.0	0.0	4.83	0.19	1.6	0.03	0.13
mt_AK166978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.0	0.14	2.25	0.0	0.0	0.0	0.0	0.12	0.0	1.02	0.0	0.0	0.0	0.0	4.83	0.19	1.6	0.03	0.13
