	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_26	Calb2_tdTpositive_cell_31	Calb2_tdTpositive_cell_34	Calb2_tdTpositive_cell_43	Cux2_tdTpositive_cell_17	Cux2_tdTpositive_cell_80	Cux2_tdTpositive_cell_100	Cux2_tdTpositive_cell_103	Cux2_tdTpositive_cell_106	Cux2_tdTpositive_cell_111	Cux2_tdTpositive_cell_119	Gad2_tdTpositive_cell_32	Gad2_tdTpositive_cell_71	Htr3a_tdTpositive_cell_6	Htr3a_tdTpositive_cell_71	Nos1_tdTpositive_cell_65	Ntsr1_tdTnegative_cell_5	Pvalb_tdTpositive_cell_23	Rbp4_tdTnegative_cell_4	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_9	Scnn1a.Tg3_tdTpositive_cell_11	Scnn1a.Tg3_tdTpositive_cell_17	Scnn1a.Tg3_tdTpositive_cell_97	Slc17a6_tdTpositive_cell_33	Sst_tdTpositive_cell_42	Sst_tdTpositive_cell_59	Vip_tdTpositive_cell_2	Vip_tdTpositive_cell_5	Vip_tdTpositive_cell_18	Vip_tdTpositive_cell_29	Vip_tdTpositive_cell_64	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_3
Cap2	154.83	0.0	0.0	267.35	0.0	1.16	128.42	394.55	203.74	254.74	441.82	459.43	105.17	0.0	112.81	0.09	0.0	88.79	0.0	188.39	0.0	197.16	143.75	125.72	221.61	292.19	46.7	16.03	83.97	0.15	0.0	129.52	0.0	118.99	157.76	161.64
Ccl11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.62	0.0	0.0	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cdc123	207.21	499.99	141.08	253.86	531.43	442.57	88.3	778.71	159.72	244.0	390.17	299.5	494.96	50.39	265.2	58.75	316.51	261.99	60.07	303.77	43.34	92.0	81.41	614.74	197.08	201.3	228.33	456.2	222.19	186.08	121.34	537.67	695.31	52.42	366.13	324.74
Cdyl2	0.32	0.95	84.54	0.08	0.0	0.0	9.2	91.28	1.12	42.72	23.59	9.97	22.82	0.0	10.89	0.0	0.05	23.0	0.0	24.68	0.0	57.77	0.0	48.66	73.16	14.0	47.91	69.17	0.07	19.95	0.0	0.0	0.0	0.12	20.29	15.73
Chit1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.12	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21
Chmp2b	0.08	0.0	19.67	0.0	40.5	0.0	0.0	30.11	65.04	22.26	0.0	73.99	88.22	0.24	8.71	199.71	0.0	17.8	0.0	0.0	0.0	0.54	0.0	37.47	5.0	4.19	5.11	30.72	20.58	3.01	0.0	0.0	336.93	9.45	19.53	16.04
Cisd3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	166.69	88.98	22.3	168.87	188.19	68.08	0.0	0.0	0.0	0.0	45.63	310.83	16.46	295.39	1.36	0.0	14.32	130.86	0.58	72.88	60.7	0.0	124.19	0.0	0.0	254.41	0.0	97.88	154.5
Cog7	0.2	0.16	0.0	74.04	44.01	0.66	187.38	443.03	24.23	61.5	1.11	79.45	102.07	0.63	85.79	0.25	1.4	0.26	0.2	14.24	0.18	4.66	82.08	294.44	104.34	7.82	1.3	9.34	1.46	90.37	6.3	0.41	1.14	1.19	28.91	24.76
Cyp39a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.18	103.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.95	0.79
D16H22S680E	456.91	526.76	84.12	0.0	235.38	51.37	0.76	838.63	140.72	300.12	49.75	278.53	6.71	460.18	416.36	0.0	738.92	314.65	0.39	283.33	0.0	9.39	210.52	279.51	196.41	580.51	329.11	153.72	353.74	454.18	291.73	0.57	0.0	0.0	359.92	351.76
D9Ertd402e	0.09	0.16	0.0	0.0	0.41	0.0	0.37	92.93	0.0	0.17	0.0	57.38	0.58	120.27	109.5	0.11	0.28	43.73	0.0	0.0	0.32	1.32	0.26	0.49	8.94	0.26	0.0	0.37	0.35	0.22	0.47	0.0	0.24	0.53	12.41	9.85
Dclre1a	0.0	0.0	0.0	0.0	0.0	0.0	14.52	133.09	0.0	0.0	0.0	0.0	3.9	0.0	0.54	0.0	0.0	0.0	120.46	0.0	0.0	1.94	42.51	108.41	0.0	0.37	0.0	0.0	0.0	9.2	0.0	0.0	0.0	0.0	10.69	8.46
Ddost	77.52	0.0	0.0	0.28	1.01	0.0	23.7	287.16	65.14	0.0	94.26	113.73	8.89	0.84	0.0	0.17	78.99	0.0	0.55	0.0	4.08	0.0	0.33	0.37	36.41	0.37	32.78	1.03	0.0	4.47	0.0	0.2	0.0	1.23	10.32	17.81
Ddx10	0.0	0.0	0.0	14.32	4.23	6.03	0.0	133.71	52.34	29.63	0.0	39.97	57.58	0.0	39.15	0.0	20.51	38.95	0.0	35.78	0.0	0.0	0.0	38.03	14.79	0.28	41.93	0.0	64.63	0.0	0.0	45.32	0.0	0.0	14.81	18.48
Dpp7	0.47	25.77	0.0	0.0	0.0	0.0	0.0	165.39	0.0	98.95	4.28	0.0	0.07	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	313.15	32.59	15.89	0.0	0.0	0.0	0.0	0.0	0.0	28.9	39.37
Dus3l	0.0	0.0	4.75	4.77	0.92	0.0	0.12	198.4	23.09	1.36	0.91	0.0	43.32	0.19	1.73	2.24	50.04	49.65	0.0	0.44	0.0	0.0	17.24	123.84	0.85	1.13	1.61	0.0	211.59	153.98	0.46	2.96	0.0	0.0	19.24	11.95
E130003G02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.63	0.0	0.0	0.0	5.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eftud2	39.16	46.37	0.0	0.69	88.14	95.76	3.54	420.06	144.94	69.1	194.62	143.43	297.19	0.0	0.0	0.41	0.0	2.18	0.0	0.15	748.86	0.1	138.27	293.98	172.56	106.12	107.6	23.94	0.0	0.0	0.16	4.19	0.0	203.01	50.68	54.32
Fam168b	0.06	0.0	0.12	0.93	0.68	53.84	21.85	68.79	36.44	32.44	27.4	68.54	2.73	4.72	21.41	110.83	0.0	3.03	0.0	54.9	0.01	2.42	12.55	49.33	9.99	59.52	72.66	0.0	6.51	1.3	1.34	0.0	0.0	1.82	25.23	28.04
Fam33a	0.0	0.0	0.0	0.0	0.0	0.0	19.01	176.11	0.0	0.0	0.0	0.0	0.0	0.0	169.42	0.52	0.0	0.0	0.0	0.38	0.29	43.8	152.92	120.85	133.33	113.99	0.0	0.0	0.0	139.24	0.0	0.0	0.0	0.0	20.59	20.27
Fam98b	0.0	0.0	0.0	37.24	0.0	38.5	31.82	132.06	30.16	66.51	36.76	66.61	23.86	0.0	9.79	17.67	75.53	2.37	0.31	35.28	0.0	0.0	0.0	30.36	33.49	2.41	63.87	16.43	0.0	23.75	28.11	215.43	51.41	4.66	30.94	13.76
Fars2	124.06	0.0	206.76	0.0	108.77	0.0	0.0	167.34	0.0	0.0	49.56	0.0	0.1	0.0	43.34	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	84.38	0.0	0.74	46.84	0.0	93.8	0.75	0.0	0.0	0.0	0.0	22.03	18.41
Gak	0.0	0.76	0.0	5.91	0.0	0.71	1.06	151.58	9.06	7.51	29.23	6.73	74.18	2.86	32.04	6.49	0.0	43.25	0.0	6.01	0.0	3.18	9.91	3.0	2.31	0.76	31.58	21.84	37.03	1.9	0.0	0.0	4.2	0.0	8.37	15.24
Gm11648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.3	0.19	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.05	0.0	0.16	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0
Gm8234	16.6	18.76	27.84	25.75	23.42	15.1	12.7	45.21	34.16	31.71	35.08	31.73	35.04	18.78	23.18	29.09	49.43	26.84	19.53	23.27	10.84	25.6	32.97	36.46	32.5	12.96	25.8	16.85	44.33	20.65	61.56	12.16	17.9	13.52	31.42	27.56
Golga7b	0.97	16.07	8.55	1135.08	361.72	171.94	620.31	2152.03	641.37	762.91	370.73	1066.71	141.58	439.66	77.07	258.42	0.4	732.74	0.2	175.03	0.0	506.0	786.84	2095.89	1707.08	1181.65	908.3	191.14	319.9	100.68	175.53	318.03	73.79	133.83	881.38	659.36
Gpr149	0.76	0.0	0.0	0.0	0.0	0.63	0.0	0.35	0.0	0.0	0.0	0.0	0.03	1.13	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.21	0.42	0.0	0.0	0.24	0.2	0.0	0.0	0.0	0.0	0.11	0.45	0.0	0.2
Gpx1	99.6	0.0	0.0	0.0	0.0	0.0	29.54	273.2	222.54	101.73	105.72	180.08	42.69	0.42	178.49	0.34	0.0	193.66	0.0	115.78	0.0	0.0	98.28	308.25	339.74	2.42	0.0	259.22	77.84	122.19	0.0	205.27	226.84	0.0	219.02	181.77
Gstz1	0.08	0.0	0.31	222.32	0.0	20.71	0.0	471.99	304.2	92.52	0.36	81.49	75.74	0.0	180.36	329.94	0.0	0.02	0.0	0.51	0.08	30.46	169.92	477.06	0.0	96.56	2.35	43.71	77.35	342.23	0.0	0.19	0.0	0.0	68.26	59.76
Guk1	0.0	0.0	0.0	0.0	209.9	72.39	0.0	116.94	98.08	156.43	47.51	208.31	310.01	0.0	28.47	152.55	0.0	0.9	0.0	30.13	0.0	0.0	7.8	0.0	0.0	5.47	104.64	31.32	89.05	8.53	89.76	27.92	508.45	173.93	27.66	57.73
Hdgf	119.15	58.64	0.0	0.0	0.0	31.92	23.59	238.41	58.33	11.62	0.94	226.58	55.27	55.23	0.0	0.0	0.19	0.0	0.0	62.65	0.0	1.71	82.28	4.48	81.39	0.61	4.63	23.89	62.4	102.07	2.11	0.0	228.34	139.85	33.21	37.45
Hnrnph1	223.33	390.34	15.34	411.41	299.21	114.72	343.44	937.27	252.88	150.98	257.49	303.63	490.33	385.55	196.76	2.79	0.19	526.5	0.0	333.89	86.04	568.98	333.03	654.06	724.41	275.23	428.75	333.77	322.59	275.07	216.13	52.49	60.48	106.43	171.9	189.22
Hpcal4	0.06	0.0	0.0	117.17	0.0	0.0	0.0	124.51	97.59	33.84	86.56	72.64	136.32	264.5	18.28	17.75	0.09	20.45	0.0	0.0	0.0	83.8	55.82	112.33	101.05	0.73	90.96	45.7	10.21	55.66	0.0	0.18	0.0	0.11	152.55	132.8
Hspa8	22360.42	24473.49	17968.45	20649.84	19469.9	26297.86	16603.64	19684.06	18093.3	17407.32	17791.57	15759.15	22558.28	20651.28	23643.2	19634.58	20789.46	20228.05	13375.32	20908.03	12999.96	22280.51	21295.16	15507.14	17844.94	18967.67	21156.27	19485.43	18482.25	21948.63	17737.55	18338.42	20378.92	21321.96	13901.95	12763.15
Igf2bp3	0.0	0.0	0.0	0.0	10.85	0.85	0.0	17.02	0.29	0.0	0.0	0.0	4.48	0.0	7.83	0.0	0.0	0.0	0.0	3.88	0.0	0.51	7.75	0.0	0.0	0.0	6.4	10.28	0.0	0.0	0.0	0.0	0.0	3.69	1.16	1.11
Itgb6	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07
Kcnd3	0.02	0.0	0.0	0.0	7.13	0.0	0.0	66.23	0.0	0.21	2.88	0.0	26.36	0.0	0.0	1.66	0.0	36.87	0.0	0.0	0.0	51.42	0.0	67.68	9.48	11.28	0.0	7.25	117.92	0.38	0.0	0.0	0.0	0.0	4.52	4.7
Kdm6b	0.02	2.83	7.0	1.37	12.51	2.07	0.0	22.09	10.55	28.46	22.42	28.9	11.04	11.72	24.72	6.17	38.43	31.48	1.3	8.17	22.73	2.14	5.67	17.57	1.93	2.71	14.71	18.59	19.88	15.78	2.18	0.0	8.81	0.0	10.15	10.44
Lass4	0.08	0.0	161.43	194.27	181.27	20.11	0.0	218.9	118.76	61.8	0.19	60.28	61.31	104.85	75.73	13.24	18.72	0.09	0.0	10.3	0.21	1.39	78.95	138.05	0.0	66.05	66.68	32.23	34.03	0.15	0.59	0.0	0.0	389.22	68.99	59.79
Ly6g6c	0.0	0.0	0.0	0.0	0.0	1.21	0.0	3.38	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.23	0.91	0.73	0.0	1.65	0.0	0.0	0.11	3.33	0.54	0.0	0.0	0.15	0.0	1.11	0.0	0.0	0.0	0.65	0.0	0.55
Mei1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.38	69.48	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	1.3
Mkl2	2.43	58.35	0.68	165.41	27.19	25.26	165.28	318.09	260.98	246.1	448.97	277.19	223.22	43.24	56.65	37.93	70.12	183.3	1.08	83.09	2.7	156.2	180.39	155.05	288.28	193.58	435.59	114.93	45.43	12.89	2.09	40.07	0.24	44.78	360.18	249.53
Mrpl2	49.94	0.0	0.0	0.0	9.5	141.99	0.0	215.02	0.0	0.0	0.72	82.69	0.11	39.98	87.1	12.29	17.25	1.33	0.0	0.0	218.7	0.0	0.0	4.74	243.68	113.93	0.0	96.35	0.0	9.53	211.16	0.0	0.0	0.0	81.48	79.44
Mtfr1	1.11	0.18	1.27	5.18	0.64	0.75	0.4	232.01	1.14	2.6	2.75	3.01	0.73	9.4	73.73	1.33	0.81	1.38	0.15	0.62	7.16	1.64	0.97	153.23	2.23	1.36	1.1	1.84	1.69	150.21	1.6	0.76	3.06	0.6	4.61	3.68
Mycbp2	31.85	1.74	21.88	24.96	2.39	0.0	0.04	49.77	58.96	32.38	4.55	47.78	31.66	41.28	12.4	0.19	13.26	34.28	0.11	23.76	0.0	3.32	34.01	46.95	32.9	51.2	45.79	40.08	14.46	9.53	2.23	16.6	0.93	13.65	43.57	30.01
Myrip	0.0	0.0	0.0	7.56	0.0	0.0	0.0	23.52	2.02	0.0	0.0	0.0	1.21	0.0	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.12	0.29
Mzt1	0.32	0.0	474.36	2.07	78.96	1.65	0.25	292.3	67.1	63.3	2.09	167.66	157.23	139.33	155.81	220.83	5.85	69.88	3.85	125.2	2.36	184.98	2.88	205.64	12.18	182.18	111.15	133.31	64.85	74.12	0.97	216.48	0.23	395.77	82.16	75.91
Nap1l4	30.87	0.65	0.0	0.0	0.0	3.29	168.13	234.0	42.91	37.68	49.44	0.0	86.55	434.9	144.75	1.96	219.21	43.14	103.76	95.45	0.52	0.0	188.03	248.5	144.0	46.6	82.52	39.47	3.63	267.55	0.0	1.32	166.51	3.11	91.76	90.46
Ndel1	62.23	18.66	0.0	0.0	78.0	0.0	26.06	249.47	13.66	40.73	26.64	78.44	218.15	29.08	5.97	0.0	0.0	43.24	0.0	28.83	0.0	41.48	201.02	309.0	119.82	205.43	3.76	7.49	9.1	0.0	0.22	27.18	0.0	0.0	13.54	40.5
Nfatc2	0.0	0.0	8.91	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.02	0.03	0.0	0.48	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.07	0.09	0.0	0.0	0.0	1.65	1.22
Obox3	0.1	0.37	0.0	0.37	0.0	0.0	0.0	2.0	0.0	0.33	0.0	1.5	0.45	0.7	0.28	0.0	0.0	0.0	0.0	0.97	0.0	0.0	0.27	0.0	0.41	0.09	0.0	0.23	0.0	1.38	0.0	1.13	0.72	0.34	0.19	0.22
Pcdhac2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	132.19	70.66	0.0	0.0	109.38	0.31	0.0	130.85	0.0	0.0	0.0	0.0	68.38	0.0	0.0	0.0	0.0	0.0	1.23	95.31	91.39	99.76	0.0	0.0	0.0	0.0	0.0	20.99	16.65
Pcdhgc5	0.06	0.0	0.0	4.22	14.52	39.06	0.0	237.8	125.26	65.72	48.43	148.05	97.9	155.85	40.26	0.0	0.0	15.21	0.0	0.0	0.0	52.58	44.65	67.0	6.37	96.87	79.03	33.49	40.36	0.0	0.0	2.67	0.0	0.0	32.54	47.68
Pcsk2	124.0	0.2	2.86	216.3	1.76	3.46	60.4	411.55	318.22	72.02	366.02	325.2	315.99	254.83	0.37	2.22	0.09	184.45	0.12	0.0	0.0	0.27	87.05	106.26	199.96	226.21	307.36	90.08	2.4	40.06	0.11	2.66	300.14	100.84	173.49	192.4
Phf17	0.0	0.0	3.01	0.0	0.0	0.0	0.0	66.69	0.0	13.97	13.49	0.75	0.01	21.74	0.0	7.23	0.0	16.67	0.0	0.27	0.0	0.0	5.31	79.42	4.68	0.05	0.67	26.24	0.1	34.56	10.02	0.0	0.41	140.18	7.0	6.71
Prkag1	0.28	0.0	0.0	0.0	543.24	0.0	6.45	581.08	6.0	119.23	211.64	327.71	0.44	380.59	497.55	0.0	0.0	82.56	0.0	26.0	0.0	340.61	233.76	188.77	154.7	287.01	39.32	103.01	364.29	0.0	204.27	0.0	403.58	273.09	131.36	128.98
Prkrip1	11.81	122.02	0.0	0.0	80.53	166.49	0.17	169.81	41.21	2.55	15.41	29.45	95.03	0.0	94.69	0.0	0.0	0.0	0.0	39.55	0.0	0.19	0.0	11.08	65.39	0.5	55.7	3.31	47.26	0.0	0.0	0.0	0.0	0.0	28.18	34.07
Purg	57.74	0.0	60.04	36.34	90.96	0.0	0.0	124.15	38.91	95.68	43.62	35.03	79.18	0.0	85.91	0.0	0.0	110.57	0.0	118.33	0.0	0.0	0.0	0.0	2.92	86.99	98.43	0.0	0.0	111.66	0.0	58.05	0.0	0.0	21.5	18.49
Ralb	0.0	50.68	0.0	0.0	0.0	0.0	0.0	133.88	0.0	37.55	12.62	38.44	0.0	0.19	44.43	65.01	0.0	18.37	0.0	33.74	2.18	28.16	0.0	23.78	201.97	134.31	15.31	51.65	27.44	0.0	1.85	0.0	0.0	0.0	7.37	6.74
Rbfox1	95.96	0.0	12.17	44.84	70.51	13.26	3.56	145.22	162.06	233.92	119.01	161.95	203.3	0.0	84.28	2.92	0.0	61.52	0.0	97.06	0.0	73.65	31.08	134.52	182.54	93.9	66.07	123.54	177.84	0.0	176.56	47.97	6.06	149.98	134.16	161.04
Rcl1	0.09	0.0	0.0	0.0	0.0	0.0	0.0	147.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82	0.0	0.0	0.0	0.0	0.0	110.57	0.0	127.88	0.0	0.0	0.0	15.64	0.0	0.0	0.0	0.0	4.52	13.63
Rgp1	0.0	13.66	0.0	0.0	1.06	0.09	0.0	21.88	0.0	21.34	0.0	12.59	0.37	0.0	0.0	0.0	0.0	0.0	0.0	6.06	0.0	0.0	0.0	0.0	0.0	5.78	0.5	1.7	0.37	0.0	0.0	0.0	15.2	0.0	0.65	0.76
Rin1	0.29	0.14	0.18	0.28	0.66	0.26	1.05	69.95	2.7	1.0	22.24	12.87	16.95	0.23	0.48	5.21	0.31	8.09	2.21	1.68	0.13	0.9	1.0	33.85	1.17	0.44	2.91	1.31	11.63	1.06	0.46	1.95	0.22	0.0	4.62	4.97
Rnf10	2.15	2.35	0.0	0.37	18.35	1.88	0.83	159.71	72.67	65.72	0.45	0.38	11.69	1.66	0.0	104.53	0.0	0.4	0.0	0.16	0.0	0.81	0.0	94.76	0.42	0.52	0.71	46.9	0.0	0.53	0.0	0.41	92.47	0.16	10.33	15.36
Rnf157	0.0	0.0	1.65	70.94	0.0	0.0	0.0	126.32	0.14	48.41	69.6	31.69	96.46	3.1	0.19	0.0	0.0	38.38	0.0	1.28	0.0	3.38	48.18	20.75	0.97	0.83	0.63	0.0	37.55	121.66	0.0	0.0	0.0	0.0	31.5	25.88
Rrp9	0.0	0.0	0.0	0.0	0.0	0.0	0.19	189.45	86.37	7.9	0.0	0.78	56.16	0.0	0.0	0.0	0.0	179.4	0.0	0.0	0.0	0.21	130.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	194.81	0.0	0.0	0.0	4.35	2.76
S1pr3	0.03	0.0	0.0	0.13	0.0	0.0	0.0	152.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.77	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.19	3.07
Sap130	10.47	0.0	0.0	0.0	32.8	0.0	0.0	40.83	5.75	3.98	0.87	0.0	0.62	0.0	0.0	0.0	14.66	0.57	0.0	7.54	0.0	0.0	0.0	95.92	8.84	0.11	30.15	11.95	0.0	0.0	3.24	0.0	0.0	0.0	3.1	4.47
Sfxn5	0.0	0.0	0.0	5.65	48.12	0.0	11.28	191.64	12.84	26.56	21.85	32.96	2.13	0.93	8.62	0.0	80.79	6.12	77.34	92.67	0.0	10.89	8.48	117.92	50.57	70.95	36.39	45.13	111.79	0.0	0.14	0.0	45.83	0.0	67.31	56.43
Sgsm1	2.99	2.26	0.85	3.09	3.18	7.28	1.07	96.55	6.64	26.93	75.49	84.64	54.11	8.43	1.53	6.57	6.77	44.7	1.35	25.24	2.92	121.56	23.83	144.76	60.12	37.76	50.26	18.11	6.38	83.74	10.4	10.95	8.13	4.39	16.87	17.38
