	Cux2_tdTnegative_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_69	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Pi4k2a	0.0	48.04	4.33	28.47	41.21	12.19	18.67	9.42	45.06	25.41	18.44	8.35	0.86	0.0	0.0	36.95	0.0	18.46	0.0	5.28	27.78	48.21	63.13	7.1	6.95	5.9	52.66	54.19	51.53
Pi4ka	0.0	52.1	37.17	45.35	26.27	28.28	37.24	4.21	45.48	35.18	26.08	26.16	31.38	2.49	11.72	30.14	107.81	18.78	20.95	37.96	22.44	60.5	22.21	43.84	21.3	29.44	151.13	142.37	151.54
Pik3cb	0.0	2.43	9.25	0.0	0.42	3.76	0.44	0.0	3.11	0.0	1.14	0.0	0.93	4.88	0.59	0.11	0.15	0.29	0.28	0.25	0.53	12.78	0.22	0.2	0.28	0.04	22.65	20.25	19.65
Ppp1r9b	0.0	12.37	13.52	5.8	0.23	0.0	0.87	0.0	0.0	9.23	9.06	0.14	5.21	0.0	0.0	17.04	21.69	10.81	0.57	0.56	0.2	4.56	0.99	0.77	0.0	0.04	507.05	542.75	527.15
Prkcc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.48	0.0	0.0	0.0	0.0	280.97	277.81	262.15
Ptchd2	0.0	0.04	0.0	0.0	0.0	0.0	0.0	13.77	0.07	0.09	0.0	0.0	0.0	0.0	0.0	0.0	21.36	0.0	0.0	0.09	0.0	0.0	0.0	0.11	0.0	0.04	12.18	13.0	15.12
Rasa3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	33.48	0.0	0.0	0.0	0.0	14.87	0.0	0.0	31.79	0.0	0.0	0.0	0.0	49.53	50.53	51.14
Rfx1	0.0	10.01	0.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.21	0.0	17.3	8.34	0.0	0.0	10.98	0.0	0.0	2.4	0.0	0.0	17.75	18.16	19.2
Rtcd1	0.0	0.91	0.0	92.16	52.62	0.0	13.44	49.29	48.88	0.0	23.78	44.0	104.9	0.5	4.37	42.86	79.18	25.63	14.84	56.15	1.42	0.0	10.54	5.01	11.48	23.3	61.74	65.43	62.36
Secisbp2l	8.26	13.64	26.07	4.93	7.83	15.11	0.71	0.0	17.35	6.88	3.09	18.92	18.68	8.29	18.49	3.53	9.05	0.0	1.21	1.07	2.09	34.15	10.66	10.89	6.1	0.17	61.92	59.67	66.22
Sez6l2	0.0	18.88	14.17	47.95	102.41	129.53	81.4	34.97	24.11	19.54	27.17	74.18	60.47	45.8	0.08	46.77	41.5	83.72	86.48	47.6	34.07	170.41	87.48	69.42	54.39	122.85	200.78	204.89	199.02
Sh2d4a	0.36	0.76	0.0	0.31	0.98	2.58	2.82	0.26	1.19	1.14	0.69	2.59	2.44	0.39	1.59	0.72	2.49	0.78	1.63	0.29	1.16	2.11	0.48	0.68	0.83	1.54	2.15	1.7	2.72
Shc3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.52	0.0	10.68	5.59	8.17	0.4	35.26	45.66	1.42	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.13	45.22	41.9	55.7
Sipa1l2	0.0	0.0	18.59	0.59	6.36	3.23	6.76	0.0	4.83	1.84	0.0	12.24	0.0	2.63	0.0	0.0	0.0	0.11	0.0	7.91	0.07	59.59	7.7	22.84	14.09	0.0	23.21	24.3	24.69
Slc6a17	0.0	35.9	0.94	31.29	40.61	44.1	31.14	35.44	49.95	25.74	31.52	30.06	88.75	26.1	24.81	29.4	39.23	29.35	60.55	74.16	60.11	110.72	75.78	36.39	41.45	30.08	242.23	238.44	246.45
Slc6a6	0.0	8.19	0.0	2.16	1.38	0.62	3.15	27.56	0.0	1.01	4.22	38.55	6.37	1.3	0.14	28.15	23.89	9.74	16.69	8.64	32.57	57.0	21.59	10.32	0.65	4.95	71.84	70.52	75.99
Srrm2	0.07	36.68	0.83	4.11	25.39	29.04	27.41	17.63	19.95	20.09	19.87	27.94	19.98	9.19	14.19	43.93	23.79	5.98	6.34	42.52	40.33	41.41	31.41	28.2	19.26	13.35	235.66	204.43	252.64
Stox2	0.0	9.71	0.0	25.82	4.19	12.55	0.0	0.09	0.27	4.09	4.07	2.27	6.59	12.24	2.31	5.96	21.43	0.83	3.06	0.35	3.32	24.67	18.96	15.75	3.25	15.45	37.81	34.32	35.05
Sypl	0.25	0.0	31.53	0.0	2.93	51.72	15.33	42.4	6.59	23.08	16.12	19.89	18.85	0.0	0.0	51.66	24.44	23.5	0.0	23.08	0.0	56.91	0.0	0.31	22.7	23.55	23.84	24.79	24.58
Syvn1	0.0	0.23	0.07	4.31	0.77	0.99	2.03	2.94	0.0	0.0	2.47	10.97	0.21	0.0	0.0	5.21	11.98	2.46	0.89	0.0	27.2	4.77	2.32	14.07	0.0	0.0	39.85	39.11	39.72
Terf2	0.0	0.0	30.04	8.62	1.16	9.26	38.27	6.25	0.0	0.0	0.0	39.5	8.29	0.0	0.0	0.0	8.4	9.94	5.95	0.63	14.39	70.54	0.0	11.47	0.0	0.0	34.75	36.58	32.66
Tmem145	0.0	2.45	0.0	0.0	1.64	1.01	0.47	0.0	1.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.66	9.6	0.0	1.47	0.0	0.0	46.98	46.54	54.47
Trim37	0.0	67.09	15.57	41.8	18.89	107.87	19.62	63.09	114.85	49.67	41.75	64.98	42.43	5.96	0.0	44.1	108.95	38.43	82.85	39.89	26.62	118.13	151.5	51.72	13.09	94.64	216.02	201.17	202.32
Trim41	0.0	0.0	4.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56	3.76	1.76	0.0	0.0	6.56	10.6	0.0	0.0	20.46	1.08	0.0	0.0	0.0	34.73	37.37	39.45
Trim9	0.0	41.26	7.64	42.53	34.92	23.03	37.03	57.57	55.58	48.31	4.25	59.13	45.63	0.0	1.04	51.05	42.17	17.82	54.27	16.15	77.54	73.46	75.02	69.93	0.09	39.59	156.89	148.92	163.0
Ttc14	0.0	4.76	0.0	10.78	9.66	34.58	26.22	16.78	20.04	20.63	11.0	16.42	8.68	0.16	51.52	14.67	18.29	3.05	10.04	2.22	11.17	59.59	30.67	7.65	10.56	11.35	53.02	40.47	55.01
Xpr1	24.91	11.57	3.89	3.52	3.83	8.76	1.69	6.14	12.29	0.41	7.04	11.49	0.0	26.26	3.77	42.76	29.28	4.61	1.33	12.96	3.82	7.59	12.52	13.08	0.0	13.62	53.69	46.36	51.42
Zbtb41	0.0	3.88	0.0	0.17	5.75	27.43	6.55	24.31	0.0	0.0	0.06	0.7	14.54	0.0	0.0	9.14	19.16	0.0	5.6	0.0	0.05	0.1	0.0	4.13	0.0	0.05	9.66	8.26	9.05
Zcrb1	0.0	0.0	18.08	0.0	21.73	18.63	30.54	55.07	42.96	15.11	33.57	0.76	21.5	1.97	0.0	19.96	51.76	28.25	8.5	19.76	18.3	75.74	46.0	0.0	105.34	8.9	86.85	91.07	90.3
Zfp276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.57	26.03	0.0	0.0	0.0	0.0	12.53	12.73	12.32
c10_LSU-rRNA_Hsa	0.0	0.0	0.0	0.0	0.0	0.0	2.33	0.0	0.0	0.0	2.62	0.0	0.0	3.31	0.0	0.0	42.77	0.0	0.0	2.67	0.0	62.35	0.0	2.35	1.27	3.22	25.24	24.45	31.24
c2_tRNA-Ala-GCA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.23	0.0	0.0	0.0	14.83	6.18	6.69	15.78
