	PvalbF.Gad2_tdTpositive_cell_36	Rbp4_CTX_250ng_1
Fam83b	0.0	0.06
Fam83f	0.0	0.23
Fank1	0.0	4.47
Fate1	0.0	0.32
Fbln7	0.0	1.73
Fer1l4	0.0	0.02
Fnd3c2	0.0	0.0
Fndc1	0.0	2.71
Foxa3	0.0	0.0
Foxc2	0.0	1.01
Foxo3	0.0	31.5
Foxs1	0.0	0.76
Fscn3	0.0	0.06
Fzd1	0.0	7.62
Fzd10	0.0	1.85
G0s2	0.0	6.64
Gbp5	0.0	3.46
Gen1	0.0	0.96
Gfi1	0.0	0.03
Gja5	0.0	0.21
Gk2	0.0	0.0
Gli3	0.0	3.04
Glis1	0.0	0.71
Glrp1	0.0	0.29
Gm10421	0.0	2.18
Gm10485	0.0	0.23
Gm10494	0.0	0.08
Gm10560	0.0	10.39
Gm13247	0.0	0.01
Gm14379	0.0	0.48
Gm15612	0.0	2.57
Gm16387	0.0	0.0
Gm16442	0.0	0.0
Gm16451	0.0	0.0
Gm18756	0.0	0.65
Gm2696	0.0	0.0
Gm3285	0.0	0.16
Gm4980	0.0	5.65
Gm5089	0.0	8.42
Gm5128	0.0	0.0
Gm6116	0.0	0.07
Gm7903	0.0	0.0
Gm8096	0.0	0.07
Gm8300	0.0	0.0
Gm9079	0.0	1.87
Gpr113	0.0	0.03
Gpr156	0.0	1.15
Grem2	0.0	19.88
Gsg2	0.0	0.18
Gulp1	0.0	3.01
H19	0.0	0.04
Hoxd10	0.0	0.0
Hsd17b6	0.0	0.0
Hspa12b	0.0	6.56
Hus1	0.0	8.12
Igf2	0.0	36.6
Igf2as	0.0	0.06
Igfbp1	0.0	0.07
Ikbke	0.0	1.17
Il12rb1	0.0	0.69
Il13ra1	0.0	4.94
Il5	0.0	0.26
Il9r	0.0	0.0
Inca1	0.0	2.89
Insrr	0.0	0.27
Isl2	0.0	0.0
Itga10	0.0	2.43
Jak3	0.0	5.2
Kcng2	0.0	6.48
Kcnj14	0.0	1.8
Kcnk5	0.0	0.44
Kif18b	0.0	0.21
Kif20a	0.0	1.44
Klc3	0.0	1.79
Klf14	0.0	0.43
Klf17	0.0	0.11
Klra3	0.0	0.0
Kremen1	0.0	13.49
Krt26	0.0	0.27
Krt31	0.0	0.0
Krt72-ps	0.0	0.0
Krt80	0.0	5.1
LOC100038947	0.0	0.0
LOC100041550	0.0	0.0
Lama3	0.0	2.18
Lamp3	0.0	0.06
Lass3	0.0	0.42
Loxhd1	0.0	0.07
Loxl4	0.0	0.13
Lpcat1	0.0	31.04
Lrguk	0.0	1.39
Lrp2	0.0	0.09
Lrrc16b	0.0	27.65
Lrrc29	0.0	1.45
Lrrc32	0.0	2.76
Lrrn4	0.0	0.57
Ltf	0.0	0.04
Maff	0.0	0.77
Maml3	0.0	4.07
Man2b2	0.0	19.0
Mat1a	0.0	0.03
Mc3r	0.0	0.49
Mdfic	0.0	2.64
Meig1	0.0	2.76
Mmp12	0.0	0.03
Mmp2	0.0	2.01
Mrps30	0.0	25.2
Muc19	0.0	0.44
Murc	0.0	1.02
Musk	0.0	1.04
Mycl1	0.0	11.76
Myh15	0.0	0.57
Myh6	0.0	7.71
Myh8	0.0	0.22
Myo3a	0.0	0.0
Myod1	0.0	0.11
Myog	0.0	0.07
Myom2	0.0	0.08
Myt1	0.0	7.55
Nab2	0.0	46.24
Nags	0.0	0.13
Ncapg	0.0	0.4
Nkg7	0.0	0.13
Nkx2-9	0.0	0.48
Nlrp14	0.0	0.0
Nox3	0.0	0.17
Npffr1	0.0	1.15
Npm2	0.0	0.91
Npsr1	0.0	2.23
Nr0b1	0.0	0.06
Nr6a1	0.0	5.22
Nudt15	0.0	5.83
Oas2	0.0	0.53
Oaz3	0.0	5.76
Obsl1	0.0	10.98
Olfml2b	0.0	5.95
Olfr100	0.0	0.0
Olfr1090	0.0	0.0
Olfr1221	0.0	0.0
Olfr1257	0.0	0.0
Olfr1261	0.0	0.0
Olfr133	0.0	0.0
Olfr1382	0.0	0.0
Olfr148	0.0	0.0
Olfr248	0.0	0.0
Olfr311	0.0	0.0
Olfr356	0.0	0.0
Olfr371	0.0	0.0
Olfr376	0.0	0.0
Olfr410	0.0	0.0
Olfr460	0.0	0.14
Olfr469	0.0	0.0
Olfr517	0.0	0.0
Olfr52	0.0	0.0
Olfr558	0.0	0.1
Olfr6	0.0	0.0
Olfr631	0.0	0.0
Olfr665	0.0	0.0
Olfr685	0.0	0.0
Olfr688	0.0	0.0
Olfr701	0.0	0.0
Olfr773	0.0	0.0
Olfr784	0.0	0.0
Olfr881	0.0	0.0
Olfr924	0.0	0.0
Olfr96	0.0	0.0
Oprk1	0.0	7.22
Pax2	0.0	0.2
Pcdha10	0.0	4.13
Pcolce	0.0	6.35
Pcsk9	0.0	4.29
Pde12	0.0	11.57
Pde6c	0.0	0.8
Pdgfrl	0.0	1.37
Phf19	0.0	0.47
Phf7	0.0	4.7
Pigg	0.0	16.57
Pla2g4d	0.0	0.12
Pla2r1	0.0	0.41
Plcb3	0.0	11.73
Pou4f1	0.0	0.08
Ppp1r37	0.0	117.35
Ppp1r3a	0.0	0.02
Pqlc3	0.0	2.26
Prrg4	0.0	0.95
Psg22	0.0	0.0
Ptger2	0.0	0.18
Pygo2	0.0	39.59
Radil	0.0	12.09
Rasl2-9-ps	0.0	0.34
Rbmy1a1	0.0	0.0
Rfpl4	0.0	0.0
Rfx2	0.0	1.5
Rfx4	0.0	9.48
Rho	0.0	0.21
Rin3	0.0	1.63
Rorc	0.0	1.34
Rpia	0.0	11.67
Sema3d	0.0	2.57
Serpina11	0.0	0.0
Serpina1d	0.0	0.0
Serpinb9c	0.0	0.0
Serpinb9f	0.0	0.0
Serpinf1	0.0	11.69
Setdb2	0.0	4.51
Sfn	0.0	2.04
Sh3gl3	0.0	60.35
Shf	0.0	35.84
Skor1	0.0	0.16
Sla	0.0	9.77
Slc22a13	0.0	0.1
Slc22a19	0.0	0.0
Slc25a47	0.0	2.52
Slc26a9	0.0	0.05
Slc6a14	0.0	0.0
Slco4a1	0.0	2.01
Slfn14-ps	0.0	0.0
Smok2b	0.0	0.0
Sod3	0.0	15.08
Sp140	0.0	0.88
Spdyb	0.0	0.0
Spn	0.0	0.09
Spna1	0.0	0.0
Sstr1	0.0	23.67
Stat2	0.0	19.19
Synpo2	0.0	1.72
Taf5	0.0	6.01
Tbata	0.0	5.24
Tbc1d20	0.0	47.16
Tbx18	0.0	2.14
Tfap2c	0.0	0.18
Tg	0.0	0.08
Tha1	0.0	4.91
Thsd4	0.0	5.71
Thsd7b	0.0	4.1
Tie1	0.0	7.93
Tmed11	0.0	0.0
Tmem158	0.0	75.2
Tmem164	0.0	16.24
Tnk1	0.0	0.15
Trem1	0.0	0.0
Trex2	0.0	0.0
Trnp1	42.79	145.67
Trpv4	0.0	0.92
Ubash3a	0.0	0.03
Ulbp1	0.0	0.16
Usp9y	0.0	0.0
V1ra8	0.0	0.12
Vmn1r107	0.0	0.0
Vmn1r130	0.0	0.0
Vmn1r137	0.0	0.0
Vmn1r155	0.0	0.0
Vmn1r165	0.0	0.0
Vmn1r185	0.0	0.0
Vmn1r19	0.0	0.0
Vmn1r56	0.0	0.0
Vmn1r62	0.0	0.0
Vmn1r67	0.0	0.0
Vmn2r70	0.0	0.0
Vmn2r8	0.0	0.0
Vnn3	0.0	0.05
Vpreb1	0.0	0.0
Wfdc3	0.0	0.99
Wisp2	0.0	0.17
Wnt7b	0.0	23.94
Wtip	0.0	5.53
Xlr	0.0	2.05
Zcchc5	0.0	0.5
Zfp526	0.0	7.22
Zim1	0.0	2.05
Zp1	0.0	0.0
cm_tRNA-Leu-TTA(m)	0.0	669.38
mt_AK131586	0.0	25813.35
mt_AK131599	0.0	0.0
mt_AK166684	0.0	18796.57
mt_BC104337	0.0	9032.87
