	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_65	Ndnf_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_19	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_16
D14Ertd668e	0.0	82.93	0.51	0.0	1.89	0.0	0.31	0.0	1.04	0.0	0.91	0.0	2.13	0.0	0.58	0.29	0.0	0.44	0.48	0.0	0.0	0.65	0.1	0.26	1.0	1.37	0.46	0.0	0.31	0.22	0.14	0.81	2.75	0.85	0.0	0.0	0.81	0.17	0.5	0.0
Dlat	0.0	0.0	0.0	0.0	114.27	0.0	12.8	0.0	13.8	44.48	1.29	10.43	60.13	50.54	27.37	43.94	25.31	76.34	27.49	41.96	87.02	37.71	79.07	0.0	33.95	4.79	95.77	56.14	62.56	4.83	25.81	45.24	38.88	31.67	27.22	66.97	30.88	45.59	22.31	0.17
Dnm1	0.0	0.0	0.0	0.0	73.49	0.0	78.56	0.0	54.5	24.08	22.6	65.64	22.44	44.67	56.43	20.34	98.62	51.02	72.66	74.58	144.34	124.27	35.07	20.34	10.67	62.71	54.75	65.43	91.12	59.24	10.87	25.46	100.11	43.25	55.97	107.29	64.16	74.07	73.5	0.09
Dos	0.0	0.0	0.0	0.0	67.47	0.09	13.45	0.0	4.97	12.86	22.74	6.76	3.02	4.21	31.96	4.53	26.18	35.09	9.64	0.0	39.71	40.32	3.44	0.13	1.74	42.95	12.33	18.82	23.25	3.45	0.25	5.14	25.19	78.69	5.64	6.33	17.12	21.2	0.72	0.0
Enah	0.27	0.0	0.13	0.0	61.84	0.0	0.0	0.0	0.0	9.37	6.96	4.18	17.11	0.0	10.34	9.02	0.15	0.0	1.3	2.2	19.74	79.48	6.78	0.0	0.53	43.98	8.41	1.22	13.92	0.93	10.91	1.54	13.39	5.6	31.72	9.74	0.0	0.13	15.77	0.0
Fbxo18	0.0	0.0	0.0	0.0	105.03	0.0	47.64	0.0	42.88	40.47	7.17	0.0	0.0	3.06	0.0	0.0	52.39	47.18	15.81	0.0	70.94	0.0	0.0	0.0	2.32	21.74	51.46	23.49	5.04	6.71	73.41	0.0	0.0	42.8	1.22	0.0	40.43	0.0	0.88	0.1
Fbxo9	0.0	0.0	0.0	0.0	164.81	0.15	16.35	0.0	160.52	29.08	89.76	97.29	58.3	89.49	7.68	75.95	5.96	69.91	67.03	0.0	0.0	94.02	56.48	1.25	1.02	3.47	15.0	16.1	66.68	1.96	4.52	0.48	6.83	2.3	46.5	81.32	18.27	6.45	63.31	0.19
Gm129	0.0	0.0	0.0	0.0	369.92	0.0	108.98	0.0	60.02	49.93	205.32	160.64	0.0	14.6	139.63	146.95	239.56	49.86	67.47	189.75	127.82	290.9	130.5	5.56	51.02	10.01	44.04	10.99	0.0	172.19	54.83	0.32	178.67	25.49	150.76	165.55	57.48	164.69	0.43	1.03
Gm14430	0.0	0.0	0.07	0.0	10.71	0.0	3.32	0.0	36.04	0.0	14.72	1.87	12.3	10.3	14.72	6.05	13.5	16.5	13.46	3.22	0.84	28.02	12.31	1.56	3.07	2.82	11.03	18.55	13.57	4.08	11.25	0.32	9.13	14.36	0.54	6.88	14.82	8.34	2.38	0.12
Gm14434	0.0	0.0	0.07	0.0	10.71	0.0	3.32	0.0	36.04	0.0	14.72	1.87	12.3	10.3	14.72	6.05	13.5	16.5	13.46	3.22	0.84	28.02	12.31	1.56	3.07	2.82	11.03	18.55	13.57	4.08	11.25	0.32	9.13	14.36	0.54	6.88	14.82	8.34	2.38	0.12
Gm4724	0.0	0.0	0.07	0.0	10.71	0.0	3.32	0.0	36.04	0.0	14.72	1.87	12.3	10.3	14.72	6.05	13.5	16.5	13.46	3.22	0.84	28.02	12.31	1.56	3.07	2.82	11.03	18.55	13.57	4.08	11.25	0.32	9.13	14.36	0.54	6.88	14.82	8.34	2.38	0.12
Gm7334	0.0	0.0	0.0	0.0	37.13	0.0	0.0	0.0	0.0	0.0	37.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.24	0.0	0.0	54.24	0.0	0.0	34.25	0.0	0.0	0.0	5.6	4.12	5.56	0.0	17.24	0.0	0.0	0.0
Gyk	8.27	0.0	0.0	0.0	219.71	0.0	45.95	0.0	1.12	14.22	9.42	16.55	189.42	1.71	0.73	37.78	41.68	51.68	26.04	0.35	58.81	0.0	33.26	76.68	91.78	34.28	30.25	52.73	17.36	17.64	42.21	4.38	36.97	34.66	0.0	37.1	41.88	24.7	56.62	0.16
Hdac4	0.0	0.0	0.0	0.0	90.69	66.44	1.37	0.0	40.24	6.27	1.2	10.28	3.02	60.09	14.24	18.44	0.0	20.61	9.16	38.66	0.0	49.67	10.91	18.06	0.0	22.11	1.55	11.52	13.92	3.48	26.22	0.88	1.36	30.68	0.0	9.69	7.55	25.37	19.08	0.0
Kcnd2	0.0	0.0	0.0	0.0	91.03	0.0	11.71	0.0	0.0	15.26	0.0	41.17	55.4	2.36	5.41	23.78	24.73	22.16	52.82	0.0	45.77	26.58	16.56	0.0	44.23	44.96	0.0	0.16	28.78	0.0	0.0	0.0	56.25	9.06	54.0	20.03	0.0	0.0	25.21	0.08
Ldhb	7486.96	8970.97	3517.81	5274.92	3800.36	5876.73	8752.31	0.0	8750.45	10118.08	10894.4	8892.3	7735.26	8583.06	8517.89	9220.91	9343.6	8574.79	10165.1	9166.61	7814.88	7343.35	7785.08	7167.6	11261.44	8285.69	10004.69	9074.03	13571.31	12546.17	9106.97	9755.78	8904.1	7659.83	11010.48	8275.76	7724.63	10182.84	11746.38	2798.49
Lman2l	0.0	0.44	71.75	0.0	156.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.66	45.65	0.0	0.0	0.0	0.59	0.0	0.0	0.39	31.59	0.0	0.0	0.24	0.0	22.93	13.95	30.81	0.0	48.78	30.71	7.62	0.0	28.88	0.0	37.95	0.0	0.0
Lrpprc	0.0	2.13	0.0	0.0	140.95	0.06	59.11	0.0	22.74	27.98	3.53	55.06	26.5	51.51	1.95	26.24	83.21	73.8	34.9	6.95	53.1	60.82	48.31	1.02	58.06	10.94	102.43	39.63	4.39	5.4	70.46	1.08	6.43	4.26	58.24	23.89	35.34	14.75	42.8	0.08
Lynx1	0.0	0.0	0.0	0.0	136.34	0.0	31.97	0.0	70.47	35.04	62.83	68.36	124.59	38.25	42.12	44.28	145.97	55.88	78.67	14.93	20.27	30.9	146.48	21.27	7.87	60.67	52.23	127.61	63.06	75.27	91.7	12.11	75.15	69.5	26.03	131.26	55.22	111.63	70.91	0.09
Mfsd5	3.64	6.97	0.0	15.67	35.43	3.72	22.91	0.0	1.22	2.46	58.32	51.03	64.01	14.01	0.37	28.48	0.95	14.24	12.83	2.24	2.11	21.68	2.58	3.09	1.3	4.59	4.1	27.19	34.21	1.19	2.83	34.67	48.44	5.78	9.4	2.79	22.5	0.53	22.71	0.0
Myo5a	0.0	4.61	0.0	0.0	90.15	0.05	53.44	0.0	92.3	11.11	69.14	61.52	25.89	71.73	111.23	46.76	73.9	33.66	65.61	24.09	5.31	80.69	45.14	47.14	41.79	23.02	55.97	69.17	55.96	9.71	57.57	28.13	69.49	28.57	36.2	38.36	71.79	73.22	42.52	0.06
Nanos1	0.0	0.0	0.0	0.0	50.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.61	4.5	0.0	5.35	0.0	0.0	0.0	0.0	0.07	0.0	0.0	17.73	0.0	0.0	0.0	7.24	0.0	6.73	5.07	7.45	0.0	42.43	35.37	8.97	0.0	0.0	0.0
Nedd4l	0.0	0.0	0.0	0.0	30.33	0.1	7.67	0.0	0.42	6.52	17.89	14.04	17.38	4.22	8.29	5.15	27.87	20.27	0.0	0.0	22.7	15.39	1.46	0.37	0.05	9.97	12.35	12.35	0.9	0.0	6.22	0.75	9.97	1.28	0.2	14.75	15.84	2.35	0.03	0.04
Ngfrap1	0.0	78.25	0.0	0.0	722.04	0.44	500.34	0.0	404.84	206.1	112.65	258.98	250.55	278.97	368.15	239.66	364.87	361.45	232.97	335.16	220.49	242.25	238.27	252.7	153.07	364.74	429.46	230.77	208.96	290.37	426.52	356.1	392.5	571.09	435.22	581.73	352.68	236.11	297.39	0.0
Nt5c2	0.12	0.0	0.0	0.0	152.86	0.0	3.21	0.0	24.59	30.47	4.16	12.8	91.03	28.41	0.0	28.75	0.0	48.22	39.39	0.0	69.52	0.0	47.43	0.8	4.23	49.37	0.24	0.0	3.3	32.75	1.94	4.14	2.28	0.0	55.17	0.0	7.65	20.97	22.01	0.0
Nudt4	0.0	45.58	0.0	0.0	129.78	0.0	97.81	0.0	54.27	37.02	83.66	105.95	40.67	125.93	14.12	106.26	63.59	44.43	45.27	0.0	17.02	129.59	130.25	5.38	50.15	8.6	106.7	53.6	69.59	0.0	20.57	30.19	50.53	65.02	133.11	126.5	36.51	107.87	134.02	0.0
Opa1	0.0	0.0	0.0	0.0	102.35	0.0	30.18	0.09	54.86	10.84	34.31	24.58	7.87	52.23	31.79	34.13	16.32	13.51	78.56	63.21	39.01	54.17	23.55	32.35	60.71	80.39	13.39	36.6	71.65	35.02	57.04	18.09	60.57	2.43	52.77	74.85	26.38	55.49	41.42	0.0
Phb	263.08	64.82	0.0	0.0	527.22	40.85	341.4	0.63	265.95	267.44	389.57	271.46	175.81	451.46	305.2	197.69	596.4	306.35	287.83	447.82	523.6	510.45	302.11	190.95	273.24	507.9	316.09	418.79	522.75	437.39	308.44	167.43	348.28	126.36	165.51	256.36	302.92	344.14	266.87	0.39
Pkn2	0.0	0.0	0.08	0.82	50.79	45.83	12.75	0.0	0.0	0.0	3.28	1.59	20.63	30.97	0.0	8.55	0.0	1.62	22.33	0.0	0.0	0.0	0.0	0.0	4.45	19.5	20.57	0.0	4.12	0.13	0.06	0.0	28.76	0.0	1.98	0.08	0.0	1.87	0.0	0.0
Ppm1e	0.0	18.92	0.07	0.0	134.14	0.0	20.09	0.0	73.35	26.48	31.4	47.25	83.86	1.95	34.2	33.24	38.29	103.4	92.34	52.86	42.03	66.61	92.82	10.45	49.16	58.31	62.8	84.65	60.11	38.92	68.41	28.0	82.36	57.72	54.78	2.08	80.84	46.65	38.2	0.0
Prkaca	0.0	34.97	37.8	0.0	165.65	0.0	72.36	0.0	94.23	76.43	9.42	75.22	69.0	113.59	54.28	103.11	48.71	87.93	117.4	51.68	17.54	111.14	107.02	107.53	19.92	104.78	120.02	84.55	89.79	83.0	19.02	70.91	135.46	67.93	50.46	73.33	107.24	76.96	104.21	0.0
Prkce	0.0	0.89	0.0	0.0	68.11	0.04	38.63	0.09	29.01	2.92	36.24	55.14	81.64	45.32	44.87	28.08	26.82	17.37	24.63	0.24	0.1	113.49	100.06	0.3	37.4	55.61	69.04	31.97	12.17	15.45	29.69	28.57	35.1	29.24	34.59	27.33	46.27	27.51	31.32	0.11
Psme2	0.55	0.32	0.0	0.62	291.55	0.0	240.87	0.0	191.47	242.8	0.0	52.99	80.06	108.95	117.97	118.32	186.65	22.15	17.18	0.0	0.0	0.0	206.02	83.47	0.0	87.08	97.57	57.48	0.37	74.59	48.09	127.41	219.6	137.02	1.43	118.3	94.51	65.2	83.76	0.0
Reps2	0.0	0.16	0.0	0.41	188.31	0.05	29.06	0.0	45.38	4.65	49.06	25.45	43.39	96.95	55.08	43.81	57.02	52.48	56.66	41.68	30.34	45.02	61.81	40.81	35.5	75.82	69.7	26.65	30.75	62.74	20.07	7.26	83.14	35.85	37.18	21.76	62.4	58.15	98.47	0.0
Rgs17	0.0	29.82	0.0	0.0	56.94	0.03	32.37	0.0	3.68	21.36	7.14	28.35	58.15	23.42	21.16	39.54	9.29	25.18	28.78	0.19	0.07	54.8	24.32	0.0	0.0	52.41	0.3	43.97	28.89	46.24	0.0	10.2	37.41	28.76	25.79	65.18	7.42	37.58	32.57	0.0
Rnf145	0.0	3.82	0.0	14.47	67.55	0.07	24.86	0.0	0.0	25.33	35.96	0.0	0.0	1.85	0.0	31.93	0.0	22.82	3.01	56.98	0.0	3.09	30.33	0.11	16.21	4.1	42.34	38.14	32.43	0.57	37.27	56.92	36.52	0.09	30.52	74.9	11.55	22.29	0.11	0.0
Rnf166	0.0	0.0	0.0	0.0	15.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.48	23.58	5.77	0.0	0.0	10.85	0.0	0.0	0.0	0.0	3.4	0.0	0.0	0.0	0.0	1.22	0.44	3.94	0.0	0.0	0.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rtl1	0.0	0.15	0.0	0.0	12.64	0.0	0.0	0.0	0.13	0.0	0.03	2.04	0.0	0.0	0.0	10.01	0.55	0.0	0.12	0.0	0.0	11.27	0.56	0.14	0.0	0.09	0.08	0.14	0.0	0.0	0.0	0.0	0.0	0.0	7.63	0.36	1.34	0.0	0.03	0.0
Sgpp1	0.0	0.0	0.0	0.14	147.98	0.0	0.0	0.0	31.72	52.44	30.36	0.0	4.45	7.48	55.62	36.36	37.88	0.0	47.29	0.0	0.0	73.67	1.25	0.0	0.0	0.0	39.73	6.64	0.0	0.0	17.96	35.24	21.0	0.0	0.96	1.3	0.0	65.23	22.21	0.0
Slc18a2	0.0	0.0	0.0	0.0	206.44	0.0	36.09	0.0	49.64	12.42	21.36	62.02	77.66	37.16	62.12	66.49	31.18	128.23	79.93	97.58	89.72	0.0	19.17	1.49	54.56	18.28	58.9	63.16	46.2	97.05	62.16	64.19	95.47	147.28	24.53	48.63	80.83	13.93	64.78	3.21
Slc27a4	0.0	0.06	0.0	3.22	105.53	0.0	6.86	0.0	33.14	0.0	17.88	0.0	35.08	21.43	17.01	6.66	22.32	19.55	0.0	0.57	0.0	6.28	9.96	0.0	0.0	0.0	0.99	43.05	30.43	2.02	12.53	0.32	0.76	2.61	13.1	83.99	0.0	0.45	0.0	0.0
Snrpg	1.38	0.0	1.34	0.0	247.18	0.0	243.67	0.0	118.66	304.5	93.4	217.58	277.79	164.93	37.21	134.12	182.61	66.25	28.39	175.79	169.75	192.75	107.52	89.9	151.16	92.19	171.31	148.31	159.8	111.91	190.13	52.07	232.4	242.9	157.07	162.75	132.0	84.41	169.86	0.0
Snupn	9.41	0.19	0.0	0.0	153.53	0.0	61.89	0.43	199.24	0.0	78.18	74.18	211.92	0.0	0.0	0.0	75.53	7.31	143.92	0.0	0.0	28.52	0.0	20.03	0.0	55.09	111.24	0.0	62.87	77.43	0.0	40.61	124.59	3.14	4.53	117.62	0.0	93.61	0.0	0.0
Spnb3	0.0	0.0	0.0	0.0	29.38	0.0	27.81	0.0	3.94	0.0	13.22	0.65	6.22	14.43	0.91	1.23	0.19	7.3	6.92	0.09	13.87	0.0	5.81	13.94	0.0	10.76	7.71	0.17	7.41	18.29	0.0	10.79	1.38	5.79	0.58	12.72	6.73	7.74	0.51	0.0
Sri	0.79	159.03	0.97	0.28	202.33	0.16	55.98	0.0	22.0	18.87	0.64	33.31	44.22	43.54	49.08	47.36	91.05	56.04	15.95	43.1	75.25	0.12	84.22	32.31	0.65	51.97	82.17	17.65	19.17	65.09	6.83	46.86	86.51	24.22	81.65	52.34	72.56	28.2	77.23	0.5
Syp	0.0	56.58	0.0	0.0	635.28	0.0	210.16	0.0	156.49	303.73	220.71	330.94	364.82	344.43	240.74	181.53	304.51	255.08	190.06	179.09	272.49	314.94	171.59	211.59	293.04	272.89	259.93	258.18	316.8	332.64	240.91	240.72	474.85	446.53	269.32	368.95	316.68	321.97	257.49	0.28
Tm9sf3	0.0	6.11	0.0	0.0	109.75	0.0	44.65	0.0	30.77	74.49	56.87	51.43	7.9	29.15	12.57	0.13	26.01	27.01	65.59	44.42	29.85	13.26	0.92	56.21	52.7	6.0	12.54	21.73	30.43	16.1	12.95	11.77	77.05	26.86	0.87	27.61	19.01	26.01	8.42	0.11
Tmem132c	0.0	0.0	0.0	0.0	118.31	0.0	0.16	0.0	43.29	6.85	44.51	105.55	126.78	118.17	74.08	63.02	43.38	44.32	69.53	0.0	48.76	117.15	115.73	0.0	47.21	67.41	47.48	151.18	61.27	55.45	33.8	48.4	153.76	27.04	62.46	86.75	107.74	59.93	69.7	0.0
Tmem56	0.0	0.04	0.0	0.0	50.65	0.0	0.0	0.0	0.0	0.0	23.75	16.27	6.62	17.96	0.0	20.2	14.21	0.0	0.62	0.0	0.0	0.93	0.0	39.47	15.69	11.93	0.0	0.0	0.18	0.0	10.17	0.0	12.24	0.0	14.91	0.0	10.74	0.0	9.36	0.0
Tmem65	0.0	1.54	0.0	8.83	187.79	0.0	65.89	0.0	34.94	20.18	95.99	5.26	25.86	48.79	104.77	88.19	66.78	27.57	93.4	6.2	78.8	53.43	88.9	1.22	47.72	7.75	141.36	112.07	100.9	74.58	72.17	5.35	85.34	8.59	48.29	22.81	139.74	12.84	106.09	0.0
Tmem66	0.0	0.0	0.0	0.0	226.8	0.0	7.58	250.82	47.32	49.24	188.5	42.17	24.27	55.69	60.49	29.83	16.73	17.79	78.0	16.0	18.05	180.79	0.69	11.91	0.59	0.56	50.59	44.86	73.11	10.21	28.07	53.94	0.0	0.0	40.42	3.07	43.49	0.0	41.76	0.37
Ttc27	0.0	0.0	0.0	0.0	175.35	0.0	36.86	0.0	0.0	0.0	15.75	0.0	0.0	0.0	0.45	9.8	49.22	0.0	0.0	0.27	0.0	68.86	0.28	1.08	0.0	0.0	0.0	4.81	0.0	23.02	22.56	4.78	29.68	0.0	43.2	0.0	18.94	2.24	0.0	0.0
Twistnb	0.0	0.0	0.0	0.0	63.26	0.0	0.18	0.0	0.0	0.0	0.0	5.66	0.0	0.0	0.0	0.0	0.23	0.0	20.75	0.0	9.83	0.0	0.0	62.12	19.64	4.09	1.86	23.47	0.54	18.51	28.31	0.0	0.0	0.0	0.23	28.86	0.0	1.95	0.0	0.0
Txlng	0.0	4.79	0.0	0.0	107.17	0.0	0.0	0.0	0.78	0.0	2.75	5.26	8.51	62.07	21.24	8.87	0.0	24.96	5.09	21.75	9.66	9.81	0.27	0.0	0.0	42.8	0.0	1.31	5.08	1.71	0.0	6.03	42.44	14.73	1.97	42.05	0.0	17.49	12.21	0.0
Utp15	0.0	0.0	0.0	0.0	88.53	0.0	1.94	0.0	5.64	29.27	0.0	13.13	0.56	0.0	8.06	0.0	0.0	13.41	33.26	0.19	0.15	38.58	15.23	0.09	25.46	91.58	0.0	9.24	4.0	30.69	0.0	0.0	0.1	0.11	78.81	1.29	38.32	19.86	0.06	0.09
Vars2	0.0	0.0	0.0	0.0	24.43	0.0	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94	0.0	0.0	0.0	24.1	0.44	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7.56	0.0	0.0	0.0	0.0	16.13	0.0	0.0	0.35	0.0
Vezt	0.1	0.0	0.0	0.0	89.06	0.0	0.37	0.0	3.26	0.06	0.42	24.56	5.81	3.31	24.34	21.69	39.51	15.08	29.04	26.81	6.04	64.88	4.33	0.0	4.95	4.42	23.44	34.51	7.93	14.74	0.5	34.33	35.71	0.91	17.56	18.42	37.32	7.2	0.13	0.23
Vta1	0.0	0.0	0.0	0.0	402.55	0.0	270.83	0.0	430.38	157.87	219.61	170.7	188.64	163.1	231.83	354.71	158.89	360.92	155.43	141.83	0.47	291.03	253.03	0.0	114.58	220.59	160.28	177.86	72.1	162.78	50.04	371.62	90.64	169.1	166.16	67.95	88.03	306.05	45.32	0.81
Wasl	0.0	13.92	0.0	0.0	86.81	0.0	67.03	0.0	40.44	17.56	22.7	49.04	45.22	108.13	27.79	60.96	33.2	20.94	15.46	48.57	0.14	55.96	0.0	0.09	13.66	19.87	0.0	16.86	10.18	3.93	33.63	27.91	74.53	25.91	18.77	54.05	46.14	31.24	3.43	0.0
Zbtb11	0.0	7.43	0.0	0.0	139.6	0.0	35.35	0.0	10.55	0.05	6.53	14.81	21.72	36.24	16.37	38.66	32.25	9.24	17.37	30.11	23.67	40.86	15.58	8.72	0.0	1.25	66.98	10.91	13.21	56.1	15.44	3.71	7.56	33.15	36.88	24.67	17.83	0.36	0.27	0.0
Zfand5	0.0	0.46	0.0	4.31	110.75	0.0	16.36	0.0	22.75	0.0	5.24	2.68	24.63	31.88	1.27	38.73	35.51	3.67	32.71	36.31	0.08	3.81	38.6	0.0	3.14	33.16	13.16	42.6	32.73	26.73	22.92	5.7	17.67	28.42	45.04	14.39	11.15	29.51	28.73	0.0
