	Calb2_tdTpositive_cell_27	Calb2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_72	Cux2_tdTpositive_cell_47	Cux2_tdTnegative_cell_16	Htr3a_tdTpositive_cell_95	Ndnf_tdTpositive_cell_2	Nr5a1_tdTpositive_cell_31	Nr5a1_tdTpositive_cell_38	Nr5a1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_60	Ntsr1_tdTnegative_cell_37	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_16	Rbp4_tdTpositive_cell_24	Rbp4_tdTpositive_cell_53	Rbp4_tdTpositive_cell_98	Rbp4_tdTpositive_cell_99	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_161	Rbp4_tdTpositive_cell_172	Rorb_tdTpositive_cell_13	Rorb_tdTpositive_cell_31	Rorb_tdTpositive_cell_43	Scnn1a.Tg3_tdTpositive_cell_75	Scnn1a.Tg3_tdTpositive_cell_103	Scnn1a.Tg3_tdTnegative_cell_20	Slc17a6_tdTpositive_cell_20	Slc17a6_tdTpositive_cell_23	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
H2-Q4	100.75	64.36	20.49	100.36	183.3	285.51	142.6	170.78	56.05	54.75	27.23	177.09	40.61	3.41	121.21	35.38	67.33	153.86	109.1	74.5	133.78	11.15	183.1	69.78	114.27	176.67	92.29	37.13	160.71	238.12	110.78	105.78	150.94	127.64	55.56	83.09	63.38	33.35	32.67
Hmmr	20.92	10.13	6.34	13.18	8.65	23.72	18.43	9.77	10.52	9.9	9.51	84.83	5.36	2.18	8.98	6.14	8.97	20.94	8.85	8.68	24.15	5.52	14.98	16.99	14.78	5.95	4.12	6.75	31.95	29.37	16.76	12.71	12.25	13.53	3.95	5.6	5.91	4.46	3.13
Il1rl1	2.42	2.02	1.24	3.81	6.44	4.18	5.23	0.82	1.91	1.63	1.42	2.58	2.36	0.0	3.78	0.48	0.81	5.29	3.02	1.46	2.67	1.77	8.53	2.81	1.45	4.47	1.62	1.93	2.49	4.36	3.85	5.05	2.53	3.33	0.72	1.84	5.52	2.29	2.35
Itga4	5.18	10.88	1.31	9.3	12.31	16.81	15.36	8.1	8.07	10.75	1.51	8.58	2.0	0.06	7.94	6.97	4.21	10.3	19.46	4.45	10.41	3.33	15.93	7.6	8.23	14.8	22.66	4.93	11.43	35.17	8.71	28.16	13.35	8.2	2.1	1.53	4.54	5.24	2.27
Kcnq1ot1	54.42	101.16	11.9	68.37	84.14	122.75	137.07	48.07	40.17	38.78	18.52	63.4	26.65	3.25	78.12	32.56	61.17	116.67	77.36	71.36	74.78	17.39	89.74	61.19	66.01	93.91	83.33	23.49	108.45	164.27	40.15	62.94	71.24	69.79	32.73	29.16	43.27	38.76	28.83
Ldlrad2	3.27	19.56	4.2	3.36	7.16	14.89	15.53	1.46	0.31	3.01	1.41	6.11	2.27	0.0	9.17	12.87	2.77	29.48	6.12	2.32	3.19	0.31	8.33	4.95	8.43	16.3	13.52	3.55	5.69	15.66	10.91	9.19	9.29	13.23	9.18	1.99	4.4	0.83	0.51
Lhx5	2.14	2.43	0.4	1.15	1.08	1.98	2.29	0.45	1.57	0.59	0.17	1.12	0.0	0.37	3.4	0.19	0.6	1.83	0.75	0.44	0.73	0.21	2.0	0.64	0.34	1.71	2.09	0.09	1.42	3.74	0.58	2.38	1.52	1.72	1.3	1.61	4.27	0.49	0.31
Lpp	2.56	2.32	0.75	1.54	4.57	3.78	4.29	1.45	0.93	1.78	0.4	1.62	0.59	0.0	2.53	0.85	1.21	4.03	2.08	3.78	3.77	0.59	4.23	2.45	2.33	5.55	1.81	1.18	4.43	5.39	1.76	1.98	3.76	1.79	0.92	0.36	1.54	0.79	0.67
Mfsd2b	3.66	5.5	3.06	2.83	7.0	13.52	5.65	4.26	2.89	3.82	5.31	4.35	2.32	2.68	4.52	4.89	1.78	9.78	4.96	1.1	3.63	0.0	7.17	1.57	4.25	5.24	1.64	1.77	7.07	8.98	2.86	2.57	3.62	4.69	2.37	1.73	3.13	1.76	1.95
Mylk4	3.48	2.67	0.5	0.96	1.72	5.4	0.94	1.29	0.97	0.47	0.65	0.68	3.2	0.12	2.19	0.15	1.2	1.94	1.33	0.95	0.86	1.04	0.6	1.01	1.58	3.7	1.33	0.31	1.69	3.16	2.43	0.86	3.02	1.83	0.24	0.55	0.74	0.63	0.53
Myoz3	1.99	3.41	0.87	1.5	0.58	5.66	5.39	2.01	1.82	2.18	0.37	1.23	2.12	0.0	3.03	3.21	0.45	2.23	0.61	3.19	4.04	0.76	1.68	1.26	0.94	1.91	4.07	0.09	1.29	6.29	1.76	1.2	1.18	3.46	0.61	0.79	0.88	0.78	1.09
Ncf1	0.46	6.06	0.26	5.08	7.52	9.81	1.44	2.55	2.13	1.17	0.0	0.19	1.23	0.34	3.22	0.16	1.75	2.7	2.02	0.73	2.49	0.92	3.39	2.57	5.8	3.95	1.72	1.66	10.1	3.12	6.33	2.71	3.78	2.29	0.42	1.76	1.19	0.56	2.46
Nphs1	4.37	11.06	2.55	4.18	7.4	8.76	6.78	6.23	3.13	2.35	1.97	6.03	3.85	1.51	5.12	2.16	4.12	10.64	7.88	3.22	3.68	2.44	7.39	4.11	3.12	7.61	4.81	1.52	18.98	10.6	5.43	6.38	6.77	8.01	4.54	7.39	5.03	1.76	2.18
Nsl1	14.34	17.0	3.58	10.88	11.91	8.45	15.14	7.87	11.52	7.26	2.63	9.79	5.39	0.73	8.44	3.38	5.48	18.14	8.42	4.81	7.98	3.38	12.88	6.25	8.57	16.94	12.51	3.16	12.09	17.3	5.81	9.31	11.81	9.4	4.94	5.28	7.1	4.65	2.95
Olfr613	88.13	98.62	28.03	100.34	87.74	227.06	145.0	115.36	40.75	35.94	39.42	118.21	30.84	1.12	67.7	43.04	49.93	148.83	101.35	54.64	110.71	18.49	158.79	69.13	83.35	120.1	98.43	20.51	114.77	212.11	95.55	107.37	124.09	126.2	14.96	53.1	55.42	56.59	20.84
Pi15	19.49	35.13	6.36	28.46	38.21	57.97	47.85	35.58	8.91	24.0	5.21	24.62	10.25	0.0	32.44	4.09	16.19	38.51	32.87	13.13	29.95	11.32	35.34	24.6	22.11	57.89	24.65	6.82	39.52	93.53	24.63	26.91	42.77	29.88	13.88	6.79	10.76	10.13	7.59
Pik3r5	1.16	5.95	0.12	9.57	6.54	9.15	6.35	2.81	2.55	1.39	0.12	0.81	2.59	0.0	3.41	0.82	1.13	8.58	6.14	2.57	1.6	0.0	10.43	15.99	7.11	10.52	19.37	0.0	9.17	14.8	13.98	2.37	3.79	4.67	0.58	0.11	1.42	4.19	0.0
Psmb11	5.81	5.43	0.71	2.14	3.66	8.89	5.25	3.74	1.91	3.11	1.51	3.88	2.33	0.9	3.32	5.19	1.16	3.6	8.03	1.74	2.96	0.63	1.25	2.63	2.88	1.17	5.11	2.24	3.8	10.65	4.74	3.34	4.97	45.64	3.16	0.49	1.23	0.93	0.65
Rdh1	25.62	47.17	6.01	42.88	58.95	68.67	87.97	40.65	16.33	39.18	11.98	44.57	14.52	0.29	53.26	43.54	23.92	52.3	56.77	36.01	44.51	15.5	44.95	47.28	36.28	94.22	40.08	16.39	58.04	113.93	35.35	36.27	52.92	58.53	17.86	12.31	22.52	20.17	19.08
Rhbdl2	0.84	2.25	1.74	0.95	3.03	6.66	12.51	0.9	1.75	3.78	0.54	2.37	0.57	0.0	2.95	3.22	1.53	5.36	4.99	0.0	1.78	0.0	1.18	0.8	3.36	4.54	3.24	0.98	0.69	0.0	1.6	4.81	2.57	5.3	0.71	1.64	2.07	2.06	0.4
Serpina1a	2.79	4.69	0.48	8.51	9.27	11.03	9.75	2.63	4.64	1.1	1.16	1.88	2.89	0.23	1.67	0.44	1.37	6.0	4.27	3.09	3.4	1.53	10.35	7.09	3.23	13.02	9.2	0.64	10.84	21.63	4.51	3.7	5.79	5.34	0.08	0.0	1.84	1.8	0.31
Six2	0.58	0.88	0.17	0.84	1.22	1.67	1.48	1.61	1.33	0.0	0.21	0.46	0.39	0.31	0.8	0.0	0.0	0.7	0.36	0.33	1.37	0.35	1.36	0.82	0.21	1.4	0.1	0.23	1.62	0.52	0.29	2.38	2.12	0.4	0.28	0.0	0.0	0.4	0.11
Slamf8	1.01	5.39	0.18	3.12	1.76	4.51	1.88	1.36	1.15	0.41	0.75	6.38	0.96	0.29	8.56	3.79	1.39	57.95	5.19	0.87	2.22	4.49	3.38	4.09	3.99	5.69	0.85	2.06	5.93	4.44	2.12	3.98	4.67	4.0	0.14	0.35	2.97	2.31	0.94
Slc23a1	11.68	11.76	5.12	10.77	7.27	16.86	8.33	6.94	2.84	5.16	6.22	10.33	5.49	0.54	8.91	7.94	46.99	14.3	11.45	5.83	8.75	2.33	16.67	8.15	7.27	10.16	6.37	3.35	10.43	19.08	6.66	9.96	11.26	13.33	4.14	4.51	7.34	4.53	4.28
Slc28a3	1.77	3.99	0.95	3.12	3.19	1.05	1.07	1.47	0.83	0.65	0.76	2.17	0.94	0.25	3.91	1.57	1.01	2.02	2.2	0.89	2.54	0.98	4.42	2.5	1.66	5.91	1.54	0.51	4.04	5.39	1.97	1.7	2.92	1.65	0.1	0.75	0.55	0.74	0.38
Soat2	24.36	37.33	2.35	28.38	29.84	74.87	37.37	12.85	12.66	17.87	5.09	28.29	14.36	1.45	25.56	4.81	9.06	28.87	23.57	5.07	28.25	14.53	10.06	25.49	23.91	33.68	17.8	8.12	23.41	46.15	23.81	9.23	20.83	17.95	7.01	10.13	22.27	4.81	6.08
Sp110	8.09	24.61	3.42	20.81	15.92	23.61	24.86	9.62	8.43	6.65	5.17	5.72	13.63	0.31	17.01	3.76	15.58	30.96	30.41	9.28	11.43	3.46	14.73	7.97	8.02	26.38	29.15	3.55	18.28	29.9	7.52	26.3	13.4	9.84	9.57	7.21	19.23	12.0	4.64
Stmn1	10414.48	10776.66	10587.49	9820.07	9473.65	11391.73	10788.4	10862.63	9729.87	7801.42	7058.67	12096.72	9467.14	7160.78	9462.09	10015.46	10267.64	8905.33	9644.83	9355.99	8486.8	8003.8	13005.25	11961.92	8047.45	8084.76	10665.83	7506.0	7673.8	8251.97	9453.54	8054.62	10788.95	8937.9	10789.21	12161.23	10051.01	11287.74	9866.46
Tigit	17.5	58.85	5.13	28.74	38.74	86.0	53.13	13.65	12.27	13.1	3.02	14.85	7.25	0.63	26.51	19.16	14.64	26.59	25.44	18.57	25.81	5.15	24.86	26.1	12.67	64.4	33.95	7.13	47.34	66.19	13.23	29.61	17.12	12.63	15.2	3.63	16.2	19.87	8.74
Tmem82	6.48	3.27	1.01	7.05	14.18	8.15	8.82	4.61	2.88	2.6	4.45	10.77	1.67	0.68	10.76	0.74	2.1	9.17	7.84	5.26	4.6	1.44	6.94	8.68	4.41	5.41	7.15	1.22	8.69	24.49	5.7	7.69	10.48	8.66	1.36	5.24	4.98	4.54	2.2
Tnfrsf10b	24.78	54.75	10.32	24.64	40.71	90.5	58.0	19.19	18.61	19.49	10.81	22.4	12.27	0.51	25.55	10.97	17.51	70.16	34.84	29.84	35.11	2.52	37.86	54.33	35.73	77.01	22.33	8.15	48.58	98.87	62.75	41.92	47.88	35.17	16.59	15.52	30.25	10.22	9.2
Trim12c	1.2	3.57	1.44	3.44	1.85	4.98	1.39	2.94	1.08	0.9	0.57	1.63	1.77	0.0	1.77	65.35	1.53	1.39	2.3	1.28	2.33	0.26	1.13	2.82	1.77	5.93	4.21	0.56	2.02	2.67	2.02	0.71	3.25	2.39	1.24	0.48	1.51	0.99	0.43
