	Calb2_tdTpositive_cell_52	Calb2_tdTpositive_cell_56	Gad2_tdTpositive_cell_22	Nos1_tdTpositive_cell_56	Sst_tdTpositive_cell_6	Sst_tdTpositive_cell_79	Vip_tdTpositive_cell_1	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_48	Vip_tdTpositive_cell_50	Vip_tdTpositive_cell_51	Vip_tdTpositive_cell_52	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
Pja1	680.12	632.17	548.68	107.2	232.88	402.38	134.91	651.22	547.76	847.59	1072.61	155.24	191.48	45.29	194.27	64.35
Rab11b	344.2	229.72	132.72	32.62	321.07	175.78	150.24	116.47	118.5	195.39	179.46	154.1	70.05	67.27	57.39	113.47
Rab7	834.98	220.88	320.6	0.0	596.27	188.75	0.0	499.77	500.96	155.65	165.59	68.81	142.9	107.47	115.25	62.32
Rad23a	85.74	47.13	113.73	31.75	0.96	25.47	0.0	57.25	105.79	107.67	54.75	0.27	139.08	0.0	87.52	17.6
Rps6kl1	0.0	0.0	2.53	0.0	0.0	0.08	0.0	0.07	103.75	0.0	0.0	0.22	0.0	0.0	0.12	7.69
Slc25a12	154.47	167.41	105.07	0.24	66.31	70.87	59.27	157.31	290.12	34.23	358.31	312.94	7.72	2.41	85.76	123.33
Slc2a3	114.24	50.27	53.83	9.15	28.71	11.5	0.1	8.74	174.85	0.0	280.88	109.86	24.12	5.85	55.91	32.77
Srsf9	175.68	40.2	52.0	0.0	140.6	0.68	265.49	233.13	131.03	153.19	420.54	0.0	1.62	242.6	182.1	8.86
Stip1	374.6	296.39	601.53	0.0	206.95	246.78	0.19	279.38	554.99	318.88	566.83	578.24	139.89	184.39	0.56	77.29
Thrb	277.12	116.42	80.7	0.0	124.73	0.06	219.71	482.23	434.29	93.88	420.88	268.39	0.23	59.19	4.39	23.74
Tmem68	210.85	61.41	173.83	0.0	153.73	60.51	0.47	0.0	252.92	92.48	223.75	349.42	39.55	124.51	90.67	55.0
Txnl4a	575.08	117.54	138.61	28.52	154.87	178.73	129.64	148.28	301.88	48.48	85.43	218.33	17.28	6.14	7.54	3.71
Ubb	30893.82	32217.54	31186.09	20970.22	31415.92	30046.08	32905.97	35368.68	33803.89	38561.98	34059.86	33756.05	31090.16	35026.92	33691.16	30646.34
Ubl7	0.35	212.66	157.98	0.0	501.97	201.62	0.32	200.8	29.78	226.78	264.48	138.93	0.0	149.17	247.31	0.0
Vps41	250.95	267.77	223.28	83.12	118.7	220.33	36.57	653.54	372.41	187.71	333.83	374.41	96.1	86.61	107.79	152.21
Wdr18	130.59	0.0	2.67	0.0	71.49	17.16	0.0	79.6	0.13	105.07	94.72	0.19	0.0	0.0	0.0	8.6
