	Ntsr1_tdTnegative_cell_16	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_14	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_23	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Gm14431	0.0	0.0	0.19	1.74	0.0	9.08	0.0	0.0	0.0	1.34	0.0	4.41	2.51	0.0	0.71	0.72	8.87	7.17	8.34
Gm14434	0.0	0.0	0.04	6.69	0.21	21.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.83	3.28	7.67	5.07	7.49
Gm15800	36.68	0.7	0.0	31.28	9.87	118.8	56.1	0.0	0.0	0.0	0.0	46.32	51.71	0.0	58.98	55.61	63.09	60.53	70.52
Gm2506	0.0	0.0	0.0	40.26	0.0	42.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.7	75.81	30.63	28.29	22.96
Gm3317	0.0	0.0	0.0	0.87	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	1.07	2.38	2.75	2.9
Gm3494	0.0	0.0	0.0	0.87	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	1.07	2.38	2.75	2.9
Gm4724	0.0	0.0	0.04	6.69	0.21	21.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.83	3.28	7.67	5.07	7.49
Gm8898	0.0	0.0	0.19	1.74	0.0	9.08	0.0	0.0	0.0	1.34	0.0	4.41	2.51	0.0	0.71	0.72	8.87	7.17	8.34
Ilf2	35.01	4.75	0.0	90.09	365.84	45.13	0.0	36.43	0.0	0.0	0.0	16.48	0.0	0.0	212.72	301.79	85.14	89.67	83.21
Klhdc10	0.0	0.0	0.0	3.0	0.0	14.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.85	11.95	59.96	58.26	59.26
Large	0.0	0.0	0.01	22.81	0.0	94.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.94	75.58	105.4	101.96	102.01
Ly6e	0.0	4.41	0.0	205.25	1.03	339.42	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	375.83	374.02	157.25	163.58	168.45
Max	107.34	0.0	0.0	9.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.77	20.9	57.53	59.66	53.42
Nap1l2	0.0	0.67	0.0	117.46	0.36	130.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	195.05	167.17	114.72	111.14	103.49
Napb	0.0	2.55	0.0	64.88	0.76	418.11	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	272.07	204.47	335.54	308.69	328.06
Nsg2	0.0	0.26	0.0	150.07	0.64	328.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.2	89.69	642.61	673.47	621.36
Parp2	0.0	1.31	0.0	70.34	0.13	54.01	0.0	0.0	0.0	0.0	114.84	68.42	0.0	0.0	69.64	94.39	17.9	20.61	18.99
Pclo	0.06	5.59	0.3	19.57	0.07	69.55	0.0	0.0	0.0	0.39	0.03	0.0	0.0	0.0	19.2	19.73	60.14	52.02	64.43
Pfkp	0.0	3.04	0.1	98.51	0.41	290.35	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	341.59	333.91	177.02	181.34	180.8
Ppp1r12b	2.12	14.54	10.89	32.36	9.68	35.73	15.05	37.96	7.93	18.57	0.23	5.28	8.53	7.08	14.9	20.4	52.73	42.74	52.78
Ppp2r5e	0.0	0.0	0.0	7.36	0.0	52.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.02	6.96	59.6	57.64	55.17
Rnf4	158.02	353.37	913.96	27.41	310.35	147.48	0.0	0.0	0.24	253.31	0.0	0.0	0.0	1.09	108.28	38.98	64.46	60.34	58.99
Slc25a44	2.76	1.34	0.0	21.57	0.07	61.54	0.0	0.0	173.43	0.0	4.48	0.0	0.0	2.54	45.42	47.85	77.24	77.71	71.35
Slc35b4	0.0	0.0	0.0	18.53	0.0	5.44	0.0	0.14	476.25	0.0	0.0	0.0	0.0	0.0	17.07	14.03	47.66	43.34	45.82
Snord116	0.0	0.0	0.0	9.2	0.0	15.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.39	1.84	1.22	1.15	1.9
Snord116l1	0.0	0.0	0.0	9.2	0.0	15.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.39	1.84	1.22	1.15	1.9
Snord116l2	0.0	0.0	0.0	9.2	0.0	15.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.39	1.84	1.22	1.15	1.9
Snx21	0.0	0.0	0.0	1.39	0.79	2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	7.81	39.99	46.0	39.1
Sprr2a1	0.0	0.0	0.0	0.46	0.0	1.8	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.06	0.08	0.25	0.13
Sprr2a2	0.0	0.0	0.0	0.46	0.0	1.8	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.06	0.08	0.25	0.13
Stmn2	0.0	3.08	0.0	640.01	0.63	466.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	920.74	944.78	402.01	408.96	402.52
Stx1a	0.0	5.09	0.18	117.9	0.35	591.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	224.33	324.97	316.19	325.03	318.03
Stxbp1	0.0	1.34	60.92	191.0	120.91	587.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	243.87	243.01	685.86	704.66	673.08
Trf	40934.39	59004.26	28131.18	0.0	20574.64	12.9	39899.4	24883.01	47798.56	67608.53	30444.99	24780.17	25232.5	31832.26	0.0	0.0	219.44	232.71	255.04
Trnau1ap	0.0	0.0	0.0	11.57	0.0	138.53	0.0	0.0	0.0	0.0	15.8	0.0	0.0	3.24	0.94	7.4	23.42	24.08	23.63
Tusc3	16.64	0.53	0.0	153.11	0.0	391.93	14.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	208.45	339.92	339.79	358.73	329.81
Unc13a	0.0	0.07	0.0	16.25	0.0	20.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.09	7.86	5.16	173.28	162.24	184.32
Ywhag	0.0	18.51	0.0	96.19	12.31	586.61	0.0	0.0	0.0	0.36	0.0	0.0	21.44	0.0	116.43	86.32	763.25	785.32	749.06
Zfp672	0.0	0.63	0.0	15.4	0.0	167.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.81	22.27	27.29	29.29	31.2
