	Chrna2_tdTpositive_cell_84	Htr3a_tdTpositive_cell_85	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_26	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_66	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_72	PvalbF.Gad2_tdTpositive_cell_84	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ppp3cb	0.21	77.02	10.71	86.56	54.14	186.49	32.23	61.21	49.88	46.44	0.99	247.23	241.42	227.54
Ppp3cc	0.0	0.0	19.23	0.0	0.21	65.34	0.0	8.5	0.0	0.0	0.0	24.75	27.47	26.13
Pprc1	0.0	0.0	0.15	0.0	6.16	27.82	0.07	0.0	0.0	0.0	0.0	13.37	12.98	11.42
Pqlc2	0.0	0.0	0.0	0.0	0.0	49.82	0.0	0.0	0.0	0.0	0.48	11.31	10.58	9.84
Prkcdbp	0.0	0.0	0.0	0.0	0.0	33.34	0.0	0.0	0.0	0.0	0.0	25.79	33.75	36.78
Prokr1	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.1	0.11	0.05
Prr7	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	58.93	79.63	74.96
Ptprd	28.66	24.89	9.84	91.55	35.19	101.95	54.0	17.07	37.64	18.78	25.97	94.17	76.39	92.81
Rab39	0.0	0.0	0.0	0.0	0.13	9.08	0.0	0.0	0.0	0.0	0.0	1.33	1.56	1.34
Rae1	0.0	0.0	0.0	0.88	0.0	127.25	0.0	0.0	0.0	0.0	0.0	42.77	47.4	50.73
Ralgapb	0.0	0.63	2.51	9.44	8.96	16.3	1.8	1.24	0.17	0.33	0.21	55.12	50.01	54.12
Rfx1	7.62	0.0	0.0	0.0	3.22	1.51	0.0	0.0	0.0	0.0	0.0	17.75	18.16	19.2
Rg9mtd1	0.0	0.0	0.0	0.0	0.0	217.41	0.0	0.0	0.0	0.0	0.0	13.39	13.85	11.72
Rnf126	0.0	0.0	0.0	0.0	0.29	7.87	0.0	0.28	0.0	16.35	0.0	70.12	80.08	77.08
Rpusd3	0.0	0.0	0.0	0.0	0.0	115.67	1.27	0.0	0.0	0.0	0.0	9.4	10.72	10.56
Ryk	75.48	0.0	0.0	0.0	0.0	42.04	0.0	0.0	0.0	0.0	0.0	20.16	19.78	18.76
Scgb2b1-ps	0.0	0.0	0.0	0.0	0.0	1.13	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.43
Sh2b3	0.0	0.0	0.0	29.06	0.0	37.46	16.15	0.63	0.0	0.0	0.0	17.87	19.01	18.95
Slc16a8	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.94	0.63	1.02
Slc25a34	0.0	0.12	0.0	0.0	0.0	0.2	0.14	0.0	0.0	0.0	0.0	4.49	5.69	5.58
Slc25a45	0.0	0.0	0.0	0.0	0.0	63.72	0.0	0.0	0.0	0.0	0.0	3.41	4.54	5.03
Slc27a1	0.53	0.85	27.98	0.51	0.0	44.11	0.41	0.17	0.53	1.07	24.35	59.69	63.37	60.96
Slc40a1	0.0	0.0	0.0	0.0	0.0	70.76	18.48	0.0	11.66	0.0	0.0	9.46	9.23	11.12
Slco4c1	0.0	0.0	0.0	1.27	0.0	0.67	0.0	0.0	0.0	0.0	0.0	2.64	1.87	2.34
Smchd1	0.0	0.53	0.0	1.63	2.62	35.78	4.17	37.77	0.0	0.0	0.05	17.6	16.14	16.17
Sncaip	0.0	0.0	0.0	0.54	0.0	52.74	0.0	0.0	0.0	0.0	0.0	2.95	3.54	3.34
Snora28	0.0	0.0	24.8	0.0	0.0	155.76	0.0	0.0	0.0	0.0	0.0	19.7	20.79	15.55
Snrnp35	0.0	0.0	0.0	10.55	1.13	130.95	0.0	0.0	0.0	0.0	0.74	12.82	14.69	11.52
Socs2	0.0	0.0	2.14	0.0	1.55	39.38	0.0	0.0	0.0	0.0	0.0	17.64	14.18	14.97
Spast	0.0	0.0	0.0	1.82	18.67	60.08	0.0	7.26	0.0	0.0	0.0	35.91	36.22	33.42
Spata4	0.0	0.0	0.0	0.0	0.0	16.1	0.0	0.0	0.0	0.0	0.0	0.29	0.36	0.79
Spg7	0.0	0.0	1.86	15.48	7.48	61.43	5.21	1.99	10.9	9.26	0.53	47.8	50.77	49.5
Spire2	0.0	0.0	0.0	0.0	0.0	20.98	11.14	0.0	0.0	0.0	0.0	16.19	16.9	15.6
Stk24	0.0	2.2	22.13	15.77	19.39	99.61	21.2	6.39	2.42	0.0	2.35	44.81	42.02	44.95
Suds3	11.13	0.0	0.0	0.0	1.37	48.91	27.29	0.17	0.0	17.15	9.46	98.23	92.43	94.15
Suv39h2	0.0	0.0	0.0	0.0	0.0	17.69	0.0	0.0	0.0	0.0	0.0	3.31	3.75	3.29
Tcp10a	0.0	0.0	0.0	0.0	0.0	1.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tex13a	0.0	0.0	0.0	0.0	0.0	27.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tgfbr3	5.38	0.0	0.0	0.0	0.98	23.63	2.18	1.66	0.0	0.0	0.03	5.67	6.28	5.26
Tmem53	153.66	0.0	0.86	82.56	0.0	118.24	0.0	67.48	0.0	0.0	0.0	4.36	3.1	4.72
Tom1l1	0.0	0.0	0.0	0.0	0.0	14.06	0.0	0.0	0.0	0.0	0.0	21.69	18.85	19.79
Topors	29.56	0.0	0.0	4.72	0.0	40.86	0.0	0.2	0.0	36.25	0.0	16.78	16.92	15.24
Trpv6	0.0	0.0	4.31	0.0	0.0	15.91	0.0	0.0	0.0	0.0	0.0	4.88	4.61	4.78
Vmn2r28	0.0	0.0	0.0	0.0	0.0	2.69	0.0	0.0	0.0	0.0	0.0	0.04	0.05	0.07
Vmn2r52	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Wdr44	0.0	0.0	6.29	15.67	0.48	27.39	0.0	0.0	0.0	0.0	16.02	13.23	12.26	13.91
Wdr91	0.0	0.0	0.0	0.0	45.33	37.22	0.0	0.0	0.0	0.0	0.0	24.26	23.42	24.49
Zfp119a	0.0	3.41	0.0	2.17	71.75	154.02	27.18	0.0	2.82	1.85	61.25	3.76	3.45	4.52
Zfp408	0.32	3.29	1.29	1.11	1.55	6.72	0.7	1.6	1.92	0.71	1.38	8.62	7.76	9.38
Zfp472	0.0	0.0	0.0	0.0	0.0	68.07	0.0	0.0	0.0	0.0	0.08	4.4	3.31	4.85
Zfp551	0.0	0.0	0.0	9.37	0.0	84.08	0.0	0.0	0.0	0.0	0.0	5.0	4.71	4.81
Zfp664	0.0	0.0	19.24	5.43	0.0	62.22	10.21	45.78	12.04	6.81	1.42	74.37	72.05	69.74
Zmat3	6.21	1.21	1.89	6.72	7.96	59.59	7.45	18.62	4.94	0.72	31.45	42.46	39.38	38.1
Znrf1	34.32	4.71	2.37	14.09	3.35	12.67	9.08	5.33	0.0	0.0	6.54	71.69	73.05	70.91
c1_tRNA-Ser-TCA(m)	0.0	5.7	0.0	0.0	0.0	25.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c2_tRNA-Ala-GCG	0.0	0.0	0.0	0.0	0.0	28.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.29
c2_tRNA-Ser-TCA(m)	0.0	5.7	0.0	0.0	0.0	25.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c5_SSU-rRNA_Hsa	0.0	0.0	0.0	0.0	0.0	59.31	2.65	1.32	3.68	0.0	0.0	1.37	0.0	0.0
c9_SSU-rRNA_Hsa	0.0	8.03	5.99	5.97	7.87	47.06	2.95	2.15	2.07	5.62	6.58	3.35	1.63	4.54
cm_tRNA-Ser-TCA(m)	0.0	5.7	0.0	0.0	0.0	25.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mt_AK131586	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	0.0	0.0	11.35	0.0	0.0	0.0	15.09	18796.57	17507.83	18655.33
mt_BC104337	0.0	7.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.88	9032.87	8417.95	8583.15
