	Calb2_tdTpositive_cell_30	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ndnf_tdTnegative_cell_5	Ndnf_tdTnegative_cell_7	Ntsr1_tdTpositive_cell_3	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_19	Ntsr1_tdTpos_100cell_3
C230081A13Rik	38.01	0.0	0.0	0.0	1.54	20.87	19.43	9.96	3.79	0.0	3.81	1.97	0.0	0.0	0.0	0.13	0.0	4.01	7.19
Ccl27b	4.01	0.0	0.0	0.0	0.0	185.36	54.72	30.68	0.23	114.35	145.03	75.28	0.0	0.0	0.0	0.0	0.0	150.8	71.98
Cd34	121.64	1919.71	0.0	0.0	0.0	136.89	37.78	60.52	144.85	45.16	62.53	0.0	0.0	0.0	0.0	0.0	0.0	23.94	104.94
Cryz	117.6	0.0	0.0	0.0	0.0	83.49	3.51	33.1	39.07	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	23.39	25.0
Ddx55	81.29	4.48	1.38	1.2	0.22	75.73	0.91	2.2	0.66	19.96	1.24	2.78	1.57	0.15	2.42	0.0	3.9	88.39	21.45
Ddx56	47.95	0.0	0.0	0.0	0.0	43.89	68.59	55.5	55.28	47.94	3.59	1.95	0.0	0.0	0.0	0.0	0.0	42.49	51.37
Dis3l	111.12	0.43	0.0	3.06	2.64	23.54	15.04	15.91	0.67	0.88	0.79	1.64	0.82	0.85	0.87	0.0	0.17	10.42	5.52
Fez2	58.1	0.0	0.0	0.0	0.0	0.08	0.0	53.67	29.98	0.0	0.0	69.5	0.0	0.39	0.82	0.0	1004.64	0.0	11.0
Fgf14	261.35	0.0	0.0	0.09	0.0	213.38	182.51	139.25	125.39	86.51	66.76	37.66	0.0	0.45	7.17	0.0	0.0	39.64	201.64
Fkbp14	104.51	0.0	0.0	0.0	0.0	71.67	0.0	30.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.55
Gm13306	4.01	0.0	0.0	0.0	0.0	185.36	54.72	30.68	0.23	114.35	145.03	75.28	0.0	0.0	0.0	0.0	0.0	150.8	71.98
Gm2506	4.01	0.0	0.0	0.0	0.0	185.36	54.72	30.68	0.23	114.35	145.03	75.28	0.0	0.0	0.0	0.0	0.0	150.8	71.98
Gpm6b	1271.78	0.0	0.0	136.8	647.24	635.54	526.02	310.85	362.66	198.63	271.83	260.09	1.28	1394.06	388.86	30.91	0.0	758.46	555.08
Gpx1	142.49	0.0	0.0	0.0	0.0	106.1	102.03	97.62	197.14	52.11	105.38	19.4	258.44	0.0	0.76	0.0	0.0	33.13	181.77
Grin2b	549.94	0.0	0.0	0.37	0.59	359.14	232.39	233.05	267.2	136.61	97.59	48.48	0.15	0.6	0.26	1.24	1.38	274.26	317.59
Hdac10	89.6	0.0	0.0	0.0	0.0	87.12	40.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.82
Ikzf5	137.08	5.18	0.0	0.0	0.0	104.33	39.04	45.82	45.98	0.55	3.62	0.0	0.07	0.0	0.17	6.6	0.0	6.87	19.38
Ipo5	91.66	0.0	0.0	0.0	0.0	65.06	7.8	122.23	97.73	19.08	56.86	54.13	0.14	0.0	0.0	0.0	0.13	26.39	38.04
Ldlrad3	7.66	0.0	0.0	0.0	0.0	4.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	3.07
Man1a2	97.59	0.0	0.0	55.09	0.0	100.18	12.08	17.13	8.61	27.76	42.15	13.99	0.24	802.2	0.0	7.42	0.0	16.24	11.77
Map3k13	32.79	0.0	0.0	0.0	0.0	31.87	0.0	16.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.69	1.99
Mfn2	140.83	0.0	0.0	0.0	0.0	96.59	44.63	64.44	41.6	2.57	2.37	0.0	0.15	0.17	0.0	0.0	0.0	30.87	69.88
Mina	195.36	0.0	0.0	0.0	0.0	120.99	32.73	10.63	0.0	14.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.75
Mir690	7532.05	18673.1	26828.41	14106.8	22720.97	11982.72	30528.33	39867.27	42000.18	37370.15	37614.4	32522.04	27509.93	44948.68	42282.55	27759.51	35532.88	48007.3	45.65
Mmadhc	206.06	0.0	0.32	0.0	0.0	211.36	106.11	36.25	54.25	0.64	3.29	53.73	0.25	0.0	0.0	0.0	0.0	224.27	119.11
Mon2	19.7	0.0	0.0	0.0	0.0	36.01	7.07	1.65	11.04	0.0	4.62	0.72	0.07	0.16	0.25	0.0	25.22	0.04	4.82
Osbpl11	56.08	0.0	0.0	0.0	0.0	61.16	0.0	0.0	9.27	0.0	0.0	2.45	10.46	43.86	0.17	0.0	0.0	0.0	0.46
Phactr1	300.77	0.0	0.0	0.0	0.0	321.58	58.57	141.23	129.64	43.93	33.58	87.99	0.28	0.28	0.15	0.37	0.16	61.34	162.52
Ppap2a	240.37	0.0	0.0	0.0	0.0	206.92	0.0	0.0	0.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.63	47.73
Psmc2	240.76	0.0	1145.91	0.0	0.0	323.01	595.96	391.36	316.8	90.22	256.78	222.99	0.91	1.24	1.32	0.0	0.0	85.11	420.29
Psmd14	594.17	0.0	0.0	0.0	0.41	621.51	396.3	548.89	333.71	197.41	60.67	607.17	0.21	112.33	0.0	70.5	0.0	246.45	639.86
Rufy1	118.5	0.0	0.0	0.0	0.0	73.6	0.0	42.96	54.18	3.36	0.52	4.84	0.0	0.0	0.0	0.0	0.0	0.0	10.46
Sf3a1	62.95	0.0	0.0	0.0	0.0	59.61	57.39	3.69	43.94	0.0	54.91	0.0	0.0	0.0	0.83	0.57	0.0	1.2	18.33
Slc25a11	96.66	0.0	0.0	0.0	0.0	377.8	254.71	152.0	349.61	1.32	77.51	87.81	0.27	0.44	0.0	0.0	1.9	31.94	121.64
Sprr2a1	1.62	0.0	0.0	0.08	0.0	0.28	0.34	0.36	0.88	1.29	0.1	0.2	0.0	1.82	0.0	0.0	0.0	0.09	0.1
Sprr2a2	1.62	0.0	0.0	0.08	0.0	0.28	0.34	0.36	0.88	1.29	0.1	0.2	0.0	1.82	0.0	0.0	0.0	0.09	0.1
Stat1	11.43	0.0	0.1	0.73	0.0	0.81	0.37	0.24	11.9	0.83	5.47	0.5	30.35	0.89	1.08	0.58	1.23	1.18	7.26
Sv2b	419.24	0.0	0.0	0.0	0.0	472.16	186.25	125.65	183.33	136.84	13.88	96.13	0.18	0.67	0.0	0.0	0.0	167.42	194.14
Tiam2	158.84	0.0	0.0	0.0	0.0	72.2	17.6	48.06	41.05	4.45	6.14	32.81	0.0	0.24	0.0	0.0	0.0	27.8	32.99
Ttc15	197.51	0.0	0.0	0.0	0.0	99.63	64.42	75.79	60.2	9.49	6.39	1.82	0.1	0.0	0.0	0.0	1.71	20.86	28.14
Ttc33	115.06	0.0	0.0	0.0	0.0	197.02	111.34	39.8	112.51	76.67	45.84	15.9	0.36	0.81	0.43	0.0	0.33	79.01	189.52
Txlna	65.19	0.0	0.0	0.0	0.0	31.65	19.42	0.0	23.69	77.61	1.14	0.15	0.14	390.47	0.0	0.0	0.0	1.08	2.62
Vmp1	580.33	0.0	0.0	0.43	0.0	1058.57	382.0	331.34	139.1	148.82	487.34	292.34	4.41	227.78	9.2	270.84	0.0	232.67	627.69
