	Calb2_tdTpositive_cell_53	Calb2_tdTpositive_cell_58	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_11	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_74	Gad2_tdTpositive_cell_75	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_4	Nkx2.1_tdTpositive_cell_13	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_30	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_18	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_29	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_7	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_16	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_47	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_49	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_53	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_55	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_62	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_64	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_68	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_71	PvalbF.Gad2_tdTpositive_cell_72	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_80	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_82	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_21	Tac2_tdTpositive_cell_5
Gm14434	0.0	0.32	0.0	0.0	0.0	0.0	0.0	17.66	0.32	20.12	7.02	0.0	0.0	14.66	3.86	3.32	0.0	0.0	31.03	36.04	0.0	14.72	31.75	1.87	12.3	26.14	10.3	14.72	25.91	6.05	13.5	14.04	13.46	3.22	12.83	12.31	3.07	20.8	11.03	18.55	13.57	0.0	23.36	4.08	19.12	11.25	0.0	0.32	3.81	19.5	0.54	6.88	8.34	6.2	9.58	4.61	28.79	31.83	0.11	13.98	26.82	8.31	17.65	0.06	10.45	7.83	13.81	18.59	20.22	40.89	14.03	23.53	9.97	0.0	11.12	30.75	23.59	25.3	0.0	15.88	2.38	0.12	0.0	0.0
Gm4724	0.0	0.32	0.0	0.0	0.0	0.0	0.0	17.66	0.32	20.12	7.02	0.0	0.0	14.66	3.86	3.32	0.0	0.0	31.03	36.04	0.0	14.72	31.75	1.87	12.3	26.14	10.3	14.72	25.91	6.05	13.5	14.04	13.46	3.22	12.83	12.31	3.07	20.8	11.03	18.55	13.57	0.0	23.36	4.08	19.12	11.25	0.0	0.32	3.81	19.5	0.54	6.88	8.34	6.2	9.58	4.61	28.79	31.83	0.11	13.98	26.82	8.31	17.65	0.06	10.45	7.83	13.81	18.59	20.22	40.89	14.03	23.53	9.97	0.0	11.12	30.75	23.59	25.3	0.0	15.88	2.38	0.12	0.0	0.0
Hsph1	0.0	0.0	3.59	33.81	0.0	0.0	0.0	213.22	0.0	130.27	27.2	0.0	0.0	61.59	94.59	46.6	0.0	0.0	185.08	83.05	148.2	73.86	167.24	163.82	223.81	161.39	65.2	271.26	124.4	219.09	282.43	89.07	51.29	71.97	3.02	163.46	67.96	64.48	39.61	87.99	98.83	54.87	114.91	118.88	131.69	137.46	212.25	103.24	47.35	213.58	85.37	53.92	148.83	150.42	119.61	32.85	137.3	79.65	78.42	222.37	155.26	97.53	46.51	76.34	315.14	135.82	148.25	251.78	106.34	32.57	58.81	288.7	197.83	12.89	2.26	101.53	192.06	28.11	7.35	81.93	79.61	0.1	0.21	0.16
Iqsec1	4.36	28.36	9.16	25.72	0.0	22.56	0.0	53.48	2.34	33.81	23.8	0.0	15.61	17.92	47.46	35.37	29.56	1.36	87.65	56.96	21.9	31.69	81.62	96.37	75.67	61.5	69.35	49.27	45.49	48.46	74.97	68.74	60.17	21.8	79.73	72.73	15.68	25.26	40.42	53.41	16.92	19.85	24.66	22.9	68.97	32.35	69.75	37.69	36.34	31.81	35.22	30.44	28.41	74.1	52.94	35.74	48.31	57.02	40.86	43.48	80.54	54.72	70.78	92.46	55.99	60.12	76.49	29.94	80.14	48.8	42.23	45.0	43.55	31.45	73.97	43.02	129.99	107.86	76.51	52.99	54.94	11.16	0.0	13.15
Kctd17	0.0	0.0	10.76	0.32	0.0	0.0	0.0	0.41	0.0	3.28	79.79	0.0	0.0	24.02	23.72	106.14	0.0	0.0	55.86	146.46	2.41	26.53	106.19	169.03	3.28	5.63	142.76	77.57	139.53	187.75	23.12	4.25	28.08	0.5	142.39	7.92	9.61	2.62	53.29	23.68	67.26	0.0	32.04	3.43	151.49	52.46	46.8	15.81	119.56	24.68	10.79	42.21	8.46	67.4	31.73	94.84	265.45	278.21	31.2	8.29	26.25	75.28	247.88	144.34	23.65	44.01	22.76	69.72	47.68	86.79	25.14	5.33	1.85	1.18	79.82	45.51	22.1	106.37	3.44	68.75	0.0	0.0	0.0	1.04
Klhdc3	0.0	0.0	0.0	0.0	0.0	0.0	84.68	112.33	0.52	0.0	13.08	0.0	0.0	5.02	5.92	68.91	0.0	0.0	64.55	32.97	12.99	34.62	81.45	51.79	69.17	71.2	187.05	24.05	1.86	32.18	45.23	26.06	82.0	0.0	0.0	24.83	144.2	8.93	88.8	33.27	7.95	2.38	44.85	0.0	85.47	91.16	36.31	2.0	90.43	37.46	3.58	0.49	0.0	123.19	139.36	188.13	68.4	0.25	111.28	232.79	197.95	0.0	54.72	60.65	77.57	64.91	112.82	102.07	26.08	96.59	102.43	3.18	29.07	3.18	91.92	61.49	68.94	49.65	31.08	133.43	30.12	0.0	0.0	0.0
Ldhb	7486.96	3049.47	6607.22	8970.97	2593.67	4107.23	5274.92	9309.63	8204.16	6604.57	8550.52	5876.73	5600.23	7723.1	7326.56	8752.31	4338.23	3963.33	8798.32	8750.45	10118.08	10894.4	8525.9	8892.3	7735.26	8217.62	8583.06	8517.89	7520.49	9220.91	9343.6	8808.99	10165.1	9166.61	9602.81	7785.08	11261.44	7829.53	10004.69	9074.03	13571.31	7371.44	6655.09	12546.17	7758.33	9106.97	8513.41	9755.78	7935.39	8390.99	11010.48	8275.76	10182.84	6003.71	7057.76	6851.78	7891.81	7551.43	6831.71	7750.55	7070.46	7124.4	7739.08	7194.73	7205.83	7185.39	9082.37	7352.41	7441.82	7928.56	7199.93	7910.47	6628.6	7322.67	7844.79	8351.44	7175.32	7830.1	6907.68	8111.86	11746.38	2798.49	2749.36	3979.21
Lrrfip1	0.0	0.0	0.59	0.0	0.0	0.0	4.76	61.73	4.13	33.52	5.96	0.0	0.0	46.85	39.59	29.9	0.0	0.0	39.38	42.34	9.64	16.9	41.64	33.55	22.84	76.18	23.44	44.4	1.49	56.54	36.01	7.02	26.6	0.0	44.27	33.79	11.34	76.72	74.34	71.87	7.73	0.0	92.95	41.28	76.55	65.86	87.93	28.78	12.1	1.52	51.8	87.84	30.87	8.79	126.09	15.14	110.01	129.74	33.01	69.99	32.01	44.72	66.68	0.0	84.78	172.06	64.78	18.67	181.08	67.47	59.56	25.75	16.23	14.82	11.84	45.56	58.1	80.97	3.49	117.48	63.38	0.0	0.0	18.21
Ndufb2	0.0	0.0	0.0	130.12	0.0	0.0	0.0	288.6	0.0	124.96	445.53	4.1	0.0	261.49	140.39	249.04	0.0	0.0	58.35	58.71	70.53	9.41	273.04	105.18	16.85	171.77	102.36	96.35	116.7	148.25	89.75	11.23	267.2	93.19	267.59	87.51	44.98	42.03	311.07	37.02	27.38	128.75	141.82	118.31	99.09	83.93	101.0	90.05	187.11	147.06	103.44	114.86	230.42	323.98	417.31	745.12	311.25	283.88	394.83	205.6	432.53	232.5	146.09	97.47	128.37	283.98	363.64	236.87	180.18	169.25	34.32	132.12	57.2	86.55	104.21	134.67	191.45	165.68	61.64	159.69	149.37	0.0	0.0	182.55
Nog	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.98	0.0	36.25	0.0	0.0	0.0	16.74	54.49	4.84	0.0	0.0	23.89	26.01	30.46	50.43	42.47	50.15	39.85	41.08	27.06	46.06	29.33	0.83	10.26	0.27	0.34	0.0	47.92	49.34	0.0	0.0	0.0	4.13	0.0	0.0	0.31	3.22	36.29	4.75	4.73	2.74	0.66	1.67	0.0	31.05	3.79	61.52	23.83	5.7	34.2	37.7	29.13	11.31	21.34	20.34	5.48	67.93	18.56	9.6	14.31	51.44	8.2	14.36	4.17	0.0	28.56	0.0	1.49	43.35	13.16	26.82	0.66	9.63	3.37	0.0	0.0	0.0
Pde5a	0.39	0.0	0.04	0.17	0.0	0.29	0.11	59.55	0.3	112.71	0.11	0.0	1.07	22.57	33.13	32.96	0.57	1.35	52.15	23.64	35.84	27.21	28.61	43.93	30.87	9.23	34.39	115.34	25.73	71.06	30.68	35.83	70.89	15.25	6.47	60.46	34.22	58.63	71.69	4.49	35.55	11.4	41.62	8.66	17.86	36.45	31.83	20.91	7.81	21.11	6.26	37.98	18.68	88.89	53.06	35.01	23.73	42.21	58.71	72.12	66.8	57.56	54.75	80.87	74.46	26.23	31.51	20.48	68.76	34.1	9.18	18.75	52.85	28.47	77.08	118.24	81.73	31.05	2.12	21.94	28.04	2.68	0.13	0.43
Pigt	0.0	0.28	0.0	0.0	0.27	0.64	0.0	0.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.06	0.0	0.0	6.44	7.84	2.68	1.49	2.93	7.72	0.24	8.66	4.67	1.39	10.93	0.0	0.0	1.84	40.73	0.16	0.0	14.56	9.58	0.0	1.22	3.52	2.31	5.72	7.05	0.0	0.0	1.09	16.05	0.0	38.04	3.94	0.32	60.98	1.21	0.0	0.0	10.23	33.35	0.58	0.0	0.0	0.13	0.0	0.0	12.84	8.95	0.0	2.18	7.91	0.8	19.36	11.23	25.4	4.61	21.86	0.0	10.77	0.99	0.0	0.0	0.0
Pvalb	0.0	0.0	0.28	0.0	0.0	0.0	0.0	2506.7	207.61	2461.61	2914.72	0.0	0.0	2481.2	2637.39	3332.67	0.0	0.0	1987.37	1559.12	1319.97	2144.98	1365.09	1711.38	1726.65	1185.42	1292.73	1298.9	554.75	1590.34	1199.86	1414.35	1316.24	1251.83	1724.33	1917.82	1740.57	1346.22	1769.21	1815.89	1408.27	145.34	1444.32	1731.8	1298.84	1698.2	1628.71	1974.07	1368.74	1344.6	1295.74	1797.97	1914.29	1437.81	1510.65	1166.7	2248.99	1223.54	1915.25	760.46	1555.2	1457.87	1909.51	1763.04	1332.22	1251.18	1681.17	1086.73	1693.91	2567.22	1432.88	1689.22	1182.99	894.38	1415.72	1830.01	1571.08	1823.48	1319.97	1749.01	3516.69	0.0	0.0	192.57
Rab33a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	122.68	0.0	42.57	116.53	0.0	0.0	81.29	0.0	0.0	0.0	0.0	87.44	100.44	0.0	88.4	83.92	139.13	95.79	170.67	0.0	125.85	31.82	104.85	0.0	183.19	62.47	230.23	159.36	111.12	12.75	0.0	0.0	58.89	0.0	95.66	63.17	0.87	0.0	77.69	77.0	135.02	0.0	168.59	92.8	183.54	145.44	68.65	83.41	202.52	84.26	30.05	65.69	141.82	271.85	92.06	111.24	149.14	58.17	104.22	101.56	204.41	234.95	75.2	122.81	83.12	0.0	94.75	66.55	61.26	26.81	89.46	0.0	48.26	0.0	0.0	0.0	68.26
Rbfox1	0.0	0.0	63.51	2.08	0.0	0.0	0.0	291.85	57.44	187.43	147.61	0.13	0.04	115.76	136.7	88.81	0.0	0.0	111.53	149.02	125.14	91.05	122.72	160.2	81.81	192.55	222.62	216.07	176.46	254.3	171.68	77.38	73.23	121.31	101.8	204.01	100.93	120.09	141.49	53.76	54.96	0.89	82.45	122.22	114.57	157.32	111.57	131.12	86.49	143.2	66.71	123.16	74.89	182.14	137.09	111.45	166.55	189.29	72.15	139.53	145.2	119.05	208.61	142.52	121.87	166.59	96.1	126.58	190.15	122.34	75.1	100.83	119.3	90.91	162.06	120.05	225.95	141.51	57.54	114.5	190.51	0.0	0.0	131.32
Rhbdd2	0.37	1.52	0.59	2.28	0.0	0.34	0.11	1.41	1.84	3.56	38.54	6.01	1.43	4.64	28.37	46.09	0.88	0.63	1.05	4.42	10.24	1.37	19.62	2.68	13.84	2.77	3.79	0.71	23.45	0.78	1.25	13.29	34.13	1.49	1.4	2.06	0.58	2.53	19.77	2.91	1.21	0.58	2.27	7.71	3.1	0.87	3.21	1.78	7.61	24.83	60.72	40.52	12.69	1.75	34.26	107.15	40.99	3.62	0.8	36.04	21.0	43.53	0.79	2.49	5.1	2.37	14.48	21.69	1.38	4.7	1.69	0.88	3.62	4.24	49.4	0.0	0.85	9.49	2.97	2.65	8.72	0.67	0.0	1.43
Sgtb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124.72	0.0	71.67	10.57	0.0	0.0	55.79	78.56	11.01	0.0	0.0	23.01	35.76	0.0	52.83	25.37	50.16	130.66	76.15	44.85	11.28	42.43	135.85	14.04	22.87	70.58	37.94	4.24	23.93	7.44	103.88	48.23	39.13	24.04	71.32	96.39	21.05	17.86	37.53	31.43	80.03	13.26	30.48	12.56	6.22	71.0	84.21	13.37	137.29	6.84	39.2	14.87	37.63	55.02	26.41	49.07	8.43	11.53	51.78	8.69	68.37	32.35	12.28	13.44	9.34	7.84	4.33	84.68	91.45	180.76	33.5	1.97	41.5	98.88	0.13	0.0	0.0
Slc25a11	0.0	1.82	89.64	288.4	0.56	0.14	0.0	73.96	0.28	269.54	260.59	0.31	0.26	121.52	231.46	45.79	0.0	70.4	133.15	113.0	48.79	172.76	407.11	54.82	289.46	156.26	295.5	305.92	81.46	117.11	224.43	186.31	156.85	66.59	272.29	180.25	30.59	197.25	127.02	206.75	229.19	159.57	273.22	136.14	87.9	106.72	251.62	100.28	280.47	195.6	1.76	183.62	67.94	328.69	265.0	316.44	25.33	173.44	116.63	382.16	296.53	144.13	226.92	182.23	351.27	155.24	307.48	96.32	213.36	120.37	207.25	64.44	244.1	295.1	300.23	151.96	189.44	112.7	143.63	127.88	176.39	0.31	0.1	196.11
Stoml2	0.0	0.0	0.08	0.0	0.0	0.0	0.0	50.8	9.0	127.74	101.46	0.0	0.0	161.07	19.01	85.12	0.0	73.11	76.68	84.24	0.0	1.88	113.87	2.53	8.62	130.61	134.87	54.71	13.56	115.76	72.72	3.33	78.88	89.19	94.28	0.0	68.06	5.07	187.7	49.79	11.31	99.96	135.46	70.84	90.44	91.76	133.67	113.25	42.14	165.81	60.92	61.58	77.16	226.3	94.44	170.16	6.36	145.55	191.67	174.07	253.86	149.76	56.32	157.87	106.98	244.33	109.84	121.67	51.51	0.0	44.11	196.53	72.54	95.96	23.07	121.82	0.12	128.5	0.41	84.07	82.09	0.23	0.0	0.0
Tgoln1	0.0	0.0	1.63	16.88	0.0	0.0	0.0	93.23	0.0	183.5	0.22	0.0	0.0	22.65	54.17	69.07	0.0	2.19	89.17	41.5	42.66	55.11	43.01	75.51	102.43	57.39	48.73	69.64	122.41	66.55	116.46	27.59	151.39	14.9	45.07	111.76	122.67	99.79	60.13	100.91	25.26	61.19	30.17	76.49	65.96	78.65	63.43	53.83	20.02	56.62	80.15	85.57	37.02	175.67	80.69	88.32	213.69	83.91	31.8	137.92	83.57	138.05	13.76	92.9	128.91	67.39	80.71	1.42	173.74	34.05	42.84	0.76	38.35	82.18	151.8	54.99	44.75	48.57	31.56	116.22	39.95	0.0	0.0	11.29
