	Chrna2_tdTpositive_cell_54	Pvalb_tdTpositive_cell_69	Sst_tdTpositive_cell_106	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Stk35	0.0	0.0	0.0	17.16	15.14	16.16
Syn1	50.7	3.59	0.11	435.88	453.27	459.24
Synrg	5.92	1.38	1.03	46.69	43.29	43.22
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tmem106b	0.04	3.39	0.34	84.23	75.31	81.91
Tnk2	2.54	15.79	0.0	120.42	129.35	126.62
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Ube2g1	0.0	7.53	0.0	44.68	39.19	42.34
Upf3a	0.0	0.0	0.0	49.66	47.79	44.94
Usp42	0.0	0.0	0.0	15.21	16.29	14.88
Usp49	0.0	0.0	0.0	9.47	8.3	9.91
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Vps26b	0.02	0.66	7.43	52.15	55.73	51.31
Zfp316	5.64	5.98	2.3	13.71	14.55	14.12
Zfp398	0.0	0.0	0.0	11.13	9.89	11.02
Zfyve9	7.6	2.94	0.0	54.36	51.25	52.59
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	5.86	26.94	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
