	Calb2_tdTpositive_cell_32	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_40	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_68	Ctgf_tdTpositive_cell_3	Cux2_tdTpositive_cell_47	Cux2_tdTpositive_cell_88	Cux2_tdTnegative_cell_11	Cux2_tdTnegative_cell_13	Gad2_tdTpositive_cell_19	Gad2_tdTpositive_cell_24	Htr3a_tdTpositive_cell_68	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_6	Ndnf_tdTpositive_cell_8	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Ndnf_tdTnegative_cell_4	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_79	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_42	PvalbF.Gad2_tdTpositive_cell_3	Rbp4_tdTpositive_cell_31	Rbp4_tdTpositive_cell_48	Rbp4_tdTpositive_cell_61	Rbp4_tdTpositive_cell_181	Scnn1a.Tg2_tdTnegative_cell_12	Scnn1a.Tg3_tdTpositive_cell_102	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_23	Slc17a6_tdTpositive_cell_10	Sst_tdTpositive_cell_19	Sst_tdTpositive_cell_83	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_25	Vip_tdTpositive_cell_31	CAV_LP_Ipsi_tdTpos_cell_15	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_43
Lrrc7	8.71	13.03	16.07	0.68	1.07	0.67	53.14	0.0	0.97	16.29	0.0	0.0	8.61	0.0	5.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.88	0.0	0.0	0.0	0.91	1.54	3.91	9.14	0.0	184.11	0.0	0.0	0.0	0.0	18.6	0.0	1.77	0.0	2.26	0.32	16.6	0.0	0.39
Nat8l	0.08	5.03	3.46	0.64	19.42	18.85	2.07	0.0	0.0	3.3	0.0	0.0	1.29	0.0	20.69	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	26.29	0.12	0.0	0.0	0.68	0.06	67.82	68.88	4.57	0.0	7.96	0.0	0.0	0.0	0.0	0.3	0.0	19.11	0.0	0.0	150.9	8.34	0.34	28.66
Nedd4l	92.03	0.34	21.99	15.11	0.0	0.0	6.74	0.0	1.94	23.51	0.0	0.0	0.04	0.0	0.3	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	5.6	0.88	0.0	0.04	36.61	1.55	15.61	0.11	30.72	0.31	0.85	0.0	0.18	0.0	0.0	2.27	0.0	1.83	0.0	89.09	7.37	32.29	0.0	0.1
Odz2	41.13	0.0	36.75	1.76	6.78	75.69	29.43	0.0	36.63	49.32	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.08	0.0	0.0	4.88	12.45	24.13	33.13	18.11	0.07	2.23	0.0	7.06	0.0	0.0	70.44	0.0	10.96	0.0	0.04	0.0	48.86	14.71	11.72
Pclo	18.64	16.88	23.16	26.47	8.0	11.66	66.0	0.0	9.81	26.27	0.02	0.39	0.07	0.0	42.64	0.0	0.0	0.0	0.09	0.03	0.0	0.04	0.13	22.92	108.78	0.2	0.18	10.59	48.98	35.52	54.46	16.49	22.21	4.24	0.0	0.07	0.34	0.0	21.79	0.18	14.51	0.0	8.34	24.11	29.35	15.07	51.66
Psmb2	1568.59	1262.66	1059.76	1237.87	1547.94	1623.72	1280.96	1611.85	1496.83	1036.71	1611.67	933.87	1697.07	2081.0	1133.74	1301.11	1725.73	2146.58	1668.93	1866.39	1279.15	1403.44	2289.33	1501.66	1582.08	1308.5	1891.8	1331.86	1296.32	1093.59	1732.38	1618.58	2160.84	1669.64	1872.23	1830.91	1381.94	1304.92	1532.69	1195.63	1482.51	1980.03	1705.74	1230.32	1550.73	1437.87	1096.53
Ralgapa1	13.26	30.36	20.83	13.58	3.24	12.99	26.03	6.97	20.83	42.08	0.0	0.0	24.99	0.0	0.97	0.02	53.05	0.96	1.41	0.08	0.0	0.06	0.0	20.47	1.24	0.0	0.0	44.59	9.5	16.89	3.17	6.86	0.25	7.47	0.84	0.0	0.0	0.0	39.2	0.43	34.3	34.67	0.0	3.34	46.89	27.34	47.87
Ryr2	17.14	0.01	9.57	3.06	0.42	0.73	4.62	0.0	23.21	60.82	0.0	0.04	61.75	0.03	17.9	0.0	0.0	0.02	0.02	0.0	0.0	0.08	0.0	0.13	34.35	0.0	0.0	0.0	15.6	7.61	0.61	11.25	0.25	52.16	0.0	0.0	0.04	0.0	17.26	0.0	8.05	0.0	0.19	5.67	0.1	1.26	48.09
Shank1	0.41	9.98	15.18	12.68	2.02	6.6	9.29	6.62	19.12	2.45	0.0	0.0	10.34	0.0	1.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.88	27.29	0.0	0.0	5.26	13.02	4.76	0.97	17.75	0.44	20.76	0.0	0.0	0.0	0.0	14.42	0.65	1.63	14.48	18.75	7.18	19.62	10.65	1.11
Snord116	4.78	3.16	14.18	5.29	10.41	0.0	6.69	0.0	4.43	13.97	0.0	0.0	0.0	0.0	30.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.88	7.23	0.0	0.0	4.0	24.83	5.34	0.0	1.26	0.0	26.5	0.0	0.0	0.0	0.0	0.0	0.0	5.87	0.0	0.0	4.19	3.1	5.24	10.67
Snord116l1	4.78	3.16	14.18	5.29	10.41	0.0	6.69	0.0	4.43	13.97	0.0	0.0	0.0	0.0	30.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.88	7.23	0.0	0.0	4.0	24.83	5.34	0.0	1.26	0.0	26.5	0.0	0.0	0.0	0.0	0.0	0.0	5.87	0.0	0.0	4.19	3.1	5.24	10.67
Snord116l2	4.78	3.16	14.18	5.29	10.41	0.0	6.69	0.0	4.43	13.97	0.0	0.0	0.0	0.0	30.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.88	7.23	0.0	0.0	4.0	24.83	5.34	0.0	1.26	0.0	26.5	0.0	0.0	0.0	0.0	0.0	0.0	5.87	0.0	0.0	4.19	3.1	5.24	10.67
Trank1	97.01	1.05	4.17	4.69	0.11	24.75	0.03	0.0	85.92	14.56	0.0	0.0	120.89	0.05	40.52	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.06	0.15	13.91	0.0	0.03	11.48	31.04	27.58	72.77	135.62	0.05	110.19	0.0	0.0	0.0	0.0	16.95	0.03	0.39	0.0	12.34	15.08	16.5	8.25	12.76
Unc13a	13.25	2.57	2.66	5.11	0.4	1.77	6.55	0.0	4.57	19.6	0.0	0.0	5.02	0.0	40.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.02	23.18	0.0	0.0	1.73	4.07	5.45	6.64	4.21	0.17	2.89	0.0	0.0	0.0	2.09	4.01	0.0	3.3	0.46	4.14	5.95	3.41	3.5	4.94
Unc80	3.55	3.44	30.73	10.39	3.63	0.27	72.69	0.0	3.0	83.05	0.0	0.0	56.7	0.0	134.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.69	234.1	0.0	0.0	56.2	30.37	50.47	55.51	79.2	0.05	70.98	0.0	0.0	0.0	0.0	41.07	0.0	34.59	12.95	47.9	6.11	27.1	53.61	53.58
