	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_12	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_68	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_74	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Slc23a2	0.0	0.04	0.0	0.0	0.0	10.16	12.51	0.19	41.17	9.27	18.15	42.3	47.74	0.81	1.2	7.62	0.44	9.32	48.63	45.49	19.42	39.86	6.6	39.19	86.39	11.84	0.0	11.05	17.74	5.39	0.82	82.75	83.62	84.09
Smarcc2	0.0	0.0	0.0	0.0	0.0	19.07	18.97	0.0	9.4	22.32	4.66	2.73	31.09	19.06	8.33	26.73	18.23	22.69	36.17	17.55	29.94	20.09	27.41	8.0	15.04	14.77	1.63	20.87	22.74	27.3	7.47	153.2	155.7	159.08
Spata5	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.12	0.0	0.74	0.0	0.42	0.0	6.28	0.0	3.7	0.0	0.31	0.0	0.0	9.75	8.56	9.34
Srcin1	0.0	19.08	0.0	0.0	0.0	2.79	11.32	9.1	9.25	3.82	2.97	9.85	6.61	4.33	2.73	5.72	17.41	1.58	21.59	3.04	2.23	2.2	2.61	13.06	0.86	0.06	20.47	9.2	7.66	6.27	7.31	138.51	141.68	150.57
Stxbp5	0.0	32.85	0.0	0.0	0.0	17.51	2.11	1.08	1.61	8.52	5.79	0.09	0.65	0.0	15.24	0.1	64.64	31.41	8.53	1.87	7.61	4.01	0.0	0.77	0.99	11.93	1.93	0.26	12.8	1.14	1.52	43.72	41.03	43.01
Sugp2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.15	0.0	0.0	0.92	1.83	0.0	0.0	0.0	0.0	61.53	0.0	8.79	19.42	2.09	0.0	0.0	39.39	0.0	0.37	1.27	5.12	2.59	63.49	63.87	67.29
Thbs2	0.0	0.0	0.0	0.0	0.0	29.19	0.0	18.49	24.17	21.47	0.0	22.68	0.0	0.0	0.0	0.0	0.0	0.06	119.97	0.0	0.0	0.05	29.32	17.45	17.37	0.0	0.0	0.0	0.08	0.0	0.0	3.61	3.68	3.48
Tigd2	0.0	0.0	0.0	0.0	0.0	15.17	0.0	0.0	0.0	0.57	0.0	0.0	0.0	3.45	0.0	0.0	0.0	0.0	77.41	1.32	0.0	5.81	0.14	32.82	0.0	11.84	0.0	0.0	0.0	0.0	0.0	10.45	10.03	9.74
Tle1	0.0	0.0	0.0	0.0	0.0	0.0	1.75	0.0	14.0	0.54	0.0	3.23	0.0	6.34	1.05	0.0	1.44	0.0	55.67	3.16	0.0	0.0	0.74	3.15	0.0	2.16	0.0	0.32	0.0	0.0	0.0	21.48	23.56	22.5
Tnpo2	0.0	1.0	0.11	0.0	0.0	33.05	7.14	2.38	15.96	4.93	13.33	3.22	2.54	32.39	1.1	4.02	2.94	13.43	33.69	9.62	24.75	6.67	4.24	3.36	14.99	8.66	9.45	25.06	13.52	12.52	28.22	98.65	98.42	99.6
Tusc5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.65	404.43	0.0	0.0	0.0	0.0	0.0	77.23	17.49	0.0	0.0	0.0	0.0	0.0	0.24	0.32	0.66
Ube2j1	0.0	0.0	0.0	0.0	0.0	11.97	39.81	1.41	22.15	36.56	29.45	41.74	33.72	20.18	0.0	1.17	0.0	49.93	80.39	30.18	48.29	0.24	95.8	60.43	55.0	70.77	8.62	18.2	2.04	36.38	2.91	79.49	82.59	77.99
Usp5	229.16	12.18	0.0	0.0	0.0	65.53	1.76	46.48	81.76	44.04	30.33	0.5	121.43	38.52	0.0	98.76	185.25	9.01	162.52	91.24	66.89	112.24	8.08	104.06	78.33	92.81	83.64	11.32	31.2	84.13	20.76	141.57	152.53	140.65
Zfp385a	1.25	0.0	0.0	0.0	0.0	21.53	5.53	0.87	22.83	20.19	10.87	4.85	2.14	21.63	13.19	12.06	20.06	2.94	44.96	7.0	10.97	49.81	24.71	24.79	0.57	0.0	0.0	0.0	1.58	2.52	5.08	53.39	59.15	59.02
Zfp446	0.76	0.3	0.95	0.23	1.16	0.67	0.9	0.0	0.0	4.37	0.19	0.0	1.05	18.42	1.25	0.51	0.43	1.07	53.34	0.57	5.94	0.39	0.89	21.97	0.44	0.79	15.85	0.28	1.11	0.64	0.95	6.42	6.43	6.43
Zfp646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	35.87	0.0	8.28	0.0	0.0	3.93	0.0	5.71	0.0	0.0	0.0	0.0	0.0	11.22	11.77	10.28
Zfp668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.93	0.0	0.0	0.0	25.35	5.24	0.0	0.0	0.0	37.75	60.8	0.0	2.68	0.0	0.35	0.0	2.07	4.92	0.31	0.0	0.0	0.0	0.0	9.21	9.71	10.33
Zmym1	0.0	0.0	0.0	0.0	0.0	21.97	0.18	0.0	0.0	0.0	37.41	0.0	0.0	17.18	0.0	60.43	0.0	0.0	90.78	35.26	16.88	17.39	45.67	43.57	72.96	23.01	34.13	36.21	18.87	4.8	36.0	20.26	15.66	16.41
Zswim3	0.0	0.0	0.0	0.0	0.0	24.96	69.88	0.0	0.0	0.0	0.0	0.0	42.79	0.0	0.0	0.0	0.0	0.0	102.22	0.0	0.0	38.65	0.0	33.44	0.0	0.0	0.0	0.0	0.0	0.0	26.05	9.91	9.01	7.09
