	Calb2_tdTpositive_cell_7	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_8	Cux2_tdTpositive_cell_5	Cux2_tdTpositive_cell_6	Cux2_tdTnegative_cell_4	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_35	Ntsr1_tdTnegative_cell_28	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_141	Rbp4_tdTpositive_cell_175	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_8	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_14	Rorb_tdTpositive_cell_19	Vip_tdTpositive_cell_6	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
Pik3r3	0.0	0.0	0.0	0.0	165.78	0.0	19.36	266.9	0.0	0.0	0.0	0.0	12.06	19.66	6.79	0.0	0.0	0.05	0.37	0.0	0.41	7.97	0.0	0.28	0.31	0.0	0.0	0.0	234.27	0.49	0.0	34.42	32.93
Pin4	95.43	0.0	0.0	0.0	0.0	86.48	249.26	0.8	0.75	0.0	3.03	0.0	68.47	194.67	68.21	356.09	78.36	13.28	0.0	94.84	57.02	310.12	0.0	0.0	0.0	0.0	0.0	0.0	402.74	162.8	229.12	32.89	31.89
Ppie	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.91	0.0	54.09	65.79	0.0	0.0	0.0	0.0	1017.69	0.0	0.0	0.0	0.0	0.0	416.73	0.0	0.0	14.54	17.24
Ppp1r17	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.37	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.59	0.0	0.0	0.13	0.25
Ptk6	0.25	0.0	0.0	0.18	0.0	0.41	0.0	0.0	0.0	0.0	1.13	0.0	0.32	0.3	0.37	0.0	0.0	0.08	3.0	0.0	0.0	0.36	0.95	1.27	1.15	0.0	0.83	0.44	1.87	0.51	0.0	0.17	0.21
Pvrl3	84.66	0.0	0.0	0.0	0.0	7.61	14.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.01	0.0	0.0	0.0	68.0	11.11	4.4	387.65	0.0	316.81	0.0	0.0	0.0	78.16	0.0	0.0	22.83	21.19
Rabep1	95.69	0.0	0.0	431.76	163.05	47.08	8.37	0.0	22.29	0.0	22.22	0.0	5.42	15.45	51.49	24.17	15.29	0.26	32.07	4.29	10.94	25.69	0.0	10.75	0.14	0.0	13.68	0.0	317.32	22.49	5.21	68.13	67.27
Rac2	1.69	6.45	0.07	2.8	0.4	0.5	2.18	0.27	0.2	0.0	0.0	2.5	1.33	1.92	1.94	1.94	2.37	1.31	10.06	3.4	0.98	0.82	3.66	1.06	5.9	1.86	2.87	3.26	7.12	2.83	0.49	1.87	2.35
Rel	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	11.83	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.13	0.0	3.23	0.0	0.0	0.0	0.0	182.47	0.0	0.0	2.87	2.37
Scn8a	72.23	0.0	0.0	0.0	0.0	40.63	195.96	0.0	0.0	0.0	42.54	0.0	70.85	98.95	42.57	11.79	21.51	15.07	61.98	45.7	17.47	20.84	0.19	141.72	3.92	0.0	0.0	0.04	93.34	20.74	0.47	111.53	112.93
Sec14l2	0.0	0.0	0.0	0.0	0.0	19.3	0.0	1.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.71	0.0	0.0	37.69	39.73
Slc17a5	89.37	1.59	8.64	0.34	2.95	6.53	11.04	0.0	1.02	0.0	133.38	20.48	2.75	4.6	24.55	47.33	5.91	20.51	36.63	20.14	25.15	4.65	9.24	6.67	10.84	7.85	5.56	6.47	136.43	19.47	5.29	19.51	20.15
Slc25a37	0.0	0.0	0.0	0.0	0.0	7.4	74.63	0.0	0.0	0.0	101.05	0.0	0.0	2.25	0.0	46.19	0.1	0.0	1.35	44.68	2.66	40.52	0.0	69.95	365.98	0.0	0.0	0.0	108.5	4.46	0.0	23.0	23.41
