	Calb2_tdTpositive_cell_2	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Cux2_tdTpositive_cell_6	Cux2_tdTpositive_cell_47	Cux2_tdTnegative_cell_4	Ndnf_tdTpositive_cell_21	Ndnf_tdTnegative_cell_7	Nr5a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_14	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_22	Rorb_tdTpositive_cell_50	Scnn1a.Tg2_tdTpositive_cell_20
Celf4	18.33	0.0	0.0	0.53	0.36	104.92	253.31	0.0	1.52	4.0	114.0	50.75	115.57	133.4	51.11	47.47	38.84	127.53	36.72	0.37	5.22	1.13	1.46	201.8	186.56	33.8	239.26	142.74
Dazap2	225.14	0.28	0.0	0.0	0.22	467.12	678.61	0.19	0.0	0.0	153.08	306.5	306.43	163.33	115.48	211.88	147.27	111.18	447.04	0.18	0.81	0.86	488.16	995.23	427.43	160.11	485.43	393.99
Ercc3	0.0	0.0	0.0	0.0	0.0	0.0	127.76	0.0	0.0	0.0	0.0	21.71	0.0	0.0	7.6	0.0	15.13	0.21	0.0	0.0	0.0	0.0	0.0	259.5	9.94	64.52	3.47	0.0
Fhl2	0.0	0.0	0.0	0.0	0.0	146.37	563.29	0.0	0.0	0.0	422.82	38.61	1.84	116.3	231.15	127.58	27.17	6.5	0.0	0.0	0.0	0.0	0.0	573.05	50.74	7.68	258.56	30.76
Fubp3	0.71	0.0	0.0	0.0	0.0	42.77	11.99	0.0	0.0	0.0	42.36	19.66	37.54	11.8	45.57	91.86	57.81	85.34	48.58	0.09	682.92	0.21	0.0	100.86	46.85	36.12	109.8	70.54
Gapvd1	0.07	0.0	0.0	0.0	0.0	0.25	109.29	0.0	0.0	35.26	30.78	33.68	8.53	43.72	33.19	67.93	35.81	0.09	13.56	0.0	254.62	1.67	0.0	92.24	32.07	68.19	3.4	42.55
Hddc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	142.03	32.35	55.81	1.2	98.99	219.39	79.61	0.0	0.0	0.0	0.0	263.71	68.46	136.44	0.0	87.31
Hnrnpul1	0.0	0.0	0.0	0.0	0.0	0.0	88.83	0.0	0.0	0.0	16.18	0.0	0.0	0.0	10.23	2.7	0.0	0.0	11.05	0.0	0.0	0.0	0.0	52.48	50.69	0.0	0.11	0.0
Ints12	0.0	0.0	0.0	0.0	0.0	9.89	36.26	0.0	0.0	0.0	0.43	0.0	0.63	25.16	0.0	0.27	0.0	3.31	1.47	0.32	0.24	0.78	0.0	123.16	0.0	0.0	0.11	0.0
Kcnb1	0.0	0.0	0.0	0.0	0.0	133.92	88.11	0.0	0.0	0.0	29.49	27.94	30.44	19.48	22.44	30.71	20.05	6.91	15.99	0.1	0.06	0.0	0.0	61.28	58.24	17.18	7.46	46.59
L3mbtl3	0.91	0.0	0.0	0.0	0.0	0.53	113.74	0.0	0.0	0.0	0.0	0.0	1.1	2.53	0.0	0.0	0.0	7.13	0.0	0.0	0.0	0.0	0.0	126.61	0.0	61.31	39.4	9.97
Lpgat1	0.0	0.0	0.0	0.0	0.0	23.15	79.26	0.0	0.0	0.0	176.99	25.19	57.55	42.88	24.43	0.91	83.01	50.42	22.0	0.14	0.51	0.11	0.0	88.27	48.47	2.91	93.32	56.32
Mir690	24444.4	18673.1	26828.41	14983.6	15929.17	25738.25	15465.67	9673.58	14765.71	22720.97	30464.78	30528.33	39867.27	42000.18	28695.45	37370.15	37614.4	24336.09	32522.04	27509.93	44948.68	42282.55	35532.88	14258.36	48007.3	20787.5	11506.21	23496.94
Mphosph9	105.7	0.0	0.0	0.0	0.0	36.18	0.0	0.0	0.0	0.0	0.47	0.04	0.79	9.56	0.0	18.77	3.98	9.65	8.47	0.13	20.51	0.0	0.0	69.28	0.0	23.89	47.69	86.18
Mrfap1	266.14	0.0	0.0	0.0	0.25	166.06	969.19	0.0	0.58	0.0	585.1	540.38	736.01	807.46	869.9	1437.15	1399.76	886.17	1249.43	0.4	295.79	0.96	498.41	1330.8	689.5	429.21	761.22	78.43
Neurl4	0.0	1.25	0.0	0.0	0.0	7.18	0.0	0.0	0.0	0.0	94.66	23.78	40.26	4.09	17.96	12.5	0.0	11.52	0.06	0.06	0.0	0.0	4.26	103.97	0.0	0.0	22.72	59.92
Ogt	0.49	0.09	0.0	0.12	0.0	161.81	357.34	0.0	20.37	0.0	26.43	247.07	190.26	194.47	81.76	409.53	170.76	351.79	255.36	0.3	649.76	0.43	0.0	606.35	23.47	224.14	237.5	315.45
Pcgf1	0.0	0.0	0.0	0.0	0.0	0.0	203.19	0.0	0.0	0.0	212.7	77.21	0.0	113.42	64.43	96.02	1.67	0.0	132.09	0.0	0.0	0.0	0.0	148.28	0.0	0.0	85.39	0.0
Pex26	0.0	0.0	0.0	0.0	0.0	2.05	30.15	0.0	0.0	8.37	0.0	0.0	0.0	3.2	0.0	0.0	1.02	0.0	1.73	0.0	0.11	0.0	0.0	83.89	29.18	0.0	0.0	5.51
Prep	0.0	0.0	13.35	0.0	0.0	0.0	228.68	0.0	0.0	0.0	0.0	0.25	38.43	0.13	9.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.68	0.0	0.0	5.18	0.18
Ranbp6	0.09	0.0	0.0	0.0	0.0	0.0	196.4	0.0	0.0	0.0	0.79	207.33	55.48	27.24	49.39	14.2	33.34	158.76	7.1	0.0	0.0	0.0	0.12	169.83	17.01	90.17	2.41	0.0
Rnf219	0.04	0.0	0.0	0.0	0.0	16.99	231.7	0.0	0.66	0.39	1.17	0.56	48.71	43.19	0.49	0.0	0.0	0.56	0.13	0.05	0.46	1.07	0.18	205.93	0.0	0.4	16.87	8.07
Strbp	123.18	0.1	0.32	0.22	0.25	139.36	361.07	0.0	1.11	241.14	108.88	215.31	187.76	226.09	111.62	206.83	169.2	281.42	153.28	3.33	104.14	1.65	2.99	315.13	311.79	195.12	293.27	19.32
Tmod1	12.31	11.12	6.68	2.43	5.02	98.88	154.82	0.0	5.31	0.0	31.17	19.19	16.96	50.08	135.45	94.58	83.84	155.13	40.55	15.5	2.41	7.44	3.99	182.48	21.81	143.65	161.13	165.46
Tmx3	0.0	0.0	0.0	0.07	0.0	44.09	140.85	49.31	0.0	0.0	1.11	84.99	24.17	46.95	4.28	12.56	42.99	170.58	5.68	0.07	0.16	0.0	0.0	218.97	67.63	107.39	213.2	139.57
Trim2	0.23	0.45	0.13	0.0	0.66	74.75	100.24	0.0	0.0	8.78	102.83	105.85	73.74	27.74	17.15	2.37	17.22	153.41	3.67	0.18	36.34	0.53	0.24	137.6	46.5	27.86	87.2	113.11
Zfp322a	28.05	1.38	24.7	2.4	0.0	3.25	132.46	0.0	6.55	0.9	0.27	103.06	45.69	2.86	2.81	63.74	79.92	49.82	1.96	3.43	4.03	5.83	3.99	155.93	39.32	4.11	0.98	14.37
