	Cux2_tdTnegative_cell_11	Htr3a_tdTpositive_cell_85	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_55	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_57	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_72	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12	Tac2_tdTpositive_cell_4
Dync1h1	0.0	0.15	13.97	19.77	52.91	17.76	26.45	15.79	18.52	46.51	11.69	36.23	27.31	10.14	7.67	6.36	10.27	36.02	33.16	41.9	14.64	23.66	15.34	24.17	0.05	39.66
Eef1a2	0.0	0.15	0.49	18.22	12.11	74.53	7.11	62.54	60.23	55.15	25.14	0.68	2.25	27.2	1.72	5.11	23.14	52.91	19.13	27.58	8.17	26.76	22.74	26.42	0.0	55.86
Eml5	0.0	9.76	0.0	17.73	38.12	0.03	4.92	27.18	5.76	2.83	5.75	13.55	0.22	16.28	4.68	0.0	0.97	37.21	1.05	80.15	11.08	13.39	10.83	16.1	0.0	12.09
Entpd4	1.05	0.0	0.0	57.33	61.83	73.97	66.68	19.42	24.77	84.52	53.45	53.53	69.45	4.94	21.14	83.51	32.18	140.82	31.17	76.16	0.61	112.83	92.85	54.61	0.0	56.16
Fam158a	0.0	8.05	7.83	29.75	59.56	49.47	70.24	89.3	100.23	247.43	0.58	0.0	87.6	56.14	60.14	64.11	0.33	101.44	47.85	280.99	60.72	141.78	51.72	16.01	0.0	191.66
Fam43b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.49	5.68	0.0	1.75	0.19	1.74	0.0	0.0	3.81	0.0	0.0	22.51	0.65	0.0	0.17	4.28	0.0	28.39
Fundc1	0.0	174.94	105.86	88.32	114.15	144.01	115.4	287.35	88.43	319.14	60.11	48.14	42.16	190.19	79.32	192.13	201.85	534.5	125.43	401.94	78.0	82.47	13.13	131.85	16.57	287.72
Gm10791	2.01	1.56	2.27	5.36	2.31	2.8	3.32	4.26	4.15	2.07	3.9	4.14	2.24	3.82	2.33	3.99	3.51	3.9	3.84	11.39	3.48	5.93	1.99	5.61	2.62	15.55
Gm13306	0.0	2.09	0.0	0.0	3.31	0.76	0.0	2.62	8.14	0.3	0.0	0.0	2.04	0.26	1.44	0.0	2.37	2.94	0.0	4.94	0.74	2.17	0.0	9.34	0.0	2.72
Gm2506	0.0	2.09	0.0	0.0	3.31	0.76	0.0	2.62	8.14	0.3	0.0	0.0	2.04	0.26	1.44	0.0	2.37	2.94	0.0	4.94	0.74	2.17	0.0	9.34	0.0	2.72
Gm7334	0.0	0.0	0.0	0.0	0.0	0.0	34.25	0.0	5.56	23.54	36.45	0.0	0.0	0.0	0.88	0.0	0.0	1.47	0.0	74.15	0.28	19.91	0.0	0.0	0.0	62.08
Gm833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.29	0.0	0.0	0.0	0.15	0.0	0.0
Grhl3	0.0	0.0	0.0	0.23	0.0	18.33	0.0	0.0	2.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.76	0.0	0.0	0.51	0.0	0.0	78.07
Grik1	0.0	3.63	0.0	17.72	54.5	157.61	6.5	4.21	35.75	5.43	0.0	0.0	0.0	0.0	0.0	9.15	0.0	2.39	13.1	127.0	30.74	51.6	8.89	0.0	0.0	6.22
H2afy	0.0	81.26	5.15	41.64	28.15	28.1	8.0	29.54	41.28	26.26	16.16	53.6	7.58	5.4	32.0	25.49	30.13	42.45	58.31	117.97	34.52	36.02	31.92	60.79	0.0	110.11
Ldhb	4107.23	8550.52	10118.08	10165.1	11261.44	10004.69	13571.31	12546.17	11010.48	7057.76	7891.81	7750.55	7070.46	7124.4	6379.79	7194.73	9082.37	7928.56	7910.47	7322.67	8351.44	7830.1	8111.86	11746.38	5577.5	3870.23
Mapk1	0.0	50.53	2.9	26.86	111.04	35.12	40.13	12.69	82.85	26.35	7.61	15.4	25.42	0.0	28.93	17.44	77.72	53.42	22.64	125.86	30.82	81.15	63.82	31.05	0.0	30.33
Myt1l	0.0	16.4	14.01	5.86	52.64	45.86	12.74	12.04	2.52	66.68	17.46	9.11	72.1	11.33	13.88	37.63	16.36	1.25	20.08	176.24	25.57	13.53	9.95	56.26	0.0	106.57
Ncapd3	0.0	0.0	0.0	0.82	60.92	14.46	10.14	13.66	38.98	19.93	4.91	0.33	5.6	26.58	0.0	14.04	12.31	0.0	11.6	33.77	0.07	25.17	0.0	9.48	0.0	29.25
Nrf1	0.0	0.86	29.01	1.46	2.53	0.0	0.11	3.56	0.22	5.37	0.73	44.87	2.73	0.0	0.7	0.65	0.75	1.45	0.28	83.57	0.29	0.61	0.24	1.19	0.84	5.25
Nub1	0.0	0.0	94.83	40.6	67.78	90.99	34.18	5.25	2.18	78.99	31.32	59.57	44.59	64.5	65.68	4.35	2.45	17.01	0.0	118.28	0.0	86.99	30.89	33.74	0.0	122.38
Oas3	2.21	3.62	1.39	1.24	2.57	2.48	0.73	1.34	2.92	6.04	3.36	0.82	2.73	1.83	0.99	4.24	1.44	5.27	2.39	4.06	2.29	3.3	2.45	2.34	0.11	3.29
Olfr613	15.93	21.44	2.28	52.52	77.59	72.69	37.29	47.57	56.41	67.57	58.37	53.81	60.49	70.55	56.71	41.72	31.32	72.71	60.42	75.96	57.23	65.5	64.69	62.68	23.98	84.86
Olfr94	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.1	0.32	0.0	0.0	0.0	0.0	0.0	0.55
Pnpla6	0.0	3.44	0.0	1.16	2.17	12.0	0.37	0.46	0.12	27.68	37.57	3.79	0.2	12.57	0.17	0.0	6.54	55.38	11.64	25.12	0.08	42.69	18.13	28.06	0.0	7.07
Ppp1r16a	0.0	0.0	0.0	1.49	28.02	0.0	2.86	26.81	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.37	10.2	0.0	0.55	0.0	0.0	0.0	10.17
Ppp2r3c	0.0	0.0	4.01	87.3	0.16	4.14	52.01	69.97	4.23	43.26	8.91	46.3	35.07	6.58	0.0	69.94	97.36	184.59	48.56	166.91	4.17	85.38	31.0	49.3	0.0	52.49
Pvrl1	0.0	4.24	0.0	0.89	0.0	0.0	4.31	6.0	0.74	9.69	0.0	1.17	0.0	0.22	0.0	0.07	0.44	0.0	0.0	17.06	0.07	0.14	0.0	3.09	0.0	8.13
Rabgap1	0.0	10.47	0.89	45.26	48.4	64.87	39.42	73.64	6.45	43.29	32.67	35.19	62.26	48.23	45.82	11.77	45.31	120.73	33.39	171.04	129.36	2.97	21.32	38.92	0.0	153.67
Rtp3	0.0	0.0	0.3	0.8	1.07	0.13	1.93	2.39	1.32	0.41	0.03	0.0	0.56	1.84	0.0	0.0	0.51	3.06	0.16	4.48	0.61	0.15	3.17	0.0	0.28	2.78
Sars	215.25	135.29	529.22	305.02	515.93	320.78	222.17	223.05	223.59	182.97	215.72	166.98	316.26	284.4	184.45	104.08	187.31	177.6	385.51	477.35	191.28	402.69	273.12	383.71	0.19	307.29
Scmh1	0.0	0.0	0.0	0.0	0.0	38.34	1.25	0.56	0.0	21.33	0.0	8.72	0.95	0.0	0.0	0.0	26.99	63.99	0.0	138.06	19.47	0.0	0.0	0.07	0.24	49.12
Sec22a	0.0	0.0	49.86	0.0	0.0	24.89	14.52	13.92	0.0	40.92	0.0	0.0	0.0	0.0	0.0	0.0	0.75	4.08	0.0	38.91	0.0	0.0	30.45	13.89	0.0	49.06
Shoc2	0.0	76.36	101.61	42.88	8.44	89.74	28.36	52.16	25.89	59.56	0.0	4.02	4.81	25.24	3.19	4.52	100.29	51.35	42.04	223.3	7.26	25.79	12.16	16.07	0.0	5.38
Slc12a5	0.0	1.91	27.63	33.88	7.6	38.34	41.02	14.95	16.82	35.73	7.66	25.12	24.34	22.55	18.39	11.55	14.52	22.96	43.99	59.52	8.72	60.61	35.54	23.71	0.0	89.03
Slc16a10	12.04	29.85	1.09	33.17	27.13	40.26	36.79	36.73	25.09	30.62	14.94	21.18	17.45	23.56	24.51	11.26	9.59	45.51	42.54	84.18	39.24	15.44	36.8	47.95	1.4	75.84
Tmx4	0.0	338.73	157.79	214.55	114.72	172.02	146.04	30.03	297.24	148.61	115.79	191.15	180.28	185.07	295.44	383.75	134.92	185.2	194.65	410.97	337.76	135.41	182.2	173.67	0.04	360.23
Vti1a	0.0	0.0	0.0	0.0	0.87	15.26	5.52	22.57	0.0	0.0	0.0	0.0	11.11	35.4	0.0	1.96	25.08	59.21	2.27	91.98	0.0	23.63	0.0	30.29	0.0	59.84
Wbp2	0.0	430.02	295.64	234.1	430.99	454.86	278.01	411.24	419.9	442.82	321.17	400.09	496.01	412.31	376.8	435.19	397.46	316.27	294.26	852.78	227.4	561.8	514.32	522.07	0.38	664.08
Zfp54	0.0	0.0	0.0	0.0	0.0	0.12	0.36	0.0	0.0	0.16	0.52	0.18	0.0	0.0	0.0	0.0	0.0	1.55	0.31	2.71	0.0	0.0	0.14	0.15	0.0	0.0
Zfp87	0.0	1.26	45.52	46.03	0.14	107.4	1.61	0.3	0.0	14.92	18.52	0.62	14.66	2.74	2.4	0.0	0.09	46.17	1.31	114.92	21.08	60.01	77.73	37.8	0.0	381.82
c3_tRNA-Ala-GCY_	0.0	0.0	0.0	0.0	14.77	0.0	0.0	0.0	83.87	12.83	51.85	14.57	47.9	0.0	36.86	31.69	0.0	25.72	16.96	95.5	22.44	63.83	0.92	33.82	0.0	24.6
