	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbF.Gad2_tdTpositive_cell_67	Scnn1a.Tg3_tdTnegative_cell_21	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Hsf4	0.0	0.0	0.0	13.92	17.21	16.08
Iffo2	0.63	2.2	0.0	12.79	12.86	11.38
Isyna1	0.0	0.0	0.0	42.7	49.4	42.19
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Klrg2	0.0	0.0	0.0	0.35	0.19	0.22
Kpna6	20.78	12.05	0.0	51.29	52.26	49.38
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lect1	0.0	0.0	0.0	1.18	1.7	1.15
Med16	2.19	2.33	0.71	41.23	46.11	45.2
Mmp12	0.0	0.0	0.0	0.03	0.0	0.0
Mta3	0.4	1.62	0.0	54.23	51.62	59.95
Nsmaf	5.19	0.0	0.0	26.73	26.11	27.37
Otud3	0.0	0.0	0.0	19.9	17.03	16.8
Pafah1b2	36.37	64.3	0.0	128.29	128.62	122.77
Pcdh20	0.0	0.0	0.0	18.14	16.79	19.2
Pcdhb7	0.0	0.0	0.0	5.32	5.9	5.68
Pdzd9	0.0	0.0	0.0	0.15	0.22	0.87
Pira2	0.0	0.0	0.0	0.06	0.1	0.0
Plcb2	0.0	0.0	0.0	1.79	1.79	1.67
Polh	0.0	0.0	0.0	4.36	4.58	4.46
Ppp1r12b	11.79	16.25	5.8	52.73	42.74	52.78
Ppp1r9b	0.0	0.99	0.0	507.05	542.75	527.15
Rhov	0.0	0.0	0.0	9.85	11.55	10.85
Rttn	0.0	0.58	0.0	2.32	2.13	2.36
Sirpa	163.72	96.22	142.1	282.2	280.59	287.89
Slc25a29	0.0	0.0	0.0	14.8	17.46	16.16
Slc26a2	0.0	0.0	0.0	4.96	4.27	3.18
Slc7a8	13.06	2.89	0.0	52.53	53.6	51.77
Slco5a1	0.0	0.0	0.0	1.95	1.68	1.73
Snora7a	0.0	0.0	0.0	13.75	16.94	9.83
Snord12	0.0	0.0	0.0	3.36	3.16	0.0
Srl	0.0	0.0	0.0	4.49	4.4	4.45
Sufu	0.0	0.0	0.0	9.27	11.11	9.53
Tagln	0.0	0.0	0.0	10.21	9.75	9.02
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tceal3	35.22	53.57	0.0	171.08	175.14	165.4
Tcte2	0.0	0.0	0.0	2.06	2.81	2.27
Tmem150b	0.0	0.0	0.0	1.08	0.8	1.42
Tmem30a	55.45	75.3	0.0	311.87	297.75	306.82
Tmod4	0.0	0.0	0.0	0.16	0.3	0.25
Trp53bp2	2.33	0.0	0.0	18.69	19.47	17.47
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Ube2d2	0.0	0.0	0.0	136.0	140.14	137.32
Usp44	0.0	0.0	0.0	0.07	0.0	0.14
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Wwc2	0.0	0.0	0.0	21.83	23.54	22.9
Zfhx2	0.0	0.0	0.0	24.18	22.92	24.02
Zfpm1	0.0	0.0	0.0	20.08	22.49	24.12
Zhx3	0.0	0.0	0.0	18.29	18.18	19.18
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	21.4	9032.87	8417.95	8583.15
