	PvalbF.Gad2_tdTpositive_cell_49	PvalbF.Gad2_tdTpositive_cell_53	PvalbF.Gad2_tdTpositive_cell_64	PvalbF.Gad2_tdTpositive_cell_71	PvalbF.Gad2_tdTpositive_cell_72	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Fbxo32	0.83	47.95	1.0	13.89	1.51	11.67	10.29	12.21
Fgf7	0.0	0.32	0.0	0.0	0.0	0.71	0.59	0.53
Gm10536	0.0	0.1	0.0	0.0	0.0	0.09	0.02	0.07
Gm13031	0.0	26.81	0.0	0.0	0.0	1.85	2.88	2.95
Gm13157	0.99	45.1	0.4	1.33	0.0	2.87	1.58	2.37
Gm13547	0.0	12.37	0.0	0.0	0.0	1.53	1.58	1.37
Gm16497	0.0	0.12	0.0	0.0	0.0	0.03	0.12	0.07
Gm16845	0.0	58.17	0.0	0.0	0.0	1.27	1.12	1.83
Gm19461	0.0	7.98	0.0	0.0	1.41	0.92	0.86	1.05
Gm2002	0.0	0.08	0.0	0.0	0.0	1.73	1.86	1.4
Gramd3	0.0	2.77	0.0	0.0	0.0	18.19	16.7	19.02
H2afy2	1.65	29.49	0.0	1.74	0.0	22.65	23.18	22.58
Helq	0.42	12.33	0.0	8.49	0.0	10.46	10.37	11.64
Htr2b	0.0	2.88	0.0	0.0	0.0	0.24	0.09	0.49
Il11ra2	0.0	0.08	0.0	0.0	0.0	1.73	1.86	1.4
Ipmk	0.0	37.58	0.0	0.0	0.0	18.47	19.5	17.24
Itga9	0.0	29.36	0.0	0.0	0.0	3.97	3.89	3.97
Josd1	0.11	80.38	0.0	9.24	0.0	70.51	68.79	66.56
Lck	0.0	44.2	0.0	0.0	0.0	1.82	1.58	1.13
Lrrc47	0.0	35.89	0.0	0.84	0.0	38.19	42.67	38.86
Lrrc55	0.0	16.04	0.0	0.0	0.0	21.18	20.37	21.13
Magel2	0.0	0.07	0.0	0.0	0.0	1.85	2.3	2.15
Mark3	0.0	62.23	4.72	1.95	2.73	55.66	56.39	54.97
Mboat2	0.0	73.3	0.0	18.61	0.0	27.87	24.97	28.18
Mex3d	0.0	8.94	0.0	0.0	0.0	12.54	16.17	13.63
Mir378b	0.0	67.87	0.0	0.0	0.0	0.84	0.0	9.13
Mpnd	13.34	91.97	0.0	49.43	0.0	75.09	82.06	72.83
Mrm1	9.81	46.95	0.0	0.33	0.0	13.4	14.24	14.7
Myh7b	0.0	0.48	0.0	0.0	0.0	3.51	3.82	3.92
Mzf1	0.0	13.62	0.0	0.0	0.0	7.24	6.89	7.69
Naif1	0.0	11.31	0.0	0.0	0.0	2.1	1.91	2.3
Nanos1	1.29	42.09	0.0	7.76	0.0	20.06	21.81	19.83
Neb	0.1	10.12	0.11	1.41	0.0	0.31	0.28	0.36
Nefm	0.0	63.37	5.23	0.0	58.53	170.79	173.01	185.04
Nfxl1	0.0	29.83	0.0	0.0	0.0	7.5	8.4	7.55
Noto	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0
Nudt22	54.52	188.99	0.0	0.0	0.0	7.69	11.25	9.19
Olfr543	0.0	71.92	0.0	0.0	0.0	0.27	0.59	0.37
Osbpl6	3.21	56.23	10.38	0.05	0.0	31.02	26.51	27.24
Pard3b	0.0	1.99	0.0	0.09	0.06	1.31	1.39	1.4
Pcdhb16	2.06	72.19	0.0	0.0	0.0	5.23	4.06	5.55
Pcdhb2	0.0	15.25	0.0	0.0	0.0	2.62	2.61	3.14
Pcgf2	0.0	12.31	0.0	0.0	0.0	25.16	26.18	25.53
Phf1	0.16	3.85	0.0	0.0	0.0	39.84	41.18	38.9
Pkmyt1	0.0	12.21	0.0	0.0	0.0	5.41	6.51	5.69
Plekhb1	0.0	61.98	0.0	0.0	0.0	297.36	295.72	317.45
Pnpla2	0.0	63.53	19.75	0.0	0.0	13.47	16.31	13.59
Pofut2	1.06	61.37	0.0	0.0	0.0	25.48	25.46	22.47
Pphln1	13.9	64.81	3.64	6.44	1.5	29.13	25.73	26.27
Preb	21.3	35.81	0.0	0.66	0.07	31.97	33.28	32.16
Rassf2	0.09	1.32	0.0	0.08	0.2	29.35	29.69	31.74
Rassf6	0.0	62.39	0.0	0.0	0.0	0.81	0.67	0.94
Rps15a	27.73	66.51	8.38	3.42	23.98	51.8	52.3	52.1
Rrbp1	0.0	18.14	0.0	1.22	4.22	23.81	23.26	26.28
Setdb2	0.0	8.91	0.0	0.0	0.0	4.51	3.09	3.95
Shroom4	0.0	0.09	0.0	0.0	0.0	2.7	1.71	2.7
Slc16a4	0.0	15.18	0.0	0.0	0.0	4.84	3.26	5.75
Slc26a6	0.0	35.94	0.0	0.0	0.0	5.11	6.24	5.68
Slc39a7	0.0	81.44	0.0	1.95	0.0	82.77	89.91	87.1
Sly	0.0	0.97	0.0	0.0	0.0	0.0	0.0	0.0
Sned1	0.0	3.38	0.0	0.0	0.0	5.35	4.09	5.84
Snip1	0.0	17.73	0.0	0.0	0.0	13.26	14.96	12.39
Solh	0.0	3.72	0.0	0.0	0.0	29.12	31.21	32.67
Stat5a	0.0	0.07	0.0	0.0	0.0	0.96	0.83	1.11
Tbx22	0.0	19.49	0.0	0.0	0.0	0.15	0.13	0.14
Tcn2	0.0	6.94	0.0	0.0	0.0	17.46	16.1	18.58
Tctn1	0.0	32.04	0.0	0.0	0.0	11.7	11.9	11.1
Tdrd3	29.22	118.11	1.49	0.0	0.0	15.21	14.46	16.58
Tgfb2	0.0	18.29	0.0	0.0	0.0	8.68	7.93	8.15
Thg1l	0.0	51.76	0.0	0.0	0.0	11.86	9.81	9.69
Ticam2	0.0	0.1	0.0	0.0	0.0	0.76	0.57	0.44
Tpst2	0.0	23.84	0.0	0.0	0.0	32.37	33.75	31.49
Trappc10	0.38	22.6	0.0	0.0	0.57	53.83	56.97	56.18
Trib2	0.0	0.4	0.0	0.0	0.0	29.1	25.99	14.95
Trmt61a	0.19	10.93	0.18	0.0	0.37	17.07	18.47	18.67
Txlna	0.34	21.49	0.0	0.92	0.0	30.84	31.54	29.7
Unc5b	0.06	16.88	0.0	0.07	0.0	13.9	14.29	16.85
Unk	0.1	23.91	0.0	0.0	0.19	15.06	16.53	17.51
Zc3h3	0.12	18.83	0.0	0.61	0.0	14.15	15.64	16.44
Zcchc3	0.0	28.58	0.0	1.19	5.2	8.99	9.61	10.94
Zfp319	0.0	17.3	0.0	0.0	0.0	12.77	14.21	14.02
Zfp418	0.0	16.79	0.0	0.0	0.0	2.49	2.75	2.68
Zfp523	0.0	70.27	0.0	11.16	0.0	73.98	81.45	78.39
Zfp595	0.0	10.01	0.0	0.0	0.0	2.09	1.48	1.71
Zfp600	0.0	0.26	0.0	0.0	0.0	0.01	0.02	0.11
Zfp653	0.19	12.13	0.0	0.0	1.05	18.56	21.26	19.22
Zfp710	0.26	11.51	0.0	0.0	0.0	10.96	10.61	11.25
Zfp771	0.0	6.72	0.0	0.0	0.0	49.36	68.79	59.63
Zfp953	0.2	2.98	0.0	0.41	0.0	1.22	0.7	1.3
mt_AK131586	0.0	0.48	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK143357	0.0	1.96	0.0	0.0	0.0	2324.22	1112.25	1527.41
mt_AK166684	0.0	10.48	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	11.08	0.0	0.0	0.0	9032.87	8417.95	8583.15
