	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_78	Nkx2.1_tdTpositive_cell_23	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_45	Ntsr1_tdTnegative_cell_56	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_56	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_20	PvalbF.Gad2_tdTpositive_cell_29	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Kif13a	54.85	0.0	0.0	0.0	0.0	0.0	2.62	0.0	0.0	0.0	0.0	13.75	0.0	13.91	12.9	14.69
Kif1c	0.0	0.0	0.26	0.0	0.44	0.0	0.0	6.14	0.0	0.0	0.0	8.64	3.06	43.8	44.6	46.11
Krtap5-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0
Lingo2	0.0	0.0	0.0	0.0	2.33	0.0	0.0	0.0	0.0	0.0	1.16	18.18	0.0	16.19	15.98	15.78
Lpp	0.32	0.0	5.74	18.39	0.67	3.48	2.07	14.94	10.28	1.13	1.22	25.49	0.49	2.8	2.71	3.18
Mag	0.0	0.0	0.0	0.0	0.09	0.0	0.25	0.43	0.0	0.0	0.0	0.44	0.0	156.29	172.93	174.99
Mir153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.21	0.0	0.0	0.0	0.0
Myo1c	4.62	0.0	2.63	1.36	0.14	2.17	2.13	0.21	0.16	1.02	0.87	14.81	1.04	11.94	10.43	9.49
Ntrk3	0.0	0.0	303.98	0.0	1.66	0.0	0.0	0.0	0.0	78.27	65.21	215.59	53.61	58.9	50.57	64.35
Ocln	0.0	0.0	0.0	0.0	2.77	0.0	0.18	0.0	0.0	0.0	0.0	0.0	34.54	6.62	6.16	5.9
Olfr1167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0
P4ha1	202.61	0.0	33.41	19.49	0.42	0.0	10.32	1.29	0.0	10.38	5.27	43.63	0.23	30.0	28.35	25.94
Pak3	0.0	0.0	22.51	0.0	0.08	0.0	0.0	0.38	8.8	51.55	9.65	107.96	30.92	40.52	37.21	40.2
Papolb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.34	0.2	0.22
Pccb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	0.0	0.13	58.92	33.67	1.67	52.47	59.94	53.04
Pcdha7	0.0	0.0	0.01	0.0	0.11	0.0	0.0	0.0	2.19	0.0	0.0	76.4	0.0	4.95	6.18	4.71
Prr22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.83	0.0	1.48	0.91	1.61
Prrt4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.85	0.0	2.85	3.2	3.54
Prtn3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.17	0.0	2.5	1.87	1.79
Qtrt1	0.0	0.0	0.76	29.45	0.0	0.0	0.0	1.63	0.64	12.93	0.0	203.77	28.79	16.68	16.92	15.02
Rab36	0.0	0.0	0.0	0.0	0.0	0.0	984.83	0.0	0.0	0.11	0.0	58.69	0.0	25.79	24.56	26.37
Ramp1	2.03	0.0	0.39	62.71	30.0	0.31	0.0	33.45	0.0	0.0	0.0	30.6	26.97	46.29	49.4	47.35
Rasgrp2	0.0	0.0	2.26	0.0	0.1	0.0	0.0	0.0	0.0	0.0	3.98	30.08	0.0	46.32	47.26	41.72
Rcl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	69.41	0.0	18.35	20.3	15.53
Rgs22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93	0.0	0.49	0.55	0.48
Rhog	478.61	0.28	0.0	2.8	0.0	0.0	0.0	1.71	0.0	0.0	0.0	77.48	0.0	34.59	32.35	36.77
Rs1	0.0	0.0	1.02	0.1	0.0	0.34	1.23	0.67	0.43	0.62	0.09	2.37	0.08	0.38	0.44	0.32
Scd1	281.78	0.0	0.0	3.1	5.6	0.0	0.0	0.0	0.0	0.0	0.0	30.56	0.1	100.21	100.65	111.27
Sco2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88	193.27	0.0	13.59	14.84	13.61
Scrib	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.02	1.81	0.43	21.03	23.38	23.64
Sema4g	0.0	0.0	0.0	1.83	0.3	0.0	0.0	0.0	0.19	0.4	4.95	17.34	0.22	15.72	16.16	16.98
Sf3b4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63	12.91	19.41	16.23	27.07	0.0	42.8	47.56	43.7
Sik1	0.0	0.0	0.0	1.65	0.14	0.0	0.0	0.0	0.0	0.25	0.0	13.02	0.84	15.4	13.82	5.32
Sla	0.0	0.0	0.0	0.0	107.45	0.0	0.0	0.0	0.0	0.0	0.0	54.89	0.0	9.77	9.81	9.02
Snx3	0.0	0.0	7.32	120.0	4.14	9.22	0.0	1.56	6.78	104.56	60.49	234.3	159.4	199.19	212.67	201.48
Snx31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.21	0.04	0.3
Socs5	0.0	0.0	100.06	42.51	53.44	0.0	0.0	0.47	2.25	34.64	41.61	136.1	15.06	78.77	76.93	70.24
Srrm3	0.0	0.0	0.0	1.8	8.72	0.0	0.0	0.0	0.0	0.0	0.0	10.78	1.45	33.91	36.39	36.64
Syt14	0.0	0.0	0.0	0.0	0.88	0.0	0.0	0.0	0.0	0.0	1.25	32.15	0.0	7.99	7.69	9.84
Tbc1d22a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.89	0.0	34.58	0.0	29.09	28.2	27.61
Thy1	0.0	0.0	163.41	28.44	29.72	0.0	0.0	1.23	49.49	40.45	150.65	67.55	68.25	659.66	677.75	653.67
Tnc	0.0	0.0	0.0	37.8	0.03	0.0	0.0	0.0	0.0	0.0	0.0	1.26	0.0	2.22	1.95	2.62
Tob2	36.29	0.0	0.25	18.63	0.0	150.13	0.0	8.1	0.0	0.0	0.0	0.0	0.12	22.9	23.09	15.82
Uts2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.17	0.0	0.97	0.55	0.8
Wdr65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.7	19.37	0.0	1.05	0.69	0.84
Wfdc12	0.0	0.5	0.0	0.0	0.0	2.25	5.08	1.58	0.0	0.0	0.0	0.8	0.0	0.14	0.0	0.14
Wfikkn1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.09	0.0	0.19	0.48	0.32
Xrcc6bp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.32	65.27	0.0	9.32	11.59	11.36
Zbtb9	0.0	0.0	4.58	0.0	0.15	1.98	0.51	1.31	0.07	0.83	0.26	42.58	0.33	15.69	14.88	16.7
Zdhhc9	3.06	0.0	0.0	76.67	2.77	0.0	0.25	3.5	11.91	4.08	0.0	25.32	2.82	47.74	47.8	47.1
Zer1	0.0	0.0	0.24	7.12	2.86	0.0	2.06	11.96	2.42	15.74	20.6	20.67	12.01	115.55	119.32	119.75
Zfp651	0.0	0.0	0.0	0.09	2.87	0.0	0.0	0.0	7.24	7.74	0.89	17.5	10.6	37.72	38.58	36.99
mt_AK131586	0.0	0.0	0.0	0.03	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK144853	1732.81	3087.33	4603.1	2796.77	3536.4	1771.81	4827.32	3982.6	1204.12	1424.28	1569.68	2852.3	3465.77	10748.58	9082.92	10224.83
mt_AK153847	866.45	816.2	271.4	3201.1	735.44	2014.98	2720.0	942.18	442.34	1273.03	958.81	984.79	1391.4	7244.76	6702.54	7355.06
mt_AK166684	0.0	0.0	0.0	0.0	19.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	0.0	6.56	0.0	0.0	0.0	0.0	0.0	19.4	0.0	0.0	9032.87	8417.95	8583.15
