	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_43	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_43	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_74	PvalbF.Gad2_tdTpositive_cell_77	Rbp4_tdTpositive_cell_51
Kctd2	0.0	0.0	0.0	0.0	0.0	133.32	0.0	0.0	29.96	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.62	0.0	0.7	3.09	0.0	50.8	18.79	21.93
Ldhb	7486.96	8138.08	8970.97	5274.92	4046.54	9309.63	5876.73	5600.23	10118.08	10894.4	8892.3	8217.62	9220.91	9343.6	8808.99	10165.1	11261.44	10004.69	9074.03	13571.31	12546.17	11010.48	10182.84	5877.43	8351.44	11746.38
Lgals8	0.0	0.1	0.09	0.0	0.0	178.3	0.0	0.0	67.18	1.03	52.36	46.9	80.95	14.56	3.81	33.07	88.55	0.0	21.74	91.92	0.73	61.55	64.89	180.86	88.53	22.06
Lmln	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.96	0.0	0.13	0.0	0.52	0.0	0.63	0.0	0.0	4.66	0.0	0.0	0.78	0.0	2.02	1.25	0.0
Lrfn5	0.0	0.95	0.0	0.0	0.0	0.51	0.0	0.0	0.0	0.64	0.0	1.74	0.0	1.16	31.65	1.21	6.57	9.5	1.14	15.35	29.98	0.0	6.75	136.32	46.08	12.3
Myo7a	0.0	0.0	0.0	0.0	0.0	2.35	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	24.6	0.0	9.83
Nbn	0.0	0.55	0.0	0.0	0.0	33.67	0.0	0.0	97.91	79.59	64.14	32.22	0.64	70.72	22.63	3.13	6.3	40.74	12.66	0.0	79.53	0.0	3.08	230.88	9.55	28.34
Nefh	0.0	0.41	14.03	0.0	0.0	23.98	0.0	0.0	8.49	90.01	48.3	82.42	89.63	70.19	75.69	90.31	16.51	44.52	145.17	233.76	107.74	61.11	133.09	69.48	62.19	116.26
Nova1	0.0	3.52	9.54	0.0	0.0	24.86	0.0	0.2	27.49	1.55	3.15	36.26	16.37	1.38	1.64	4.94	0.0	19.79	12.64	18.45	2.25	3.27	20.64	66.5	15.68	9.3
Papola	0.0	0.06	0.05	46.39	0.0	62.48	0.06	0.0	0.33	30.48	7.29	19.17	24.68	66.34	45.49	14.81	92.33	17.69	25.32	28.63	54.54	51.02	48.3	80.06	0.83	18.32
Peg13	0.0	0.0	70.49	0.0	0.0	104.76	0.0	0.0	89.84	72.79	75.3	96.44	90.29	98.75	55.07	115.76	130.57	40.04	95.82	51.63	52.35	37.79	54.67	122.99	88.17	89.18
Ptp4a1	1.93	0.79	0.48	0.0	0.36	216.93	1.91	9.83	107.44	20.18	223.77	25.37	29.89	88.34	21.03	351.65	0.65	81.45	101.47	88.56	58.88	143.72	32.88	409.2	101.77	246.7
Rp9	0.0	0.35	10.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.29	0.0	0.0	8.21	6.4	11.37	19.39	8.03	12.55	37.99	4.9	79.71	25.54	0.0
Rpusd1	31.55	1.79	124.1	0.0	0.0	145.23	0.0	0.0	99.54	71.36	1.37	20.1	39.03	64.25	38.3	77.25	0.0	110.3	107.21	37.85	60.75	56.78	42.74	260.87	0.0	15.5
Slitrk4	0.0	0.0	0.37	0.0	0.0	1.44	0.0	0.0	48.65	26.06	60.88	74.97	5.19	22.74	19.07	55.24	84.7	54.47	6.5	18.66	97.57	30.64	61.48	163.39	39.8	15.81
Taf6	0.0	0.0	161.17	0.0	0.0	49.79	0.12	0.0	0.0	36.26	149.34	34.57	63.1	38.76	8.1	0.0	22.0	0.27	125.0	45.11	36.79	0.72	54.12	147.0	79.78	57.89
Tsga10	0.0	0.0	13.21	0.0	0.0	0.0	100.99	0.0	0.0	42.97	15.57	7.66	2.55	8.9	0.89	1.71	2.84	0.0	0.0	8.71	11.96	11.85	25.67	78.56	0.0	0.0
Ttc39b	0.11	25.26	0.62	0.04	0.64	19.05	0.31	0.3	20.78	9.06	32.0	24.16	7.65	52.58	41.58	127.2	17.16	9.47	51.74	43.62	22.44	5.23	19.09	216.61	25.66	105.42
Ugcg	0.27	4.46	20.66	0.0	0.0	64.3	0.15	0.0	2.86	8.14	23.86	53.22	59.28	36.67	13.74	59.25	51.59	41.87	93.09	61.68	73.51	40.02	2.51	75.14	81.89	85.21
Unc13a	0.0	1.02	1.71	0.17	0.0	16.75	0.0	0.0	1.17	4.08	8.49	5.4	2.45	1.55	2.32	4.59	1.02	3.23	2.66	3.02	1.97	7.28	2.69	57.28	10.6	1.86
Wdr82	0.0	0.0	156.92	0.0	0.0	2.92	0.0	51.21	0.57	42.77	63.62	56.27	40.53	4.37	83.72	135.03	11.88	25.63	73.36	31.71	18.7	23.08	36.38	297.24	12.39	35.8
Zkscan1	0.0	47.65	36.18	0.06	0.08	47.66	0.0	0.0	19.7	14.78	19.72	61.97	73.24	46.16	48.15	42.68	4.62	73.3	66.13	16.49	53.58	23.57	24.12	134.72	70.48	65.17
