	Ctgf_tdTpositive_cell_3	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_73	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Snora3	0.0	0.0	0.0	0.0	1.1	3.63
Spag1	0.0	0.0	0.0	10.31	9.19	9.88
Syap1	0.0	24.93	20.45	34.59	32.47	30.63
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tchh	0.0	0.0	0.0	4.44	4.56	4.25
Thsd4	0.0	0.0	0.1	5.71	5.9	4.72
Tmem165	0.22	0.0	8.66	31.05	35.36	33.4
Tmem63b	0.0	3.3	4.38	111.16	115.98	115.3
Tomm40	0.0	29.53	0.0	93.49	106.06	97.58
Trafd1	0.0	0.0	0.0	56.12	57.23	50.58
Trerf1	0.0	0.89	0.56	22.57	21.09	25.93
Trim43c	0.0	0.0	0.0	0.18	0.33	0.57
Trim8	0.0	0.6	28.51	48.16	53.92	51.73
Tst	0.0	0.0	0.0	34.28	42.25	43.29
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Ubp1	0.0	38.18	1.51	84.24	79.21	79.47
Uhrf2	0.0	0.0	0.0	35.57	35.25	33.15
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Wdr19	0.0	0.0	0.0	15.07	14.51	14.8
Zbtb49	0.0	0.0	0.0	8.16	8.77	8.86
Zfp592	0.0	0.0	0.0	12.49	12.94	12.51
Zfp654	0.0	0.0	1.53	12.06	10.24	11.52
Zfyve21	0.0	0.0	0.0	19.72	20.37	19.42
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
cm_LSU-rRNA_Hsa	295.85	0.0	0.0	95.86	58.43	8.85
mt_AK131586	6370.03	0.0	0.0	25813.35	24091.17	24561.45
mt_AK140300	0.0	0.06	0.0	1475.61	1565.1	1568.58
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	9.1	9032.87	8417.95	8583.15
