	Pvalb_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_23	Tac2_tdTpositive_cell_8	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Gm884	0.0	0.0	0.0	0.02	0.02	0.0
Gm9920	0.0	0.0	0.0	0.97	2.11	1.09
Gpr119	0.0	0.0	0.0	0.04	0.04	0.0
Gpr27	0.0	0.0	0.0	18.8	30.35	29.88
Gpr84	0.0	0.0	0.0	1.74	1.27	1.39
Grhl1	0.0	0.0	0.0	12.77	12.77	12.33
H2-Eb1	0.0	0.0	0.0	2.33	2.19	1.85
H2-Q10	0.0	0.0	0.0	0.07	0.07	0.0
H2-Q8	0.0	0.0	0.0	1.44	1.32	1.79
Hexdc	0.0	0.0	1.0	33.12	36.68	37.09
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Hpd	0.0	0.0	0.0	0.07	0.07	0.15
Htt	0.94	3.16	0.0	46.12	42.17	48.51
Ifih1	0.0	0.0	0.0	2.38	2.24	2.51
Igfbpl1	0.27	0.0	0.0	1.38	2.08	2.24
Ihh	0.0	0.0	0.0	0.2	0.3	0.25
Itgb3	0.0	0.0	0.0	2.24	2.51	2.6
Itpka	0.0	0.0	0.0	230.06	253.04	226.96
Kcnh4	0.0	0.0	0.0	18.61	18.14	18.15
Kcns2	0.0	0.0	0.0	19.88	19.16	22.8
Ldb1	26.48	0.22	0.0	80.31	91.12	80.98
Lefty2	0.32	0.0	0.0	1.64	1.76	1.1
Lgi4	0.0	0.0	0.0	23.84	25.96	24.42
Lingo1	0.48	0.0	0.0	232.82	237.98	251.08
Lipk	0.0	0.0	0.0	0.04	0.04	0.0
Lmx1b	0.0	0.0	0.0	0.08	0.08	0.09
Lrrc29	0.0	0.0	0.0	1.45	1.65	1.65
Lrrc6	0.0	0.0	0.0	7.28	6.81	7.31
Lrrn2	0.0	13.99	0.0	70.86	81.35	80.0
Mb	0.0	0.0	0.0	0.71	0.89	0.43
Mir433	0.0	0.0	0.0	0.0	0.0	0.0
Mir453	0.0	0.0	0.0	2.16	2.04	2.23
Mir543	0.0	0.0	0.0	0.0	0.0	0.0
Mir684-2	0.0	0.0	0.0	0.0	0.0	0.0
Mki67	0.0	0.0	0.0	0.8	0.69	0.89
Mrpl54	60.0	37.92	0.0	39.68	44.01	42.45
Ms4a4b	0.0	0.0	0.0	0.08	0.08	0.0
Msl2	0.0	0.0	0.0	32.92	32.23	29.12
Msn	0.0	0.0	0.0	16.38	17.79	17.49
Mtmr4	3.02	6.98	7.22	49.23	46.49	45.86
Muc5b	0.0	0.0	0.0	0.01	0.01	0.0
Myo9b	7.79	0.0	0.0	28.35	26.19	30.28
Ndp	0.0	0.0	0.0	10.94	9.35	9.69
Nfe2l3	0.0	0.0	0.0	4.15	4.68	4.25
Nkain3	0.92	2.55	3.49	2.58	1.81	2.36
Nr1i2	0.0	0.0	0.0	0.04	0.04	0.0
Nr4a2	0.0	0.0	0.0	51.72	44.29	35.3
Ntng2	0.0	0.0	0.0	37.99	38.23	41.01
Olfr688	0.0	0.0	0.0	0.0	0.0	0.11
Olfr701	0.0	0.0	0.0	0.0	0.0	0.03
Opn1mw	0.0	0.0	0.0	0.25	0.39	0.34
Pcsk9	0.0	0.0	0.0	4.29	5.67	4.86
Perp	0.0	0.0	0.0	5.12	5.12	4.69
Pex11c	0.0	0.0	0.0	1.43	1.43	1.29
Pex5	36.6	39.53	0.63	45.3	45.98	43.77
Pgc	0.0	0.0	0.0	0.07	0.07	0.0
Piga	0.0	0.0	0.1	6.93	6.16	6.41
Pik3c2g	0.0	0.13	0.0	0.14	0.18	0.11
Pira1	0.0	0.0	0.09	0.02	0.03	0.04
Pla2g10	0.0	0.0	0.0	0.3	0.0	0.31
Plod3	0.0	0.0	0.0	21.87	22.46	21.84
Pmp2	0.0	0.0	0.0	0.07	0.07	0.15
Poln	0.0	0.0	0.0	0.51	0.22	0.39
Pramel1	0.0	0.0	0.0	0.0	0.04	0.0
Proz	0.0	0.0	0.0	8.45	8.19	8.94
Prrx1	0.18	0.21	0.4	4.61	4.23	4.13
Ptplad2	0.0	0.0	0.78	3.23	2.55	2.61
Pygo1	0.0	0.0	0.0	19.03	17.18	18.88
R3hdm2	2.14	4.52	1.28	167.66	158.1	167.93
Racgap1	0.22	0.0	0.0	10.22	11.21	9.53
Ralgds	0.0	28.32	0.0	60.54	63.25	59.45
Rassf8	0.0	0.0	0.0	11.13	11.08	12.17
Rcc1	26.7	0.0	0.0	9.64	10.93	11.83
Relb	0.0	0.0	0.0	6.22	5.13	6.27
Rfc5	0.0	0.0	0.0	12.53	13.81	12.75
Rims3	0.0	0.0	0.0	89.24	78.82	96.63
Rnf165	0.21	0.24	0.04	24.71	25.79	25.0
Rnf19b	0.0	0.0	55.53	42.41	40.83	39.55
Rnf39	0.0	0.0	0.0	10.29	10.12	8.63
Rreb1	0.37	0.0	0.0	22.81	20.08	22.82
Scap	2.28	0.0	10.47	54.94	62.12	59.05
Scnn1a	0.0	0.0	0.0	3.6	3.6	3.34
Sema4a	0.0	0.0	0.0	40.74	40.5	42.58
Sema6b	0.0	0.24	0.09	89.62	103.34	93.97
Serpinc1	0.0	1.06	0.0	0.09	0.09	0.14
Sh3bp5l	0.0	0.6	0.0	37.93	42.11	39.34
Siva1	0.0	0.0	0.0	13.42	17.97	13.08
Ska1	0.0	0.0	0.0	0.07	0.17	0.22
Slc11a1	1.26	0.34	3.17	3.67	2.9	3.54
Slc25a29	0.0	0.0	0.0	14.8	17.46	16.16
Slc5a4a	0.0	0.0	0.0	0.0	0.05	0.0
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Snn	0.0	0.0	0.0	193.32	197.85	194.31
Snrpa	0.0	0.0	0.0	67.5	75.46	65.94
Spata2l	0.0	0.0	0.0	48.98	51.18	41.3
Spats1	0.0	0.0	0.0	3.64	4.0	3.16
St6gal2	0.0	0.4	0.0	14.16	11.91	16.59
Stard3nl	54.61	0.36	4.65	62.67	60.81	62.69
Stat6	0.21	0.0	0.0	9.0	9.3	8.96
Stk10	0.0	0.17	0.18	3.99	3.73	4.29
Susd2	0.0	0.0	0.0	8.59	8.72	8.54
Tgfbrap1	0.0	0.0	0.0	29.36	31.15	30.6
Tmem120b	5.58	0.0	0.0	8.86	9.15	7.94
Tmem198b	0.0	0.0	0.0	9.51	9.26	10.95
Tmprss9	0.0	0.0	0.0	0.63	0.48	0.79
Tnmd	0.0	0.0	0.0	0.83	0.78	0.78
Ttc21a	0.0	0.0	0.0	0.8	0.91	1.04
Tymp	0.0	0.0	0.0	2.31	2.95	2.93
U90926	0.0	0.0	0.0	0.0	0.0	0.0
Ucp1	0.0	0.0	0.0	0.06	0.11	0.0
Usp44	0.0	0.0	0.0	0.07	0.0	0.14
Ust	0.37	0.0	0.0	20.56	21.15	18.9
Vapb	15.58	7.17	0.0	53.38	58.23	58.6
Vmn2r18	0.0	0.0	0.0	0.04	0.04	0.0
Wisp1	0.0	0.0	0.0	2.48	1.86	1.87
Xdh	0.0	0.0	0.0	3.08	3.68	2.36
Yipf3	30.78	43.37	0.0	51.44	55.8	50.74
Yy1	0.0	0.0	0.28	46.68	50.96	49.38
Zbtb2	0.0	0.0	0.0	8.48	9.2	7.12
Zcchc2	0.0	0.0	0.0	14.75	12.98	14.03
Zfa	0.0	0.0	0.0	0.04	0.08	0.05
Zfp777	0.0	0.0	0.0	21.37	25.05	23.75
Zfr2	0.0	0.54	1.65	38.45	42.82	46.79
c11_LSU-rRNA_Hsa	16.63	54.73	4.55	250.71	241.69	283.2
c2_LSU-rRNA_Hsa	50.69	52.35	55.19	267.85	257.53	283.64
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
