	Chrna2_tdTpositive_cell_43	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_10	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_14	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_16
Capns1	206.0	0.0	1427.81	86.84	259.05	36.73	111.59	88.31	190.37	170.37	120.29	78.94	113.8	67.71	173.84	97.33	189.88	93.01	0.0	0.0
Cbx7	132.41	0.0	0.0	0.0	1.15	0.0	19.5	0.0	1.67	8.15	1.15	37.23	0.39	1.5	1.12	21.35	27.71	36.46	0.0	0.0
Cdh8	117.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.55	12.19	0.0	0.12	0.0	0.0	0.0	0.95	0.0	0.0	0.0
Cops4	503.96	0.0	0.0	513.46	156.38	199.73	375.0	204.03	383.95	414.71	403.55	440.73	192.57	72.37	207.24	428.62	241.62	439.97	11.8	0.35
D11Wsu99e	193.97	0.0	0.0	0.0	0.18	36.93	3.23	0.18	1.28	57.2	92.71	34.24	25.24	48.17	22.76	45.51	16.08	62.9	0.0	0.0
Dek	108.55	0.0	0.0	6.9	12.14	83.77	1.5	38.82	0.0	18.71	10.3	33.32	32.28	5.36	32.78	12.86	7.31	5.01	0.0	0.0
Dzip3	160.04	0.0	0.0	0.0	20.38	53.84	13.35	14.71	26.36	16.17	2.94	0.78	1.87	8.53	2.38	0.09	0.38	0.52	0.0	0.0
Fam126b	59.28	0.92	0.23	13.48	44.1	3.25	55.94	42.36	6.33	50.06	70.55	27.61	65.86	33.07	43.94	28.73	55.5	26.59	0.12	0.62
Fam40a	84.43	0.0	0.0	0.0	2.21	1.21	0.0	0.0	79.8	18.75	0.0	0.0	2.77	0.0	0.0	0.0	0.0	0.12	0.0	0.0
Fgfr1	48.0	0.0	142.92	0.0	12.89	0.0	0.95	0.1	0.0	4.93	24.74	1.54	13.0	0.0	25.02	0.09	16.72	9.68	0.0	0.0
Gm5124	155.59	0.0	0.0	0.0	26.15	58.66	0.0	4.46	0.0	2.93	42.48	30.91	0.0	0.89	0.0	0.0	8.82	0.0	0.0	0.0
Gphn	142.51	0.0	1.27	25.78	77.66	0.0	45.77	87.32	3.95	52.78	19.85	29.06	33.79	44.09	22.68	41.12	68.64	47.28	0.0	0.18
Gpr61	63.2	0.0	0.0	3.69	2.84	0.0	18.74	4.58	61.85	0.77	17.09	2.53	27.89	0.0	5.82	2.19	2.83	0.16	0.0	0.0
Gtf2b	355.5	0.0	0.0	99.98	96.34	173.08	51.61	15.03	0.31	110.78	198.56	345.41	227.76	221.61	7.51	174.78	123.53	151.59	0.0	0.0
Hipk1	172.25	0.0	0.0	88.16	23.89	59.36	41.68	30.39	0.0	19.97	32.91	65.91	0.0	37.24	60.46	39.13	31.73	34.21	0.0	0.0
Ldhb	8138.08	3693.02	5600.23	10118.08	10894.4	8302.41	10165.1	9602.81	11261.44	9074.03	13571.31	12546.17	9106.97	9755.78	11010.48	10182.84	9082.37	11746.38	5577.5	2070.08
Lrp12	99.45	0.0	0.0	0.0	0.0	0.0	0.0	0.56	0.0	0.0	1.7	0.0	13.27	1.07	39.8	20.57	0.0	0.19	0.0	0.0
Mansc1	168.62	0.0	0.0	0.84	35.92	8.26	26.04	10.26	6.61	27.78	44.46	2.76	20.4	2.39	0.0	15.07	38.84	55.26	0.0	0.0
Metap1d	196.67	0.5	610.85	27.73	125.09	120.03	57.65	9.34	53.15	11.65	46.86	48.58	68.97	100.4	0.0	43.07	8.55	59.84	0.0	0.0
Moap1	185.63	0.39	1.34	1.09	8.2	0.0	1.06	48.45	57.8	35.5	77.63	104.86	29.89	0.0	0.0	16.41	15.47	1.62	1.62	0.0
Mrpl11	106.68	0.19	1.01	25.11	1.0	8.58	49.18	27.78	55.04	69.47	59.36	34.36	48.39	22.08	56.36	49.49	29.17	12.48	0.31	0.0
Mthfd1	178.08	0.0	0.0	0.0	14.47	0.0	24.52	27.08	35.19	5.14	33.39	5.88	0.0	0.0	0.0	0.0	0.0	38.01	0.0	0.0
Oaz2	165.07	0.0	0.0	4.09	0.26	0.0	76.49	4.52	136.05	31.74	57.4	0.0	70.66	0.0	112.29	69.57	71.23	2.66	0.0	0.0
Opa1	95.37	0.0	0.0	10.84	34.31	10.72	78.56	14.33	60.71	36.6	71.65	35.02	57.04	18.09	52.77	55.49	64.15	41.42	0.0	11.47
Prep	118.09	0.0	1.72	26.37	1.23	0.24	0.0	0.34	0.0	0.0	82.29	0.0	50.28	23.07	0.0	0.0	0.0	0.0	0.0	0.0
Pvalb	1440.49	0.0	0.0	1319.97	2144.98	888.19	1316.24	1724.33	1740.57	1815.89	1408.27	1731.8	1698.2	1974.07	1295.74	1914.29	1681.17	3516.69	0.0	0.0
Rnf187	142.91	0.0	0.0	84.16	34.56	7.39	22.97	24.58	10.86	69.2	84.56	9.56	89.64	43.06	2.81	24.92	74.13	8.39	0.0	0.0
Scn1b	105.5	0.0	0.0	6.42	1.6	1.31	17.88	3.39	1.75	9.61	32.47	2.47	6.85	8.78	1.45	9.71	16.42	33.42	0.0	0.0
Sdccag3	107.69	0.0	0.0	0.13	0.49	0.0	8.28	4.45	0.58	9.85	1.42	0.0	1.72	24.66	20.91	27.9	0.26	0.16	0.0	0.0
Sdhd	1025.24	0.0	0.0	1089.03	1018.09	547.91	536.87	539.44	580.65	777.63	648.81	1004.49	533.78	643.82	712.21	537.7	367.8	560.23	0.0	0.48
Sgsm1	85.68	14.19	14.45	0.0	29.55	6.13	19.15	2.63	19.78	3.21	15.28	16.58	42.09	7.18	4.37	22.06	30.08	6.66	3.16	4.09
Slc12a5	97.68	0.0	0.0	27.63	49.51	3.96	33.88	31.13	7.6	22.53	41.02	14.95	9.16	12.58	16.82	31.69	14.52	23.71	0.0	0.0
Snap91	198.5	0.0	0.0	38.92	29.29	1.22	187.3	84.01	89.56	86.96	106.17	40.36	83.01	43.82	31.63	73.47	122.56	84.31	0.0	0.0
Tex2	68.59	0.0	0.0	13.37	45.02	0.13	81.07	15.17	9.79	28.66	62.08	16.78	27.1	9.95	59.14	19.65	27.36	0.58	0.0	0.0
Timm17b	95.34	4.74	4.98	53.18	92.04	61.74	45.31	37.41	140.0	76.7	41.84	30.44	23.81	24.12	4.98	4.2	3.53	1.57	4.15	1.94
Tmem65	165.13	0.0	0.0	20.18	95.99	0.0	93.4	18.53	47.72	112.07	100.9	74.58	72.17	5.35	48.29	12.84	29.89	106.09	0.0	0.0
Zscan18	106.2	0.0	0.0	12.36	0.0	0.0	19.77	0.0	89.89	0.59	0.0	0.0	0.0	0.0	32.26	0.0	7.13	0.0	0.0	0.0
