	Chrna2_tdTpositive_cell_28	Chrna2_tdTpositive_cell_31	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_10	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_41	Ntsr1_tdTnegative_cell_54	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Scnn1a.Tg3_tdTnegative_cell_8	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_55
Gm14430	23.07	2.27	0.0	0.0	0.0	6.19	15.98	0.27	6.16	0.03	4.55	5.5	0.17	11.93	0.37	0.47	6.27	0.0	0.11	0.0	5.6	4.55	0.54	1.09	2.37	12.18	0.01	15.13	0.0	0.0	0.0	0.0	2.39	0.82	4.29
Gm14434	23.07	2.27	0.0	0.0	0.0	6.19	15.98	0.27	6.16	0.03	4.55	5.5	0.17	11.93	0.37	0.47	6.27	0.0	0.11	0.0	5.6	4.55	0.54	1.09	2.37	12.18	0.01	15.13	0.0	0.0	0.0	0.0	2.39	0.82	4.29
Gm16039	280.12	42.14	0.0	0.0	0.0	38.54	100.96	0.44	13.4	158.94	145.47	50.08	39.68	2.87	45.85	97.14	47.06	73.93	0.0	0.0	91.25	65.62	1.35	113.63	71.71	119.06	0.0	181.03	0.0	0.0	0.43	0.0	102.0	60.81	39.09
Gm4724	23.07	2.27	0.0	0.0	0.0	6.19	15.98	0.27	6.16	0.03	4.55	5.5	0.17	11.93	0.37	0.47	6.27	0.0	0.11	0.0	5.6	4.55	0.54	1.09	2.37	12.18	0.01	15.13	0.0	0.0	0.0	0.0	2.39	0.82	4.29
Gnpat	123.62	0.0	0.0	0.0	0.0	0.11	0.0	9.03	52.42	0.03	0.0	55.99	0.0	0.0	0.06	2.83	0.0	0.0	0.16	0.26	68.09	0.0	0.0	10.52	0.0	0.41	0.0	2.59	0.0	0.0	0.0	0.0	8.6	0.08	0.59
Grin2b	244.82	219.83	0.0	0.36	0.05	113.0	121.66	53.4	74.67	68.24	64.68	101.71	82.6	71.2	81.73	52.66	95.18	99.52	52.28	59.89	109.06	114.44	84.45	84.2	110.92	120.96	0.07	226.42	0.35	1.38	0.63	0.0	141.51	107.93	68.92
Mapre2	214.93	89.92	0.0	0.0	0.0	20.45	135.39	285.68	134.59	134.41	82.96	33.26	100.93	118.74	45.25	63.42	133.4	9.1	0.0	0.0	77.9	75.82	63.43	231.14	188.77	54.29	0.07	158.79	0.0	0.15	0.0	0.0	54.24	93.77	55.69
Morn4	435.99	53.33	0.0	0.0	0.0	85.64	53.23	71.47	0.0	102.37	36.78	0.17	81.46	33.04	121.09	46.59	91.64	69.06	0.0	113.36	34.6	60.78	0.0	75.24	108.7	3.16	0.15	429.7	0.0	0.0	0.0	0.0	99.06	0.0	81.42
Nipsnap3b	576.41	0.46	0.0	0.0	0.0	0.67	259.76	83.71	0.0	72.38	82.42	5.44	44.48	98.23	130.0	135.53	51.67	0.0	0.0	3.44	0.0	87.65	58.42	83.34	48.2	41.01	0.0	540.2	0.0	0.0	0.0	0.0	99.28	100.77	14.76
Nova1	98.43	0.39	0.0	0.0	0.0	0.75	18.36	23.35	2.93	4.03	1.43	23.2	15.39	3.94	4.53	13.1	0.45	3.78	10.48	5.17	18.2	33.43	4.58	1.66	11.86	6.54	0.0	96.29	0.0	0.0	0.46	0.0	0.04	1.77	3.33
Npy	9073.51	173305.25	0.0	0.0	0.0	132042.44	149629.49	134232.96	130357.56	116117.28	122165.94	132052.33	122154.33	122963.43	130527.91	173863.58	166048.87	191162.16	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	151963.58	0.0	24726.66	0.0	0.0	0.0	0.0	145032.54	180453.32	137945.15
Oat	443.52	107.0	0.0	0.0	0.0	110.04	115.73	82.15	66.76	96.67	141.14	112.13	79.21	135.77	183.85	18.56	0.6	16.34	171.87	3.57	128.11	169.53	50.32	192.19	75.43	0.12	0.0	199.8	0.0	0.0	0.43	0.48	134.66	130.65	17.02
Pir	95.41	9.11	0.0	0.0	0.0	28.83	42.89	0.0	0.0	2.82	22.03	46.39	75.86	0.0	53.9	1.26	39.51	0.0	0.0	0.48	36.08	0.0	33.73	84.51	0.0	0.0	0.0	119.82	0.0	0.0	0.0	0.0	32.35	36.43	33.09
Pnmal2	62.55	42.44	0.0	0.0	0.0	33.17	34.05	8.16	3.14	0.15	4.39	52.88	20.19	21.63	11.85	43.5	34.21	16.19	8.02	2.49	21.46	31.0	24.27	28.69	13.02	33.07	0.0	49.74	0.0	0.0	0.0	0.0	21.4	13.8	12.06
Psmd12	490.22	215.57	0.0	0.0	0.28	100.7	145.31	133.67	172.51	104.16	211.77	385.31	213.47	100.76	76.08	52.9	124.65	33.75	33.45	120.29	196.66	235.47	158.37	219.52	251.71	247.22	0.0	243.29	0.0	0.0	0.0	69.69	134.23	164.9	236.85
Rab4a	329.42	110.75	0.0	0.0	0.0	159.77	58.58	51.73	43.75	49.72	29.81	18.59	156.73	64.75	120.38	29.12	7.47	52.17	0.0	0.0	109.15	88.78	94.2	60.31	61.81	92.97	0.0	69.66	0.0	0.0	0.0	0.0	121.99	141.48	171.9
Rab6b	215.08	101.32	0.0	0.0	0.0	86.92	85.79	31.49	29.74	79.64	22.26	108.83	86.37	72.36	38.52	125.65	87.6	45.2	54.23	49.13	105.18	145.52	63.61	189.91	100.0	75.64	0.0	235.84	0.0	0.13	0.0	0.0	37.3	92.13	63.07
Snw1	242.7	111.79	0.0	0.0	0.0	33.05	4.66	82.02	67.29	0.14	138.67	97.53	118.68	27.1	98.52	13.5	51.42	23.94	34.53	79.06	97.6	97.96	64.9	64.91	112.53	41.96	0.0	122.63	33.9	0.0	32.78	0.0	51.52	60.9	22.53
Sprr2a1	0.83	0.19	0.0	0.0	0.0	0.57	0.71	0.77	0.54	0.0	11.74	0.27	4.25	0.05	0.06	0.03	6.02	0.21	0.23	0.16	0.15	0.0	0.45	6.48	0.65	0.32	0.0	0.7	0.0	0.0	0.0	0.0	0.04	0.06	0.12
Sprr2a2	0.83	0.19	0.0	0.0	0.0	0.57	0.71	0.77	0.54	0.0	11.74	0.27	4.25	0.05	0.06	0.03	6.02	0.21	0.23	0.16	0.15	0.0	0.45	6.48	0.65	0.32	0.0	0.7	0.0	0.0	0.0	0.0	0.04	0.06	0.12
Spsb3	278.63	33.26	0.0	0.0	0.0	0.0	52.07	79.02	73.5	0.0	0.0	0.0	49.24	2.2	1.42	0.78	0.0	44.76	0.0	0.0	0.0	0.0	42.62	2.77	0.1	30.7	0.0	46.43	0.0	0.0	0.0	0.0	58.79	46.38	53.17
Srgap3	96.07	37.3	0.0	0.0	0.1	26.13	29.06	10.21	13.09	1.81	24.89	19.35	26.64	27.51	19.41	25.83	18.29	14.44	22.65	0.34	10.21	8.93	2.59	47.72	2.55	23.52	0.54	40.51	0.69	0.18	0.26	0.0	22.13	38.57	22.98
Tsc22d3	469.01	110.63	0.21	0.0	0.0	117.81	58.11	87.55	20.59	25.63	105.11	94.51	80.08	0.2	0.72	76.95	0.0	83.78	4.09	52.94	68.08	1.28	104.05	59.02	31.29	93.31	17.88	7.06	0.0	0.31	0.0	14.12	55.34	11.36	100.53
