	Chrna2_tdTpositive_cell_54	Ctgf_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_49	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_72	Rbp4_tdTpositive_cell_51	Tac2_tdTpositive_cell_5	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
4930515G16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.29	0.0	0.0	0.0
6330403A02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.86	129.61	129.26	131.62
A230056J06Rik	0.02	0.0	27.55	34.32	0.17	0.51	0.0	0.0	0.05	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.09	2.88	0.69	1.01	0.84
AW046200	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	190.26	1.47	0.64	1.08
Actl6a	0.0	0.0	0.0	13.28	0.0	0.0	80.37	0.0	0.0	47.38	0.0	81.2	0.0	10.86	11.2	0.26	41.44	12.15	206.51	16.37	16.42	15.65
Amz2	0.0	0.0	4.68	12.84	1.93	31.58	0.0	130.72	30.5	73.16	0.0	29.67	0.0	4.24	0.0	41.35	53.43	0.35	117.76	40.25	39.59	38.84
Ankle1	0.12	0.19	0.12	0.94	0.56	1.81	0.71	1.02	0.61	0.34	0.71	1.36	1.16	0.45	0.95	0.72	1.56	1.16	4.52	0.78	0.47	0.82
Ankrd32	0.0	0.0	14.69	0.0	2.75	1.15	33.67	27.4	28.62	9.89	3.8	0.0	0.0	81.55	0.0	26.97	0.0	35.83	40.74	13.56	10.32	11.93
Atg4a	0.0	0.0	0.0	24.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74	0.0	0.0	0.0	1.39	0.0	120.87	7.21	6.44	6.57
Atp8b3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Bdnf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	6.83	0.0	0.0	0.0	0.0	0.0	0.05	0.27	17.6	15.24	14.28
C130083M11Rik	0.23	0.6	0.24	1.28	1.16	1.86	0.56	0.44	1.13	0.82	1.17	0.6	2.01	1.86	1.71	2.03	1.72	2.26	180.12	3.38	3.61	4.76
C8b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Cacng2	0.0	0.0	2.76	8.15	25.7	9.76	4.38	1.55	5.52	10.22	3.4	11.22	4.06	28.43	14.79	12.19	16.29	3.43	31.16	32.73	28.9	35.08
Cbln2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.67	30.86	29.26	30.37
Ccdc125	0.1	0.0	0.28	6.21	1.02	3.88	0.2	0.0	1.24	0.25	0.18	0.0	0.0	0.42	0.31	1.0	0.27	0.0	2.5	0.99	0.86	0.62
Ccdc74a	0.0	0.0	17.57	0.0	0.0	0.0	0.0	0.0	0.0	13.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.82	15.57	18.37	15.81
Cdo1	0.0	0.0	0.0	23.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	5.67	0.0	151.17	34.95	35.28	32.44
Ceacam12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.47	0.0	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.25	0.26	0.4	0.34
Chrdl2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.2	0.12	0.31
Cited1	0.0	0.0	50.96	0.0	21.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.07	0.0	0.42	58.07	2.61	2.16	2.26
Ctdspl2	0.0	0.0	4.45	5.73	13.07	3.31	0.24	0.27	35.82	0.55	3.65	6.47	1.88	18.04	23.49	32.19	0.64	36.88	153.45	17.42	15.17	15.62
Cyhr1	250.81	0.0	165.17	90.11	126.55	0.0	71.11	65.27	129.38	99.74	133.21	70.89	2.07	4.21	112.86	87.87	175.01	13.11	582.13	122.23	128.56	117.07
D030045P18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.86	0.0	1.43	0.05	0.05	0.0
D430019H16Rik	4.33	0.0	0.0	0.28	0.09	0.11	0.18	0.0	0.13	0.04	0.18	0.0	0.2	0.64	0.11	0.13	0.23	0.0	0.64	71.29	69.28	70.17
Ddo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.33	4.83	4.71	4.76
Ddx52	10.12	0.0	0.0	0.11	22.32	28.72	63.53	32.37	0.0	19.09	93.2	0.0	11.22	58.14	44.97	0.0	140.98	50.57	93.6	17.93	15.95	16.36
Dgkk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.99	1.15	1.11	1.17
Dguok	19.86	0.0	0.0	4.76	0.0	0.0	92.62	0.0	52.53	0.0	15.57	57.73	0.0	57.2	31.99	0.0	120.22	44.26	340.76	19.23	19.48	18.63
Dnahc5	0.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.78	1.59	1.27	1.46
Dnahc7b	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	1.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.35	1.49	1.45	2.17
Dnalc1	48.39	0.0	0.0	4.9	0.26	0.1	0.08	1.06	3.16	0.14	1.26	19.14	19.56	16.46	2.73	0.16	63.88	22.02	71.48	67.35	64.52	65.11
Dnalc4	0.0	0.0	2.41	0.0	32.34	38.21	0.0	0.0	50.42	2.11	0.0	0.0	0.0	0.73	0.22	0.0	0.0	24.14	117.33	59.26	60.98	61.02
Dsc3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.87	0.68	0.71
Dut	0.1	0.26	0.0	1.81	3.63	0.24	2.65	0.0	6.79	1.85	2.36	0.73	8.96	7.53	0.22	1.44	1.68	2.68	52.84	20.95	24.59	18.79
E330016A19Rik	0.14	0.1	0.0	0.09	0.57	0.43	0.39	0.0	0.59	0.0	0.0	0.28	0.1	0.4	0.35	0.25	0.18	0.22	46.97	1.5	0.99	1.32
Eif1ax	0.0	0.0	1.4	71.15	3.07	132.21	73.95	114.43	116.29	24.37	205.74	12.15	42.34	98.01	29.35	169.32	132.89	47.05	397.91	137.07	128.4	134.16
Epb4.2	0.0	0.0	0.0	0.4	0.3	0.47	0.11	0.36	0.55	0.3	0.3	0.32	0.25	0.15	0.58	0.09	0.72	0.07	1.54	0.94	0.68	0.95
Exosc6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.62	0.0	0.0	9.97	0.44	0.0	0.0	0.0	4.07	0.0	0.0	31.85	11.59	13.72	13.52
Fbp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.63	0.26	0.36
Fcgr1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	2.67	2.77	3.07
Fdxacb1	0.0	0.0	0.0	0.0	0.0	0.0	85.89	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	125.18	6.72	7.18	7.25
Foxi1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Fxyd7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.67	149.2	165.21	149.7
Galnt2	0.0	0.0	4.39	8.0	16.07	0.0	0.0	0.0	1.04	0.67	0.0	0.91	0.0	1.15	0.0	19.74	1.06	0.0	86.49	45.57	47.56	46.93
Galnt3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.23	1.57	1.23	1.35
Gm10494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.08	0.04	0.0
Gm10677	0.0	0.71	0.0	0.0	3.39	0.28	0.0	0.21	0.06	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.34	0.09	0.9	0.59	0.4	0.53
Gm11426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.0
Gm11549	0.0	2.17	0.3	0.23	0.45	0.0	0.1	0.0	0.0	0.11	0.04	0.0	0.11	0.0	0.0	0.31	0.51	0.08	2.39	31.51	32.7	35.16
Gm16973	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.75	0.1	1.36	0.0	0.0	0.32	0.0	0.0	0.0	0.0	146.4	6.56	6.31	5.57
Gm17359	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.92	0.0	0.0	0.0
Gm17384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.11	0.13
Gm2721	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.4	0.32	0.48	0.65
Gm5151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.98	31.75	40.55	36.71
Gtsf1l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.65	0.0	0.33	0.0
Hcrt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.98	0.36	0.5	0.0
Hhla1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Hpgds	0.15	0.17	0.23	0.1	0.14	0.55	0.12	0.7	42.19	0.28	0.28	0.65	0.36	0.01	0.41	0.38	0.55	0.16	61.2	4.78	3.44	5.28
Hrk	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.15	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.02	0.2	27.79	26.86	26.7
Hs2st1	0.2	0.0	0.05	4.92	0.0	0.0	4.15	15.22	0.0	5.15	0.0	13.55	0.0	0.0	0.0	0.0	0.0	0.0	53.99	40.63	39.0	38.87
Il1rapl1	80.95	0.0	0.0	20.81	4.57	16.24	30.62	37.8	21.06	40.77	25.35	35.25	39.99	43.55	5.63	36.23	49.73	20.02	266.88	6.2	6.07	7.59
Il5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.26	0.18	0.4
Ippk	0.0	0.0	0.0	5.29	0.0	0.39	0.0	0.0	14.84	2.3	3.38	4.66	0.0	8.97	0.0	12.87	13.05	0.0	20.66	15.03	15.57	15.04
Itgb1	0.7	0.1	0.0	0.0	0.0	5.52	0.0	0.0	0.0	4.01	0.19	14.3	0.09	0.0	19.85	1.72	0.26	0.0	124.97	45.23	44.47	40.82
Kcna5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.1	5.29	5.97	4.82
Kctd18	0.0	0.0	0.0	2.27	0.0	0.0	0.0	2.02	2.35	2.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.53	9.98	9.88	10.67
Khdc1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.64	0.04	0.04	0.16
Kif16b	0.0	0.0	0.0	0.0	4.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.7	8.55	8.36	8.31
LOC622124	0.0	4.98	0.07	0.1	0.57	0.87	0.15	0.27	0.0	0.09	0.5	0.37	0.17	0.0	0.12	0.0	0.32	0.33	1.22	0.05	0.03	0.01
Lgals6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.76	0.0	2.15	0.09
Lrrc33	0.29	0.0	26.94	0.09	0.0	0.0	0.34	0.23	0.0	0.31	0.79	0.15	0.13	0.45	0.52	0.24	1.5	0.38	0.75	4.27	5.47	4.64
Lsm10	0.0	0.0	82.5	0.0	46.72	40.39	86.68	194.7	59.85	70.76	0.0	0.0	1.55	0.0	0.0	44.48	0.0	0.0	249.57	11.37	14.59	13.42
Lztfl1	49.36	0.0	69.71	51.56	58.67	32.37	0.11	12.41	0.89	17.14	10.46	0.94	0.0	56.32	12.44	21.17	241.05	6.34	161.03	30.3	24.18	29.13
Magee2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	5.26	0.0	0.37	0.0	0.0	0.0	24.2	7.37	6.28	7.17
Mal2	0.44	0.0	0.0	1.35	32.19	76.81	0.0	8.53	46.21	0.1	0.0	0.0	0.0	0.0	33.23	7.65	0.0	0.0	144.83	179.73	179.68	167.52
Mapk6	0.0	0.0	19.25	60.0	25.56	30.99	2.17	8.59	8.36	27.42	6.93	15.21	56.21	71.27	0.16	19.95	0.0	2.32	158.34	45.59	46.91	42.39
Marcksl1	7.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.26	105.99	129.27	112.68
Marcksl1-ps4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0
Mir764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.84	0.0	0.0	0.0
Mpped2	0.0	0.0	40.54	0.34	0.0	9.4	31.02	4.97	0.39	0.0	17.77	0.0	0.0	0.0	5.14	2.01	0.0	17.58	88.53	35.43	33.87	33.34
Mtag2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.4	45.21	0.0	0.0	0.62	0.0	0.0	0.0	0.0	0.0	115.47	4.32	3.0	3.87
Mxra8	0.0	972.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.07	6.25	6.67	5.15
Myh4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.41	0.35	0.18	0.13
Myo16	0.0	0.0	0.0	0.7	0.0	0.0	0.7	0.0	0.39	0.74	0.0	0.17	0.98	0.0	0.91	0.04	0.0	0.03	43.15	15.68	15.48	17.03
Naip2	0.6	3.02	1.92	4.44	2.45	2.51	2.34	0.33	1.21	0.79	0.99	1.75	1.17	1.46	1.88	1.41	1.59	1.62	5.41	0.74	1.02	1.28
Nedd9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	4.06	0.0	55.07	5.83	5.66	5.47
Nek3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.36	1.94	1.97	1.45
Nek9	0.0	0.0	0.0	0.0	0.0	3.19	0.0	1.72	0.0	12.4	0.08	30.13	0.0	20.35	0.0	0.0	0.34	1.39	48.36	34.63	34.71	35.65
Nmt2	0.0	0.0	0.4	14.87	48.37	1.75	0.0	29.49	0.66	34.68	0.66	1.45	1.26	1.71	0.87	34.43	182.4	0.0	127.85	63.98	59.74	62.22
Nnmt	0.27	0.0	52.2	24.22	0.0	0.0	0.0	111.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	158.76	2.12	0.8	1.1
Odz3	0.0	0.0	9.41	0.0	0.0	0.0	3.17	0.0	7.21	9.45	10.45	6.95	0.0	0.0	0.0	0.02	18.68	0.02	34.12	34.84	35.08	33.85
Optn	0.0	0.0	22.97	1.42	0.0	0.0	66.93	0.0	0.0	69.62	0.0	60.29	0.0	33.03	16.56	14.75	2.59	3.23	112.65	13.56	14.66	14.72
Ostn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	186.51	0.32	0.0	0.16
Ovca2	0.0	0.0	0.0	23.4	0.0	0.41	0.0	0.0	0.0	0.0	1.08	0.0	16.74	0.0	18.09	0.0	0.0	0.0	117.78	31.31	24.15	20.25
Pacs2	0.06	0.08	0.0	3.47	0.0	0.63	0.37	0.0	0.11	0.0	4.35	0.12	0.34	0.1	0.13	0.13	29.05	0.04	30.1	62.85	66.6	75.48
Padi2	5.89	9.54	5.3	7.38	4.22	5.49	8.14	6.28	5.02	4.53	5.36	6.08	8.91	6.97	6.95	4.91	9.89	4.07	22.52	19.35	19.34	21.61
Pard6g	0.0	0.0	0.0	0.0	15.21	1.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.17	5.58	5.49	5.08
Pcdhga4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.22	12.78	13.38	12.64
Pdlim3	0.0	0.0	80.79	126.78	0.0	0.35	77.76	0.0	0.0	0.0	77.31	0.0	348.37	326.32	68.29	86.75	0.0	0.0	1163.21	2.21	2.86	1.63
Pi4k2a	0.45	0.0	4.33	41.21	18.67	5.29	0.0	7.6	7.77	0.0	5.28	63.13	3.4	0.0	6.18	0.0	65.93	5.9	65.57	52.66	54.19	51.53
Plagl1	0.0	0.0	2.29	0.0	0.0	6.94	0.14	0.0	0.0	15.05	0.0	0.0	0.0	0.0	23.34	0.0	0.0	16.63	121.01	15.74	15.04	13.9
Plin3	0.36	2.47	0.23	13.31	0.25	17.98	3.51	1.77	2.81	1.79	1.5	2.99	2.23	2.56	1.67	0.83	4.65	3.39	4.21	13.57	14.59	15.22
Prkcsh	0.0	213.61	21.51	14.49	12.11	36.47	12.43	0.0	41.56	67.24	5.78	3.27	0.0	23.04	16.4	13.01	93.99	6.97	218.37	76.36	83.69	73.99
Prpf39	55.56	105.47	5.58	13.51	0.97	73.96	0.29	23.14	36.83	23.27	10.62	1.24	31.47	44.81	33.35	31.18	30.86	35.89	161.18	29.88	28.01	31.76
Psmc3ip	0.0	0.0	0.0	0.0	0.0	0.0	3.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	149.89	4.48	4.22	4.51
Ptk2	0.0	0.0	0.0	12.43	0.0	0.15	0.0	6.96	0.0	0.06	2.48	0.45	0.11	0.0	0.36	0.11	0.0	2.32	93.22	77.05	74.15	81.2
Pvrl3	0.0	0.0	0.0	0.0	0.0	13.93	0.0	0.0	0.0	0.0	11.55	6.31	0.0	6.2	0.0	6.01	0.0	0.0	130.7	22.83	18.26	21.19
Pycr1	0.17	0.14	0.09	0.01	0.06	0.0	0.26	0.56	0.87	0.38	22.83	0.57	0.92	15.08	0.44	1.51	0.74	0.07	38.91	2.82	2.22	2.48
Rac2	0.83	6.45	0.0	0.37	1.04	0.56	0.78	1.43	0.9	0.37	1.34	2.29	1.06	1.1	1.27	1.02	2.08	0.94	2.6	1.87	2.12	2.35
Rasgrf2	0.0	0.0	59.44	32.29	76.13	24.14	26.62	2.06	11.68	22.89	34.22	8.49	26.79	46.02	8.81	11.66	29.62	15.64	178.97	69.67	65.09	66.74
Rcn2	0.62	0.0	39.55	25.76	76.6	72.54	136.99	3.81	140.36	119.1	20.35	0.0	9.87	0.78	47.56	131.85	52.75	23.56	280.91	141.56	145.16	138.67
Rgl2	0.0	0.0	0.0	18.08	0.74	0.0	0.63	22.47	26.89	0.75	0.0	0.18	15.68	16.92	6.23	0.08	23.88	14.47	62.82	37.58	38.67	42.65
Rgs20	0.63	1.02	0.0	13.64	0.33	1.31	0.94	0.6	12.8	1.83	0.76	2.86	1.32	21.2	1.25	0.83	2.66	0.95	65.96	41.47	37.45	41.83
Rhbdl1	0.0	0.0	0.0	25.64	11.85	7.87	0.0	9.36	0.2	0.0	31.2	0.0	0.0	0.7	0.0	33.77	0.0	0.0	151.6	63.67	79.86	77.35
Ric8b	0.42	0.0	54.1	19.1	3.55	0.93	0.0	58.28	6.43	6.39	0.42	21.85	0.27	3.09	24.63	54.6	10.81	0.0	103.44	45.42	45.68	43.24
Rimklb	12.24	0.0	6.71	21.35	16.57	6.71	0.0	26.2	2.28	0.0	0.4	43.34	39.36	26.74	0.0	19.35	8.33	17.51	223.07	19.3	20.34	21.06
Rnf128	0.0	0.0	0.0	10.42	0.0	6.83	0.0	0.93	7.38	21.19	0.0	25.72	0.0	0.0	9.93	14.97	2.23	0.96	172.61	15.69	17.13	14.67
Rps6ka5	0.0	0.0	0.0	0.0	8.22	0.0	0.0	0.0	0.0	1.19	7.08	0.0	0.0	0.24	0.07	0.0	0.0	13.67	58.89	16.11	16.77	15.18
Scd4	0.0	0.0	0.0	1.47	0.93	1.94	0.62	3.24	1.17	1.71	1.67	0.2	0.0	0.32	1.63	0.71	1.07	1.3	14.24	1.13	1.29	1.28
Scn2a1	56.38	0.0	3.79	3.94	0.0	7.23	4.94	15.21	50.23	2.58	7.52	0.92	8.97	0.0	13.23	5.8	0.0	0.76	140.01	128.76	111.81	126.47
Sema4a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	40.74	40.5	42.58
Serinc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.47	6.29	4.73	5.46
Slc25a20	0.0	0.0	0.0	0.0	0.0	40.95	0.0	57.59	16.53	0.0	35.45	3.37	0.0	0.0	0.0	0.0	0.21	37.17	124.43	13.38	11.92	12.89
Smo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.62	8.27	8.75	8.9
Snora74a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.44	60.11	167.41	7.48	0.0	0.0	0.0	0.0	282.95	0.0	236.7	0.6	0.0	0.0
Spink10	0.0	0.0	87.54	0.0	0.0	0.49	2.04	0.0	0.0	0.0	0.0	38.7	12.09	0.0	0.0	0.0	0.0	0.0	195.42	3.1	2.76	2.84
St8sia2	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	2.76	38.88	2.35	2.2	2.64
Stat2	0.0	0.0	0.0	7.24	19.31	0.12	0.0	0.09	13.72	0.0	0.0	4.87	0.0	0.0	0.0	0.62	0.0	0.0	58.33	19.19	17.83	18.17
