	Cux2_tdTnegative_cell_11	Cux2_tdTnegative_cell_12	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_24	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Lsm14a	0.0	0.0	0.95	854.79	0.0	0.13	0.0	0.0	0.0	0.0	57.18	59.15	55.21
Ly9	0.0	0.0	0.0	144.8	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.15	0.25
Map3k3	0.0	0.0	0.0	1281.94	0.0	0.0	0.0	0.0	0.0	0.0	22.58	21.74	22.44
Mbd3	0.0	0.0	0.0	363.89	0.0	0.0	0.0	0.0	0.0	0.0	113.1	126.54	122.32
Mitf	0.0	0.0	0.0	564.17	50.03	0.15	24.41	0.0	0.0	0.0	4.09	4.02	5.0
Mrpl39	0.0	0.0	11.41	397.01	0.75	11.64	8.35	1.48	6.02	17.27	24.28	27.03	27.9
Mrpl52	200.43	0.0	0.0	1541.78	498.36	0.0	576.17	0.0	0.0	288.35	51.65	61.12	58.68
Naip7	0.0	0.0	0.0	29.05	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0
Nckap1l	0.0	0.0	491.62	1237.74	0.08	194.27	251.87	374.82	419.86	590.52	7.45	7.17	7.94
Ng23	0.0	0.0	0.0	416.26	0.0	0.49	0.0	0.0	47.68	0.0	0.28	0.43	0.0
Nipbl	35.82	0.0	0.16	275.91	0.0	0.08	0.0	8.92	0.0	0.15	15.72	11.37	16.12
Pard3b	0.0	0.0	0.0	2.99	0.0	0.11	0.0	0.0	0.73	0.0	1.31	1.39	1.4
Pbx2	0.0	0.0	0.0	282.13	0.0	0.0	0.0	0.0	0.0	0.0	39.55	41.16	37.27
Pgm3	0.0	0.0	120.78	149.54	0.0	0.0	0.0	0.0	0.0	3.39	8.23	7.73	7.71
Pigk	73.51	0.0	0.43	971.95	0.0	0.08	0.04	9.58	285.09	0.0	44.77	45.09	44.85
Plagl2	0.0	0.0	0.0	159.25	0.0	0.0	78.81	0.0	0.0	0.0	5.55	5.21	5.26
Plekhf2	0.0	0.0	0.23	507.03	2.86	0.0	0.0	0.0	0.0	0.0	7.22	6.12	6.48
Pola1	0.0	0.0	0.0	391.39	0.0	0.0	0.0	0.0	0.0	0.0	1.7	1.71	2.25
Pphln1	0.25	0.41	0.88	373.29	1.16	18.14	9.46	0.44	0.14	1.35	29.13	25.73	26.27
Pptc7	0.0	60.04	0.0	712.29	0.0	0.0	299.07	35.94	0.0	0.82	40.75	41.4	36.47
Prr14	0.0	631.41	0.0	1151.22	404.48	0.0	0.0	0.34	0.0	554.18	23.5	23.12	23.09
Psmb8	0.0	0.0	0.57	1161.72	0.0	44.17	0.0	0.0	830.37	0.0	3.78	5.18	4.15
Rad54l2	0.0	0.0	0.09	163.22	0.02	0.0	0.05	0.0	0.0	0.0	11.32	10.45	11.72
Rassf2	167.73	6.61	2.4	569.2	8.37	43.69	36.77	3.71	5.78	18.51	29.35	29.69	31.74
Rnf135	0.0	0.0	0.0	1426.73	0.0	0.18	0.0	0.0	1108.61	0.0	2.79	4.25	4.39
Sec62	40.78	0.0	0.34	447.85	39.81	98.9	0.0	0.0	27.43	20.6	93.05	84.71	91.58
Sh2d3c	0.0	0.0	0.0	507.67	20.76	76.5	0.0	0.0	0.0	140.68	19.37	19.95	20.61
Siglec5	0.0	0.0	0.0	624.05	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.72	0.63
Sipa1	0.0	0.0	4.38	193.44	0.0	0.0	1.38	0.0	0.0	124.69	8.12	9.9	11.06
Slc15a3	0.17	165.97	30.08	452.61	0.0	0.0	12.32	0.0	0.0	69.07	1.41	1.53	1.5
Snora78	0.0	0.0	0.0	107.01	0.0	0.0	0.0	0.0	0.0	0.0	1.62	0.76	0.84
Spata13	0.0	0.0	0.18	346.24	212.71	0.0	0.0	0.0	0.0	78.27	5.93	6.29	6.39
Stoml1	0.0	0.0	0.34	988.22	0.0	0.0	0.0	0.0	0.0	0.0	70.29	76.45	67.01
Tap2	0.0	0.0	0.0	677.38	0.0	0.28	0.0	0.0	0.0	93.58	7.0	8.13	8.42
Tcirg1	0.0	96.97	0.0	603.64	1.56	50.69	342.54	675.17	0.23	0.0	10.82	12.65	13.85
Tlr5	0.0	89.58	0.0	850.44	0.0	0.0	0.0	0.0	0.0	9.07	0.55	0.46	0.79
Tlr9	0.0	0.13	0.0	53.22	0.0	0.0	28.66	129.54	0.0	5.44	1.36	1.47	1.87
Tmed7	0.0	276.28	17.28	956.54	0.0	0.1	0.0	0.0	1.75	4.01	76.9	78.51	78.06
Tmem168	0.0	0.0	0.3	828.84	0.0	0.0	0.0	0.0	0.0	0.0	11.09	11.17	10.09
Trappc8	0.0	0.0	0.37	728.76	0.0	283.08	0.07	0.0	0.0	0.0	36.18	33.02	34.73
Trim30d	0.0	0.0	0.21	1355.17	390.17	0.0	0.0	0.0	0.0	241.9	1.22	0.9	1.04
Trim30e-ps1	0.0	0.0	0.0	43.48	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.15	0.05
Ttc7	77.41	0.0	264.65	324.59	0.0	0.0	0.0	0.0	0.0	52.73	6.53	5.61	7.2
Wbp7	0.0	0.0	0.0	212.32	0.0	0.0	0.0	0.0	0.0	0.0	25.14	25.82	27.79
Wdr13	106.3	0.0	0.16	923.72	0.18	0.0	2.55	0.0	0.0	2.4	136.96	138.91	138.76
Wdr41	0.0	0.0	0.22	688.5	0.0	0.0	0.0	0.0	0.0	0.0	30.24	29.73	28.79
Wnk1	0.28	26.07	92.21	316.9	0.11	0.04	31.34	144.08	3.49	88.73	63.79	56.84	66.46
Zbbx	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.39	0.46
Zc3h12c	0.0	0.0	0.0	486.72	0.0	0.06	0.0	0.0	0.0	0.0	7.04	7.13	6.86
Zc3h7b	0.0	88.32	0.0	405.51	0.0	0.06	0.0	0.0	0.0	0.0	86.81	85.92	92.81
Zdhhc14	0.0	2.55	0.44	769.25	0.0	0.0	0.0	0.0	318.95	0.0	32.19	31.16	34.7
Zfp174	0.0	0.0	0.18	522.02	1.21	1.03	0.12	3.18	1.12	2.46	4.55	3.91	4.73
Zfp870	0.0	0.0	0.46	763.75	0.6	0.13	0.04	88.61	0.1	0.0	5.5	5.5	6.1
Zfp90	0.0	0.0	0.52	2155.18	0.0	26.02	0.0	0.0	894.99	0.0	11.2	12.26	11.73
c10_tRNA-Ala-GCY_	0.0	0.0	0.0	799.23	0.0	0.0	128.39	0.0	0.0	0.0	29.3	60.81	43.36
c18_tRNA-Ala-GCY_	0.0	0.0	0.0	400.67	280.22	0.0	0.0	0.0	0.0	0.0	12.88	24.82	35.18
c5_tRNA-Ala-GCA	19.89	0.0	0.0	1573.03	0.0	0.0	0.0	0.0	0.0	0.0	3.74	6.58	0.0
c7_LSU-rRNA_Hsa	21.08	12.32	46.59	102.5	24.23	20.12	27.51	0.0	54.27	82.81	94.71	85.64	91.89
