	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_9	Cux2_tdTpositive_cell_6	Cux2_tdTnegative_cell_4	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rorb_tdTpositive_cell_13	Rorb_tdTpositive_cell_19	Scnn1a.Tg2_tdTpositive_cell_20	Scnn1a.Tg3_tdTnegative_cell_11
Amy2a4	0.0	0.24	0.29	0.0	0.0	0.0	0.0	0.0	0.49	0.25	0.0	0.0	0.06	0.49	0.11	0.33	1.11	0.06	11.44	0.67	0.39	0.29	0.19	0.77	1.12
Btbd16	0.0	12.42	29.49	0.0	5.24	3.21	0.0	3.59	11.06	11.35	1.99	17.66	21.01	19.61	22.19	29.8	31.26	17.01	42.27	43.28	12.95	21.5	21.45	61.99	85.21
Ccdc82	17.76	48.57	326.7	23.03	69.91	26.96	12.47	95.56	133.99	126.89	11.18	185.96	287.81	211.68	266.06	243.66	290.04	105.82	444.56	502.57	179.16	143.56	137.49	409.18	254.56
Chd4	0.0	0.0	3.91	0.32	0.0	0.0	0.0	52.98	1.71	12.09	0.0	1.17	0.06	1.95	0.25	1.71	17.85	2.39	0.35	124.73	0.0	1.19	1.61	126.49	56.86
Cpeb2	0.0	0.0	17.95	0.0	0.0	0.0	0.0	0.0	13.83	14.65	130.39	8.19	0.17	12.99	0.59	9.47	94.16	28.98	0.0	211.36	0.0	0.38	0.0	164.04	0.0
Cplx4	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.24	0.0	0.41	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.51	0.0
D030040B21Rik	2.64	0.75	5.11	0.03	7.91	1.73	0.0	3.18	2.82	1.8	0.26	2.74	2.09	2.62	3.07	7.78	3.47	1.51	7.32	21.3	7.4	2.13	3.52	6.59	13.47
D5Ertd605e	1.8	4.29	12.25	6.27	0.91	0.29	0.0	8.92	8.09	6.51	0.0	6.44	10.11	9.73	7.55	8.13	18.85	3.12	17.35	28.54	2.31	18.64	9.56	21.3	24.7
Dmrta1	0.0	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.1	0.0	0.0	0.69	0.08	0.0	0.27	0.55	0.0	0.0	0.0	0.4	0.0
Dqx1	1.34	2.57	0.67	0.65	2.15	1.01	0.0	1.16	2.8	2.09	0.0	1.1	4.53	2.43	5.63	2.34	10.05	3.73	3.79	21.45	4.37	2.97	5.48	14.46	12.95
Eif2ak2	17.07	16.32	98.19	0.13	19.2	10.16	0.0	38.06	39.58	38.8	2.01	35.66	103.94	71.51	72.9	94.26	124.71	59.79	222.5	135.88	54.83	70.63	38.83	106.88	97.37
Fadd	2.77	0.88	0.83	0.0	1.08	1.29	0.0	1.17	0.88	1.96	0.0	1.55	1.32	2.26	3.66	3.09	4.13	0.86	2.21	13.71	8.54	1.06	1.26	7.83	6.22
Fam177a	2.63	0.82	53.66	2.15	8.99	6.26	0.0	0.51	12.91	9.76	0.0	3.15	14.27	5.76	7.18	19.37	14.89	9.35	429.48	17.14	0.0	16.3	26.7	32.93	1.05
Fndc7	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.1	0.0	0.11	0.15	0.0	0.0	0.11	0.4	0.82	0.0	0.0	0.16	0.18	0.34
Frg1	0.0	52.32	3.73	178.62	0.0	0.0	0.0	0.0	59.78	58.96	0.0	69.59	165.46	106.08	182.44	145.48	143.97	26.34	644.01	927.53	43.36	24.58	162.41	0.33	447.41
Gcnt3	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.09	0.27	0.0	0.24	0.09	0.1	0.0	0.47	0.16	0.08	0.0	0.52	0.0	0.2	0.32	0.61	0.24
Gm14461	1.81	1.57	0.0	0.2	1.05	0.0	0.0	0.99	0.55	1.03	0.0	1.04	0.26	0.95	2.26	1.2	1.27	0.66	0.44	3.6	0.0	1.72	1.1	3.39	2.15
Gm20098	0.0	0.16	0.37	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.34	0.0	0.1	0.29	0.69	0.0	0.0	0.16	0.55	0.0
Gm4262	2.28	8.87	44.45	0.0	10.57	1.68	0.0	25.03	18.24	17.15	0.0	10.76	20.31	39.9	24.79	13.18	37.1	8.0	0.52	128.39	30.04	12.62	14.03	79.72	111.82
Gm5464	0.28	0.41	2.57	0.0	0.18	0.0	0.0	0.6	1.13	0.45	0.0	1.72	1.01	2.48	5.37	8.83	0.73	1.96	7.86	10.94	1.51	7.7	1.44	10.31	3.8
Gm5494	0.64	0.0	4.78	0.0	0.0	2.63	0.0	0.0	1.13	4.48	0.0	0.0	0.58	1.53	0.92	4.78	0.0	1.66	0.0	22.43	8.13	3.93	2.65	6.31	7.35
Gm6289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.95	0.0	0.0	0.0	0.52	0.59	0.0	0.0	0.0	0.0	0.0	0.0	3.48	0.0	0.0	0.0	3.46	0.84
Hdgfrp3	0.0	0.02	26.33	0.0	7.49	0.0	0.0	5.72	53.69	8.62	0.0	0.65	10.55	31.0	74.7	2.91	76.5	44.66	0.54	346.66	0.0	68.0	18.79	27.53	216.21
Hes2	0.0	0.0	0.24	0.0	0.0	0.64	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.16	0.0	0.0	0.0	0.0	0.0	1.25	0.0	0.34	0.04	0.2	0.59
Hist4h4	1.77	3.87	4.2	0.0	0.39	0.0	0.0	17.38	9.58	3.1	0.0	2.2	10.29	13.91	11.33	10.98	17.3	2.6	17.25	51.73	0.99	10.85	2.56	24.65	22.8
Hnrnph1	326.96	43.6	197.0	0.0	0.0	0.0	33.87	200.01	57.3	107.06	370.54	30.36	445.36	256.96	105.8	162.92	199.78	338.84	0.33	1691.39	35.39	444.01	226.02	291.14	839.34
Krit1	43.71	19.96	100.11	0.0	62.0	32.62	7.38	64.35	54.21	0.0	0.0	51.58	67.74	43.29	148.51	12.79	101.18	47.23	54.24	457.08	0.0	198.31	64.4	58.02	393.05
Lypd6b	0.0	1.58	0.0	0.0	0.0	0.14	0.0	1.14	0.0	0.0	0.0	0.0	1.03	0.68	0.43	0.62	0.6	0.0	1.66	3.0	0.0	0.38	0.17	2.03	1.67
Mcrs1	0.0	0.0	0.17	0.0	15.03	163.87	0.0	165.13	21.67	21.56	0.0	17.18	0.0	0.0	0.0	69.82	1.25	21.52	0.41	444.02	0.8	121.35	0.0	411.24	0.0
Mir3473d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.01	0.0	0.0	0.0	69.8	20.91
Mir690	26828.41	16968.11	25738.25	9673.58	18365.55	19376.41	5227.12	30464.78	30528.33	39867.27	0.0	42000.18	28765.87	28695.45	37370.15	37614.4	24336.09	32522.04	44948.68	42282.55	27759.51	21676.6	48007.3	23496.94	26521.64
Oas3	0.55	1.22	8.91	0.0	2.55	1.37	0.0	7.09	4.02	2.69	0.23	2.75	6.19	4.77	10.44	10.29	11.84	2.21	15.94	12.54	1.15	8.1	4.16	12.0	14.74
Olfr536	0.0	0.0	2.35	0.0	0.56	0.34	0.0	0.72	1.56	0.32	0.0	1.32	1.67	1.45	0.61	0.7	1.59	0.79	2.74	7.53	0.09	0.99	0.94	3.3	5.37
Ooep	1.71	5.68	2.38	0.0	2.3	0.79	0.0	0.0	0.91	2.28	0.0	1.34	0.41	1.89	0.0	0.61	1.13	0.44	2.81	12.16	4.47	0.74	1.35	6.61	0.0
Padi4	0.0	2.76	2.73	0.0	4.45	0.0	4.65	1.58	1.47	2.49	0.0	0.49	3.6	3.1	3.79	1.99	2.28	2.52	6.5	12.47	0.35	5.26	2.97	1.27	10.06
Phf6	0.09	0.0	7.52	0.0	0.0	0.0	0.0	141.83	4.93	28.56	0.08	50.52	73.9	40.7	67.38	0.0	0.76	0.08	76.51	774.56	0.0	19.67	0.04	0.0	466.67
Pja2	0.0	0.23	164.64	0.0	0.0	0.0	0.0	129.89	483.69	346.87	121.89	498.37	127.55	183.65	399.93	123.83	58.7	236.2	713.83	1372.87	0.0	497.53	366.83	478.22	0.0
Pla2r1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.02	0.16	0.0	0.0	0.11	0.16	0.0
Psg28	0.0	8.49	33.03	0.0	1.41	9.58	0.0	15.45	22.67	23.36	0.0	10.55	29.9	32.9	20.65	43.91	40.86	19.42	59.48	66.97	18.4	27.69	16.37	47.1	22.31
Rbm5	0.0	0.0	255.33	0.0	0.0	0.0	0.0	205.97	200.14	118.77	396.27	128.38	49.1	283.85	221.47	156.07	34.28	119.08	1044.71	941.64	0.46	611.23	447.25	396.79	565.94
Rnf168	4.07	14.78	8.8	0.0	6.12	6.46	1.67	11.05	5.19	31.83	0.48	14.06	12.91	11.33	14.91	7.95	12.82	7.76	8.09	97.31	9.49	20.81	7.04	105.51	24.49
Setd3	0.0	0.0	203.26	0.0	0.0	0.0	0.0	126.94	103.85	89.16	0.0	15.27	11.99	11.65	0.0	53.74	79.28	87.05	0.0	1178.42	0.0	9.5	68.98	162.98	648.38
Siglech	0.0	0.22	2.45	0.0	1.55	1.39	0.0	1.31	0.42	0.79	0.0	1.16	2.25	0.72	0.68	0.69	1.22	0.0	0.31	7.99	0.37	3.11	1.53	3.1	6.75
Slc7a10	0.0	0.0	9.98	21.32	0.0	0.0	0.0	0.67	0.0	0.0	0.0	1.01	2.48	0.0	0.0	1.44	0.0	5.69	0.0	22.31	0.0	0.0	0.0	16.08	10.11
Smarcc2	0.0	0.0	93.21	0.0	0.0	0.0	0.0	96.5	12.93	0.0	0.0	7.93	10.21	47.41	7.53	1.5	14.03	16.3	0.32	166.08	0.0	6.86	53.47	80.54	177.17
Synj2bp	12.66	238.93	208.36	0.0	20.5	48.35	23.18	121.75	160.58	156.23	73.24	125.08	244.62	170.16	259.85	286.63	274.74	162.42	398.92	286.91	132.84	142.55	124.57	234.2	198.07
Tcf4	40.93	211.57	123.07	155.35	30.68	181.94	41.43	199.42	97.77	34.63	22.52	71.45	39.2	25.03	12.66	31.79	93.47	65.54	264.85	248.75	8.37	252.42	182.58	417.46	276.7
Tet2	106.35	31.61	88.61	0.0	50.2	17.07	20.16	39.62	48.56	26.42	0.0	25.08	23.03	33.0	62.56	71.04	48.76	45.45	32.87	282.08	193.9	6.48	44.31	60.28	164.35
c15_tRNA-Gly-GGG	0.0	0.0	22.36	0.0	0.0	13.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.73	15.31	0.0	62.48	0.0	36.76	2.67	44.06	46.71
c18_tRNA-Gly-GGG	21.09	0.0	50.81	0.0	14.71	0.0	0.0	0.0	43.33	0.0	0.0	30.08	0.0	0.0	119.27	71.29	67.6	15.01	74.1	261.34	0.0	74.41	19.64	9.07	100.24
