	Chrna2_tdTpositive_cell_8	Htr3a_tdTpositive_cell_56	Ndnf_tdTnegative_cell_7	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Cstad	0.0	0.0	0.0	3.74	3.53	3.48
Ctnna2	44.66	66.27	0.0	89.21	93.31	92.12
Cubn	0.0	0.0	0.0	0.23	0.2	0.21
Cyp11a1	0.0	0.0	0.0	3.64	4.49	5.61
Cyp2a5	0.0	0.0	0.0	0.29	0.27	0.24
D330022K07Rik	0.0	1.37	0.0	3.97	3.26	5.42
D3Ertd254e	2.12	3.14	6.26	11.94	10.08	12.08
D6Mm5e	0.0	0.0	0.0	0.1	0.09	0.1
Dhrs2	0.0	0.0	0.0	0.08	0.15	0.08
Dok6	0.0	7.6	0.0	29.84	19.89	33.11
Dsc1	0.0	0.0	0.0	0.08	0.05	0.11
Dsn1	0.0	0.0	0.0	4.16	3.47	3.58
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Dusp2	0.0	0.0	0.0	1.23	0.99	1.21
Dyrk4	0.0	0.0	0.0	0.1	0.09	0.1
E030003E18Rik	0.0	0.0	0.0	13.19	10.67	11.31
E030018B13Rik	0.0	0.0	0.0	0.1	0.09	0.1
Ehf	0.0	0.0	0.0	0.02	0.15	0.08
Eif4ebp2	0.0	0.0	0.0	31.0	29.51	32.74
Epcam	0.0	0.0	0.0	0.24	0.36	0.35
F630111L10Rik	0.0	0.0	0.0	0.06	0.06	0.06
Fes	0.0	0.0	0.0	2.93	3.13	3.58
Fhit	0.0	0.0	0.0	6.15	3.86	5.08
Fkbp14	0.0	0.0	0.0	9.41	8.23	8.59
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Fv1	0.0	0.0	0.0	7.32	6.92	8.38
Fzr1	0.0	2.44	0.0	65.81	73.66	66.13
Gins3	0.0	0.0	0.0	2.99	3.01	2.2
Glt25d2	0.0	0.0	0.0	5.16	5.27	5.3
Gm10012	0.0	12.69	0.0	1.42	1.1	1.17
Gm10510	0.0	0.0	0.0	0.0	0.13	0.15
Gm11413	0.0	0.0	0.0	0.38	0.4	0.45
Gm14430	1.19	0.0	0.0	7.67	5.07	7.49
Gm14434	1.19	0.0	0.0	7.67	5.07	7.49
Gm16796	0.79	0.21	0.42	1.12	0.93	1.28
Gm4724	1.19	0.0	0.0	7.67	5.07	7.49
Gm6588	0.0	0.0	0.0	0.6	0.48	0.55
Grb7	0.0	0.0	0.0	2.31	2.21	2.26
Gzmk	0.0	0.0	0.0	0.0	0.24	0.13
Heatr8	0.0	0.0	0.0	3.84	2.77	3.38
Hey2	0.0	0.0	0.0	3.71	3.67	3.87
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hoxc8	0.0	0.0	0.0	0.04	0.04	0.09
Hs3st3a1	0.0	0.0	0.0	0.92	1.14	1.03
Hydin	0.0	0.0	0.0	0.28	0.39	0.43
Igj	0.0	0.0	0.0	0.34	0.82	0.69
Itfg3	0.0	0.0	0.0	11.98	12.24	12.65
Kcna7	0.0	0.0	0.0	0.0	0.1	0.06
Kcnk4	0.0	0.0	0.0	16.23	16.52	19.04
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Kif27	0.0	0.0	0.0	3.04	2.92	2.82
Lancl2	37.28	0.0	0.0	77.76	75.63	63.63
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lipg	0.0	0.0	0.0	3.53	3.25	3.08
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Lipt2	0.0	0.0	0.0	7.27	7.38	8.26
Lrrc36	0.0	0.0	0.0	0.81	0.63	0.67
Mapk3	0.0	0.0	0.0	172.96	195.71	185.16
Mmp21	0.0	0.0	0.0	0.32	0.2	0.22
Mstn	0.0	0.0	0.0	0.26	0.28	0.35
Ncapg	0.0	0.0	0.0	0.4	0.41	0.23
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nmnat3	0.0	0.0	0.0	2.48	3.15	2.18
Olfr1419	0.0	0.0	0.0	0.1	0.09	0.1
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Palb2	0.0	0.0	0.0	1.21	0.64	1.3
Pcdha8	0.0	0.0	0.0	0.65	0.35	1.17
Pcdhb11	0.0	0.0	0.0	3.33	3.64	2.52
Pcdhb15	0.0	0.0	0.0	3.88	3.31	3.09
Perp	0.0	0.0	0.0	5.12	5.12	4.69
Pkdrej	0.0	0.0	0.0	0.78	0.89	0.86
Pnpla7	0.0	0.0	0.0	8.8	8.12	9.0
Ppp1r3e	0.0	0.0	0.0	10.62	12.07	11.13
Rabep1	36.34	0.0	0.0	68.13	63.46	67.27
Rasgrf2	40.01	0.0	0.0	69.67	65.09	66.74
Rfc4	0.0	0.0	0.0	4.63	4.75	5.8
Rgsl1	0.0	0.0	0.0	1.76	1.99	2.57
Rhcg	0.0	0.0	0.0	0.71	0.63	1.17
Rpa2	0.29	0.0	0.0	13.28	13.98	13.07
S1pr5	3.65	0.0	0.0	13.6	15.22	18.08
Sepsecs	0.0	0.0	0.0	9.28	8.32	10.06
Shb	0.0	0.0	0.0	9.92	11.14	9.47
Six3os1	0.0	0.0	0.0	2.5	2.83	2.72
Slc25a26	0.0	0.0	0.0	17.24	19.32	19.14
Slc25a38	1.62	0.0	0.0	26.29	27.79	27.01
Slc26a10	0.0	0.0	0.0	5.83	6.27	5.97
Slc27a2	0.0	0.0	0.0	6.96	6.93	5.86
Slc29a4	0.0	0.0	0.0	9.37	9.23	10.36
Slc35d3	0.0	0.0	0.0	7.06	8.28	6.71
Slfn4	0.13	0.0	0.07	0.13	0.25	0.24
Smarcal1	0.0	0.0	0.0	28.41	26.9	27.76
Snrnp35	0.0	0.0	0.0	12.82	14.69	11.52
Spata9	0.0	0.0	0.0	2.49	2.44	2.08
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tek	0.0	0.0	0.0	9.28	8.12	9.12
Tex15	0.0	0.0	0.0	0.36	0.16	0.3
Tfap4	0.0	0.0	0.0	2.63	2.34	2.37
Tgfbr1	0.0	0.0	0.0	14.52	13.61	13.99
Tmem5	0.0	0.0	0.0	34.77	36.92	33.19
Top1mt	0.0	0.0	0.0	16.82	16.83	16.92
Tsc22d1	183.15	3.73	134.48	468.35	489.61	431.55
Ttc30b	0.0	0.0	0.0	12.58	13.37	12.32
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Ttc7	0.0	0.0	0.0	6.53	5.61	7.2
Ttll12	0.0	0.0	0.0	10.33	11.32	9.88
Txndc2	0.0	0.0	0.0	0.12	0.11	0.12
Usp1	0.0	0.0	0.0	21.59	20.18	20.61
Usp30	0.0	0.0	0.0	35.67	35.77	36.43
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Wdr52	0.0	0.0	0.0	2.13	1.65	2.07
Wdr8	0.0	0.0	0.0	24.48	29.39	27.58
X99384	0.0	0.0	0.0	6.96	9.09	8.22
Xrra1	0.0	0.0	0.0	1.43	1.34	1.24
Zbtb37	0.0	0.0	0.0	5.76	3.65	5.63
Zbtb40	0.0	0.0	0.0	4.86	4.28	3.86
Zfhx4	2.89	0.0	0.0	2.8	2.61	3.19
Zfp69	0.0	0.0	0.0	1.38	1.18	1.3
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
c17_tRNA-Ala-GCY_	0.0	0.0	0.0	47.72	21.62	33.42
c2_5S	0.0	0.0	0.0	29.95	30.39	32.11
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
