	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_12	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_24	Ntsr1_tdTnegative_cell_28	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_23	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_22	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Cndp2	0.0	0.0	0.0	0.0	0.0	794.85	8.87	0.0	0.16	0.0	0.32	0.0	0.0	0.0	1206.68	0.0	0.0	0.0	0.0	0.0	0.0	46.38	47.02	44.25
Cst3	11923.09	66199.78	54350.96	0.73	407.47	64380.72	1911.04	59768.12	79037.77	54056.74	67515.86	70378.51	61656.06	72390.07	61052.51	80478.24	3.74	95318.24	75159.39	84616.84	421.98	1961.51	2186.93	2204.12
Cyyr1	0.0	0.0	0.23	0.0	0.0	0.76	0.22	0.34	0.16	0.0	0.32	0.0	0.0	0.0	1.83	0.0	0.0	0.0	0.94	0.43	0.0	3.47	2.83	2.85
Dock2	0.0	64.67	0.0	0.0	0.0	80.19	0.0	30.26	0.0	329.47	121.51	0.09	0.0	0.0	554.85	0.0	0.0	0.0	0.0	0.0	0.0	2.07	1.88	2.21
Dusp6	403.1	440.09	7.69	0.0	0.0	1139.9	80.77	2442.38	0.58	2363.87	1976.61	2564.77	133.97	602.87	4898.75	342.15	0.19	355.25	819.64	0.22	0.0	88.77	75.96	53.66
Elk1	0.0	3.47	9.24	1.58	1.9	12.66	13.52	6.51	9.87	8.2	11.33	7.47	6.2	5.43	16.18	4.94	3.16	4.98	10.21	3.79	0.73	51.78	51.99	55.21
Ercc4	0.05	0.97	2.61	0.82	0.65	2.67	4.06	6.94	6.05	1.52	2.61	3.58	3.2	1.7	4.51	1.51	0.47	0.99	1.27	2.62	0.0	11.49	11.57	11.64
Fmnl1	0.0	188.27	0.0	0.0	0.15	0.0	15.25	0.0	0.08	397.74	0.0	0.0	0.0	0.0	250.65	0.0	0.0	7.55	0.0	0.0	0.0	75.04	73.44	69.71
Gigyf1	0.0	10.19	0.0	0.09	59.53	107.21	16.67	70.43	3.11	0.0	0.23	73.59	0.0	2.79	162.5	29.28	2.29	44.68	66.61	0.0	0.0	34.53	40.61	39.7
Gm20098	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.09	0.37	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.09
Gmfg	0.0	0.0	84.15	0.0	0.0	986.07	0.0	0.0	0.0	0.0	553.05	0.74	222.49	153.95	1114.94	0.0	0.0	0.0	0.0	0.65	0.0	1.03	1.36	1.27
Hcn1	0.0	0.0	0.0	0.0	0.0	0.0	27.37	0.0	0.0	0.05	0.0	0.09	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	28.29	25.28	29.23
Itpr2	0.0	0.0	0.0	0.0	0.0	0.0	2.24	0.0	0.0	270.65	0.0	0.0	0.0	7.72	265.21	0.0	0.0	25.37	0.0	0.0	0.0	6.05	5.63	7.73
Junb	0.0	43.63	1.52	0.0	0.0	46.58	0.0	603.37	8.84	72.29	83.79	0.0	93.84	2.42	299.1	255.07	0.0	50.76	31.45	17.99	0.0	196.13	175.03	93.13
Kcnj5	0.0	0.0	0.4	0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	1.41	0.71	0.0	0.0	0.0	0.0	0.0	0.53	0.69	0.74
Lrp1	0.0	0.85	5.77	0.0	0.0	48.69	5.35	103.85	26.7	16.48	1.7	2.05	108.29	0.04	131.65	0.0	0.0	0.07	33.25	1.51	0.0	105.31	103.13	117.97
Maneal	0.0	0.0	0.0	0.0	0.0	0.0	18.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	49.82	52.61	50.28
Med7	0.0	173.19	0.0	0.0	0.0	408.38	27.19	0.0	0.15	0.0	0.0	0.16	0.0	0.0	925.87	0.0	0.0	0.0	0.0	0.0	0.0	14.79	13.85	14.57
Mef2c	0.0	213.02	525.31	0.0	0.83	704.45	270.91	691.45	12.03	424.3	112.86	143.45	0.1	134.26	619.34	4.75	0.0	359.59	0.09	150.07	0.0	269.78	247.15	258.84
Nav2	5.9	0.0	1.92	0.0	0.0	0.0	13.88	7.52	0.12	7.42	20.02	0.03	0.0	0.03	241.99	0.04	0.0	0.0	0.11	54.62	0.0	19.69	18.55	23.2
Neurl1b	0.0	0.0	0.0	0.0	0.0	0.32	5.4	0.0	0.0	0.06	0.21	0.0	0.11	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	23.14	25.67	23.69
Opa3	0.0	11.16	5.36	0.24	0.59	4.98	6.35	6.38	8.44	20.04	8.52	7.62	11.97	5.15	18.16	3.77	4.72	3.1	5.99	5.49	2.37	39.03	38.32	41.46
Ppm1a	0.0	0.0	0.0	0.0	0.0	0.0	29.2	0.0	0.23	0.0	0.0	0.0	0.24	0.07	547.04	0.0	0.0	0.0	0.0	281.57	0.0	150.18	150.39	144.09
Prosc	0.0	0.0	0.0	0.0	0.0	0.0	24.93	54.73	0.0	538.18	0.18	0.1	0.19	0.26	496.82	0.0	0.0	0.0	22.26	0.0	0.0	53.57	53.66	50.45
Ptpn2	0.0	0.0	0.04	0.0	0.0	0.08	78.56	69.77	0.04	0.09	0.81	0.12	0.24	591.65	965.25	0.75	0.0	0.0	0.0	0.08	0.0	20.3	15.34	19.24
Qser1	0.0	0.0	0.0	0.0	0.0	0.0	0.29	21.6	0.0	259.89	0.08	73.95	0.0	32.68	117.94	0.0	0.0	0.0	0.0	0.02	0.0	7.33	6.0	6.65
Rbck1	0.0	0.0	0.0	11.19	0.0	0.0	10.5	0.0	151.81	0.0	0.29	0.16	0.0	103.8	271.89	0.0	0.0	0.0	0.0	0.0	0.0	79.28	84.43	85.27
Rnd1	0.63	7.89	1.34	4.07	1.17	6.31	13.78	8.47	5.09	19.38	18.14	1.24	2.64	2.14	17.09	2.43	0.32	1.03	0.0	0.74	0.91	25.31	23.14	23.7
Slc7a2	0.0	0.15	0.0	0.07	0.0	1.23	1.36	1.34	0.23	1.26	0.78	0.45	0.27	0.25	0.61	0.33	0.1	0.2	0.28	0.0	0.0	13.05	12.6	13.08
Slmap	0.0	6.37	0.0	0.0	0.0	433.19	24.84	4.65	5.37	0.42	99.74	0.08	0.15	8.88	909.43	0.0	0.0	0.0	1.6	487.56	0.0	69.68	63.5	66.24
Snx29	0.0	204.74	0.0	0.0	0.0	429.35	3.63	2.8	20.49	519.6	1.21	0.26	279.73	0.0	510.45	0.0	0.0	0.0	0.0	1.39	0.0	8.46	7.76	9.3
Ttc26	0.0	0.72	1.47	0.57	0.87	5.81	4.09	10.08	3.15	5.91	2.75	1.42	7.13	1.07	7.42	1.69	0.69	0.53	0.75	1.91	0.18	8.87	7.78	7.86
Zcrb1	0.0	0.0	0.0	0.0	0.0	0.0	16.27	3.93	0.0	0.0	0.0	0.45	0.0	0.0	436.24	0.0	0.0	0.0	0.0	0.0	58.05	86.85	91.07	90.3
Zzz3	0.0	0.0	0.0	0.0	0.0	0.0	13.37	2.03	0.04	234.62	0.0	0.05	0.23	0.0	217.75	0.0	0.0	0.0	0.0	0.0	0.0	23.42	21.15	25.04
c2_LSU-rRNA_Hsa	11.87	20.3	21.72	51.73	6.82	111.46	152.11	95.14	205.85	75.34	159.75	169.72	191.37	140.98	177.37	51.21	26.04	76.43	63.99	25.19	29.65	267.85	257.53	283.64
