	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_28	Chrna2_tdTpositive_cell_30	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Cux2_tdTpositive_cell_98	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_96	Vip_tdTpositive_cell_30	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Arap2	0.0	0.0	0.0	0.07	33.06	0.0	0.0	0.0	0.0	0.0	0.0	32.45	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.03	0.08	7.96	10.58	0.0	0.06	43.49	34.53	0.0	0.02	0.0	6.45	0.0	1.88	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	48.88	34.91	41.01	43.79	37.01	43.26
Atxn7l2	0.0	0.0	0.0	0.0	0.57	0.0	0.0	0.0	0.0	0.0	0.0	46.56	0.0	0.0	9.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.02	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.43	0.0	0.0	0.04	0.0	0.0	0.0	6.84	0.0	0.0	0.0	2.87	0.0	0.0	0.0	0.0	2.97	1.94	2.42	16.71	18.1	19.86
BC055004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.09
Bcar3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	52.24	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	11.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	5.04	6.03	5.24	10.14	10.93	10.69
Bcor	3.39	0.0	0.0	0.0	0.0	0.0	2.07	0.0	0.0	21.02	0.0	24.45	0.0	0.0	0.0	0.0	0.0	0.0	24.82	0.02	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.67	0.0	1.59	2.72	0.0	0.02	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.04	0.0	2.06	0.0	0.0	2.12	3.0	2.3	13.55	13.42	12.87
Capn11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	1.26	0.24
Ccdc79	10.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.05	0.64	0.0	0.0	0.0	1.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.44	0.0	0.0	0.0	0.0	4.94	0.0	0.0	1.59	0.0	5.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11	1.4	1.88	1.1	1.16	0.79
Cntn5	0.0	0.0	0.0	0.0	0.0	19.39	0.0	0.0	0.0	2.69	18.88	131.66	0.06	7.98	0.0	20.53	0.0	0.0	7.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.13	0.0	0.0	0.0	0.0	0.0	0.0	5.58	0.19	0.0	7.56	0.0	0.15	14.13	0.0	0.0	0.0	0.0	0.0	10.73	0.0	0.0	18.23	3.12	1.23	1.15	5.84	4.68	5.03
Cyp2ab1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.04
D930014E17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.54	92.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.91	0.0	0.0	0.0	0.0	0.0	0.0	35.37	11.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.92	0.0	0.0	0.0	1.92	1.84	0.37	4.06	4.11	3.44
Dkk4	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.12	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.08	0.0	0.0
Dnase1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.08	0.0	25.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	17.2	0.0	0.0	0.0	0.0	8.62	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.54	0.55	4.66	5.65	5.08
Dock5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.03	3.36	3.06	3.84
Efcab10	0.0	0.0	62.96	0.0	76.39	0.0	0.0	0.0	0.0	0.0	0.0	88.64	0.0	0.0	0.0	0.0	0.0	67.01	0.0	0.0	34.38	57.65	0.0	33.67	29.02	0.0	0.0	0.0	0.0	0.0	0.0	32.53	0.0	0.0	0.0	23.78	86.67	0.54	0.0	7.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.47	0.0	0.0	13.27	13.09	14.87	3.2	3.6	3.83
Epc1	0.92	0.23	0.0	0.0	0.13	1.35	12.06	17.51	0.0	5.56	0.04	58.08	0.06	0.0	0.0	0.0	28.86	10.02	0.03	2.6	0.0	15.73	9.55	0.91	6.93	3.38	2.36	0.0	0.0	0.0	6.57	18.63	0.0	2.71	2.48	9.16	0.0	0.54	0.0	9.78	0.0	0.0	23.77	4.37	0.0	0.0	5.89	0.0	0.56	3.55	2.45	9.64	10.63	6.46	30.79	31.26	29.54
Fam161a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.73	0.18	5.25	3.02	2.9	3.23
Fancg	33.98	0.0	0.0	46.2	0.0	36.45	0.0	0.0	0.0	0.0	0.05	99.23	10.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.57	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	22.93	0.0	12.46	0.06	0.0	0.0	0.0	0.0	0.0	84.17	0.54	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	4.42	3.57	10.15	10.8	12.89
Fastkd5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	77.67	0.0	0.0	0.0	0.0	0.0	0.0	5.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	1.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.43	16.34	12.48	7.6	6.7	5.72
Fgfr2	0.0	0.0	12.13	0.0	0.0	0.0	0.16	0.0	0.0	0.0	5.24	36.78	19.97	1.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	8.13	0.0	0.0	0.0	4.38	0.0	0.05	16.19	0.0	0.0	28.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	2.44	20.36	21.07	22.66
Foxk1	0.0	0.0	0.0	0.05	0.11	0.0	0.0	0.0	0.0	0.0	0.01	6.24	0.02	0.0	0.0	0.06	0.0	0.03	0.04	0.58	0.07	0.0	0.0	0.0	0.0	0.03	0.04	0.0	0.0	0.77	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.02	0.07	0.0	3.66	0.17	0.69	0.0	0.0	0.0	0.08	0.0	0.0	0.67	0.64	0.6	23.74	24.68	24.65
Gm14405	0.0	0.0	8.2	0.0	2.19	0.0	0.0	0.0	0.0	0.18	0.0	32.66	3.77	0.31	0.0	14.89	0.32	0.0	0.0	0.01	0.0	0.0	0.95	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.52	0.0	0.09	0.16	0.0	0.32	0.0	0.0	0.07	0.06	1.48	0.32	0.88	0.0	0.23	0.28	0.0	0.0	0.0	0.0	0.0	0.19	0.45	1.29	0.62	1.38	1.14
Gm1976	151.89	0.04	1.08	102.76	90.33	82.84	47.13	137.41	2.83	0.16	0.86	388.01	1.72	47.57	0.0	0.8	8.06	0.12	0.61	18.46	1.06	38.8	0.18	0.0	7.45	7.07	1.25	0.55	0.28	0.2	0.64	0.16	0.35	47.6	1.89	61.47	0.18	0.75	0.27	0.08	7.32	0.29	1.28	100.89	90.34	91.74	8.33	0.28	71.11	0.0	0.0	105.23	88.39	82.42	34.3	32.06	31.76
Gm5475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	48.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.72	0.0	0.09	0.18	0.08
Gm6150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.03	0.03
Gnb3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.05	0.17
Golga3	3.25	47.89	0.16	38.56	0.53	0.0	4.19	0.0	51.57	0.12	9.22	123.32	1.04	5.26	4.66	0.0	1.29	23.71	5.45	11.84	25.69	16.84	1.36	2.15	20.13	0.0	0.0	0.0	7.7	16.64	0.24	0.11	1.42	1.73	5.66	5.75	31.0	0.63	0.39	7.36	0.44	5.53	0.19	0.1	3.78	0.0	11.06	4.3	0.19	0.0	12.63	9.39	9.49	9.93	30.4	28.12	31.03
Grik4	0.0	0.0	1.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.34	0.0	0.0	0.0	0.12	0.0	0.0	0.03	0.0	0.18	0.0	0.0	0.09	1.2	0.0	0.83	0.0	0.0	2.62	0.17	0.0	0.4	0.0	0.0	1.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87	0.0	1.01	0.43	0.88	1.39	18.45	18.49	20.93
Gtf3c2	1.52	36.84	10.52	0.0	5.49	0.07	0.0	0.0	25.13	21.47	58.62	93.98	0.05	0.0	0.0	0.0	0.0	0.0	0.21	1.96	15.67	0.06	0.0	0.0	38.18	0.0	0.0	0.0	13.71	0.0	18.58	0.0	0.0	0.0	0.0	29.32	0.0	1.56	0.03	1.4	0.12	33.06	3.17	0.0	20.14	7.04	0.0	0.0	0.0	9.25	0.0	23.85	16.12	14.83	37.4	36.75	38.16
Hsh2d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25
Htr1b	0.0	0.0	0.0	0.0	3.42	0.0	0.0	0.0	0.0	0.0	0.0	8.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.14	0.75	10.36	8.65	9.29
Iqce	0.0	1.41	0.0	0.0	2.24	0.0	0.0	0.0	0.0	0.47	0.03	26.4	0.57	0.0	0.0	0.0	0.0	1.47	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.15	0.0	7.66	0.76	0.0	0.06	0.0	0.0	0.78	6.42	0.0	0.0	0.0	1.42	0.0	4.41	0.0	0.0	34.18	0.0	0.0	0.0	4.56	0.0	0.0	4.41	3.52	1.98	17.59	18.54	18.74
Klk10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.14	0.23
Lama5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.73	0.0	0.0	0.0	3.79	4.02	4.04
Malt1	0.89	1.49	2.69	1.0	2.35	1.15	1.61	1.83	9.35	2.37	4.57	14.58	2.73	1.63	6.01	3.39	3.63	1.77	1.34	1.39	11.23	1.81	2.08	2.85	2.05	1.74	2.17	1.46	1.99	1.51	2.1	1.68	2.57	2.1	2.1	3.57	2.27	3.21	0.8	1.57	3.48	6.45	4.48	3.29	2.33	3.86	1.12	0.89	3.2	2.87	0.95	3.68	3.61	2.1	7.04	4.96	6.17
Mamdc4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	6.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.96	0.95	0.79
Mir23b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.63	0.0	8.15
Mir27b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7	15.28	5.58
Mir3074-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.06	5.39	8.37
Mir697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.06	0.0	1.4
Mlst8	72.56	0.0	59.36	0.15	0.0	0.29	0.0	0.0	0.0	0.0	0.82	134.53	0.0	51.87	0.0	5.7	0.0	0.0	0.0	30.53	0.0	19.93	3.24	1.4	11.64	0.0	37.19	0.0	2.74	24.25	29.09	0.0	0.0	0.16	45.13	9.9	0.0	36.34	4.62	0.0	53.19	0.0	0.0	0.0	0.0	0.0	0.0	2.09	0.0	0.0	1.05	7.65	12.72	9.67	28.77	29.74	31.75
Neurl1b	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.08	2.68	0.0	0.0	0.22	0.0	0.0	3.91	0.0	0.0	0.0	0.04	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.02	0.0	0.07	5.28	0.0	0.11	0.04	0.03	0.0	0.08	0.0	0.01	0.0	0.0	0.0	0.0	0.05	0.0	0.0	6.24	6.03	7.82	23.14	25.67	23.69
