	Pvalb_tdTpositive_cell_69	PvalbF.Gad2_tdTpositive_cell_57	PvalbF.Gad2_tdTpositive_cell_63	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Tle1	0.0	0.09	0.0	21.48	23.56	22.5
Tle2	0.0	0.42	0.0	25.91	26.26	26.72
Trak2	0.24	16.51	0.55	105.63	100.92	106.39
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Tulp4	16.51	9.28	4.09	59.3	56.91	65.23
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Wdr7	21.58	23.93	7.32	86.74	85.95	84.87
Wscd2	0.68	0.0	0.26	36.78	36.67	38.34
Yeats4	1.08	3.7	21.2	43.51	49.02	47.64
Yipf7	0.0	0.0	0.0	0.08	0.08	0.09
Zim1	0.0	0.0	0.0	2.05	2.14	2.2
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	5.86	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
