	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_23	Calb2_tdTpositive_cell_39	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_18	Cux2_tdTpositive_cell_50	Cux2_tdTpositive_cell_51	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_65	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_19	Nr5a1_tdTpositive_cell_27	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_38	Nr5a1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTnegative_cell_50	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_69	Rbp4_tdTpositive_cell_79	Rbp4_tdTpositive_cell_96	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_136	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_34	Rorb_tdTpositive_cell_35	Scnn1a.Tg2_tdTpositive_cell_17	Scnn1a.Tg2_tdTnegative_cell_10	Scnn1a.Tg3_tdTpositive_cell_16	Scnn1a.Tg3_tdTpositive_cell_35	Scnn1a.Tg3_tdTpositive_cell_37	Scnn1a.Tg3_tdTpositive_cell_44	Scnn1a.Tg3_tdTpositive_cell_55	Scnn1a.Tg3_tdTpositive_cell_62	Scnn1a.Tg3_tdTpositive_cell_88	Scnn1a.Tg3_tdTpositive_cell_92	Scnn1a.Tg3_tdTpositive_cell_94	Scnn1a.Tg3_tdTpositive_cell_97	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_VISp_Contra_tdTpos_cell_4	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Bai2	0.0	0.25	6.51	0.38	1.6	0.08	0.0	0.41	6.0	0.54	0.59	0.28	1.48	5.88	1.61	0.39	0.36	0.05	0.64	0.93	0.23	0.54	0.19	0.64	0.0	0.0	0.0	0.56	0.11	0.7	0.0	0.08	0.66	0.0	0.0	0.0	0.0	1.95	0.43	1.57	48.15	1.12	1.4	0.81	2.11	0.4	231.59	239.36	249.07
Bbx	0.45	3.17	15.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	20.92	2.84	0.06	0.0	2.73	0.0	2.91	46.78	6.72	27.52	32.27	0.16	0.0	0.0	2.34	1.02	0.1	0.0	0.01	1.41	33.99	35.3	0.0	0.24	3.71	0.0	0.0	16.3	3.02	29.27	49.2	0.42	4.1	4.46	4.74	1.56	10.14	8.8	11.16
Bglap-rs1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93	0.0	0.0	0.0	0.0	0.95	0.7	0.0	0.0	0.72	0.31	49.11	0.0	79.01	0.0	0.0	5.81	0.0	0.0	73.87	0.0	18.38	116.62	0.0	0.0	0.0	69.39	536.62	0.0	0.0	0.0	136.75	0.29	627.37	0.98	0.0	0.0	0.0	0.9	1.87	1.44	2.43
C77080	0.0	0.0	0.0	35.99	0.0	2.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.17	2.81	2.29	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.35	0.0	0.04	0.0	3.35	0.0	0.0	1.42	0.0	15.76	0.0	0.0	70.64	0.09	40.13	7.61	0.63	0.72	0.66	0.0	11.13	11.47	11.18
Ccl2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.13
Cdc34	0.0	0.0	0.0	0.0	1.26	109.33	0.0	0.0	3.24	0.0	0.0	0.0	2.2	0.0	0.0	0.0	0.99	1.13	0.18	0.0	0.0	2.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	131.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.06	64.52	29.78	5.08	7.51	5.35	0.0	49.82	54.76	52.75
Cdon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.02	0.0	2.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	34.15	0.04	0.45	0.33	0.85	0.0	6.17	5.86	5.96
Cenpj	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.45	0.0	0.0	0.0	0.0	15.28	0.03	4.88	0.0	0.39	3.13	1.93	1.67	1.63
Cnih4	1.45	5.12	26.51	0.81	59.12	2.19	1.46	21.43	35.5	71.91	86.49	29.66	1.31	6.92	0.99	1.91	0.35	2.22	25.6	3.28	23.92	22.23	12.8	34.51	0.5	0.3	1.43	15.72	2.03	12.3	1.83	106.89	29.13	34.97	187.07	0.0	0.54	2.19	0.99	0.46	174.18	15.83	16.86	16.79	26.49	1.86	24.27	25.27	25.74
Cstf2t	6.5	39.69	0.0	132.44	43.96	96.25	59.49	34.53	0.0	0.0	37.68	0.1	172.08	54.07	118.73	33.9	82.94	0.0	83.07	28.15	75.64	33.76	110.33	72.25	28.96	91.38	28.43	49.97	20.27	55.93	11.27	29.65	38.07	1.12	48.8	210.97	0.0	97.88	52.4	11.27	171.51	47.5	69.56	50.43	44.93	191.13	61.57	66.37	60.58
Cyp11a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.42	0.0	0.0	0.0	0.0	0.0	36.09	0.0	0.0	0.0	0.0	0.0	0.0	5.77	5.92	0.0	5.62	23.5	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.89	0.0	0.0	0.0	0.0	0.09	104.04	0.31	2.21	7.26	9.9	1.7	3.64	4.49	5.61
Cyp4b1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	137.08	0.51	0.32	0.0	0.75	0.0	0.8	0.65	0.77
Dnttip2	222.57	0.0	54.91	0.43	0.19	1.2	168.27	45.61	24.76	47.08	129.16	18.17	0.0	0.0	98.85	0.21	19.49	0.11	29.03	86.71	39.72	35.24	109.55	0.0	100.65	128.92	59.14	87.81	1.63	1.2	102.22	111.1	125.09	58.25	0.0	0.18	0.0	160.25	57.18	39.87	155.65	113.17	79.83	61.05	60.58	0.85	21.1	18.52	16.99
Dppa4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dr1	0.0	0.0	0.0	162.9	0.0	19.93	0.0	15.22	56.13	0.0	0.0	0.0	0.0	0.0	48.23	0.0	0.0	0.0	1.1	0.0	122.51	0.0	0.0	0.0	49.57	0.0	0.0	0.0	104.91	0.0	26.29	30.58	2.31	0.0	0.0	0.0	0.0	0.0	0.0	0.11	171.5	0.13	3.0	2.34	7.65	37.53	41.32	40.01	35.96
Eda2r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.14	0.16	0.15
Eif3f	0.0	0.0	29.26	72.27	0.0	0.0	0.0	0.0	109.86	0.0	0.0	0.64	72.89	0.0	0.29	0.0	53.13	0.0	0.08	19.55	0.0	3.74	0.0	0.0	0.0	0.38	0.0	0.0	24.21	6.13	0.0	0.0	0.0	0.36	0.0	0.0	0.0	92.77	0.75	9.93	109.27	0.11	9.66	6.31	11.26	1.38	119.78	136.1	125.5
Extl3	51.07	115.58	36.63	19.11	0.44	31.64	91.91	26.06	0.55	34.22	0.14	13.18	3.58	26.35	45.42	50.0	17.21	55.67	71.53	0.11	25.37	18.96	0.0	53.23	16.48	19.72	24.36	1.51	7.48	59.54	96.06	0.0	6.66	71.04	75.51	25.2	39.33	81.77	0.37	171.21	127.55	95.75	0.79	4.72	6.72	0.39	77.78	77.85	79.78
Fam18a	0.0	0.0	0.0	21.68	66.57	0.0	0.0	110.69	0.4	0.0	0.13	0.0	0.0	95.06	0.0	0.0	2.24	0.0	7.26	0.0	0.0	5.85	0.0	0.0	0.0	0.0	0.0	0.0	7.35	0.0	0.0	0.0	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.05	118.52	0.25	12.92	12.91	13.96	0.0	28.17	30.48	28.58
Fam82a2	0.0	0.0	26.16	0.0	0.0	3.84	0.0	0.7	0.0	0.0	0.0	8.74	0.0	70.75	150.26	118.08	71.54	0.04	0.05	0.0	0.0	0.0	146.33	0.0	29.79	66.26	34.12	0.0	0.0	17.53	146.44	129.69	132.35	0.0	0.0	8.05	0.0	115.02	137.82	0.51	396.54	1.58	30.88	22.57	22.15	100.66	49.39	51.28	51.65
Gabra6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.08
Gdf6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Glud1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.24	0.0	0.25	0.0	0.0	18.17	0.0	11.84	0.0	0.19	0.0	0.0	23.85	0.4	0.0	0.42	0.0	4.77	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	11.73	8.37	0.1	15.09	0.09	7.16	16.95	27.74	0.0	180.31	196.86	186.58
Gm13238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.45	0.0	0.0	0.0	0.0	0.0	1.31	1.18	2.85
Gm3317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.07	0.0	0.0	0.16	0.0	0.0	2.05	0.0	0.0	0.0	0.0	0.2	0.0	8.23	0.0	1.75	0.0	13.25	0.0	0.0	0.0	0.0	0.0	8.13	0.0	0.0	0.0	0.0	0.0	0.0	2.74	8.57	0.0	2.65	0.88	0.92	0.0	2.38	2.75	2.9
Gm3494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.07	0.0	0.0	0.16	0.0	0.0	2.05	0.0	0.0	0.0	0.0	0.2	0.0	8.23	0.0	1.75	0.0	13.25	0.0	0.0	0.0	0.0	0.0	8.13	0.0	0.0	0.0	0.0	0.0	0.0	2.74	8.57	0.0	2.65	0.88	0.92	0.0	2.38	2.75	2.9
Gpr125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.64	0.0	0.0	0.0	0.0	0.0	73.75	33.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	83.38	0.15	1.26	0.46	0.0	0.0	11.86	12.81	12.45
Hnrnph3	0.36	60.9	0.0	227.96	0.0	40.8	0.0	93.27	2.57	81.44	0.0	125.83	0.0	0.0	0.0	102.08	0.0	33.37	0.0	78.8	98.78	57.04	0.0	62.33	28.87	0.0	22.84	0.0	86.44	0.0	0.0	0.0	24.82	0.0	0.0	75.82	35.7	50.51	401.15	218.69	133.02	0.29	15.89	21.0	23.02	79.75	28.62	29.1	30.71
Homez	1.92	1.05	0.66	0.18	1.17	1.62	0.23	0.88	0.37	0.1	0.81	0.58	0.09	0.3	0.46	0.69	0.25	2.06	0.65	0.18	0.21	1.1	0.68	0.0	0.25	1.68	1.88	0.21	0.18	0.34	0.62	0.42	0.55	0.64	0.83	0.0	1.38	1.47	3.1	0.4	47.27	0.08	2.12	0.33	2.49	0.64	7.39	7.26	6.69
Hspa4l	148.65	0.0	24.13	71.89	31.65	80.24	0.0	0.0	151.53	116.54	48.82	93.24	293.51	55.08	93.1	219.46	144.44	93.44	55.94	0.86	28.0	0.58	1.32	28.47	10.11	21.25	42.16	0.0	1.59	24.98	108.61	164.67	132.11	105.07	0.0	122.17	0.0	0.0	0.0	106.81	241.6	0.95	34.79	24.95	34.47	109.27	86.15	73.8	86.7
Hyls1	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.81	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.31	0.0	0.0	0.0	9.83	0.0	0.0	118.68	0.17	5.71	4.46	7.29	0.0	8.0	7.49	5.88
Ido1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	160.62	0.18	0.0	0.22	0.0	0.0	3.14	3.68	2.85
Igfbp5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.21	56.16	0.0	0.0	0.1	0.0	0.47	4.09	0.08	60.13	0.01	1.45	0.0	0.0	0.0	115.17	1.11	30.0	0.0	16.69	0.0	67.33	11.71	0.0	7.16	0.0	40.33	0.0	0.45	0.0	0.0	0.0	0.17	122.5	0.25	3.58	1.69	0.12	0.0	67.7	69.54	70.69
Il12rb2	0.0	0.0	0.54	0.0	0.31	0.0	5.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.41	0.0	0.0	0.0	0.1	18.68	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.81	0.0	0.0	0.0	0.0	0.0	40.54	0.0	1.72	1.17	1.53	0.0	2.27	1.95	3.31
Inhbc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.1
Itgae	0.0	0.17	0.0	0.06	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.09	0.0	0.0	0.18	0.07	0.21
Itgb3bp	0.0	0.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.49	0.0	7.2	0.0	0.0	0.0	0.0	0.0	14.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	130.9	0.2	6.63	2.64	3.55	0.0	2.77	2.07	2.46
Kcnk12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	11.08	14.75	13.8
Klhl17	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	9.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.9	87.0	0.0	0.0	0.0	0.0	5.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.07	0.0	0.0	0.0	54.37	119.18	0.32	4.15	9.8	10.69	0.34	35.96	37.53	40.54
Krba1	0.0	0.0	0.0	0.17	0.0	0.93	0.0	0.07	31.18	0.0	1.4	0.72	0.08	8.52	0.0	0.0	0.01	0.04	0.05	0.38	0.0	48.47	0.06	16.66	0.0	0.0	0.04	0.0	16.42	0.0	0.08	0.0	0.74	0.0	0.0	0.0	0.0	42.19	2.18	0.07	0.05	0.08	1.55	2.62	2.74	0.29	18.03	18.34	19.19
Krtap4-9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lad1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.29	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.16	0.17	0.09	0.0	0.0	0.0	0.0	1.48	1.8	1.46
Lef1	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.08	0.0	0.0	0.18	0.2	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.38	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	7.64	0.06	0.0	0.0	0.0	0.0	3.5	3.38	4.0
Lipt1	0.0	0.0	120.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	111.5	109.99	10.34	17.77	5.9	73.43	6.86	6.46	6.82
Lmbr1l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.04	0.0	0.0	0.0	0.0	2.22	0.0	0.0	0.0	0.0	0.0	0.08	30.72	0.0	0.0	0.0	0.0	0.0	10.73	11.03	8.7
Lrrc3	3.35	3.19	2.65	2.25	1.61	2.95	2.36	3.19	75.04	10.11	10.8	3.02	2.53	2.91	1.9	12.44	2.54	5.43	51.81	3.49	4.03	1.9	2.57	21.51	3.29	3.16	2.03	3.09	1.44	2.09	4.98	1.93	1.34	13.95	3.96	0.0	1.58	1.69	2.57	2.19	65.56	28.33	2.31	4.68	3.08	3.34	9.65	8.87	9.62
Magix	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.39	0.5	0.52
Mamdc2	0.0	141.81	0.0	0.0	0.0	33.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.76	0.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	119.56	0.16	0.0	0.0	0.0	0.0	0.94	1.06	1.46
Mat1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	118.87	0.08	0.0	0.0	0.0	0.0	0.03	0.06	0.16
